Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Lactobacillus rhamnosus ATCC 21052 (1002365.5)	1024_1	 	 	1993_8	2734, 442, 617	 	2477_11	22_15	 	1372_18	2157	1266	1542	 
Lactobacillus rhamnosus ATCC 8530 (1088720.3)	2455_1	 	 	590_8	1432, 2649, 336	 	2094_11, 2527_11	2169_15	 	1608_18	763	1719	963	 
Lactobacillus rhamnosus GG (Prj:40637) (568703.30)	2539_1	 	 	616_8	1490, 2652, 353	 	2186_11	2268_15	 	1699_18	789	1814	974	 
Lactobacillus rhamnosus HN001 (486408.6)	1896_1	 	 	147_8	1515, 919, 923	 	557_11	2106_15	 	319_18	1231	1151	463	 
Lactobacillus rhamnosus LMS2-1 (525361.3)	1502_1	 	 	2132_8	1208, 1795, 440	 	1341_11, 2820_11	2754_15	 	648_18	1894	752	944	 
Lactobacillus rhamnosus LRHMDP2 (1203258.5)	2661_1	 	 	277_8	2779, 2872, 48	 	630_11	703_15	 	880_18	2381	2850	1469	 
Lactobacillus rhamnosus LRHMDP3 (1203259.4)	1884_1	 	 	978_8	2330, 272, 2869	 	1588_11	2786_15	 	108_18	2454	2897	1379	 
Lactobacillus rhamnosus Lc 705 (568704.3)	2342_1	 	 	551_8	1391, 2443, 307	 	2020_11	2087_15	 	1550_18	723	1658	948	 
Lactobacillus rhamnosus R0011 (880592.5)	993_1	 	 	1938_8	1111, 1714, 612	 	2678_11	2758_15	 	788_18	2109	896	147	 
Lactobacillus ruminis ATCC 25644 (525362.3)	1795_1, 1796_2	 	 	98_8	211, 887, 928, 954	 	10_11, 1413_11	2021_15	 	1489_18	957	1209	232	 
Lactobacillus ruminis ATCC 27782 (1069534.5)	461_1, 462_2	 	 	 	1859, 985	 	1399_11, 1558_11	415_15	 	1321_18	1015	1217	1885	1477_26_25, 1477_26_25
Lactobacillus ruminis SPM0211 (1040964.3)	2075_2, 2076_1	 	 	1067_8	272, 300, 343, 962	 	1236_11, 570_11	2202_15	 	491_18	269	85	937	 
Lactobacillus sakei subsp. sakei 23K (314315.12)	 	 	 	 	366	 	614_11	339_15	 	1286_18	398	637	1320	 
Lactobacillus salivarius ATCC 11741 (525364.3)	 	 	 	 	434, 728	984	1700_12	1154_15, 1793_15	 	597_18	801	707	1412	1604_26, 621_26_25, 621_26_25
Lactobacillus salivarius GJ-24 (1041521.3)	 	 	 	706_8	1197, 489, 9	962	245_11	685_15, 786_15	 	1327_18	1130	1218	356	 
Lactobacillus salivarius NIAS840 (1029822.3)	 	 	 	280_8	1137, 468, 54	1356	715_11	1476_15, 302_15	 	958_18	1209	1116	603	 
Lactobacillus salivarius UCC118 (362948.14)	 	 	 	1372_8	1582, 316, 768	1106	84_11	1293_15, 1394_15, 1395_15	 	636_18	911	747	1723	 
Lactobacillus ultunensis DSM 16047 (525365.3)	 	 	 	 	39	792	1898_11, 1951_11	1647_16	 	1493_18	1901	 	9	 
Lactobacillus vaginalis ATCC 49540 (525366.3)	 	 	 	 	622, 85	543	523_11	387_16	250	1189_18	1509	9	1394	 
Pediococcus acidilactici 7_4 (563194.3)	 	 	 	 	1612	1078	1901_13	1080_15	 	617_18	1202	1517	900	1687_24, 990_26
Pediococcus acidilactici DSM 20284 (862514.3)	 	 	 	 	1140, 541	1807	24_13	1809_15	 	185_18	681	440	1632	 
Pediococcus acidilactici MA18/5M (1080365.4)	 	 	 	 	1120, 1715	292	508_11, 615_13	290_15	 	744_18	1258	967	163, 468	 
Pediococcus pentosaceus ATCC 25745 (278197.12)	 	 	 	 	239	1386	623_13	293_15	 	702_18	1187	1378	173, 470	 
Pediococcus pentosaceus IE-3 (1133596.3)	 	 	 	 	8	570	1030_13	67_15	 	809_18	1553	577	1282	 
Leuconostoc gelidum JB7 (1229756.3)	 	 	 	 	1163	 	 	1091_15	 	757_18	660	1202	1183	 
Leuconostoc gelidum KCTC 3527 (927691.3)	 	 	 	 	1581	 	 	1650_15	 	1774_18	1234	1542	1561	 
Leuconostoc argentinum KCTC 3773 (886872.3)	 	 	 	 	182, 380, 385, 473	 	 	852_15	 	571_18	1151	426	405	 
Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (586220.3)	 	 	 	 	221, 226	 	 	915_15	 	979_18	593	972	1014	 
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 (203120.7)	814_1, 815_2	 	 	 	1368, 1373, 986	 	 	777_15	 	713_18	606	720	680	1891_25, 1892_25, 1893_26
Leuconostoc mesenteroides subsp. mesenteroides J18 (1107880.3)	757_1, 758_2	 	 	 	1209, 1214, 1640	 	 	720_15	 	655_18	547	662	620	1677_25, 1678_25, 1679_26
Weissella cibaria KACC 11862 (911104.3)	 	 	 	 	1700, 2039, 330, 423	 	 	1928_15	 	998_18	1591	1081	803	 
Weissella confusa LBAE C39-2 (1127131.3)	 	 	 	 	1187, 840	 	 	118_15	 	1320_18	618	755	225	 
Weissella paramesenteroides ATCC 33313 (585506.3)	 	 	 	 	1058, 1071, 325	 	 	939_16	 	655_18	2	1474	182	1441_26, 1622_26_25, 1622_26_25
Lactococcus garvieae 21881 (998087.5)	 	 	 	 	1819, 363	1325	 	689_15	 	845_18	541	1438	518	 
Lactococcus garvieae 8831 (913847.4)	 	 	 	 	184, 1915	1416	 	411_15	 	551_18	1514	860	1493	 
Lactococcus garvieae ATCC 49156 (420889.6)	 	 	 	 	1453, 94	957	 	621_15	 	1857_18	1038	1165	1017	 
Lactococcus garvieae DCC43 (1231377.3)	 	 	 	 	2065, 844	 	 	1132_15	 	1645_18	2083	1536	2103	 
Lactococcus garvieae I113 (1229517.3)	 	 	 	 	103, 279	1045	 	938_15	 	1211_18	1624	1873	1604	 
Lactococcus garvieae IPLA 31405 (1181234.4)	 	 	 	 	41, 511	1267	 	830_15	 	109_18	1177	1034	1199	 
Lactococcus garvieae LG9 (1091039.4)	 	 	 	 	1827, 203	720	 	1059_15	 	294_18	1182	1711	793	 
Lactococcus garvieae Lg2 (420890.5)	 	 	 	 	1479, 94	1074	 	640_15	 	1883_18	992	1189	1014	 
Lactococcus garvieae TB25 (1091040.5)	 	 	 	 	1845, 863	1403	 	512_15	 	1173_18	1481	685	1458	 
Lactococcus garvieae Tac2 (1229518.3)	 	 	 	 	367, 558	1796	 	726_15	 	1325_18	448	1486	1752	 
Lactococcus garvieae UNIUD074 (1017266.3)	 	 	 	 	1478, 1876	1020	 	1378_15	 	671_18	1116	1198	1094	 
Lactococcus lactis subsp. cremoris CNCM I-1631 (1042402.4)	699_1, 700_2	 	 	 	414, 524, 775	 	1698_11, 1967_11	2280_15	 	1942_18	704	608	1876	2480_24, 2481_26_26_25, 2481_26_26_25
Lactococcus lactis subsp. cremoris MG1363 (416870.9)	1214_1, 1215_2	 	 	 	1183, 2068, 2228, 2229, 2351	 	2552_11, 383_11	1868_15	 	2529_18	1219	996	1276, 1553	 
Lactococcus lactis subsp. cremoris NZ9000 (746361.3)	1222_1, 1223_2	 	 	 	1191, 2096, 2259, 2260, 2381	 	2587_11, 384_11	1892_15	 	2564_18	1227	1005	1284, 1567	 
Lactococcus lactis subsp. cremoris UC509.9 (1111678.3)	1372_2, 1373_1	 	 	 	1890, 1998, 2114, 2115	 	2319_11, 383_11	782_15	 	2298_18	1368	1565	1114	 
Lactococcus lactis subsp. lactis CV56 (929102.3)	1297_2, 1298_1	 	 	 	1835, 1989, 2098	 	2354_11, 352_11	720_15	 	2329_18	1293, 1294	1491	1007	1756_26_26_25, 1756_26_26_25, 1757_24
Lactococcus lactis subsp. lactis IO-1 (1046624.4)	1290_2, 1291_1	 	 	 	1909, 2005, 2106	 	2295_11, 341_11	697_15	 	2268_18	1287	1520	746, 990	1818_24
Lactococcus lactis subsp. lactis Il1403 (272623.7)	1388_2, 1389_1	 	 	 	1960	 	2393_12, 386_11	790_15	 	2362_18	1385	1639	1076	1885_26_26_25, 1885_26_26_25, 1886_24
Lactococcus lactis subsp. lactis KF147 (684738.3)	1370_2, 1371_1	 	 	 	2033, 2126, 2229	 	2502_11, 416_11	765_15	 	2477_18	1367	1666	1045	1942_24
Lactococcus lactis subsp. lactis YF11 (1149132.3)	1193_2, 1194_1	 	 	 	1795, 1951, 2056	 	2288_11, 339_11	667_15	 	2263_18	1190	1436	929	1721_24
Lactococcus raffinolactis 4877 (1215915.3)	1807_2, 1861_2, 23_2, 24_1	 	 	585_8	1690, 2293, 463	 	 	 	 	2248_19, 2249_18	2006	577	1496	 
Streptococcus agalactiae 09mas018883 (1309806.3)	 	 	 	1321_8	523	450	 	1642_15	 	1739_18	1567	25	915	1451_24
Streptococcus agalactiae BSU108 (1154833.3)	 	 	 	375_8	1959	326	 	899_15	 	1357_18	973	512	1619	1090_24
Streptococcus agalactiae BSU133 (1105233.3)	 	 	 	 	1360	1285	 	1837_15	 	671_18	1913	1243	1669	2030_24
Streptococcus agalactiae BSU165 (1154831.3)	 	 	 	 	1705	1630	 	441_15	 	361_18	515	1262	1003	102_24
Streptococcus agalactiae BSU174 (1105234.3)	 	 	 	503_8	982	906	 	1541_15	 	1442_18	1616	396	1994	1091_24
Streptococcus agalactiae BSU178 (1154829.3)	 	 	 	 	918	1029	 	344_15	 	246_18	420	955	464	1787_24, 1788_26_26_25, 1788_26_26_25
Streptococcus agalactiae BSU247 (1154827.3)	 	 	 	482_8	167	1437	 	1174_15	 	1088_18	1251	742	1819	1374_24
Streptococcus agalactiae BSU248 (1105279.3)	 	 	 	 	630	557	 	784_15	 	1862_18	709	73	1332	442_24
Streptococcus agalactiae BSU252 (1105277.3)	 	 	 	165_8	1413	1339	 	880_15	 	784_18	955	289	706	1071_24
Streptococcus agalactiae BSU253 (1105281.3)	 	 	 	601_8	499	573	 	1829_15	 	1506_18	1755	1437	1175	1637_24
Streptococcus agalactiae BSU260 (1105231.3)	 	 	 	35_8	1331	762	 	1851_15	 	1293_18	1925	1108	1671	2046_24
Streptococcus agalactiae BSU442 (1154826.3)	 	 	 	1880_8	1576	148	 	1830_15	 	823_18	1219	1375	176	630_24
Streptococcus agalactiae BSU447 (1105280.3)	 	 	 	 	107	32	 	688_15	 	608_18	763	2126	1591	1350_24
Streptococcus agalactiae BSU450 (1154825.3)	 	 	 	1846_8	896	1656	 	1962_15	 	576_18	302	1117	1465	1716_24
Streptococcus agalactiae BSU451 (1105232.3)	 	 	 	222_8	810	736	 	637_15	 	1731_18	563	1826	1215	446_24
Streptococcus agalactiae BSU454 (1105278.3)	 	 	 	 	272	346	 	1169_15	 	1071_18	1244	1510	1660	567_24
Streptococcus agalactiae BSU92 (1154832.3)	 	 	 	386_8	139	64	 	1624_15	 	1525_18	1699	535	1221	1815_24
Streptococcus agalactiae BSU96 (1154830.3)	 	 	 	778_8	38	925	 	1487_15	 	1407_18	1569	1288	1977	154_24
Streptococcus agalactiae CCUG 17336 (1105253.3)	 	 	 	912_8	6	1115	 	574_15	 	655_18	493	728	1953	419_24
Streptococcus agalactiae CCUG 19094 (1154807.3)	 	 	 	 	1263	1339	 	836_15	 	756_18	911	61	591	983_24
Streptococcus agalactiae CCUG 24810 (1154808.3)	 	 	 	 	1343	1420	 	352_15	 	2077_18	277	1546	1678	1166_24
Streptococcus agalactiae CCUG 25532 (1154809.3)	 	 	 	1244_8	830	632	 	1056_15	 	1546_18	980	797	1796	864_24
Streptococcus agalactiae CCUG 28551 (1105254.3)	 	 	 	244_8	887	204	 	1616_15	 	1309_18	1403	1352	1784	1980_24
Streptococcus agalactiae CCUG 29376 (1105255.3)	 	 	 	 	1072	1146	 	1683_15	 	1780_18	1608	1483	628	238_24
Streptococcus agalactiae CCUG 29782 (1105256.3)	 	 	 	591_8	157	232	 	912_15	 	998_18	837	1396	1765	720_24
Streptococcus agalactiae CCUG 30636 (1105257.3)	 	 	 	366_8	265	191	 	684_15	 	781_18	610	1230	1613	495_24
Streptococcus agalactiae CCUG 37430 (1154810.3)	 	 	 	 	1324	1249	 	661_15	 	581_18	735	499	1458	168_24
Streptococcus agalactiae CCUG 37736 (1105258.3)	 	 	 	1979_8	915	1731	 	383_15	 	464_18	1135	1812	768	812_24
Streptococcus agalactiae CCUG 37737 (1154811.3)	 	 	 	 	1799	1724	 	863_15	 	783_18	938	1539	1840	1643_24
Streptococcus agalactiae CCUG 37738 (1154812.3)	 	 	 	 	1223	1148	 	726_15	 	646_18	801	1416	1770	1019_24
Streptococcus agalactiae CCUG 37739 (1105259.3)	 	 	 	739_8	519	594	 	1635_15	 	902_18	1709	780	1328	1828_24
Streptococcus agalactiae CCUG 37740 (1105260.3)	 	 	 	385_8	180	408	 	1543_15	 	1447_18	593	248	1877	1701_24
Streptococcus agalactiae CCUG 37741 (1154813.3)	 	 	 	 	237	312	 	1549_15	 	1629_18	1474	827	1374	568_24
Streptococcus agalactiae CCUG 37742 (1154814.3)	 	 	 	 	600	676	 	1012_15	 	1093_18	937	523	1842	30_24
Streptococcus agalactiae CCUG 38383 (1154815.3)	 	 	 	1328_8	1677, 1678	1615	 	800_15	 	714_18	874	289	2110, 2111	992_24
Streptococcus agalactiae CCUG 39096 A (1154816.3)	 	 	 	 	744	818	 	1822_15	 	1920_18	1747	634	1007	1676_24
Streptococcus agalactiae CCUG 44074 (1105262.3)	 	 	 	109_8	1066	1140	 	430_15	 	1896_18	1305	62	696	1423_24
Streptococcus agalactiae CCUG 44110 (1105264.3)	 	 	 	870_8	 	1211	 	1307_15	 	621_18	1381	735	1978	1498_24
Streptococcus agalactiae CCUG 44140 (1105265.3)	 	 	 	525_8	450	377	 	845_15	 	941_18	771	1132	1343	654_24
Streptococcus agalactiae CCUG 44186 (1105266.3)	 	 	 	1455_8	229	1594	 	490_15	 	570_18	408	1188	788	282_24
Streptococcus agalactiae CCUG 45061 (1105267.3)	 	 	 	 	1949	2024	 	466_15	 	386_18	541	1222	1539	2089_24
Streptococcus agalactiae CCUG 47293 (1105268.3)	 	 	 	 	1180	1254	 	1923_15	 	1826_18	1999	1353	1406	665_24
Streptococcus agalactiae CCUG 49072 (1105269.3)	 	 	 	1450_8	1082	68	 	691_15	 	787_18	616	1773	1743	500_24
Streptococcus agalactiae CCUG 49086 (1105270.3)	 	 	 	1894_8	176	405	 	1449_15	 	1531_18	1368	1046	948	112_24
Streptococcus agalactiae CCUG 49087 (1154818.3)	 	 	 	1964_8	249	718	 	1281_15	 	1361_18	1199	773	1874	19_24
Streptococcus agalactiae CCUG 49100 (1105271.3)	 	 	 	359_8	1108	1181	 	681_15	 	779_18	606	108	1719	489_24
Streptococcus agalactiae CCUG 91 (1105252.3)	 	 	 	 	1167	1241	 	1875_15	 	1955_18	1800	1711, 1712	624	279_24
Streptococcus agalactiae CJB111 (342617.4)	 	 	 	711_8	1107	1890, 986	 	1937_15, 2013_15	 	1828_18	1840, 1841	751	557	611_24
Streptococcus agalactiae FSL C1-487 (1154771.3)	 	 	 	735_8	919	1905	 	954_15	 	61_18	547	112	1488	779_24
Streptococcus agalactiae FSL C1-494 (1154783.3)	 	 	 	45_8	1153	131	 	1046_15	 	1286_18	970	293	895	303_24
Streptococcus agalactiae FSL F2-338 (1154803.3)	 	 	 	1666_8	305	1810	 	127_15	 	1068_18	1285	1204	579	2026_24
Streptococcus agalactiae FSL F2-343 (1154800.3)	 	 	 	262_8	757	830	 	1605_15	 	713_18	1531	1039	1862	1412_24
Streptococcus agalactiae FSL S3-001 (1154805.3)	 	 	 	812_8	633	673	 	1131_15	 	1227_18	1057	558	375	941_24
Streptococcus agalactiae FSL S3-003 (1154806.3)	 	 	 	 	486	1043	 	1873_15	 	1953_18	1799	800	1652	1108_24
Streptococcus agalactiae FSL S3-005 (1154804.3)	 	 	 	1741_8	787	1856	 	1457_15	 	1586_18	742	1528	357	462_24
Streptococcus agalactiae FSL S3-014 (1154797.3)	 	 	 	 	586	513	 	1384_15	 	1285_18	1459	230	1666	1935_24
Streptococcus agalactiae FSL S3-023 (1154794.3)	 	 	 	1252_8	394	468	 	1022_15	 	1119_18	947	60	1365	831_24
Streptococcus agalactiae FSL S3-026 (876138.3)	 	 	 	1492_8	584	502	 	1879_15	 	1965_18	1802	12	1000, 1001	1680_24
Streptococcus agalactiae FSL S3-034 (1154779.3)	 	 	 	1887_8	271	1217	 	1782_15	 	1578_18	869	1278	826	1947_24
Streptococcus agalactiae FSL S3-090 (1154796.3)	 	 	 	961_8	2009	2083	 	1448_15	 	1535_18	1374	62	1827	180_24
Streptococcus agalactiae FSL S3-102 (1154798.3)	 	 	 	616_8	858	1655	 	1400_15	 	1480_18	1318	1574	1764	151_24
Streptococcus agalactiae FSL S3-105 (1154782.3)	 	 	 	266_8	141	1136, 1780	 	1500_15	 	2059_18	670	2222	364	2133_24
Streptococcus agalactiae FSL S3-128 (1154791.3)	 	 	 	949_8	305	346	 	1447_15	 	1402_18	853	1701	388	50_24
Streptococcus agalactiae FSL S3-137 (1154801.3)	 	 	 	 	1746	1672	 	1484_15	 	1386_18	1559	456	969	2023_24
Streptococcus agalactiae FSL S3-222 (1154780.3)	 	 	 	949_8	305	346	 	1447_15	 	1402_18	853	1699	388	50_24
Streptococcus agalactiae FSL S3-268 (1154802.3)	 	 	 	581_8	2021	38	 	524_15	 	1791_18	985	1457	1165	926_24
Streptococcus agalactiae FSL S3-277 (1154781.3)	 	 	 	1016_8	1913	1200	 	2153_15	 	2063_18	1660	273	582	515_24
Streptococcus agalactiae FSL S3-337 (1154795.3)	 	 	 	 	538	1701	 	1836_15	 	168_18	1910	1513	1274	1167_24
Streptococcus agalactiae FSL S3-586 (1154776.3)	 	 	 	768_8	49	805	 	2306_15	 	2391_18	2179	1848	1429	1568_24
Streptococcus agalactiae FSL S3-608 (1154778.3)	 	 	 	1793_8	1323	2106	 	994_15	 	1337_18	862	2314	1262	1573_24
Streptococcus agalactiae FSL S3-654 (1154773.3)	 	 	 	1650_8	1334	1230	 	77_15	 	252_18	1028	1844	670	1279_24
Streptococcus agalactiae GB00002 (1154891.3)	 	 	 	10_8	289	215	 	1730_15	 	656_18	1804	1299	1034	1923_24
Streptococcus agalactiae GB00003 (1154892.3)	 	 	 	 	2054	2128	 	1434_15	 	1338_18	1511	447	1023	666_24
Streptococcus agalactiae GB00012 (1154893.3)	 	 	 	1704_8	843	770	 	1380_15	 	1284_18	1455	2091	427	1571_24
Streptococcus agalactiae GB00013 (1154894.3)	 	 	 	1488_8	306	231	 	1807_15	 	1904_18	1733	1197	615	1617_24
Streptococcus agalactiae GB00018 (1154895.3)	 	 	 	11_8	399	325	 	1184_15	 	550_18	1110	723	1760	990_24
Streptococcus agalactiae GB00020 (1154896.3)	 	 	 	705_8	1772	1698	 	909_15	 	813_18	984	1494	1414	1100_24
Streptococcus agalactiae GB00082 (1154897.3)	 	 	 	487_8	930	855	 	1164_15	 	1260_18	732	1578	320	616_24
Streptococcus agalactiae GB00083 (1154898.3)	 	 	 	 	749	675	 	1113_15	 	607_18	1038	1557	1796	39_24
Streptococcus agalactiae GB00084 (1154899.3)	 	 	 	1991_8	827	901	 	1669_15	 	1569_18	1744	1020	92	1859_24
Streptococcus agalactiae GB00092 (1154900.3)	 	 	 	 	158	83	 	1624_15	 	316_18	1550	1952	1146	1457_24
Streptococcus agalactiae GB00097 (1154901.3)	 	 	 	1720_8	602	1120	 	1376_15	 	1295_18	1458	1492	535	117_24
Streptococcus agalactiae GB00111 (1154902.3)	 	 	 	1834_8	72	1558	 	1691_15	 	1610_18	1773	618	1186	21_24
Streptococcus agalactiae GB00112 (1178526.3)	 	 	 	1950_8	83	1338	 	1791_15	 	1709_18	1872	1616	1188	449_24
Streptococcus agalactiae GB00115 (1154903.3)	 	 	 	1877_8	584	757	 	985_15	 	1065_18	904	23	209	688_24
Streptococcus agalactiae GB00174 (1154904.3)	 	 	 	1445_8	197	875	 	1592_15	 	493_18	1376	1746	1817	1236_24
Streptococcus agalactiae GB00190 (1154905.3)	 	 	 	83_8	967	893	 	1550_15	 	1128_18	1624	1299	411	1743_24
Streptococcus agalactiae GB00202 (1154906.3)	 	 	 	 	1003	1077	 	549_15	 	1321_18	474	2002	1515	1152_24
Streptococcus agalactiae GB00206 (1154907.3)	 	 	 	 	1762	656	 	871_15	 	951_18	797	692	1395	1952_24
Streptococcus agalactiae GB00219 (1154908.3)	 	 	 	 	587	513	 	717_15	 	176_18	793	1379	1064	1314_24
Streptococcus agalactiae GB00226 (1154909.3)	 	 	 	 	1716	1791	 	1450_15	 	1370_18	1525	2033	1156	205_24
Streptococcus agalactiae GB00241 (1154910.3)	 	 	 	986_8	723	796	 	1305_15	 	1403_18	1231	2086	1631	1115_24
Streptococcus agalactiae GB00245 (1154911.3)	 	 	 	49_8	13	690	 	1200_15	 	1114_18	1274	638	1704	1393_24
Streptococcus agalactiae GB00247 (1154912.3)	 	 	 	278_8	75	149	 	1008_15	 	1094_18	934	198	1434	814_24
Streptococcus agalactiae GB00264 (1154913.3)	 	 	 	1683_8	1571	1995	 	1407_15	 	1056_18	1333	1305	1524	1813_24
Streptococcus agalactiae GB00279 (1154914.3)	 	 	 	 	1214	1659	 	423_15	 	522_18	244	881	1781	361_24
Streptococcus agalactiae GB00300 (1154915.3)	 	 	 	2061_8	1661	1734	 	396_15	 	298_18	470	1437	1811	1056_24
Streptococcus agalactiae GB00535 (1154916.3)	 	 	 	 	722	648	 	1543_15	 	1446_18	1618	314	997	249_24
Streptococcus agalactiae GB00543 (1154917.3)	 	 	 	 	1491	1567	 	913_15	 	833_18	989	1792	2093	1063_24
Streptococcus agalactiae GB00548 (1154918.3)	 	 	 	893_8	349	422	 	1214_15	 	1299_18	1140	814	1733	1022_24
Streptococcus agalactiae GB00555 (1154919.3)	 	 	 	 	746	672	 	1044_15	 	1905_18	969	1698	451	1474_24
Streptococcus agalactiae GB00557 (1154920.3)	 	 	 	1313_8	1371	1736	 	1503_15	 	1583_18	1421	1258	39	335_24
Streptococcus agalactiae GB00561 (1154921.3)	 	 	 	2140_8	688	1342	 	1725_15	 	310_18	258	1860	559	2020_24
Streptococcus agalactiae GB00588 (1154922.3)	 	 	 	 	175	98	 	1292_15	 	1213_18	1367	949	1993	1438_24
Streptococcus agalactiae GB00601 (1154923.3)	 	 	 	291_8	769	842	 	1537_15	 	1183_18	1611	967	596	1730_24
Streptococcus agalactiae GB00614 (1154924.3)	 	 	 	944_8	314	241	 	1871_15	 	1774_18	1310	1589	843	1426_24
Streptococcus agalactiae GB00640 (1154925.3)	 	 	 	140_8	1174	1045	 	507_15	 	1492_18	431	893	1909	315_24
Streptococcus agalactiae GB00651 (1154926.3)	 	 	 	 	1504	1578	 	845_15	 	1417_18	770	393	49	535_24
Streptococcus agalactiae GB00653 (1154927.3)	 	 	 	63_8	1368	1294	 	368_15	 	1569_18	293	484	904	1752_24
Streptococcus agalactiae GB00654 (1154928.3)	 	 	 	1599_8	6	1789	 	681_15	 	601_18	763	441	821	 
Streptococcus agalactiae GB00663 (1154929.3)	 	 	 	 	1328	1403	 	1099_15	 	1019_18	1174	368	1721	1961_24
Streptococcus agalactiae GB00679 (1154930.3)	 	 	 	 	1418	224	 	207_15	 	1690_18	1102	1550	374	1885_24
Streptococcus agalactiae GB00864 (1154931.3)	 	 	 	51_8	493	450	 	293_15	 	589_18	1286	1379	1408	181_24
Streptococcus agalactiae GB00867 (1154933.3)	 	 	 	49_8	773	847	 	423_15	 	337_18	497	950	1430	696_24
Streptococcus agalactiae GB00874 (1154934.3)	 	 	 	91_8	1859	1932	 	412_15	 	1607_18	337	1089	1529	221_24
Streptococcus agalactiae GB00884 (1154935.3)	 	 	 	 	1926	1850	 	841_15	 	761_18	915	661	1330	286_24
Streptococcus agalactiae GB00887 (1154936.3)	 	 	 	16_8	1586	1659	 	1287_15	 	216_18	1361	606	1198	1480_24
Streptococcus agalactiae GB00888 (1154937.3)	 	 	 	51_8	1692	1768	 	1356_15	 	865_18	1280	1498	1132	676_24
Streptococcus agalactiae GB00891 (1154938.3)	 	 	 	1154_8	65	513	 	865_15	 	785_18	947	1101	1572	128_24
Streptococcus agalactiae GB00893 (1154939.3)	 	 	 	577_8	1369	1443	 	1545_15	 	1642_18	1470	1332	853	315_24
Streptococcus agalactiae GB00900 (1154943.3)	 	 	 	 	1665	1589	 	1398_15	 	1318_18	1473	2132	611	597_24
Streptococcus agalactiae GB00901 (1154944.3)	 	 	 	1443_8	1963	1887	 	154_15	 	249_18	1193	719	1076	1309_24
Streptococcus agalactiae GB00904 (1154945.3)	 	 	 	 	580	506	 	869_15	 	949_18	794	1342	2161	1683_24
Streptococcus agalactiae GB00909 (1154946.3)	 	 	 	 	843	770	 	1605_15	 	688_18	1680	930	1238	319_24
Streptococcus agalactiae GB00911 (1154947.3)	 	 	 	82_8	1899	1973	 	714_15	 	1703_18	639	1306	1127	7_24
Streptococcus agalactiae GB00914 (1154948.3)	 	 	 	 	666	593	 	268_15	 	1181_18	343	1050	970	1845_24
Streptococcus agalactiae GB00919 (1154949.3)	 	 	 	 	1185	1260	 	1864_15	 	918_18	1789	1993	972	42_24
Streptococcus agalactiae GB00922 (1154950.3)	 	 	 	1800_8	670	743	 	1478_15	 	2077_18	1553	519	1060	1671_24
Streptococcus agalactiae GB00923 (1154951.3)	 	 	 	 	2041	2116	 	398_15	 	318_18	473	922	1815	981_24
Streptococcus agalactiae GB00924 (1154952.3)	 	 	 	656_8	62	135	 	1620_15	 	1524_18	1695	1261	1134	1811_24
Streptococcus agalactiae GB00929 (1154953.3)	 	 	 	 	1825	1899	 	535_15	 	615_18	460	1041	2159	1461_24
Streptococcus agalactiae GB00932 (1154954.3)	 	 	 	50_8	153	79	 	1814_15	 	1900_18	1740	492	1382	1621_24
Streptococcus agalactiae GB00933 (1154955.3)	 	 	 	1141_8	1828	1754	 	505_15	 	1392_18	429	1098	854	27_24
Streptococcus agalactiae GB00954 (1154959.3)	 	 	 	305_8	431	1126	 	1654_15	 	1361_18	877	1712	1037	1964_24
Streptococcus agalactiae GB00955 (1154960.3)	 	 	 	358_8	1946	2019	 	772_15	 	1312_18	697	1430	93	531_24
Streptococcus agalactiae GB00963 (1154963.3)	 	 	 	1398_8	849	1729	 	995_15	 	1074_18	913	771	37	2041_24
Streptococcus agalactiae GB00965 (1154964.3)	 	 	 	1034_8	1941	2014	 	1867_15	 	1619_18	1793	1260	353	1672_24
Streptococcus agalactiae GB00975 (1154965.3)	 	 	 	171_8	1532	1761	 	462_15	 	886_18	557	1264	670	1019_24
Streptococcus agalactiae GB00984 (1154966.3)	 	 	 	 	1320	1394	 	1651_15	 	482_18	1577	982	1921	1170_24
Streptococcus agalactiae GB00986 (1154967.3)	 	 	 	178_8	38	764	 	602_15	 	700_18	527	1938	1538	194_24
Streptococcus agalactiae GB00999 (1154969.3)	 	 	 	1103_8	254	181	 	1468_15	 	1565_18	1393	1693	1811	1277_24
Streptococcus agalactiae GD201008-001 (1203670.3)	 	 	 	 	554	472	 	1574_15	 	1674_18	1497	25	915	1370_26_26_25, 1370_26_26_25, 1371_24
Streptococcus agalactiae ILRI005 (1309807.3)	 	 	 	1362_8	538	464	 	1708_15	 	1798_18	1631	28	977	 
Streptococcus agalactiae ILRI112 (1318615.3)	 	 	 	1287_8	556	477	 	1636_15, 1637_15	 	1724_18	1556	27, 28	972	 
Streptococcus agalactiae LADL-90-503 (1266066.3)	 	 	 	 	454	312	 	642_15	 	48_18	201	572	925	 
Streptococcus agalactiae LMG 15081 (1105272.3)	 	 	 	1438_8	36	109	 	1759_15	 	2017_18	1685	371	668	1567_24
Streptococcus agalactiae LMG 15083 (1105273.3)	 	 	 	 	1962	419	 	1493_15	 	1589_18	1418	610	2070	184_26_26_25, 184_26_26_25, 185_24
