Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Enterococcus faecium LCT-EF20 (1245477.3)	 	 	 	 	 	 	2330_15	 	2028_18	 	1931_25, 1932_23, 1933_24	 	 	 	 	1819	 	 	1244
Enterococcus faecium LCT-EF258 (1245478.3)	 	 	 	 	 	 	2499_15	 	1064_18	 	1161_24, 1162_23, 1163_25	 	 	 	 	1757	 	 	1399
Enterococcus faecium LCT-EF90 (1167697.3)	 	 	 	 	 	 	2438_15	 	1956_18	 	1862_25, 1863_23, 1864_24	 	 	 	 	1119	 	 	1697
Enterococcus faecium NRRL B-2354 (1104325.3)	 	 	 	 	 	 	2047_15	 	1389_18	 	1487_24, 1488_23, 1489_25	 	 	 	 	2454	 	 	1733
Enterococcus faecium PC4.1 (791161.5)	 	 	 	 	 	 	1015_15	 	1399_18	 	174_25, 175_23, 176_23, 177_24	 	 	 	 	1866	 	 	64
Enterococcus faecium S658-3 (1157451.3)	 	 	 	 	 	 	1720_15	 	1687_18	 	1586_25, 1587_23, 1588_24	 	 	 	 	2291	 	 	1348
Enterococcus faecium TC 6 (565666.3)	 	 	 	 	 	 	2268_15	 	1306_18	 	1399_24, 1400_23, 1401_25	 	 	 	 	165	 	 	 
Enterococcus faecium TX0082 (749520.3)	 	 	 	 	 	 	634_15	 	2260_18	 	1264_24, 1265_23, 1266_25	 	 	 	 	1750	 	 	1272
Enterococcus faecium TX0133A (749521.3)	 	 	 	 	 	 	961_15	 	1009_18	 	1140_24, 1141_23, 1142_25	 	 	 	 	1552	 	 	1495
Enterococcus faecium TX0133B (749524.3)	 	 	 	 	 	 	2316_15	 	2407_18	 	443_25, 444_23, 445_24	 	 	 	 	767	 	 	1771
Enterococcus faecium TX0133C (749525.3)	 	 	 	 	 	 	2030_15	 	222_18	 	1007_25, 1008_23, 1009_24	 	 	 	 	2075	 	 	2428
Enterococcus faecium TX0133a04 (749523.3)	 	 	 	 	 	 	1451_15	 	1949_18	 	697_24, 698_23, 699_25	 	 	 	 	859	 	 	1601
Enterococcus faecium TX1330 (525279.3)	 	 	 	 	 	 	2262_15	 	 	 	1115_24, 1116_23, 1117_25	 	 	 	 	2121	 	 	195
Enterococcus faecium U0317 (547468.4)	 	 	 	2744_11	 	 	1662_15	 	29_18	 	2505_25, 2506_23, 2507_24	 	 	 	 	2572	 	 	199
Enterococcus faecium UAA1007 (1158545.3)	 	 	 	 	 	 	1850_15	 	1378_18	 	1279_25, 1280_23, 1281_24	 	 	 	 	667	 	 	1031
Enterococcus faecium UAA1019 (1158547.3)	 	 	 	1337_11	 	 	2727_15	 	1644_18	 	1742_24, 1743_23, 1744_25	 	 	 	 	1453	 	 	1986
Enterococcus faecium UAA1022 (1158548.3)	 	 	 	 	 	 	1698_15	 	1313_18	 	1211_25, 1212_23, 1213_24	 	 	 	 	554	 	 	973
Enterococcus faecium UAA1023 (1158549.3)	 	 	 	 	 	 	1096_15	 	2618_18	 	2517_25, 2518_23, 2519_24	 	 	 	 	414	 	 	2277
Enterococcus faecium UAA1024 (1158550.3)	 	 	 	 	 	 	2752_15	 	1135_18	 	1035_25, 1036_23, 1037_24	 	 	 	 	2830	 	 	795
Enterococcus faecium UAA1025 (1158551.3)	 	 	 	 	 	 	2260_15	 	1895_18	 	1795_25, 1796_23, 1797_24	 	 	 	 	607	 	 	1550
Enterococcus faecium UAA1280 (1158553.3)	 	 	 	 	1766_5	 	2631_15	 	1768_18, 1851_18	 	1750_25, 1751_23, 1752_24	 	 	 	 	2383	 	 	1512
Enterococcus faecium UAA1433 (1158554.3)	 	 	 	 	 	 	2402_15	 	2765_18	 	2665_25, 2666_23, 2667_24	 	 	 	 	939	 	 	1894
Enterococcus faecium UAA1484 (1158555.3)	 	 	 	740_11	 	 	2356_15	 	1271_18	 	1372_24, 1373_23, 1374_25	 	 	 	 	458	 	 	1618
Enterococcus faecium UAA210 (1158635.3)	 	 	 	 	 	 	737_15	 	1337_18	 	1238_25, 1239_23, 1240_24	 	 	 	 	2435	 	 	986
Enterococcus faecium UAA407 (1158636.3)	 	 	 	 	 	 	1296_15	 	2338_18	 	2237_25, 2238_23, 2239_24	 	 	 	 	2674	 	 	2000
Enterococcus faecium UAA430 (1158638.3)	 	 	 	 	 	 	684_15	 	1688_18	 	1588_25, 1589_23, 1590_24	 	 	 	 	544	 	 	1349
Enterococcus faecium UAA431 (1158639.3)	 	 	 	 	 	 	2447_15	 	959_18	 	858_25, 859_23, 860_24	 	 	 	 	2511	 	 	615
Enterococcus faecium UAA714 (1157453.3)	 	 	 	 	 	 	822_15	 	1089_18	 	1188_24, 1189_23, 1190_25	 	 	 	 	2476	 	 	1435
Enterococcus faecium UAA715 (1157454.3)	 	 	 	 	 	 	2750_15	 	1821_18	 	1722_25, 1723_23, 1724_24	 	 	 	 	991	 	 	1477
Enterococcus faecium UAA716 (1157455.3)	 	 	 	 	 	 	2005_15	 	1744_18	 	1643_25, 1644_23, 1645_24	 	 	 	 	676	 	 	1401
Enterococcus faecium UAA718 (1157456.3)	 	 	 	 	 	 	2161_15	 	1114_18	 	1014_25, 1015_23, 1016_24	 	 	 	 	2665	 	 	771
Enterococcus faecium UAA719 (1157457.3)	 	 	 	 	 	 	2590_15	 	948_18	 	850_25, 851_23, 852_24	 	 	 	 	2654	 	 	608
Enterococcus faecium UAA720 (1157458.3)	 	 	 	 	 	 	2822_15	 	1666_18	 	1764_24, 1765_23, 1766_25	 	 	 	 	38	 	 	2090
Enterococcus faecium UAA721 (1157459.3)	 	 	 	 	 	 	2462_15	 	1199_18	 	1099_25, 1100_23, 1101_24	 	 	 	 	2512	 	 	862
Enterococcus faecium UAA722 (1157460.3)	 	 	 	 	 	 	2301_15	 	1593_18	 	1489_25, 1490_23, 1491_24	 	 	 	 	1722	 	 	1259
Enterococcus faecium UAA723 (1157461.3)	 	 	 	1840_11	 	 	1381_15	 	2338_18	 	2238_25, 2239_23, 2240_24	 	 	 	 	2577	 	 	1998
Enterococcus faecium UAA724 (1157462.3)	 	 	 	 	 	 	497_15	 	2130_18	 	2033_25, 2034_23, 2035_24	 	 	 	 	422	 	 	1788
Enterococcus faecium UAA725 (1157463.3)	 	 	 	 	 	 	1769_15	 	1998_18	 	2096_24, 2097_23, 2098_25	 	 	 	 	1095	 	 	2343
Enterococcus faecium UAA825 (1157464.3)	 	 	 	 	 	 	2587_15	 	1507_18	 	1606_24, 1607_23, 1608_25	 	 	 	 	1082	 	 	1851
Enterococcus faecium UAA909 (1157476.3)	 	 	 	 	 	 	1556_15	 	1202_18	 	1104_25, 1105_23, 1106_24	 	 	 	 	2633	 	 	866
Enterococcus faecium UAA910 (1157477.3)	 	 	 	 	 	 	1920_15	 	1126_18	 	1024_25, 1025_23, 1026_24	 	 	 	 	563	 	 	783
Enterococcus faecium UAA911 (1157478.3)	 	 	 	 	 	 	2731_15	 	1658_18	 	1756_24, 1757_23, 1758_25	 	 	 	 	982	 	 	1999
Enterococcus faecium UAA944 (1157465.3)	 	 	 	1296_11	 	 	1499_15	 	2573_18	 	2473_25, 2474_23, 2475_24	 	 	 	 	1385	 	 	2229
Enterococcus faecium UAA945 (1157488.3)	 	 	 	775_11	 	 	1310_15	 	2391_18	 	2289_25, 2290_23, 2291_24	 	 	 	 	866	 	 	2043
Enterococcus faecium UAA947 (1158541.3)	 	 	 	 	 	 	2904_15	 	1115_18	 	1016_25, 1017_23, 1018_24	 	 	 	 	623	 	 	773
Enterococcus faecium UAA949 (1158644.3)	 	 	 	 	 	 	2556_15	 	1412_18	 	1510_24, 1511_23, 1512_25	 	 	 	 	1315	 	 	1752
Enterococcus faecium UAA950 (1158645.3)	 	 	 	 	 	 	2753_15	 	1209_18	 	1309_24, 1310_23, 1311_25	 	 	 	 	833	 	 	1553
Enterococcus faecium UAA951 (1158543.3)	 	 	 	 	 	 	2166_15	 	1027_18	 	1127_24, 1128_23, 1129_25	 	 	 	 	924	 	 	1372
Enterococcus faecium UAA952 (1158544.3)	 	 	 	2447_11	 	 	3118_15	 	1035_18	 	1132_24, 1133_23, 1134_25	 	 	 	 	2540	 	 	1374
Enterococcus faecium UC7251 (1328870.3)	 	 	 	 	 	 	346_15	 	519_18	 	2181_24, 2182_23, 2183_25	 	 	 	 	2384	 	 	12
Enterococcus faecium VAN 219 (1157466.3)	 	 	 	1721_11	 	 	2540_15	 	2224_18	 	2122_25, 2123_23, 2124_24	 	 	 	 	868	 	 	1889
Enterococcus faecium VAN 222 (1157467.3)	 	 	 	1306_11	 	 	2132_15	 	1814_18	 	1712_25, 1713_23, 1714_24	 	 	 	 	2471	 	 	1476
Enterococcus faecium VAN 327 (1169279.3)	 	 	 	 	 	 	2540_15	 	955_18	 	1053_24, 1054_23, 1055_25	 	 	 	 	2611	 	 	1302
Enterococcus faecium VAN 332 (1157468.3)	 	 	 	 	 	 	2429_15	 	2064_18	 	1964_25, 1965_23, 1966_24	 	 	 	 	2499	 	 	1730
Enterococcus faecium VAN 335 (1157469.3)	 	 	 	 	 	 	576_15	 	1619_18	 	1520_25, 1521_23, 1522_24	 	 	 	 	2618	 	 	1274
Enterococcus faecium VAN 342 (1157470.3)	 	 	 	 	 	 	1862_15	 	2585_18	 	2483_25, 2484_23, 2485_24	 	 	 	 	1060	 	 	2238
Enterococcus faecium VAN 345 (1157471.3)	 	 	 	 	 	 	739_15	 	2462_18	 	2364_25, 2365_23, 2366_24	 	 	 	 	668	 	 	2132
Enterococcus faecium VAN 476 (1169278.3)	 	 	 	1377_11	 	 	2497_15	 	1877_18	 	1778_25, 1779_23, 1780_24	 	 	 	 	38	 	 	1547
Enterococcus faecium VRE 108 (1157472.3)	 	 	 	 	 	 	1107_15	 	2193_18	 	2095_25, 2096_23, 2097_24	 	 	 	 	1055	 	 	1859
Enterococcus faecium VRE 110 (1157473.3)	 	 	 	 	 	 	1060_15	 	2161_18	 	2062_25, 2063_23, 2064_24	 	 	 	 	928	 	 	1820
Enterococcus faecium VRE 13 (1157474.3)	 	 	 	606_11	 	 	1883_15	 	1473_18	 	1371_25, 1372_23, 1373_24	 	 	 	 	702	 	 	1125
Enterococcus faecium VRE 84 (1157475.3)	 	 	 	 	 	 	2583_15	 	1816_18	 	1716_25, 1717_23, 1718_24	 	 	 	 	3102	 	 	1473
Enterococcus gallinarum EG2 (565653.4)	 	 	 	 	 	 	1496_15	 	 	 	 	1325_28, 1326_29, 1327_26	 	 	 	2562	 	 	1761
Enterococcus hirae ATCC 9790 (768486.3)	 	 	 	 	2650_5	 	1474_20	 	2249_18, 2628_18, 2648_18	 	 	 	 	 	 	1075	 	 	 
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	 	 	 	 	2782_5	 	2888_15	 	1731_18, 2781_18, 3284_18	 	1279_24, 1280_23, 1281_24	 	 	3273	 	3460	 	 	 
Enterococcus saccharolyticus 30_1 (742813.4)	 	 	 	 	 	 	1476_15	 	240_18	 	 	2226_28, 2227_29, 2228_26	 	 	 	26	 	 	1760
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	 	 	 	 	273_5	 	937_15	 	272_18, 95_18, 993_18	 	 	459_26, 460_29, 461_28	 	275	 	278	 	 	 
Enterococcus sp. 7L76 (657310.3)	 	 	 	 	1085_5	 	1939_15	 	1084_18	 	 	1077_28, 1079_26	 	1087	 	2037	 	 	320
Lactobacillus acidophilus 30SC (891391.3)	 	 	 	 	 	 	775_15	 	2006_18	 	 	578_26, 89_28, 90_29	 	 	 	 	 	 	 
Lactobacillus acidophilus ATCC 4796 (525306.3)	 	 	 	 	 	 	464_15	 	1678_18	 	 	 	 	 	 	 	 	 	 
Lactobacillus acidophilus La-14 (1314884.3)	 	 	 	 	 	 	760_15	 	1808_18	 	 	 	 	 	 	 	 	 	 
Lactobacillus amylolyticus DSM 11664 (585524.3)	 	 	 	 	 	 	232_15	 	1052_18	 	 	1542_26, 636_29, 637_28	 	 	 	 	 	 	 
Lactobacillus amylovorus GRL 1112 (695560.3)	 	 	 	 	 	 	823_15	 	2026_18	 	 	107_28, 108_29, 602_26	 	 	 	 	 	 	 
Lactobacillus amylovorus GRL1118 (695562.4)	 	 	 	 	 	 	773_15	 	1831_18	 	 	101_28, 102_29, 571_26	 	 	 	 	 	 	 
Lactobacillus animalis KCTC 3501 (930942.3)	 	 	 	 	 	 	674_20	 	 	 	 	278_26, 279_29, 280_28	 	 	 	 	 	 	 
Lactobacillus antri DSM 16041 (525309.3)	 	 	 	 	1737_5, 39_5	 	1789_21	 	1736_18, 38_18	 	 	1404_28, 1405_29, 1406_26, 2044_26, 2045_29, 2046_28	 	 	 	 	 	 	 
Lactobacillus brevis KB290 (1001583.3)	 	 	 	1110_11	2066_5	 	802_15	 	1904_18, 2067_18	 	856_25	1801_28	 	2257	 	 	 	 	2193
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	 	1349	 	1350_11, 1351_4	1353_5, 436_5	 	2043_21	 	1482_18, 435_18	 	2826_25	1194_26, 1552_28, 1553_29, 1554_26, 2264_26	 	64	 	 	 	 	 
Lactobacillus buchneri ATCC 11577 (525318.3)	 	1087	 	1088_11, 1089_4	1090_5, 324_5	 	1872_21	 	1497_18, 323_18	 	 	1567_28, 1568_29, 1569_26, 2151_26, 920_26	 	1068	 	 	 	 	 
Lactobacillus buchneri CD034 (1071400.3)	 	2186	 	2007_11, 2184_4, 2185_11	2183_5, 556_5	 	985_21	 	2051_18, 555_18	 	784_25	1965_26, 1966_29, 1967_28	 	286	 	 	 	 	 
Lactobacillus buchneri NRRL B-30929 (511437.3)	 	2267	 	2265_4, 2266_11	2264_5, 608_5	 	987_20	 	2137_18, 607_18	 	852_25	2056_26, 2057_29, 2058_28	 	317	 	 	 	 	 
Lactobacillus casei 12A (1051650.4)	 	 	 	 	296_5	 	1191_21	 	297_18, 569_18	 	 	290_26, 291_29, 292_28	 	294	 	1624	 	 	 
Lactobacillus casei 21/1 (1051651.3)	 	 	 	 	404_5	 	1287_21	 	405_18, 705_18	 	 	398_26, 399_29, 400_28	 	402	 	1779	 	 	 
Lactobacillus casei 32G (1051652.3)	 	 	 	 	428_5	 	1446_15	 	764_18	 	 	421_26, 422_29, 423_28	 	426	 	2330	 	 	 
Lactobacillus casei ATCC 334 (321967.11)	 	 	 	 	324_5	 	1222_15	 	325_18, 697_18	 	 	 	 	322	 	1736	 	 	 
Lactobacillus casei BD-II (998820.3)	 	 	 	 	311_5	 	1432_21	 	312_18, 744_18	 	 	305_26, 306_29, 307_28	 	309	 	1944	 	 	 
Lactobacillus casei BL23 (543734.4)	 	 	 	 	302_5	 	1384_21	 	303_18, 722_18	 	 	296_26, 297_29, 298_28	 	300	 	1879	 	 	 
Lactobacillus casei CRF28 (1051654.3)	 	 	 	 	205_5	 	1163_21	 	582_18	 	 	199_26, 200_29, 201_28	 	203	 	1854	 	 	 
Lactobacillus casei LC2W (999378.3)	 	 	 	 	315_5	 	1387_21	 	316_18, 755_18	 	 	309_26, 310_29, 311_28	 	313	 	1900	 	 	 
Lactobacillus casei Lc-10 (1051655.5)	 	 	 	 	323_5	 	1243_15	 	629_18	 	 	316_26, 317_29, 318_28	 	320	 	1761	 	 	 
Lactobacillus casei Lpc-37 (1051656.3)	 	 	 	 	2814_5	 	2510_21	 	2450_18, 2815_18	 	 	2809_29, 2810_28	 	2812	 	132	 	 	 
Lactobacillus casei M36 (1051657.3)	 	 	 	 	345_5	 	1529_21	 	346_18, 899_18	 	 	340_29, 341_28	 	343	 	2070	 	 	 
Lactobacillus casei T71499 (1051658.3)	 	 	 	 	290_5	 	1282_21	 	289_18, 754_18	 	 	294_28, 295_29	 	292	 	1844	 	 	 
Lactobacillus casei UCD174 (1051659.3)	 	 	 	 	423_5	 	1333_15	 	124_18, 424_18	 	 	416_26, 417_29, 418_28, 419_28	 	421	 	1923	 	 	 
Lactobacillus casei UW1 (1051660.3)	 	 	 	 	294_5	 	1259_21	 	649_18	 	 	288_26, 289_29, 290_28	 	292	 	1809	 	 	 
Lactobacillus casei UW4 (1051661.3)	 	 	 	 	383_5	 	1190_21	 	384_18, 601_18	 	 	376_26, 377_26, 378_29, 379_28	 	381	 	1727	 	 	 
Lactobacillus casei W56 (1215914.3)	 	 	 	 	325_5	 	1490_21	 	326_18, 777_18	 	 	319_26, 320_29, 321_28	 	323	 	2020	 	 	 
Lactobacillus casei str. Zhang (498216.5)	 	 	 	 	334_5	 	1152_21	 	335_18, 598_18	 	 	328_26, 329_29, 330_28	 	332	 	1651	 	 	 
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	 	 	 	 	2362_5	 	256_21	 	2363_18, 2629_18	 	 	2356_26, 2357_29, 2358_28	 	2360	 	788	 	 	 
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	 	 	 	 	1152_5	 	211_21	 	1153_18, 2408_18	 	 	1147_29, 1148_28	 	1150	 	736	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	 	 	 	 	 	 	2019_15	 	89_18	 	 	 	 	 	 	2694	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	 	 	 	 	 	 	566_21	 	1822_18	 	 	 	 	 	 	199	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	 	 	 	 	366_5	 	723_15	 	1245_18, 367_18	 	 	360_26, 361_29, 362_28	 	364	 	2697	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	 	 	 	 	2367_5	 	275_15	 	1261_18, 2366_18	 	 	2371_28, 2372_29, 2373_26	 	2369	 	765	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	 	 	 	471_11	2274_5	 	1499_21	 	136_18, 2273_18	 	 	2278_28, 2279_29, 2280_26	 	2276	 	2027	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	 	 	 	 	1485_5	 	1847_15	 	1484_18, 2276_18	 	 	1489_28, 1490_29	 	1487	 	981	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	 	 	 	 	2519_5	 	377_15	 	2518_18, 722_18	 	 	2523_28, 2524_29, 2525_26	 	2521	 	1376	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	 	 	 	352_11	1458_5	 	2761_21	 	1457_18, 2046_18	 	 	1462_28, 1463_29, 1464_26	 	1460	 	570	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	 	 	 	 	586_5	 	1281_21	 	54_18, 585_18	 	 	590_28, 591_29	 	588	 	2650	 	 	 
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	 	 	 	 	2526_5	 	2402_21	 	1221_18, 2525_18	 	 	2530_28, 2531_29	 	2528	 	975	 	 	 
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	 	 	 	 	2530_5	 	554_21	 	1700_18, 2531_18	 	 	2525_29, 2526_28	 	2528	 	472	 	 	 
Lactobacillus coleohominis 101-4-CHN (575594.3)	 	 	 	 	 	 	1055_15	 	1212_18	 	 	 	 	 	 	 	 	 	 
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	 	 	 	 	1462_5	 	2088_20	 	1463_18, 151_18	 	 	 	1461	 	 	555	 	 	 
Lactobacillus crispatus 125-2-CHN (575595.3)	 	 	 	 	 	 	922_21	 	1151_18	 	 	1748_28, 1749_29, 1984_26	 	 	 	 	 	 	 
Lactobacillus crispatus FB049-03 (883094.3)	 	 	 	 	 	 	160_21	 	2401_18	 	 	2138_29, 2139_28, 376_26	 	 	 	 	 	 	 
Lactobacillus crispatus FB077-07 (883092.3)	 	 	 	 	 	 	1032_21	 	1979_18	 	 	1250_26, 22_28, 23_29	 	 	 	 	 	 	 
Lactobacillus crispatus JV-V01 (491076.4)	 	 	 	 	 	 	594_21	 	1272_18	 	 	1565_28, 1566_29, 1809_26	 	 	 	 	 	 	 
Lactobacillus crispatus MV-1A-US (575596.3)	 	 	 	 	 	 	7_15	 	1055_18	 	 	2106_26, 669_29, 670_28	 	 	 	 	 	 	 
Lactobacillus crispatus MV-3A-US (575597.3)	 	 	 	 	 	 	233_21	 	596_18	 	 	1414_26, 2179_29, 2180_28	 	 	 	 	 	 	 
Lactobacillus crispatus ST1 (748671.3)	 	 	 	 	 	 	763_21	 	1873_18	 	 	561_26, 75_28, 76_29	 	 	 	 	 	 	 
Lactobacillus curvatus CRL 705 (1074451.3)	 	 	 	 	1557_5	 	1212_20	 	1556_18, 165_18, 846_18	 	 	 	 	 	 	965	 	 	 
Lactobacillus delbrueckii ZN7a-9 (1217420.3)	 	 	 	 	 	 	967_20	 	 	 	 	389_28, 390_29, 527_26	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus 2038 (353496.3)	 	 	 	 	 	 	671_15	 	 	 	 	128_29, 470_26	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	 	 	 	 	 	 	670_15	 	 	 	 	463_26	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	 	 	 	 	 	 	657_15	 	 	 	 	127_29, 454_26	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (1042399.3)	 	 	 	 	 	 	532_15	 	 	 	 	1564_29, 326_26	 	 	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ND02 (767455.3)	 	 	 	 	 	 	658_15	 	 	 	 	120_28, 121_29, 455_26	 	 	 	 	 	 	 
Lactobacillus fermentum 28-3-CHN (575599.3)	 	 	 	 	333_5	 	1374_21	 	332_18, 334_18	 	 	536_26, 537_29, 538_28, 781_26	212	 	 	 	 	 	 
Lactobacillus fermentum ATCC 14931 (525325.3)	 	 	 	 	472_5	 	909_15	 	471_18, 473_18	 	 	211_28, 212_29, 213_26, 99_26	1096	100	 	 	 	 	 
Lactobacillus fermentum CECT 5716 (712938.3)	 	 	 	 	934_5	 	496_15	 	933_18, 935_18, 936_18	 	 	1919_26, 2137_26, 2138_29, 2139_28	1080, 1081	1918	 	 	 	 	 
Lactobacillus fermentum F-6 (767453.3)	 	 	 	 	847_5	 	506_15	 	846_18, 848_18	 	 	1902_29, 1903_28	974	 	 	 	 	 	 
Lactobacillus fermentum IFO 3956 (334390.5)	 	 	 	 	883_5	 	533_15	 	882_18, 884_18	 	 	 	997	1680	 	 	 	 	 
Lactobacillus gasseri 202-4 (630527.3)	 	 	 	 	 	 	1391_15	 	977_18	 	 	452_28, 453_29, 454_26	 	 	 	 	 	 	 
Lactobacillus gasseri 224-1 (679196.3)	 	 	 	 	 	 	954_15	 	1603_18	 	 	1701_28, 1703_29, 1704_26	 	 	 	 	 	 	 
Lactobacillus gasseri ATCC 33323 (324831.13)	 	 	 	 	 	 	1214_15	 	1709_18	 	 	69_28, 70_29, 71_26	 	 	 	 	 	 	 
Lactobacillus gasseri JV-V03 (525326.3)	 	 	 	 	 	 	395_15	 	1758_18	 	 	1539_26, 1540_29, 1541_28	 	 	 	 	 	 	 
Lactobacillus gasseri K7 (1334627.3)	 	 	 	 	 	 	908_15	 	824_18	 	 	185_26, 186_29, 187_28	 	 	 	 	 	 	 
Lactobacillus gasseri SJ-9E-US (575603.3)	 	 	 	 	 	 	645_15	 	1483_18	 	 	1310_26, 1311_29, 1312_28	 	 	 	 	 	 	 
Lactobacillus gasseri SV-16A-US (575604.3)	 	 	 	 	 	 	669_15	 	1664_18	 	 	1482_26, 1483_29, 1484_28	 	 	 	 	 	 	 
Lactobacillus gastricus PS3 (1144300.3)	 	 	 	 	570_5	 	1893_20	 	571_18, 827_18	 	 	265_26, 266_29, 267_28	 	1519	 	 	 	 	 
Lactobacillus helveticus DPC 4571 (405566.6)	 	 	 	 	 	 	857_21	 	2137_18	 	 	109_28, 110_29, 613_26	 	 	 	 	 	 	 
Lactobacillus helveticus DSM 20075 (585520.4)	 	 	 	 	 	 	761_15	 	137_18	 	 	1069_26, 280_28, 281_29	 	 	 	 	 	 	 
Lactobacillus helveticus H10 (767462.3)	 	 	 	 	 	 	1514_15	 	2203_18	 	 	125_28, 126_29, 1742_26	 	 	 	 	 	 	 
Lactobacillus helveticus R0052 (880633.7)	 	 	 	 	 	 	811_15	 	75_18	 	 	2299_29, 2300_28, 562_26	 	 	 	 	 	 	 
Lactobacillus hilgardii ATCC 8290 (525327.3)	 	1372	 	1373_11, 1374_4	1375_5, 574_5	 	1183_21	 	1804_18, 573_18	 	 	1427_28, 1428_29, 1429_26, 796_26, 89_26	 	254	 	 	 	 	 
Lactobacillus iners AB-1 (713605.5)	 	 	 	 	 	 	753_15	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners ATCC 55195 (888801.3)	 	 	 	 	 	 	1085_15	 	 	 	 	375_29, 376_28	 	 	 	 	 	 	 
Lactobacillus iners DSM 13335 (525328.4)	 	 	 	 	 	 	357_15	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LEAF 2052A-d (879302.3)	 	 	 	 	 	 	59_15	 	 	 	 	121_28, 122_29	 	 	 	 	 	 	 
Lactobacillus iners LEAF 2053A-b (879301.3)	 	 	 	 	 	 	144_15	 	 	 	 	452_29, 453_28	 	 	 	 	 	 	 
Lactobacillus iners LEAF 2062A-h1 (879303.3)	 	 	 	 	 	 	52_15	 	 	 	 	826_29, 827_28	 	 	 	 	 	 	 
Lactobacillus iners LEAF 3008A-a (879304.3)	 	 	 	 	 	 	955_15	 	 	 	 	587_29	 	 	 	 	 	 	 
Lactobacillus iners LactinV 09V1-c (879299.3)	 	 	 	 	 	 	392_15	 	 	 	 	419_29, 420_28	 	 	 	 	 	 	 
Lactobacillus iners LactinV 11V1-d (879300.3)	 	 	 	 	 	 	209_15	 	 	 	 	1033_28, 1034_29	 	 	 	 	 	 	 
Lactobacillus iners SPIN 1401G (879295.3)	 	 	 	 	 	 	1059_20	 	 	 	 	192_28, 193_29	 	 	 	 	 	 	 
Lactobacillus iners SPIN 2503V10-D (879296.3)	 	 	 	 	 	 	971_15	 	 	 	 	801_28, 802_29	 	 	 	 	 	 	 
Lactobacillus iners UPII 143-D (928327.3)	 	 	 	 	 	 	437_15	 	 	 	 	980_29, 981_28	 	 	 	 	 	 	 
Lactobacillus iners UPII 60-B (928328.3)	 	 	 	 	 	 	517_15	 	 	 	 	1129_29, 1130_28	 	 	 	 	 	 	 
Lactobacillus jensenii 115-3-CHN (575605.3)	 	 	 	 	 	 	639_21	 	1186_18	 	 	1068_29, 1069_28, 107_26	100	 	 	 	 	 	 
Lactobacillus jensenii 269-3 (596325.3)	 	 	 	 	 	 	912_15	 	1043_18	 	 	1432_28, 1433_29, 248_26	246	 	 	 	 	 	 
Lactobacillus jensenii 27-2-CHN (575606.3)	 	 	 	 	 	 	642_21	 	899_18	 	 	1016_28, 1017_29, 585_26	575	 	 	 	 	 	 
Lactobacillus jensenii JV-V16 (525329.3)	 	 	 	 	 	 	236_21	 	748_18	 	 	349_26, 871_28, 872_29	356	 	 	 	 	 	 
Lactobacillus jensenii SJ-7A-US (575607.3)	 	 	 	 	 	 	643_15	 	1352_18	 	 	1069_28, 1070_29, 437_26	435	 	 	 	 	 	 
Lactobacillus johnsonii ATCC 33200 (525330.3)	 	 	 	 	 	 	646_15	 	1624_18	 	 	1461_26, 1462_29, 1463_28	 	 	 	 	 	 	 
Lactobacillus johnsonii DPC 6026 (909954.3)	 	 	 	 	 	 	1261_15	 	1771_18	 	 	95_28, 96_29, 97_26	 	 	 	 	 	 	 
