Organism	SerA	SerC	SerB	SerP	SerHS
Enterococcus faecium ATCC 8459 (1158600.4)	1616, 2048	 	 	 	1269_13, 255_13, 399_13
Enterococcus faecium Aus0004 (1155766.14)	1399, 2426, 2427	 	 	 	196_13, 351_13, 647_13
Enterococcus faecium C309 (1176489.3)	1086, 2406	 	 	 	1105_13, 1378_13, 3237_13
Enterococcus faecium C68 (565664.3)	2156	 	 	 	354_13, 467_13
Enterococcus faecium CRL1879 (1295527.3)	2260, 3005	 	 	 	117_13, 1982_13, 541_13
Enterococcus faecium Com12 (565662.4)	1771, 1984	 	 	 	1444_13, 879_13
Enterococcus faecium Com15 (565663.4)	1325, 2011	 	 	 	1749_13, 2416_13, 906_13
Enterococcus faecium D344SRF (565665.3)	228, 684	 	 	 	724_13, 812_13, 995_13
Enterococcus faecium E0045 (1138880.3)	1356, 2007	 	 	 	150_13, 1661_13, 1822_13
Enterococcus faecium E0120 (1138881.3)	2018, 2335	 	 	 	1195_13, 1554_13, 1694_13
Enterococcus faecium E0164 (1138882.3)	1702, 2018	 	 	 	1035_13, 1381_13
Enterococcus faecium E0269 (1138883.3)	1728, 1923	 	 	 	1351_13, 1489_13, 561_13
Enterococcus faecium E0333 (1138884.3)	1550, 2195	 	 	 	1260_13, 1792_13, 1939_13
Enterococcus faecium E0679 (1138885.3)	1115, 825	 	 	 	1591_13, 1887_13, 1979_13
Enterococcus faecium E0680 (1138886.3)	1627, 1837	 	 	 	1326_13, 159_13
Enterococcus faecium E0688 (1138887.3)	1309, 2082	 	 	 	1651_13, 1810_13, 839_13
Enterococcus faecium E1007 (1138888.3)	141, 455	 	 	 	1655_13, 1965_13, 2112_13
Enterococcus faecium E1039 (645663.4)	607, 645	 	 	 	1370_13, 2080_13, 2200_13
Enterococcus faecium E1050 (1138889.3)	1805, 2194	 	 	 	171_13, 311_13, 583_13
Enterococcus faecium E1071 (535205.4)	1893, 447	 	 	 	1191_13, 124_13, 583_13
Enterococcus faecium E1133 (1138890.3)	1635	 	 	 	1082_13, 1762_13
Enterococcus faecium E1162 (535206.4)	1577, 1842	 	 	 	171_13, 2116_13, 2144_13
Enterococcus faecium E1185 (1138891.3)	1617, 2121	 	 	 	161_13, 1926_13
Enterococcus faecium E1258 (1138892.3)	1850, 2198	 	 	 	1469_13, 1622_13, 559_13
Enterococcus faecium E1293 (1138893.3)	1822, 2166	 	 	 	194_13, 381_13, 671_13
Enterococcus faecium E1321 (1138930.3)	1655, 2518	 	 	 	1087_13, 1358_13, 2432_13
Enterococcus faecium E1392 (1138894.3)	2351, 2352, 2897	 	 	 	1252_13, 1396_13, 1753_13
Enterococcus faecium E1552 (1138895.3)	2025, 2350	 	 	 	1352_13, 1509_13, 178_13
Enterococcus faecium E1573 (1138896.3)	2299, 851	 	 	 	1383_13, 1524_13, 748_13
Enterococcus faecium E1574 (1138897.3)	1934, 2252	 	 	 	1116_13, 1472_13, 1612_13
Enterococcus faecium E1575 (1138898.3)	1807, 69	 	 	 	1321_13, 1646_13
Enterococcus faecium E1576 (1138899.3)	1745, 1939	 	 	 	1061_13, 51_13, 909_13
Enterococcus faecium E1578 (1138900.3)	1784, 2108	 	 	 	174_13, 315_13, 595_13
Enterococcus faecium E1590 (1138901.3)	2188, 81	 	 	 	1770_13, 803_13
Enterococcus faecium E1604 (1138902.3)	203, 522	 	 	 	1855_13, 2145_13, 2304_13
Enterococcus faecium E1613 (1138903.3)	2393, 404	 	 	 	1557_13, 1961_13, 2135_13
Enterococcus faecium E1620 (1138904.3)	1113, 1671	 	 	 	1934_13, 501_13, 753_13
Enterococcus faecium E1622 (1138905.3)	1850, 2171	 	 	 	1192_13, 1470_13, 1612_13
Enterococcus faecium E1623 (1138906.3)	1791, 2063	 	 	 	1001_13, 1140_13, 47_13
Enterococcus faecium E1626 (1138907.3)	1059, 2138	 	 	 	1377_13, 1680_13, 1827_13
Enterococcus faecium E1627 (1138908.3)	1890, 2084	 	 	 	1145_13, 1414_13, 1575_13
Enterococcus faecium E1630 (1138909.3)	1959, 2205	 	 	 	1480_13, 1637_13, 594_13
Enterococcus faecium E1634 (1138910.3)	2004, 2407	 	 	 	1087_13, 1710_13
Enterococcus faecium E1636 (544875.4)	1299, 379	 	 	 	1740_13, 2631_13, 667_13
Enterococcus faecium E1644 (1138931.3)	2135, 864	 	 	 	165_13, 586_13
Enterococcus faecium E1731 (1138913.3)	2238, 472	 	 	 	1453_13, 1601_13, 195_13
Enterococcus faecium E1861 (1138914.3)	1937, 2261	 	 	 	1141_13, 1445_13, 1598_13
Enterococcus faecium E1904 (1138915.3)	1908, 2000	 	 	 	1728_13, 2837_13, 829_13
Enterococcus faecium E1972 (1138916.3)	1481, 1798	 	 	 	165_13, 2072_13, 2271_13
Enterococcus faecium E2039 (1138917.3)	2030, 2234	 	 	 	1137_13, 1289_13, 1648_13
Enterococcus faecium E2071 (1138918.3)	2160, 839	 	 	 	150_13, 1628_13, 1780_13
Enterococcus faecium E2134 (1138919.3)	140, 504	 	 	 	1651_13, 1925_13, 2052_13
Enterococcus faecium E2297 (1138920.3)	1358, 1849	 	 	 	1539_13, 201_13, 495_13
Enterococcus faecium E2369 (1138932.3)	1612, 2040	 	 	 	1146_13, 1842_13
Enterococcus faecium E2560 (1138933.3)	2032, 2230	 	 	 	1306_13, 1440_13, 1748_13
Enterococcus faecium E2620 (1138921.3)	146, 450	 	 	 	1615_13, 2134_13
Enterococcus faecium E2883 (1138922.3)	2004, 2005, 612	 	 	 	12_13, 2290_13, 340_13
Enterococcus faecium E2966 (1138923.3)	2152, 739	 	 	 	173_13, 319_13, 983_13
Enterococcus faecium E3083 (1138924.3)	1951, 2272	 	 	 	1120_13, 1620_13
Enterococcus faecium E3346 (1138925.3)	1865, 2064	 	 	 	1046_13, 1385_13, 1544_13
Enterococcus faecium E3548 (1138926.3)	2137, 2472	 	 	 	1130_13, 1626_13
Enterococcus faecium E4215 (1138929.3)	1620, 1819	 	 	 	594_13, 923_13
Enterococcus faecium E4389 (1138934.3)	1267, 1769, 1770	 	 	 	1440_13, 2359_13, 991_13
Enterococcus faecium E6012 (1138935.3)	2032, 2385	 	 	 	1601_13, 1737_13, 183_13
Enterococcus faecium E6045 (1138936.3)	1052, 2438	 	 	 	323_13, 458_13, 765_13
Enterococcus faecium E8sv3 (1157443.3)	1791, 2103, 2104	 	 	 	160_13, 319_13, 608_13
Enterococcus faecium E980 (529885.3)	1164, 2108	 	 	 	1866_13, 2_13, 2603_13
Enterococcus faecium ERV1 (1134819.3)	2824, 76	 	 	 	151_13, 2439_13, 2713_13
Enterococcus faecium EnGen0305 (1158641.3)	2244, 2573	 	 	 	1590_13, 1880_13, 224_13
Enterococcus faecium EnGen0308 (1158642.3)	210, 509	 	 	 	1733_13, 2021_13, 2178_13
Enterococcus faecium EnGen0312 (1158652.3)	1975, 2547	 	 	 	1001_13, 2245_13, 2741_13
Enterococcus faecium EnGen0314 (1158646.3)	2011, 2589	 	 	 	173_13, 2285_13, 359_13
Enterococcus faecium EnGen0316 (1158647.3)	1478, 925	 	 	 	173_13, 363_13, 658_13
Enterococcus faecium EnGen0318 (1158648.3)	371, 938	 	 	 	1404_13, 174_13, 671_13
Enterococcus faecium EnGen0319 (1158649.3)	1145, 931	 	 	 	175_13, 364_13, 658_13
Enterococcus faecium EnGen0321 (1158650.3)	2582, 722	 	 	 	175_13, 2281_13, 366_13
Enterococcus faecium EnGen0323 (1158651.3)	1718, 2590	 	 	 	172_13, 1986_13, 702_13
Enterococcus faecium EnGen0375 (1138937.4)	2077, 2905	 	 	 	2631_13, 394_13, 599_13
Enterococcus faecium EnGen0376 (1138938.4)	1992, 2888	 	 	 	173_13, 2608_13, 368_13
Enterococcus faecium EnGen0377 (1138939.4)	1264, 2823	 	 	 	248_13, 539_13, 736_13
Enterococcus faecium F9730129-1 (1157479.3)	1211, 839	 	 	 	177_13, 2401_13, 299_13
Enterococcus faecium H17243 (1157444.3)	1036, 761	 	 	 	172_13, 1985_13, 314_13
Enterococcus faecium H17575 (1157446.3)	1829, 641	 	 	 	161_13, 2243_13, 321_13
Enterococcus faecium HF50104 (1157480.3)	1189, 800	 	 	 	162_13, 2593_13, 324_13
Enterococcus faecium HF50105 (1157481.3)	1571, 590	 	 	 	160_13, 2074_13, 320_13
Enterococcus faecium HF50106 (1157482.3)	2006, 589	 	 	 	162_13, 2400_13, 320_13
Enterococcus faecium HF50203 (1157483.3)	641, 956	 	 	 	161_13, 2280_13, 308_13
Enterococcus faecium HF50204 (1157484.3)	176, 2274	 	 	 	420_13, 579_13, 859_13
Enterococcus faecium HF50215 (1157485.3)	1199, 592	 	 	 	1529_13, 161_13, 322_13
Enterococcus faecium HM1071 (1157447.3)	1953, 552	 	 	 	208_13, 2600_13, 773_13
Enterococcus faecium HM1072 (1157487.3)	1100, 509	 	 	 	1478_13, 172_13, 2950_13
Enterococcus faecium HM1073 (1157486.3)	1341, 923	 	 	 	169_13, 2780_13, 371_13
Enterococcus faecium HM1074 (1157448.3)	2230, 517	 	 	 	1683_13, 1831_13, 191_13
Enterococcus faecium LCT-EF128 (1178528.3)	1734, 2047	 	 	 	171_13, 309_13, 582_13
Enterococcus faecium LCT-EF20 (1245477.3)	1041, 768	 	 	 	1607_13, 360_13, 73_13
Enterococcus faecium LCT-EF258 (1245478.3)	2000, 2186	 	 	 	364_13, 654_13, 840_13
Enterococcus faecium LCT-EF90 (1167697.3)	1358, 2091	 	 	 	362_13, 649_13, 834_13
Enterococcus faecium NRRL B-2354 (1104325.3)	1225, 2208	 	 	 	157_13, 301_13, 604_13
Enterococcus faecium PC4.1 (791161.5)	1518, 313	 	 	 	2257_13, 276_13
Enterococcus faecium S658-3 (1157451.3)	1883, 2105	 	 	 	159_13, 319_13, 609_13
Enterococcus faecium TC 6 (565666.3)	1788, 2239	 	 	 	2107_13, 336_13, 595_13
Enterococcus faecium TX0082 (749520.3)	1129, 2337	 	 	 	119_13, 2053_13, 847_13
Enterococcus faecium TX0133A (749521.3)	1811, 2636	 	 	 	1056_13, 1465_13, 1980_13
Enterococcus faecium TX0133B (749524.3)	885	 	 	 	1488_13, 515_13, 92_13
Enterococcus faecium TX0133C (749525.3)	874	 	 	 	1726_13, 2285_13, 2511_13
Enterococcus faecium TX0133a04 (749523.3)	2256, 932	 	 	 	1166_13, 1399_13, 1592_13
Enterococcus faecium TX1330 (525279.3)	2062, 2422	 	 	 	1183_13, 886_13
Enterococcus faecium U0317 (547468.4)	2056, 800	 	 	 	501_13, 535_13, 581_13
Enterococcus faecium UAA1007 (1158545.3)	2072, 2664	 	 	 	197_13, 2342_13, 324_13
Enterococcus faecium UAA1019 (1158547.3)	1560, 2867, 2868	 	 	 	197_13, 343_13, 637_13
Enterococcus faecium UAA1022 (1158548.3)	1526, 2324	 	 	 	158_13, 2030_13, 311_13
Enterococcus faecium UAA1023 (1158549.3)	1326, 2800	 	 	 	1563_13, 192_13, 939_13
Enterococcus faecium UAA1024 (1158550.3)	2313, 2523	 	 	 	1764_13, 193_13, 2044_13
Enterococcus faecium UAA1025 (1158551.3)	2477, 2741, 2742	 	 	 	200_13, 345_13, 906_13
Enterococcus faecium UAA1280 (1158553.3)	2071, 2799	 	 	 	185_13, 639_13
Enterococcus faecium UAA1433 (1158554.3)	1433, 658, 659	 	 	 	1167_13, 196_13, 335_13
Enterococcus faecium UAA1484 (1158555.3)	2504, 876	 	 	 	168_13, 2804_13, 314_13
Enterococcus faecium UAA210 (1158635.3)	520, 902	 	 	 	169_13, 1919_13, 387_13
Enterococcus faecium UAA407 (1158636.3)	1461, 345	 	 	 	171_13, 523_13, 752_13
Enterococcus faecium UAA430 (1158638.3)	2439, 854	 	 	 	172_13, 2136_13, 319_13
Enterococcus faecium UAA431 (1158639.3)	1638, 2282	 	 	 	1283_13, 165_13, 323_13
Enterococcus faecium UAA714 (1157453.3)	2240, 986	 	 	 	163_13, 2708_13, 411_13
Enterococcus faecium UAA715 (1157454.3)	1294, 2586	 	 	 	163_13, 321_13, 589_13
Enterococcus faecium UAA716 (1157455.3)	1840, 2156	 	 	 	171_13, 2576_13
Enterococcus faecium UAA718 (1157456.3)	1604, 1998	 	 	 	164_13, 2479_13, 321_13
Enterococcus faecium UAA719 (1157457.3)	1606, 2425	 	 	 	164_13, 2209_13, 305_13
Enterococcus faecium UAA720 (1157458.3)	1247, 973	 	 	 	319_13, 467_13, 762_13
Enterococcus faecium UAA721 (1157459.3)	2086, 2301	 	 	 	162_13, 1783_13, 327_13
Enterococcus faecium UAA722 (1157460.3)	1967, 2468	 	 	 	172_13, 307_13, 310_13, 583_13
Enterococcus faecium UAA723 (1157461.3)	1544, 644	 	 	 	194_13, 381_13, 946_13
Enterococcus faecium UAA724 (1157462.3)	2578, 720	 	 	 	1069_13, 194_13, 2305_13
Enterococcus faecium UAA725 (1157463.3)	1272, 909	 	 	 	178_13, 327_13, 633_13
Enterococcus faecium UAA825 (1157464.3)	1257, 900	 	 	 	173_13, 319_13, 626_13
Enterococcus faecium UAA909 (1157476.3)	1945, 2153	 	 	 	167_13, 2428_13
Enterococcus faecium UAA910 (1157477.3)	1603, 1755	 	 	 	165_13, 2598_13, 324_13
Enterococcus faecium UAA911 (1157478.3)	1231, 741	 	 	 	166_13
Enterococcus faecium UAA944 (1157465.3)	820, 969	 	 	 	174_13, 543_13
Enterococcus faecium UAA945 (1157488.3)	1170, 2521	 	 	 	306_13, 939_13
Enterococcus faecium UAA947 (1158541.3)	1342, 2467	 	 	 	174_13, 2006_13, 2299_13
Enterococcus faecium UAA949 (1158644.3)	1146, 660	 	 	 	179_13, 874_13
Enterococcus faecium UAA950 (1158645.3)	1074, 897	 	 	 	210_13, 2506_13
Enterococcus faecium UAA951 (1158543.3)	147, 2255	 	 	 	2533_13, 576_13
Enterococcus faecium UAA952 (1158544.3)	2311, 909	 	 	 	183_13, 333_13, 630_13
Enterococcus faecium UC7251 (1328870.3)	1498, 2513	 	 	 	1179_13, 1578_13, 2062_13
Enterococcus faecium VAN 219 (1157466.3)	2374, 625	 	 	 	1103_13, 163_13, 299_13
Enterococcus faecium VAN 222 (1157467.3)	1964, 2294	 	 	 	166_13, 305_13, 685_13
Enterococcus faecium VAN 327 (1169279.3)	1939, 2373	 	 	 	182_13, 322_13, 624_13
Enterococcus faecium VAN 332 (1157468.3)	2216, 637	 	 	 	1010_13, 173_13, 378_13
Enterococcus faecium VAN 335 (1157469.3)	321, 742	 	 	 	1697_13, 1837_13, 2248_13
Enterococcus faecium VAN 342 (1157470.3)	536, 810	 	 	 	1293_13, 173_13, 355_13
Enterococcus faecium VAN 345 (1157471.3)	433, 951	 	 	 	1156_13, 1438_13, 173_13
Enterococcus faecium VAN 476 (1169278.3)	2124, 2333	 	 	 	313_13, 449_13, 765_13
Enterococcus faecium VRE 108 (1157472.3)	2482, 2779	 	 	 	166_13, 299_13, 606_13
Enterococcus faecium VRE 110 (1157473.3)	192, 49, 50	 	 	 	2828_13, 390_13, 537_13
Enterococcus faecium VRE 13 (1157474.3)	1972, 2627	 	 	 	167_13, 2314_13, 304_13
Enterococcus faecium VRE 84 (1157475.3)	1055, 1266	 	 	 	172_13, 321_13, 635_13
Enterococcus gallinarum EG2 (565653.4)	1175, 2496, 2599, 304, 414, 704, 785	2495_2	 	 	 
Enterococcus hirae ATCC 9790 (768486.3)	2643, 7	 	 	 	1185_13, 266_13, 778_13
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	2654, 2725, 3123, 3342, 3351	3341_2	 	 	 
Enterococcus saccharolyticus 30_1 (742813.4)	1047, 1048, 2074, 2437, 534, 63, 660, 958	2438_2	 	 	 
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	1274, 1318, 244, 2473, 437	2474_2	 	 	 
Enterococcus sp. 7L76 (657310.3)	2122	 	 	 	2335_13
Lactobacillus acidophilus 30SC (891391.3)	 	 	 	 	2023_13, 469_13
Lactobacillus acidophilus ATCC 4796 (525306.3)	 	 	 	 	150_13, 1653_13
Lactobacillus acidophilus La-14 (1314884.3)	 	 	 	 	1832_13, 446_13
Lactobacillus amylolyticus DSM 11664 (585524.3)	 	 	 	 	1073_13, 569_13
Lactobacillus amylovorus GRL 1112 (695560.3)	 	 	 	 	2043_13, 485_13
Lactobacillus amylovorus GRL1118 (695562.4)	 	 	 	 	1850_13, 445_13
Lactobacillus animalis KCTC 3501 (930942.3)	 	416_2	 	 	552_13, 563_13, 8_13
Lactobacillus antri DSM 16041 (525309.3)	1287, 1673	1674_2	 	 	1148_13, 1149_13, 1766_13
Lactobacillus brevis KB290 (1001583.3)	 	 	 	2452_12	868_13, 907_13
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	1397, 1600, 1945, 2300, 891, 934, 97	98_2	 	 	1272_13, 2102_13, 2473_13, 267_13, 758_13, 796_13
Lactobacillus buchneri ATCC 11577 (525318.3)	1012, 15, 1612, 1690, 2186, 637, 665	16_2	 	 	157_13, 1928_13, 2359_13, 526_13, 984_13, 985_13
Lactobacillus buchneri CD034 (1071400.3)	1608, 2121, 2277, 311, 59, 645, 66, 828	312_2	 	 	1043_13, 13_13, 1356_13, 155_13, 425_13
Lactobacillus buchneri NRRL B-30929 (511437.3)	1698, 2205, 2370, 261, 344, 717, 896	345_2	 	 	1045_13, 1369_13, 177_13, 468_13, 75_13
Lactobacillus casei 12A (1051650.4)	1428	 	 	 	867_13
Lactobacillus casei 21/1 (1051651.3)	1471, 3119	 	 	 	1060_13
Lactobacillus casei 32G (1051652.3)	1693, 1694	 	 	 	1127_13, 1128_13, 1129_13
Lactobacillus casei ATCC 334 (321967.11)	 	 	 	 	1005_13
Lactobacillus casei BD-II (998820.3)	1664	 	 	 	1149_13
Lactobacillus casei BL23 (543734.4)	1605	 	 	 	1113_13
Lactobacillus casei CRF28 (1051654.3)	1400, 196	 	 	 	969_13
Lactobacillus casei LC2W (999378.3)	1618	 	 	 	1160_13
Lactobacillus casei Lc-10 (1051655.5)	1474	 	 	 	972_13
Lactobacillus casei Lpc-37 (1051656.3)	2839, 413	 	 	 	1026_13
Lactobacillus casei M36 (1051657.3)	1774, 713	 	 	 	1212_13
Lactobacillus casei T71499 (1051658.3)	1560	 	 	 	1064_13
Lactobacillus casei UCD174 (1051659.3)	1621	 	 	 	1088_13
Lactobacillus casei UW1 (1051660.3)	1502, 2995	 	 	 	1025_13
Lactobacillus casei UW4 (1051661.3)	1421, 2764	 	 	 	971_13
Lactobacillus casei W56 (1215914.3)	1726	 	 	 	1203_13
Lactobacillus casei str. Zhang (498216.5)	1376	 	 	 	913_13
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	30	 	 	 	449_13
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	1013, 1119	 	 	 	418_13
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	380	 	 	 	2276_13
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	1204	 	 	 	916_13
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	1339, 2778	 	 	 	1410_13
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	3077, 50	 	 	 	1403_13
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	739	 	 	 	1735_13
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	960	 	 	 	2465_13
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	1105	 	 	 	1775_13
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	2522	 	 	 	2425_13
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	2131, 2381	 	 	 	1546_13
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	1091	 	 	 	2366_13
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	180, 2671	 	 	 	855_13
Lactobacillus coleohominis 101-4-CHN (575594.3)	 	 	 	 	1664_13, 321_13
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	1345, 2101, 2306, 2499, 2801, 2806	1346_2	 	2673_12	1603_13, 2008_13
Lactobacillus crispatus 125-2-CHN (575595.3)	 	 	 	 	1117_13, 1931_13
Lactobacillus crispatus FB049-03 (883094.3)	 	 	 	 	2367_13, 482_13
Lactobacillus crispatus FB077-07 (883092.3)	 	 	 	 	1358_13, 2015_13
Lactobacillus crispatus JV-V01 (491076.4)	 	 	 	 	1226_13, 1838_13
Lactobacillus crispatus MV-1A-US (575596.3)	 	 	 	 	2032_13, 796_13
Lactobacillus crispatus MV-3A-US (575597.3)	 	 	 	 	1275_13, 370_13
Lactobacillus crispatus ST1 (748671.3)	 	 	 	 	1912_13, 444_13
Lactobacillus curvatus CRL 705 (1074451.3)	 	 	 	 	 
Lactobacillus delbrueckii ZN7a-9 (1217420.3)	737, 974, 975	976_2	 	 	1534_13
Lactobacillus delbrueckii subsp. bulgaricus 2038 (353496.3)	1080, 965, 966	967_2	 	 	1659_13
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	 	937_2	 	 	1604_13
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	916, 917	918_2, 919_2	 	 	1627_13
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (1042399.3)	12, 13, 776	777_2	 	 	1063_13
Lactobacillus delbrueckii subsp. bulgaricus ND02 (767455.3)	1000, 932	933_2	 	 	1704_13
Lactobacillus fermentum 28-3-CHN (575599.3)	232, 26, 620	27_2	 	 	1457_13, 474_13
Lactobacillus fermentum ATCC 14931 (525325.3)	1116, 493, 580	494_2	 	 	1333_13, 726_13
Lactobacillus fermentum CECT 5716 (712938.3)	1058, 2302, 2303, 885, 886	884_2	 	 	1206_13, 1674_13, 1675_13, 1676_13, 1677_13, 1825_13
Lactobacillus fermentum F-6 (767453.3)	2004, 805, 947	804_2	 	 	1488_13, 74_13
Lactobacillus fermentum IFO 3956 (334390.5)	 	842_2	 	 	1488_13, 73_13
Lactobacillus gasseri 202-4 (630527.3)	 	 	 	 	496_13, 690_13
Lactobacillus gasseri 224-1 (679196.3)	 	 	 	 	1741_13, 457_13
Lactobacillus gasseri ATCC 33323 (324831.13)	 	 	 	 	102_13, 1540_13
Lactobacillus gasseri JV-V03 (525326.3)	 	 	 	 	1_13, 1503_13
Lactobacillus gasseri K7 (1334627.3)	 	 	 	 	150_13
Lactobacillus gasseri SJ-9E-US (575603.3)	 	 	 	 	1279_13, 938_13
Lactobacillus gasseri SV-16A-US (575604.3)	 	 	 	 	1085_13, 1450_13
Lactobacillus gastricus PS3 (1144300.3)	1189	1190_2	 	 	1031_13, 643_13
Lactobacillus helveticus DPC 4571 (405566.6)	52	51_2	 	 	2160_13, 503_13
Lactobacillus helveticus DSM 20075 (585520.4)	 	 	 	 	101_13, 1159_13, 453_13
Lactobacillus helveticus H10 (767462.3)	2308, 691	 	 	 	1843_13, 2222_13
Lactobacillus helveticus R0052 (880633.7)	1640	 	 	 	37_13, 457_13, 458_13
Lactobacillus hilgardii ATCC 8290 (525327.3)	1093, 178, 1887, 1912, 274, 829	275_2	 	 	1003_13, 1237_13, 152_13, 1955_13, 409_13
Lactobacillus iners AB-1 (713605.5)	 	 	 	 	1202_13
Lactobacillus iners ATCC 55195 (888801.3)	 	 	 	 	655_13
Lactobacillus iners DSM 13335 (525328.4)	 	 	 	 	166_13
Lactobacillus iners LEAF 2052A-d (879302.3)	 	 	 	 	460_13
Lactobacillus iners LEAF 2053A-b (879301.3)	 	 	 	 	774_13
Lactobacillus iners LEAF 2062A-h1 (879303.3)	 	 	 	 	92_13
Lactobacillus iners LEAF 3008A-a (879304.3)	 	 	 	 	657_13
Lactobacillus iners LactinV 09V1-c (879299.3)	 	 	 	 	120_13
Lactobacillus iners LactinV 11V1-d (879300.3)	 	 	 	 	874_13
Lactobacillus iners SPIN 1401G (879295.3)	 	 	 	 	291_13
Lactobacillus iners SPIN 2503V10-D (879296.3)	 	 	 	 	241_13
Lactobacillus iners UPII 143-D (928327.3)	 	 	 	 	639_13
Lactobacillus iners UPII 60-B (928328.3)	 	 	 	 	268_13
Lactobacillus jensenii 115-3-CHN (575605.3)	 	 	 	 	1206_13
Lactobacillus jensenii 269-3 (596325.3)	1098	 	 	 	985_13
Lactobacillus jensenii 27-2-CHN (575606.3)	716	 	 	 	1488_13
Lactobacillus jensenii JV-V16 (525329.3)	 	 	 	 	1199_13
Lactobacillus jensenii SJ-7A-US (575607.3)	 	 	 	 	1479_13
Lactobacillus johnsonii ATCC 33200 (525330.3)	 	 	 	 	1_13
Lactobacillus johnsonii DPC 6026 (909954.3)	 	 	 	 	1595_13
Lactobacillus johnsonii FI9785 (633699.4)	 	 	 	 	1479_13
Lactobacillus johnsonii NCC 533 (257314.6)	 	 	 	 	112_13, 1592_13
Lactobacillus mucosae LM1 (1130798.3)	1053, 1440, 54, 710	53_2	 	 	1012_13, 190_13
Lactobacillus oris F0423 (944562.4)	1237	 	 	 	222_13, 223_13, 791_13
Lactobacillus oris PB013-T2-3 (908339.3)	1767	 	 	 	1545_13, 393_13, 394_13
Lactobacillus pentosus KCA1 (1136177.4)	1648, 2225	1649_2	 	2758_12, 2760_12, 3087_12	1180_13, 1761_13, 2784_13
Lactobacillus plantarum 16 (1327988.3)	184, 2266	185_2	 	337_12, 339_12, 425_12, 444_11	1452_13, 1817_13, 2699_13
Lactobacillus plantarum IPLA88 (1328309.5)	2751, 589	590_2	 	2559_12, 2576_11, 3105_12, 3107_12	2312_13, 2369_13, 2511_13, 2793_13
Lactobacillus plantarum JDM1 (644042.3)	186, 2261	187_2	 	331_12, 402_11	1529_13, 1886_13, 2705_13
Lactobacillus plantarum UCMA 3037 (1284223.3)	1716, 2583	2584_2	 	2731_12, 2733_12, 2802_12, 2819_11	1036_13, 1296_13, 2404_13, 366_13
Lactobacillus plantarum WCFS1 (220668.9)	167, 2336	168_2	 	318_12, 414_11	1529_13, 1895_13, 2784_13
Lactobacillus plantarum ZJ316 (1284663.3)	1012, 2636, 406	407_2	 	1215_12, 1218_12, 620_12, 638_12	1774_13, 2197_13, 4_13
Lactobacillus plantarum subsp. plantarum ATCC 14917 (525338.3)	139, 745	140_2	 	287_12, 347_12, 363_11	1236_13, 2262_13, 421_13
Lactobacillus plantarum subsp. plantarum NC8 (1036177.3)	2919, 784	785_2	 	1015_12, 1033_12, 937_12, 939_12, 940_12, 944_12, 947_12	2126_13, 2541_13, 314_13
Lactobacillus plantarum subsp. plantarum P-8 (767468.48)	175, 2286	176_2	 	328_12, 375_12, 393_11	1407_13, 1836_13, 2720_13, 2992_13
Lactobacillus plantarum subsp. plantarum ST-III (889932.4)	171, 2335	172_2	 	322_12, 389_12, 408_12, 992_12, 995_12	1483_13, 1891_13, 2797_13
Lactobacillus reuteri 100-23 (349123.6)	 	 	 	 	1212_13, 433_13
Lactobacillus reuteri ATCC 53608 (927703.3)	 	 	 	 	1307_13, 1392_13
Lactobacillus reuteri CF48-3A (525341.3)	 	 	 	 	300_13, 755_13
Lactobacillus reuteri I5007 (1340495.3)	 	 	 	 	1862_13, 664_13
Lactobacillus reuteri JCM 1112 (557433.4)	 	 	 	 	102_13, 1352_13
Lactobacillus reuteri MM4-1A (548485.3)	 	 	 	 	1567_13, 244_13
Lactobacillus reuteri SD2112 (491077.3)	 	 	 	 	1345_13, 362_13
Lactobacillus reuteri lpuph (863368.3)	 	 	 	 	1404_13, 602_13
Lactobacillus rhamnosus ATCC 21052 (1002365.5)	1664, 497, 627	 	 	 	1529_13
Lactobacillus rhamnosus ATCC 8530 (1088720.3)	1421, 2879, 400	 	 	 	976_13
