Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	2302_2	 	 	 	 	 	 	 	 	1483_18	 	 	2572_22, 2573_23, 2574_26, 2575_25, 2576_24	2748_27, 2835_27	 
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	408_2	 	 	 	 	 	 	 	 	1962_18	 	 	1507_24, 1508_25, 1509_26, 1510_23, 1511_22	1234_27, 2291_27	 
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	2579_2	 	 	 	 	 	 	 	 	382_18	 	 	635_24, 636_25, 637_26, 638_23, 639_22	154_27, 2420_27	 
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	2266_2	 	 	 	 	 	 	 	 	1955_18	 	 	1822_24, 1823_25, 1824_26, 1825_23, 1826_22	1439_27	 
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	1299_2	 	 	 	 	 	 	 	 	938_18	 	 	2555_22, 2556_23, 2557_26, 2558_25, 2559_24	2310_27	 
Lactobacillus coleohominis 101-4-CHN (575594.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	2108_1	 	 	2204_7, 2205_6	2203	2207, 956	94	91_16, 92_15	93	2111_18	 	 	496_24, 497_25, 498_26, 499_23, 500_22	122_27, 1876_27	 
Lactobacillus crispatus 125-2-CHN (575595.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	123_27, 84_27	 
Lactobacillus crispatus FB049-03 (883094.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1244_27, 4_27	 
Lactobacillus crispatus FB077-07 (883092.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	861_27	 
Lactobacillus crispatus JV-V01 (491076.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	1406_27, 428_27	 
Lactobacillus crispatus MV-1A-US (575596.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1700_27, 4_27	 
Lactobacillus crispatus MV-3A-US (575597.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	56_27, 59_27	 
Lactobacillus crispatus ST1 (748671.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	918_27	 
Lactobacillus curvatus CRL 705 (1074451.3)	1602_2	 	 	 	 	 	 	 	 	 	 	 	 	1622_27	 
Lactobacillus delbrueckii ZN7a-9 (1217420.3)	 	 	 	 	 	 	 	 	 	141_18	 	 	1073_22, 1074_23, 1075_26, 1076_25, 1077_24	116_27, 117_27, 118_27, 546_27	 
Lactobacillus delbrueckii subsp. bulgaricus 2038 (353496.3)	 	 	 	 	 	 	 	 	 	1229_18	 	 	 	1886_27, 443_27	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	 	 	 	 	 	 	 	 	 	1166_18	 	 	 	 	 
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	 	 	 	 	 	 	 	 	 	1187_18	 	 	 	1863_27	 
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (1042399.3)	 	 	 	 	 	 	 	 	 	264_18	 	 	 	1125_27	 
Lactobacillus delbrueckii subsp. bulgaricus ND02 (767455.3)	 	 	 	 	 	 	 	 	 	1258_18	 	 	 	429_27	 
Lactobacillus fermentum 28-3-CHN (575599.3)	 	 	 	 	 	148	 	153_15, 154_16	152	1172_18, 201_18	 	 	 	1243_27, 459_27	1046_30
Lactobacillus fermentum ATCC 14931 (525325.3)	 	 	 	 	 	 	 	 	 	1079_18, 799_18	 	 	 	1687_27, 713_27	1207_30
Lactobacillus fermentum CECT 5716 (712938.3)	 	 	 	 	 	 	 	1158_16, 1159_15	1160	1099_18, 1100_18, 330_18	 	 	 	238_27	1387_30
Lactobacillus fermentum F-6 (767453.3)	 	 	 	 	 	1058	702	1051_16, 1052_15	1053, 703	373_18, 991_18	 	 	 	 	1268_30
Lactobacillus fermentum IFO 3956 (334390.5)	 	 	 	 	 	 	 	1066_16, 1067_15	1068	1013_18, 380_18	 	 	 	 	1262_30
Lactobacillus gasseri 202-4 (630527.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1763_27, 4_27	 
Lactobacillus gasseri 224-1 (679196.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1330_27, 1680_27	 
Lactobacillus gasseri ATCC 33323 (324831.13)	 	 	 	 	 	 	 	 	 	 	 	 	 	49_27, 926_27	 
Lactobacillus gasseri JV-V03 (525326.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1560_27, 593_27, 608_27	 
Lactobacillus gasseri K7 (1334627.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1096_27, 620_27, 634_27	 
Lactobacillus gasseri SJ-9E-US (575603.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1332_27, 364_27	 
Lactobacillus gasseri SV-16A-US (575604.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1503_27, 378_27	 
Lactobacillus gastricus PS3 (1144300.3)	 	 	 	1564_6, 1565_6	1563	1566	948	1433_16, 1434_15	949	 	 	 	 	1110_27, 694_27	 
Lactobacillus helveticus DPC 4571 (405566.6)	 	 	 	 	 	 	 	 	 	1504_18	 	 	 	1252_27	 
Lactobacillus helveticus DSM 20075 (585520.4)	 	 	 	 	 	 	 	 	 	1653_18	 	 	 	1037_27	 
Lactobacillus helveticus H10 (767462.3)	 	 	 	 	 	 	 	 	 	834_18	 	 	 	1110_27, 96_27	 
Lactobacillus helveticus R0052 (880633.7)	 	 	 	 	 	 	 	 	 	1525_18	 	 	 	1218_27	 
Lactobacillus hilgardii ATCC 8290 (525327.3)	1786_1	 	 	1789_6	1790	1785	1973	1975_15, 1976_16	1974	2270_18, 2271_18	 	 	342_24, 343_25, 344_26, 345_23, 346_22	204_27, 205_27, 28_27	 
Lactobacillus iners AB-1 (713605.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners ATCC 55195 (888801.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	134_27	 
Lactobacillus iners DSM 13335 (525328.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus iners LEAF 2052A-d (879302.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1156_27	 
Lactobacillus iners LEAF 2053A-b (879301.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	466_27, 609_27	 
Lactobacillus iners LEAF 2062A-h1 (879303.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1239_27, 841_27	 
Lactobacillus iners LEAF 3008A-a (879304.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	133_27	 
Lactobacillus iners LactinV 09V1-c (879299.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	167_27	 
Lactobacillus iners LactinV 11V1-d (879300.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	785_27	 
Lactobacillus iners SPIN 1401G (879295.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	570_27	 
Lactobacillus iners SPIN 2503V10-D (879296.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	420_27	 
Lactobacillus iners UPII 143-D (928327.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	147_27	 
Lactobacillus iners UPII 60-B (928328.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1144_27, 818_27	 
Lactobacillus jensenii 115-3-CHN (575605.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1089_27	 
Lactobacillus jensenii 269-3 (596325.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1411_27	 
Lactobacillus jensenii 27-2-CHN (575606.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	996_27	 
Lactobacillus jensenii JV-V16 (525329.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	851_27	 
Lactobacillus jensenii SJ-7A-US (575607.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1247_27	 
Lactobacillus johnsonii ATCC 33200 (525330.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1483_27, 828_27	 
Lactobacillus johnsonii DPC 6026 (909954.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1081_27	 
Lactobacillus johnsonii FI9785 (633699.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	53_27, 999_27	 
Lactobacillus johnsonii NCC 533 (257314.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	1004_27, 56_27	 
Lactobacillus mucosae LM1 (1130798.3)	 	 	 	 	 	 	 	 	 	 	 	 	226_22, 227_23, 228_26, 229_25, 230_24	1344_27, 173_27	 
Lactobacillus oris F0423 (944562.4)	1723_2	 	 	 	 	 	 	 	 	 	 	 	 	1075_27, 1126_27	 
Lactobacillus oris PB013-T2-3 (908339.3)	978_2	 	 	 	 	 	 	 	 	 	 	 	 	745_27, 825_27	 
Lactobacillus pentosus KCA1 (1136177.4)	 	 	 	 	 	 	1110	1112_15, 1113_16	1111	1885_18	 	 	2404_24, 2405_25, 2406_26, 2407_23, 2408_22	1494_27, 2708_27, 2879_27	 
Lactobacillus plantarum 16 (1327988.3)	 	 	 	 	 	 	 	 	 	1945_18	 	 	2418_24, 2419_25, 2420_26, 2421_23, 2422_22	1790_27, 2789_27	 
Lactobacillus plantarum IPLA88 (1328309.5)	 	 	 	 	 	 	 	 	 	1641_18	 	 	2112_24, 2113_25, 2114_26, 2115_23, 2603_22	1905_27, 2069_27, 2706_27	 
Lactobacillus plantarum JDM1 (644042.3)	 	 	 	 	 	 	 	 	 	2007_18	 	 	2408_24, 2409_25, 2410_26, 2411_23, 2412_22	1860_27, 2788_27, 341_27	 
Lactobacillus plantarum UCMA 3037 (1284223.3)	 	 	 	 	 	 	 	 	 	1017_18	 	 	2114_24, 2115_25, 2116_26, 2117_23, 2118_22	1906_27, 2752_27	 
Lactobacillus plantarum WCFS1 (220668.9)	 	 	 	 	 	 	 	 	 	2016_18	 	 	2488_24, 2489_25, 2490_26, 2491_23, 2492_22	1869_27, 2884_27, 331_27	 
Lactobacillus plantarum ZJ316 (1284663.3)	 	 	 	 	 	 	 	 	 	2325_18	 	 	2795_24, 2796_25, 2797_26, 2798_23, 2799_22	2170_27, 567_27, 94_27	 
Lactobacillus plantarum subsp. plantarum ATCC 14917 (525338.3)	 	 	 	 	 	 	 	 	 	1737_18	 	 	2838_22, 2839_23, 2840_26, 2841_25, 2842_24	1823_27, 297_27, 509_27	 
Lactobacillus plantarum subsp. plantarum NC8 (1036177.3)	 	 	 	 	 	 	 	 	 	2672_18	 	 	19_24, 20_25, 21_26, 22_23, 23_22	2513_27, 406_27, 962_27	 
Lactobacillus plantarum subsp. plantarum P-8 (767468.48)	 	 	 	 	 	 	 	 	 	1965_18	 	 	2444_24, 2445_25, 2446_26, 2447_23, 2448_22	1806_27, 2814_27, 3019_27	 
Lactobacillus plantarum subsp. plantarum ST-III (889932.4)	 	 	 	 	 	 	 	 	 	2023_18	 	 	2495_24, 2496_25, 2497_26, 2498_23, 2499_22	1864_27, 2889_27, 336_27	 
Lactobacillus reuteri 100-23 (349123.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	899_27, 972_27	 
Lactobacillus reuteri ATCC 53608 (927703.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	801_27, 931_27	 
Lactobacillus reuteri CF48-3A (525341.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	168_27	 
Lactobacillus reuteri I5007 (1340495.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	227_27, 309_27	 
Lactobacillus reuteri JCM 1112 (557433.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	1738_27, 1867_27	 
Lactobacillus reuteri MM4-1A (548485.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	158_27, 479_27	 
Lactobacillus reuteri SD2112 (491077.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	228_27	 
Lactobacillus reuteri lpuph (863368.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	1288_27, 229_27	 
Lactobacillus rhamnosus ATCC 21052 (1002365.5)	 	 	 	 	 	 	 	 	 	2321_18	 	 	398_22, 399_23, 400_26, 401_25, 402_24	102_27, 770_27	 
Lactobacillus rhamnosus ATCC 8530 (1088720.3)	 	 	 	 	 	 	 	 	 	1946_18	 	 	298_22, 299_23, 300_26, 301_25, 302_24	284_27, 562_27	 
Lactobacillus rhamnosus GG (Prj:40637) (568703.30)	 	 	 	 	 	 	 	 	 	2036_18	 	 	313_22, 314_23, 315_26, 316_25, 317_24	298_27, 576_27	 
Lactobacillus rhamnosus HN001 (486408.6)	 	 	 	 	 	 	 	 	 	2132_18	 	 	2655_24, 2656_25, 2657_26, 2658_23, 2659_22	1088_27, 169_27	 
Lactobacillus rhamnosus LMS2-1 (525361.3)	 	 	 	 	 	 	 	 	 	2422_18	 	 	1756_22, 1757_23, 1758_26, 1759_25, 1760_24	1006_27, 2104_27	 
Lactobacillus rhamnosus LRHMDP2 (1203258.5)	 	 	 	 	 	 	 	 	 	494_18	 	 	4_22, 5_23, 6_26, 7_25, 8_24	248_27, 2480_27	 
Lactobacillus rhamnosus LRHMDP3 (1203259.4)	 	 	 	 	 	 	 	 	 	2223_18	 	 	2286_22, 2287_23, 2288_26, 2289_25, 2290_24	1006_27, 2643_27	 
Lactobacillus rhamnosus Lc 705 (568704.3)	 	 	 	 	 	 	 	 	 	1876_18	 	 	269_22, 270_23, 271_26, 272_25, 273_24	256_27, 521_27	 
Lactobacillus rhamnosus R0011 (880592.5)	 	 	 	 	 	 	 	 	 	2519_18	 	 	1670_22, 1671_23, 1672_26, 1673_25, 1674_24	1655_27, 1914_27	 
Lactobacillus ruminis ATCC 25644 (525362.3)	 	 	 	 	 	 	 	 	 	494_18	 	 	157_24, 158_25, 159_26, 160_23, 161_22	139_27, 269_27	 
Lactobacillus ruminis ATCC 27782 (1069534.5)	 	 	 	 	 	 	 	 	 	111_18, 68_18	 	 	1796_24, 1797_25, 1798_26, 1799_23, 1800_22	 	 
Lactobacillus ruminis SPM0211 (1040964.3)	 	 	 	 	 	 	 	 	 	1455_18	 	 	1002_22, 1003_23, 1004_26, 1005_25, 1006_24	1023_27	 
Lactobacillus sakei subsp. sakei 23K (314315.12)	559_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Lactobacillus salivarius ATCC 11741 (525364.3)	 	 	 	 	 	 	 	 	 	1754_18	 	 	 	 	 
Lactobacillus salivarius GJ-24 (1041521.3)	 	 	 	 	 	 	 	 	 	173_18	 	 	 	347_27	 
Lactobacillus salivarius NIAS840 (1029822.3)	 	 	 	 	 	 	 	 	 	215_18	 	 	 	613_27	 
Lactobacillus salivarius UCC118 (362948.14)	 	 	 	 	 	 	 	 	 	139_18	 	 	 	1732_27	 
Lactobacillus ultunensis DSM 16047 (525365.3)	 	 	 	 	 	 	 	 	 	77_18	 	 	 	2043_27, 513_27	 
Lactobacillus vaginalis ATCC 49540 (525366.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	116_27, 527_27, 655_27	 
Pediococcus acidilactici 7_4 (563194.3)	774_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Pediococcus acidilactici DSM 20284 (862514.3)	54_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Pediococcus acidilactici MA18/5M (1080365.4)	134_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Pediococcus pentosaceus ATCC 25745 (278197.12)	160_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Pediococcus pentosaceus IE-3 (1133596.3)	1512_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Leuconostoc gelidum JB7 (1229756.3)	 	 	 	 	 	 	254	256_15, 257_16	255	843_18	 	 	 	 	 
Leuconostoc gelidum KCTC 3527 (927691.3)	 	 	 	 	 	 	589	586_16, 587_15	588	974_18	 	 	 	 	 
Leuconostoc argentinum KCTC 3773 (886872.3)	 	 	 	 	 	 	 	 	 	648_18	 	 	1622_24, 1623_25, 1624_26, 1625_23, 1626_22, 1627_22	1630_27	 
Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (586220.3)	1290_1	 	 	1077_6, 1078_7	1079	 	1101	1103_15, 1104_16	1102, 1287, 1288	74_18	 	 	713_24, 714_25, 715_25, 717_26, 718_23, 719_22	260_27	 
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 (203120.7)	1914_3	 	 	1916_7, 1917_6	 	 	1988	1985_16, 1986_15	1912, 1987	1314_18	 	 	480_22, 481_23, 482_26, 483_25, 484_24	1431_27	845_29
Leuconostoc mesenteroides subsp. mesenteroides J18 (1107880.3)	1700_1	 	 	1702_7, 1703_6	1701	 	1778	1775_16, 1776_15	1698, 1777	1156_18	 	 	421_22, 422_23, 423_26, 424_25, 425_24	1272_27	 
Weissella cibaria KACC 11862 (911104.3)	 	 	 	 	 	 	 	 	 	2046_18	 	 	 	 	 
Weissella confusa LBAE C39-2 (1127131.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Weissella paramesenteroides ATCC 33313 (585506.3)	 	 	 	 	 	 	 	 	 	1853_18	 	 	 	 	 
Lactococcus garvieae 21881 (998087.5)	252_2	 	 	 	 	 	 	 	 	543_18	 	 	 	 	 
Lactococcus garvieae 8831 (913847.4)	63_2	 	 	 	 	 	 	 	 	1516_18	 	 	 	 	 
Lactococcus garvieae ATCC 49156 (420889.6)	1779_2	 	 	 	 	 	 	 	 	1040_18	 	 	 	 	 
Lactococcus garvieae DCC43 (1231377.3)	580_2	 	 	 	 	 	 	 	 	2081_18	 	 	 	 	 
Lactococcus garvieae I113 (1229517.3)	1393_2	 	 	 	 	 	 	 	 	1626_18	 	 	 	 	 
Lactococcus garvieae IPLA 31405 (1181234.4)	164_2	 	 	 	 	 	 	 	 	1175_18	 	 	 	 	 
Lactococcus garvieae LG9 (1091039.4)	2014_2	 	 	 	 	 	 	 	 	1180_18	 	 	 	 	 
Lactococcus garvieae Lg2 (420890.5)	1805_2	 	 	 	 	 	 	 	 	990_18	 	 	 	 	 
Lactococcus garvieae TB25 (1091040.5)	1884_2	 	 	 	 	 	 	 	 	1483_18	 	 	 	 	 
Lactococcus garvieae Tac2 (1229518.3)	1019_2	 	 	 	 	 	 	 	 	446_18	 	 	 	 	 
Lactococcus garvieae UNIUD074 (1017266.3)	234_2	 	 	 	 	 	 	 	 	1118_18	 	 	 	 	 
Lactococcus lactis subsp. cremoris CNCM I-1631 (1042402.4)	1353_1	 	 	1350_6, 1351_7	1352	1349	1343	1346_15, 1347_16	1344	697_18	 	 	 	182_27	 
Lactococcus lactis subsp. cremoris MG1363 (416870.9)	1316_1	 	 	1318_7, 1319_6	1317	1320	1327, 1328	1322_16, 1324_15	1325, 1326	1212_18	 	 	 	665_27	 
Lactococcus lactis subsp. cremoris NZ9000 (746361.3)	1325_1	 	 	1327_7, 1328_6	1326	1329	1336, 1337	1331_16, 1333_15	1334, 1335	1220_18	 	 	 	670_27	 
Lactococcus lactis subsp. cremoris UC509.9 (1111678.3)	1314_1	 	 	1310_6, 1311_6, 1312_7	1313	1308, 1309	1294	1303_15, 1304_15, 1306_16	1300	1375_18	 	 	 	710_27	 
Lactococcus lactis subsp. lactis CV56 (929102.3)	1236_3	 	 	1233_6, 1234_7	1235	1232	1226	1229_15, 1230_16	1227	1300_18	 	 	 	599_27	 
Lactococcus lactis subsp. lactis IO-1 (1046624.4)	1165_1	 	 	1162_6, 1163_7	1164	1161	1155	1158_15, 1159_16	1156	1293_18	 	 	 	579_27	 
Lactococcus lactis subsp. lactis Il1403 (272623.7)	1326_3	 	 	1323_6, 1324_7	1325	1322	1315, 1316	1319_15, 1320_16	1317	1391_18	 	 	 	 	 
Lactococcus lactis subsp. lactis KF147 (684738.3)	1288_1	 	 	1285_6, 1286_7	1287	1284	1278	1281_15, 1282_16	1279	1373_18	 	 	 	666_27	 
Lactococcus lactis subsp. lactis YF11 (1149132.3)	1117_1	 	 	1114_6, 1115_7	1116	1113	1106	1110_15, 1111_16	1107	1196_18	 	 	 	580_27	 
Lactococcus raffinolactis 4877 (1215915.3)	727_1	 	 	729_7, 730_6	728	731	1116	1112_16, 1113_15	1115	1980_18	 	 	1923_24, 1924_25, 1925_26, 1926_23	1981_27	 
Streptococcus agalactiae 09mas018883 (1309806.3)	 	 	 	 	 	 	 	 	 	1137_18	 	 	1546, 1547_25, 1548_26, 1549_23, 1550_22	1528_27, 1601_27	 
Streptococcus agalactiae BSU108 (1154833.3)	 	 	 	 	 	 	 	 	 	600_18	 	 	990_22, 991_23, 992_26, 993_25, 994_24	1013_27, 939_27	 
Streptococcus agalactiae BSU133 (1105233.3)	 	 	 	 	 	 	 	 	 	978_18	 	 	1930_22, 1931_23, 1932_26, 1933_25, 1934_24	1878_27, 1952_27	470_29
Streptococcus agalactiae BSU165 (1154831.3)	 	 	 	 	 	 	 	 	 	2010_18	 	 	157_22, 158_23, 159_26, 160_25, 161_24	481_27	225_29
Streptococcus agalactiae BSU174 (1105234.3)	 	 	 	 	 	 	 	 	 	1204_18	 	 	1633_22, 1634_23, 1635_26, 1636_25, 1637_24	1582_27	1019_29
Streptococcus agalactiae BSU178 (1154829.3)	 	 	 	 	 	 	 	 	 	794_18	 	 	437_22, 438_23, 439_26, 440_25, 441_24	385_27	534_29
Streptococcus agalactiae BSU247 (1154827.3)	 	 	 	 	 	 	 	 	 	2064_18	 	 	1270_22, 1271_23, 1272_26, 1273_25, 1274_24	1216_27, 1293_27	 
Streptococcus agalactiae BSU248 (1105279.3)	 	 	 	 	 	 	 	 	 	1924_18	 	 	688_24, 689_25, 690_26, 691_23, 692_22	743_27	 
Streptococcus agalactiae BSU252 (1105277.3)	 	 	 	 	 	 	 	 	 	1787_18	 	 	972_22, 973_23, 974_26, 975_25, 976	921_27, 994_27	1515_29
Streptococcus agalactiae BSU253 (1105281.3)	 	 	 	 	 	 	 	 	 	442_18	 	 	1734_24, 1735_25, 1736_26, 1737_23, 1738_22	1789_27	767_29
Streptococcus agalactiae BSU260 (1105231.3)	 	 	 	 	 	 	 	 	 	966_18	 	 	1943_22, 1944_23, 1945_26, 1946_25, 1947_24	1891_27	2172_29
Streptococcus agalactiae BSU442 (1154826.3)	 	 	 	 	 	 	 	 	 	880_18	 	 	1198_24, 1199_25, 1200_26, 1201_23, 1202_22	1253_27	283_29
Streptococcus agalactiae BSU447 (1105280.3)	 	 	 	 	 	 	 	 	 	1502_18	 	 	270_24, 271_25, 272_26, 273_23, 274_22	729_27	1414_29
Streptococcus agalactiae BSU450 (1154825.3)	 	 	 	 	 	 	 	 	 	179_18	 	 	319_22, 320_23, 321_26, 322_25, 323_24	1501_27, 2003_27	672_29
Streptococcus agalactiae BSU451 (1105232.3)	 	 	 	 	 	 	 	 	 	996_18	 	 	542_24, 543_25, 544_26, 545_23, 546_22	597_27	 
Streptococcus agalactiae BSU454 (1105278.3)	 	 	 	 	 	 	 	 	 	1374_18	 	 	1261_22, 1262_23, 1263_26, 1264_25, 1265_24	1210_27, 826_27	858_29
Streptococcus agalactiae BSU92 (1154832.3)	 	 	 	 	 	 	 	 	 	1877_18	 	 	1716_22, 1717_23, 1718_26, 1719_25, 1720	1665_27, 1738_27	1320_29
Streptococcus agalactiae BSU96 (1154830.3)	 	 	 	 	 	 	 	 	 	1764_18	 	 	1586_22, 1587_23, 1588_26, 1589_25, 1590_24	1535_27	 
Streptococcus agalactiae CCUG 17336 (1105253.3)	 	 	 	 	 	 	 	 	 	1760_18	 	 	472_24, 473_25, 474_26, 475_23, 476_22	527_27	 
Streptococcus agalactiae CCUG 19094 (1154807.3)	 	 	 	 	 	 	 	 	 	2000_18	 	 	928_22, 929_23, 930_26, 931_25, 932_24	877_27	1742_29
Streptococcus agalactiae CCUG 24810 (1154808.3)	 	 	 	 	 	 	 	 	 	1525_18	 	 	256_24, 257_25, 258_26, 259_23, 260_22	311_27	1233_29
Streptococcus agalactiae CCUG 25532 (1154809.3)	 	 	 	 	 	 	 	 	 	187_18	 	 	959_24, 960_25, 961_26, 962_23, 963_22	1014_27, 941_27	 
Streptococcus agalactiae CCUG 28551 (1105254.3)	 	 	 	 	 	 	 	 	 	54_18	 	 	1420_22, 1421_23, 1422_26, 1423_25, 1424	1575_27, 1634_27	781_29
Streptococcus agalactiae CCUG 29376 (1105255.3)	 	 	 	 	 	 	 	 	 	722_18	 	 	1587_24, 1588_25, 1589_26, 1590_23, 1591_22	1642_27	672_29
Streptococcus agalactiae CCUG 29782 (1105256.3)	 	 	 	 	 	 	 	 	 	1634_18	 	 	816_24, 817_25, 818_26, 819_23, 820_22	872_27	1205_29
Streptococcus agalactiae CCUG 30636 (1105257.3)	 	 	 	 	 	 	 	 	 	1108_18	 	 	589, 590_25, 591_26, 592_23, 593_22	571_27, 644_27	1656_29
Streptococcus agalactiae CCUG 37430 (1154810.3)	 	 	 	 	 	 	 	 	 	2064_18	 	 	3_24, 4_25, 5_26, 6_23, 7_22	701_27	 
Streptococcus agalactiae CCUG 37736 (1105258.3)	 	 	 	 	 	 	 	 	 	556_18	 	 	1152_22, 1153_23, 1154_26, 1155_25, 1156_24	1101_27	 
Streptococcus agalactiae CCUG 37737 (1154811.3)	 	 	 	 	 	 	 	 	 	1252_18	 	 	955_22, 956_23, 957_26, 958_25, 959_24	904_27	318_29
Streptococcus agalactiae CCUG 37738 (1154812.3)	 	 	 	 	 	 	 	 	 	1579_18	 	 	818_22, 819_23, 820_26, 821_25, 822_24	767_27	1081_29
Streptococcus agalactiae CCUG 37739 (1105259.3)	 	 	 	 	 	 	 	 	 	1959_18	 	 	1727_22, 1728_23, 1729_26, 1730_25, 1731_24	1675_27	1135_29
Streptococcus agalactiae CCUG 37740 (1105260.3)	 	 	 	 	 	 	 	 	 	 	 	 	610_22, 611_23, 612_26, 613_25, 614	559_27, 632_27	1078_29
Streptococcus agalactiae CCUG 37741 (1154813.3)	 	 	 	 	 	 	 	 	 	737_18	 	 	1453_24, 1454_25, 1455_26, 1456_23, 1457_22	1508_27	962_29
Streptococcus agalactiae CCUG 37742 (1154814.3)	 	 	 	 	 	 	 	 	 	1793_18	 	 	916_24, 917_25, 918_26, 919_23, 920_22	971_27	254_29
Streptococcus agalactiae CCUG 38383 (1154815.3)	 	 	 	 	 	 	 	 	 	1122_18	 	 	891_22, 892_23, 893_26, 894_25, 895_24	840_27	1548_29
Streptococcus agalactiae CCUG 39096 A (1154816.3)	 	 	 	 	 	 	 	 	 	889_18	 	 	1726_24, 1727_25, 1728_26, 1729_23, 1730_22	1781_27	349_29
Streptococcus agalactiae CCUG 44074 (1105262.3)	 	 	 	 	 	 	 	 	 	1238_18	 	 	1322_22, 1323_23, 1324_26, 1325_25, 1326_24	390_27	1646_29
Streptococcus agalactiae CCUG 44110 (1105264.3)	 	 	 	 	 	 	 	 	 	999_18	 	 	1398_22, 1399_23, 1400_26, 1401_25, 1402_24	1347_27	1547_29
Streptococcus agalactiae CCUG 44140 (1105265.3)	 	 	 	 	 	 	 	 	 	1083_18	 	 	750, 751_25, 752_26, 753_23, 754_22	732_27, 805_27	1953_29
Streptococcus agalactiae CCUG 44186 (1105266.3)	 	 	 	 	 	 	 	 	 	979_18	 	 	387_24, 388_25, 389_26, 390_23, 391_22	442_27	 
Streptococcus agalactiae CCUG 45061 (1105267.3)	 	 	 	 	 	 	 	 	 	12_18	 	 	558_22, 559_23, 560_26, 561_25, 562_24	507_27	2190_29
Streptococcus agalactiae CCUG 47293 (1105268.3)	 	 	 	 	 	 	 	 	 	819_18	 	 	2016_22, 2017_23, 2018_26, 2019_25, 2020_24	1964_27	777_29
