Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Enterococcus faecalis B4674 (1157410.3)	1264_1	1263	1261	2546_10, 3092_10, 782_10	 	1265_13	1262_15	1973_21, 3007_21, 616_21	 	 	 	 	372_29
Enterococcus faecalis B4969 (1157411.3)	1524_1	1523	1521	1040_10, 242_10, 2857_10	 	1525_13	1522_15	157_21, 2236_21, 871_21	 	 	 	 	627_29
Enterococcus faecalis B5035 (1158632.3)	1585_1	1584	1582	1104_10, 240_10, 2883_10	 	1586_13	1583_15	156_21, 2293_21, 938_21	 	 	 	 	694_29
Enterococcus faecalis B5076 (1157412.3)	1438_1	1437	1435	240_10, 2667_10, 954_10	 	1439_13	1436_15	157_21, 2085_21, 789_21	 	 	 	 	546_29
Enterococcus faecalis B56765 (1151188.3)	1193_1	1194	1196	1683_10, 2795_10, 3165_10	 	1192_13	1195_15	1058_18, 2274_21, 3071_21, 557_21	 	 	 	 	2030_29
Enterococcus faecalis B594 (1157365.3)	1514_1	1513	1511	1033_10, 238_10, 2793_10	 	1515_13	1512_15	155_21, 2221_21, 866_21	 	 	 	 	622_29
Enterococcus faecalis B653 (1169309.3)	1224_1	1223	1221	217_10, 2336_10, 804_10	 	1225_13	1222_15	137_21, 1721_21, 635_21	 	 	 	 	382_29
Enterococcus faecalis B69486 (1151189.3)	1199_1	1200	1202	1691_10, 2806_10, 3089_10	 	1198_13	1201_15	1860_21, 2709_21, 482_21	 	 	 	 	2107_29
Enterococcus faecalis B84847 (1151190.3)	499_1	498	496	13_10, 2510_10, 2787_10	 	500_13	497_15	1080_21, 2051_21, 2706_21	 	 	 	 	1819_29
Enterococcus faecalis B878 (1157366.3)	1486_1	1485	1483	1006_10, 212_10, 2821_10, 2860_10	 	1487_13	1484_15	129_21, 2197_21, 839_21	 	 	 	 	595_29
Enterococcus faecalis B939 (1157367.3)	1495_1	1494	1492	1014_10, 241_10, 2831_10	 	1496_13	1493_15	156_21, 2207_21, 849_21	 	 	 	 	606_29
Enterococcus faecalis C19315WT (1151191.3)	1457_1	1456	1454_9	233_10, 2708_10, 999_10	 	1458_13	1455_15	151_21, 2179_21, 832_21	 	 	 	 	588_29
Enterococcus faecalis CH116 (1158660.3)	1495_1	1494	1492_9	265_10	 	1496_13	1493_15	160_21, 2088_21, 904_21	 	 	 	 	661_29
Enterococcus faecalis CH136 (1158661.3)	1447_1	1446	1444_9	266_10	 	1448_13	1445_15	160_21, 2039_21, 860_21	 	 	 	 	619_29
Enterococcus faecalis CH188 (565644.5)	1136_1	1135	1133_9	257_10	 	1137_13	1134_15	156_21, 1806_21, 663_21	 	 	 	 	427_29
Enterococcus faecalis CH19 (1158627.3)	1464_1	1463	1461_9	266_10	 	1465_13	1462_15	161_21, 2060_21, 878_21	 	 	 	 	636_29
Enterococcus faecalis CH570 (1158656.3)	1568_1	1567	1565	1082_10, 2872_10, 325_10	 	1569_13	1566_15	2229_21, 230_21, 915_21	 	 	 	 	667_29
Enterococcus faecalis Com 2 (1158633.3)	1519_1	1518	1516	296_10	 	1520_13	1517_15	2068_21, 882_21	 	 	 	 	601_29
Enterococcus faecalis Com 6 (1158634.3)	1334_1	1333	1331	1335_10_13, 2370_10, 251_10, 862_10	 	1335_10_13	1332_15	1467_18, 153_21, 1932_21, 689_21	 	 	 	 	426_29
Enterococcus faecalis Com1 (1158671.3)	1495_1	1494	1492	296_10	 	1496_13	1493_15	2044_21, 885_21	 	 	 	 	603_29
Enterococcus faecalis Com7 (1169306.3)	1425_1	1424	1422	230_10, 2542_10, 996_10	 	1426_13	1423_15	147_21, 2031_21, 2502_16_21, 2502_16_21, 752_21	 	 	 	 	477_29
Enterococcus faecalis D1 (1169247.3)	1421_1	1420	1418_9	244_10, 2542_10	 	1422_13	1419_15	160_21, 1979_21, 756_21	 	 	 	 	507_29
Enterococcus faecalis D173 (1169310.3)	1438_1	1437	1435	281_10, 942_10	 	1439_13	1436_15	1964_21, 198_21, 2477_16_21, 2477_16_21, 767_21	 	 	 	 	513_29
Enterococcus faecalis D3 (1169288.3)	1590_1	1589	1587_9	1153_10, 1591_10_13, 233_10, 2653_10	 	1591_10_13	1588_15	2149_21, 705_21	 	 	 	 	457_29
Enterococcus faecalis D32 (1206105.3)	1323_1	1322	1320	194_10, 2569_10	 	1324_13	1321_15	110_21, 2015_21, 712_21	 	 	 	 	458_29
Enterococcus faecalis D6 (565650.5)	2109_1	2110	2112	2024_10, 2108_10_13, 2355_10	 	2108_10_13	2111_15	1002_18, 1400_21, 525_21	 	 	 	 	292_29
Enterococcus faecalis DAPTO 512 (749489.3)	1788_1	1787	1785	2738_10	 	1789_13	1786_15	1285_21, 2821_21, 467_21	 	 	 	 	257_29
Enterococcus faecalis DAPTO 516 (749490.3)	1178_1	1177	1175	297_10	 	1179_13	1176_15	2220_21, 2604_21, 550_21	 	 	 	 	341_29
Enterococcus faecalis DS16 (1158677.3)	1320_1	1319	1317	2364_10, 247_10	 	1321_13	1318_15	151_21, 1872_21, 689_21	 	 	 	 	427_29
Enterococcus faecalis DS5 (565643.5)	2121_1	2120	2118	365_10	 	2122_13	2119_15	1066_21, 232_21, 452_21	 	 	 	 	1306_29
Enterococcus faecalis E1 (1158673.3)	1450_1	1449	1447	249_10, 2495_10	 	1451_13	1448_15	152_21, 2001_21, 812_21	 	 	 	 	564_29
Enterococcus faecalis E1Sol (565647.5)	1825_1	1826	1828	1220_10, 320_10	 	1824_13	1827_15	1139_21, 1322_21, 490_21	 	 	 	 	776_29
Enterococcus faecalis E99 (1169284.3)	1525_1	1524	1522	255_10	 	1526_13	1523_15	166_21, 2154_21, 876_21	 	 	 	 	587_29
Enterococcus faecalis ERV103 (1134785.3)	726_1	727	729	111_10, 2742_10	 	725_13	728_15	257_21, 312_21, 4_16_21, 4_16_21	 	 	 	 	1192_29
Enterococcus faecalis ERV116 (1134786.3)	2118_1	2117	2115	1459_10, 523_10	 	2119_13	2116_15	1315_21, 1499_16_21, 1499_16_21, 152_21	 	 	 	 	1581_29
Enterococcus faecalis ERV129 (1134787.3)	1175_1	1174	1172	1628_10, 467_10	 	1176_13	1173_15	427_16_21, 427_16_21, 511_21, 727_21	 	 	 	 	324_29
Enterococcus faecalis ERV25 (1134788.3)	725_1	726	728	119_10, 2487_10	 	724_13	727_15	160_16_21, 160_16_21, 59_21, 886_21	 	 	 	 	205_29
Enterococcus faecalis ERV31 (1134789.3)	1121_1	1120	1118	130_10, 2351_10	 	1122_13	1119_15	170_16_21, 170_16_21, 232_21, 543_21	 	 	 	 	329_29
Enterococcus faecalis ERV37 (1134790.3)	2795_1	2794	2792	1035_10, 2578_10	 	2796_13	2793_15	1617_21, 621_21	 	 	 	 	333_29
Enterococcus faecalis ERV41 (1134791.3)	1242_1	1243	1245	17_10, 838_10	 	1241_13	1244_15	1893_21, 2885_16_21, 2885_16_21, 37_21	 	 	 	 	1458_29
Enterococcus faecalis ERV62 (1134792.3)	614_1	613	611	2105_10, 2637_10	 	615_13	612_15	1020_21, 1311_21, 452_16_21, 452_16_21	 	 	 	 	297_29
Enterococcus faecalis ERV63 (1134793.3)	901_1	902	904	2377_10, 59_10	 	900_13	903_15	1586_16_21, 1586_16_21, 437_21, 649_21	 	 	 	 	255_29
Enterococcus faecalis ERV65 (1134794.3)	1323_1	1322	1320	1107_10, 525_10	 	1324_13	1321_15	1717_21, 2265_21, 975_16_21, 975_16_21	 	 	 	 	876_29
Enterococcus faecalis ERV68 (1134795.3)	1344_1	1345	1347	2752_10, 3059_10	 	1343_13	1346_15	1534_21, 2043_21, 405_16_21, 405_16_21	 	 	 	 	1028_29
Enterococcus faecalis ERV72 (1134796.3)	1434_1	1435	1437	2437_10, 764_10	 	1433_13	1436_15	1821_21, 2211_16_21, 2211_16_21, 394_21	 	 	 	 	1679_29
Enterococcus faecalis ERV81 (1134798.3)	2826_1	2827	2829	2517_10, 766_10	 	2825_13	2828_15	1018_21, 667_21, 725_16_21, 725_16_21	 	 	 	 	201_29
Enterococcus faecalis ERV85 (1134799.3)	2194_1	2193	2191	732_10, 839_10	 	2195_13	2192_15	1653_21, 226_16_21, 226_16_21, 498_21	 	 	 	 	57_29
Enterococcus faecalis ERV93 (1134800.3)	1377_1	1378	1380	2352_10, 384_10	 	1376_13	1379_15	1632_21, 474_16_21, 474_16_21, 504_21	 	 	 	 	253_29
Enterococcus faecalis EnGen0253 (1158540.3)	1404_1	1403	1401	242_10, 2591_10	 	1405_13	1402_15	159_21, 1930_21, 782_21	 	 	 	 	532_29
Enterococcus faecalis F1 (1169297.3)	1535_1	1534	1532	1100_10, 231_10, 2630_10	 	1536_13	1533_15	147_21, 2085_21, 2536_16_21, 2536_16_21, 864_21	 	 	 	 	587_29
Enterococcus faecalis FA2-2 (1158622.3)	1790_1	1789	1787	1298_10, 258_10	 	1791_13	1788_15	1129_21, 149_21, 2370_21, 492_16_21, 492_16_21	 	 	 	 	875_29
Enterococcus faecalis Fly 2 (1169303.3)	1310_1	1309	1307_9	2266_10, 290_10, 894_10	 	1311_13	1308_15	1828_21, 203_21, 714_21	 	 	 	 	454_29
Enterococcus faecalis Fly1 (565649.5)	1859_1	1860	1862_9	1121_10, 1858_10_13	 	1858_10_13	1861_15	1329_21, 579_21	 	 	 	 	850_29
Enterococcus faecalis HEF39 (1157368.3)	1446_1	1445	1443	1447_10_13, 2505_10, 269_10	 	1447_10_13	1444_15	1601_18, 2009_21, 839_21	 	 	 	 	599_29
Enterococcus faecalis HH22 (491075.3)	400_1	399	397	12_10, 2039_10, 2259_10	 	401_13	398_15	1525_21, 1526_21, 2414_21, 896_21	 	 	 	 	878_29
Enterococcus faecalis HIP11704 (565646.5)	2232_1	2233	2235	1646_10	 	2231_13	2234_15	1154_21, 1559_21, 2033_21	 	 	 	 	1830_29
Enterococcus faecalis JH1 (565648.4)	1339_1	1338	1336	1173_10, 819_10	 	1340_13	1337_15	1258_21, 1900_21, 229_21	 	 	 	 	420_29
Enterococcus faecalis M7 (1111677.3)	2050_1	2049	2047	2051_10_13, 2160_10	 	2051_10_13	2048_15	1558_21, 2567_21, 413_21	 	 	 	 	2329_29
Enterococcus faecalis MMH594 (1158653.5)	1513_1	1512	1510	1031_10, 241_10, 2796_10	 	1514_13	1511_15	156_21, 2223_21, 865_21	 	 	 	 	622_29
Enterococcus faecalis Merz151 (1169304.3)	1476_1	1475	1473	231_10, 2594_10	 	1477_13	1474_15	2056_21, 2554_16_21, 2554_16_21, 879_21	 	 	 	 	618_29
Enterococcus faecalis Merz192 (1169248.3)	1473_1	1472	1470	249_10, 2605_10	 	1474_13	1471_15	153_21, 2033_21, 811_21	 	 	 	 	563_29
Enterococcus faecalis Merz204 (1169249.3)	1482_1	1481	1479	2474_10, 266_10	 	1483_13	1480_15	170_21, 1980_21, 883_21	 	 	 	 	634_29
Enterococcus faecalis Merz89 (1169250.3)	1466_1	1465	1463	2607_10, 267_10	 	1467_13	1464_15	171_21, 2022_21, 825_21	 	 	 	 	577_29
Enterococcus faecalis Merz96 (565645.4)	1959_1	1960	1962	1031_10	 	1958_13	1961_15	1111_21, 1403_21, 315_21	 	 	 	 	74_29
Enterococcus faecalis Ned10 (1158657.3)	1454_1	1453	1451	266_10	 	1455_13	1452_15	161_21, 2048_21, 838_21	 	 	 	 	594_29
Enterococcus faecalis OG1RF (474186.5)	1248_1	1247	1245	1249_10_13, 2187_10	 	1249_10_13	1246_15	108_21, 1755_21, 601_21	 	 	 	 	361_29
Enterococcus faecalis OG1X (1027372.3)	437_1	438	440	2573_10, 436_10_13	 	436_10_13	439_15	1216_21, 2372_21, 2373_21, 873_21	 	 	 	 	631_29
Enterococcus faecalis PC1.1 (702448.3)	628_1	629_6	631_9	2189_10	 	626_13, 627_13	630_15	1052_16_21, 1052_16_21, 1151_21, 1298_21, 861_21, 929_18	 	 	 	 	1404_29
Enterococcus faecalis Pan7 (1158666.3)	1501_1	1500	1498	1073_10, 1502_10_13, 2585_10, 331_10	 	1502_10_13	1499_15	1634_18, 2101_21, 234_21, 899_21	 	 	 	 	652_29
Enterococcus faecalis R508 (1134801.3)	2580_1	2581	2583	2286_10, 44_10, 575_10	 	2579_13	2582_15	2247_21, 726_21	 	 	 	 	2027_29
Enterococcus faecalis R712 (699186.3)	758_1	759	761	513_10	 	757_13	760_15	1319_21, 1454_21, 2383_21	 	 	 	 	2439_29
Enterococcus faecalis RC73 (1158678.3)	1521_1	1520	1518	2612_10, 267_10	 	1522_13	1519_15	170_21, 2074_21, 846_21	 	 	 	 	581_29
Enterococcus faecalis RM3817 (1158674.3)	1143_1	1142	1140	2191_10, 2798_10	 	1144_13	1141_15	1693_21, 2702_21, 545_21	 	 	 	 	298_29
Enterococcus faecalis RM4679 (1158625.3)	1659_1	1658	1656	308_10	 	1660_13	1657_15	201_21, 2250_21, 979_21	 	 	 	 	679_29
Enterococcus faecalis RMC1 (1169299.3)	1602_1	1601	1599	1109_10, 264_10, 2761_10	 	1603_13	1600_15	160_21, 2245_21, 858_21	 	 	 	 	604_29
Enterococcus faecalis RMC5 (1169289.3)	1281_1	1280	1278	2301_10, 248_10	 	1282_13	1279_15	1825_21, 690_21	 	 	 	 	427_29
Enterococcus faecalis RMC65 (1169308.3)	1406_1	1405	1403_9	247_10, 2482_10, 977_10	 	1407_13	1404_15	154_21, 1548_18, 1932_21, 738_21	 	 	 	 	419_29
Enterococcus faecalis S613 (699185.3)	2666_1	2665	2663	1418_10	 	2667_13	2664_15	1837_21, 1996_21, 664_21	 	 	 	 	2389_29
Enterococcus faecalis SF100 (1158654.3)	1570_1	1569	1567	1083_10, 2773_10, 378_10	 	1571_13	1568_15	2216_21, 281_21, 917_21	 	 	 	 	673_29
Enterococcus faecalis SF105 (1158658.3)	1949_1	1948	1946	267_10	 	1950_13	1947_15	1274_21, 161_21, 2541_21	 	 	 	 	1030_29
Enterococcus faecalis SF1592 (1158630.3)	1490_1	1489	1487	1005_10, 2717_10, 282_10	 	1491_13	1488_15	186_21, 2145_21, 839_21	 	 	 	 	592_29
Enterococcus faecalis SF19 (1158629.3)	1544_1	1543	1541	1057_10, 251_10, 2724_10	 	1545_13	1542_15	154_21, 2189_21, 891_21	 	 	 	 	648_29
Enterococcus faecalis SF21520 (1169313.3)	1515_1	1514	1512	1028_10, 252_10, 2696_10	 	1516_13	1513_15	154_21, 2114_21, 861_21	 	 	 	 	612_29
Enterococcus faecalis SF21521 (1158668.3)	1234_1	1233	1231	2423_10, 2967_10, 818_10	 	1235_13	1232_15	1371_18, 1871_21, 2875_21, 582_21	 	 	 	 	325_29
Enterococcus faecalis SF24396 (1158665.3)	1377_1	1376	1374	1378_10_13, 2408_10, 266_10, 950_10	 	1378_10_13	1375_15	1510_18, 170_21, 1973_21, 776_21	 	 	 	 	529_29
Enterococcus faecalis SF24397 (1158618.3)	1522_1	1521	1519	2741_10, 297_10	 	1523_13	1520_15	2116_21, 2627_16_21, 2627_16_21, 921_21	 	 	 	 	671_29
Enterococcus faecalis SF24413 (1158619.3)	1522_1	1521	1519	2799_10, 300_10	 	1523_13	1520_15	2164_21, 2684_16_21, 2684_16_21, 923_21	 	 	 	 	663_29
Enterococcus faecalis SF26630 (1158620.3)	1474_1	1473	1471	2801_10, 329_10	 	1475_13	1472_15	2231_21, 891_21	 	 	 	 	641_29
Enterococcus faecalis SF28073 (1158624.3)	1279_1	1278	1276	107_10, 2540_10	 	1280_13	1277_15	1916_21, 2427_16_21, 2427_16_21, 685_21	 	 	 	 	440_29
Enterococcus faecalis SF339 (1169305.3)	1472_1	1471	1469	262_10	 	1473_13	1470_15	138_21, 2130_21, 865_21	 	 	 	 	619_29
Enterococcus faecalis SF350 (1169251.3)	1982_1	1981	1979	1495_10, 292_10	 	1983_13	1980_15	1265_21, 182_21, 2569_21, 548_16_21, 548_16_21	 	 	 	 	994_29
Enterococcus faecalis SF370 (1158655.3)	1545_1	1544	1542	1061_10, 2726_10, 276_10	 	1546_13	1543_15	154_21, 2256_21, 894_21	 	 	 	 	651_29
Enterococcus faecalis SF5039 (1169252.3)	1636_1	1635	1633	1211_10, 279_10	 	1637_13	1634_15	170_21, 2225_21, 522_16_21, 522_16_21, 981_21	 	 	 	 	711_29
Enterococcus faecalis SF6375 (1169280.3)	1298_1	1297	1295	277_10, 873_10	 	1299_13	1296_15	168_21, 1884_21, 2350_16_21, 2350_16_21, 643_21	 	 	 	 	375_29
Enterococcus faecalis SS-6 (1158621.3)	1457_1	1456	1454	249_10, 2526_10, 979_10	 	1458_13	1455_15	152_21, 1590_18, 2089_21, 807_21	 	 	 	 	553_29
Enterococcus faecalis SS-7 (1169298.3)	1411_1	1410	1408	232_10, 2497_10, 976_10	 	1412_13	1409_15	150_21, 1950_21, 802_21	 	 	 	 	526_29
Enterococcus faecalis T1 (565636.4)	1848_1	1849	1851	1198_10, 2360_10, 49_10	 	1847_13	1850_15	1105_21, 1716_18, 2658_21, 614_21	 	 	 	 	366_29
Enterococcus faecalis T10 (1169295.3)	1302_1	1301	1299	1303_10_13, 2351_10, 259_10, 868_10	 	1303_10_13	1300_15	1435_18, 163_21, 1803_21, 695_21	 	 	 	 	444_29
Enterococcus faecalis T11 (565640.5)	2392_1	2391	2389	1988_10, 44_10, 897_10	 	2393_13	2390_15	1587_21, 721_21, 980_21	 	 	 	 	487_29
Enterococcus faecalis T12 (1169287.3)	1428_1	1427	1425	2539_10	 	1429_13	1426_15	1988_21, 819_21	 	 	 	 	576_29
Enterococcus faecalis T13 (1158663.3)	1332_1	1331	1329	1333_10_13, 2331_10, 256_10, 907_10	 	1333_10_13	1330_15	1465_18, 160_21, 1863_21, 677_21	 	 	 	 	432_29
Enterococcus faecalis T14 (1158626.3)	1472_1	1471	1469	267_10	 	1473_13	1470_15	160_21, 2064_21, 859_21	 	 	 	 	617_29
Enterococcus faecalis T16 (1158662.3)	1448_1	1447	1445	1019_10, 1449_10_13, 249_10, 2522_10	 	1449_10_13	1446_15	152_21, 1585_18, 2042_21, 844_21	 	 	 	 	596_29
Enterococcus faecalis T17 (1169292.3)	1477_1	1476	1474	250_10, 2550_10	 	1478_13	1475_15	152_21, 1663_18, 2079_21, 808_21	 	 	 	 	556_29
Enterococcus faecalis T18 (1169296.3)	1298_1	1297	1295	1299_10_13, 231_10, 2389_10, 886_10	 	1299_10_13	1296_15	146_21, 1874_21, 715_21	 	 	 	 	409_29
Enterococcus faecalis T19 (1169300.3)	1441_1	1440	1438	232_10	 	1442_13	1439_15	150_21, 2080_21, 852_21	 	 	 	 	589_29
Enterococcus faecalis T2 (565637.4)	2073_1	2074	2076_9	1082_10, 1188_10, 2529_10	 	2072_13	2075_15	1364_21, 1899_18, 2849_21, 489_21	 	 	 	 	147_29
Enterococcus faecalis T20 (1169285.3)	1269_1	1268	1266	2246_10, 246_10, 854_10	 	1270_13	1267_15	1402_18, 150_21, 1779_21, 683_21	 	 	 	 	423_29
Enterococcus faecalis T21 (1158669.3)	1439_1	1438	1436_9	1007_10, 237_10, 2528_10	 	1440_13	1437_15	157_21, 2005_21, 2487_21, 834_21	 	 	 	 	585_29
Enterococcus faecalis T3 (565638.4)	1876_1	1875	1873_9	1132_10, 1163_10, 300_10	 	1877_13	1874_15	1052_21, 2015_18, 2444_21, 747_21	 	 	 	 	510_29
Enterococcus faecalis T4 (1169253.3)	1379_1	1378	1376	254_10, 2541_10, 948_10	 	1380_13	1377_15	2071_21, 776_21	 	 	 	 	542_29
Enterococcus faecalis T5 (1169293.3)	1548_1	1547	1545_9	2546_10, 418_10	 	1549_13	1546_15	2109_21, 337_21, 905_21	 	 	 	 	589_29
Enterococcus faecalis T6 (1169291.3)	1427_1	1426	1424	238_10, 2415_10	 	1428_13	1425_15	158_21, 1936_21, 828_21	 	 	 	 	590_29
Enterococcus faecalis T7 (1169254.3)	1791_1	1790	1788	1369_10, 259_10	 	1792_13, 1793_13	1789_15	1201_21, 150_21, 2374_21, 491_16_21, 491_16_21	 	 	 	 	872_29
Enterococcus faecalis T8 (565639.4)	590_1	589	587	2657_10, 386_10	 	591_13	588_15	1744_21, 2127_21, 2772_21	 	 	 	 	1936_29
Enterococcus faecalis T9 (1169294.3)	1421_1	1420	1418	241_10, 2529_10, 991_10	 	1422_13	1419_15	153_21, 2043_21, 653_21	 	 	 	 	404_29
Enterococcus faecalis TR161 (1169314.3)	1534_1	1533	1531	276_10, 2770_10	 	1535_13	1532_15	155_21, 2244_21, 887_21	 	 	 	 	639_29
Enterococcus faecalis TR197 (1169307.3)	1662_1	1661	1659	1218_10, 267_10, 2985_10	 	1663_13	1660_15	2316_21, 994_21	 	 	 	 	714_29
Enterococcus faecalis TUSoD Ef11 (553209.3)	1608_1	1609	1611	1846_10, 227_10, 641_10	 	1607_13	1610_15	1743_21, 382_21, 888_21	 	 	 	 	61_29
Enterococcus faecalis TX0012 (749496.3)	1144_1	1145	1147_9	2031_10, 705_10	 	1143_13	1146_15	1806_21, 2094_21, 576_21, 609_21	 	 	 	 	2311_29
Enterococcus faecalis TX0017 (749497.3)	316_1	315	313_9	1075_10, 1758_10	 	317_13	314_15	1143_21, 1633_21, 2761_21	 	 	 	 	2633_29
Enterococcus faecalis TX0027 (749498.3)	285_1	284	282	604_10	 	286_13	283_15	1506_21, 2768_21, 746_21	 	 	 	 	2700_29
Enterococcus faecalis TX0031 (749499.3)	2221_1	2222	2224	2220_10_13, 62_10, 913_10, 934_10	 	2220_10_13	2223_15	1029_21, 1419_21, 2088_18, 2368_21	 	 	 	 	627_29
Enterococcus faecalis TX0043 (749500.3)	1441_1	1442	1444	1144_10, 1440_10_13, 927_10, 975_10	 	1440_10_13	1443_15	1048_21, 1304_18, 1716_21, 2112_21	 	 	 	 	727_29
Enterococcus faecalis TX0102 (749501.3)	589_1	588	586	1282_10, 1676_10, 1948_10, 590_10_13	 	590_10_13	587_15	1581_21, 1861_21, 2382_21, 722_18	 	 	 	 	2012_29
Enterococcus faecalis TX0104 (491074.3)	188_1	187	185	2730_10, 2880_10	 	189_13	186_15	1015_21, 1938_21, 2768_16_21, 2768_16_21	 	 	 	 	1485_29
Enterococcus faecalis TX0109 (749502.3)	2305_1	2304	2302	1485_10, 1584_10, 451_10	 	2306_13	2303_15	1113_21, 218_21, 2437_18, 539_21, 830_21	 	 	 	 	2822_29
Enterococcus faecalis TX0309A (749503.3)	2379_1	2380	2382	1899_10, 223_10, 834_10	 	2378_13	2381_15	1227_21, 2671_21, 930_21	 	 	 	 	1419_29
Enterococcus faecalis TX0309B (749504.3)	526_1	527	529	107_10, 2732_10, 903_10	 	525_13	528_15	1954_21, 2143_21, 2637_21	 	 	 	 	218_29
Enterococcus faecalis TX0312 (749505.3)	2087_1	2086	2083	119_10, 1473_10, 2088_10_13, 71_10	 	2088_10_13	2084_15, 2085_15	1079_21, 1571_21, 2220_18, 2437_21	 	 	 	 	455_29
Enterococcus faecalis TX0411 (749506.3)	2138_1	2139	2141	1860_10, 417_10, 950_10	 	2137_13	2140_15	1123_21, 1250_21, 1756_21	 	 	 	 	198_29
Enterococcus faecalis TX0470 (749507.3)	1470_1	1469	1467_9	125_10, 1764_10, 76_10	 	1471_13	1468_15	1855_21, 2219_21, 2515_18, 556_21	 	 	 	 	971_29
Enterococcus faecalis TX0630 (749508.3)	2039_1	2040	2042	452_10	 	2038_13	2041_15	1054_21, 2405_21, 2633_21	 	 	 	 	1045_29
Enterococcus faecalis TX0635 = WH245 (749509.5)	1472_1	1471	1469	269_10	 	1473_13	1470_15	163_21, 2073_21, 779_21	 	 	 	 	537_29
Enterococcus faecalis TX0645 (749510.3)	2886_1	2887	2889	2623_10, 691_10	 	2885_13	2888_15	1779_21, 2529_21, 497_21	 	 	 	 	790_29
Enterococcus faecalis TX0855 (749511.3)	1838_1	1839	1841	2730_10	 	1837_13	1840_15	213_21, 2641_21, 601_21	 	 	 	 	1105_29
Enterococcus faecalis TX0860 (749512.3)	375_1	376	378_9	1624_10, 1659_10, 914_10	 	374_13	377_15	1439_21, 236_18, 2894_21, 693_21	 	 	 	 	571_29
Enterococcus faecalis TX1322 (525278.3)	532_1	533	535	2477_10, 988_10	 	531_13	534_15	1317_21, 1738_21, 2252_16_21, 2252_16_21, 2572_21	 	 	 	 	1476_29
Enterococcus faecalis TX1337RF (1134802.3)	2073_1	2072	2070_9	415_10	 	2074_13	2071_15	1415_21, 16_18, 2360_21, 99_16_21, 99_16_21	 	 	 	 	1947_29
Enterococcus faecalis TX1341 (749514.3)	444_1	445	447	1198_10, 17_10, 226_10	 	443_13	446_15	1115_21, 1377_21, 2814_21	 	 	 	 	2411_29
Enterococcus faecalis TX1346 (749516.3)	2574_1	2575	2577	219_10	 	2573_13	2576_15	1290_21, 2277_21, 2438_18, 96_21	 	 	 	 	1055_29
Enterococcus faecalis TX2134 (749518.3)	525_1	526	528_9	1911_10, 630_10, 732_10	 	524_13	527_15	1830_21, 2639_21, 689_16_21, 689_16_21, 840_21	 	 	 	 	2511_29
Enterococcus faecalis TX2137 (749491.3)	699_1	700	702	1276_10, 17_10, 698_10_13	 	698_10_13	701_15	212_18, 2760_21, 994_21	 	 	 	 	2363_29
Enterococcus faecalis TX2141 (749492.3)	1627_1	1628	1630	175_10, 662_10, 799_10	 	1626_13	1629_15	24_21, 2827_21, 380_21	 	 	 	 	1568_29
Enterococcus faecalis TX4000 (749493.3)	1659_1	1660	1662	2084_10, 917_10	 	1658_13	1661_15	1173_21, 13_21, 2191_21	 	 	 	 	468_29
Enterococcus faecalis TX4244 (749494.3)	1428_1	1427	1425_9	1823_10, 271_10	 	1429_13	1426_15	1915_21, 2286_21, 948_21	 	 	 	 	2091_29
Enterococcus faecalis TX4248 (749495.4)	2880_1	2881	2883	43_10, 603_10	 	2879_13	2882_15	105_21, 1094_21, 2746_21	 	 	 	 	332_29
Enterococcus faecalis UAA1014 (1158546.3)	1512_1	1511	1509	1034_10, 2484_10, 337_10	 	1513_13	1510_15	2036_21, 256_21, 859_21	 	 	 	 	626_29
Enterococcus faecalis UAA1180 (1158552.3)	1287_1	1286	1284	2321_10, 2878_10, 805_10	 	1288_13	1285_15	1813_21, 2798_21, 631_21	 	 	 	 	397_29
Enterococcus faecalis UAA1489 (1158976.3)	1540_1	1539	1537	1046_10, 251_10, 2860_10	 	1541_13	1538_15	155_21, 2323_21, 880_21	 	 	 	 	631_29
Enterococcus faecalis UAA409 (1158637.3)	1311_1	1310	1308	2556_10, 818_10	 	1312_13	1309_15	1893_21, 2321_16_21, 2321_16_21, 2666_21, 648_21	 	 	 	 	393_29
Enterococcus faecalis UAA702 (1158640.3)	1396_1	1395	1393_9	236_10, 2633_10	 	1397_13	1394_15	151_21, 2148_21, 774_21	 	 	 	 	523_29
Enterococcus faecalis UAA769 (1157369.3)	1700_1	1699	1697	1268_10, 2873_10	 	1701_13	1698_15	169_21, 1829_18, 2328_21, 966_21	 	 	 	 	718_29
Enterococcus faecalis UAA823 (1157370.3)	1574_1	1573	1571	1086_10, 251_10, 2812_10	 	1575_13	1572_15	154_21, 2229_21, 920_21	 	 	 	 	670_29
Enterococcus faecalis UAA902 (1157371.3)	1465_1	1464	1462	259_10	 	1466_13	1463_15	1594_18, 169_21, 1973_21, 679_21	 	 	 	 	428_29
Enterococcus faecalis UAA903 (1157372.3)	1465_1	1464	1462	259_10	 	1466_13	1463_15	1594_18, 170_21, 1974_21, 678_21	 	 	 	 	428_29
Enterococcus faecalis UAA904 (1157373.3)	1458_1	1457	1455	258_10	 	1459_13	1456_15	1587_18, 169_21, 1966_21, 675_21	 	 	 	 	426_29
Enterococcus faecalis UAA905 (1157374.3)	1457_1	1456	1454	258_10	 	1458_13	1455_15	1586_18, 169_21, 1965_21, 676_21	 	 	 	 	426_29
