Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Escherichia albertii TW11588 (754333.3)	498	 	 	 	 	 	523_11	3389_16, 522_12	 	 	 	3072	 	 	529	330, 331	530	 	 	 	3076_36	 	 	 	 	 	 	 	3228_48	 	 	3140	 	 	2401_56	2402_57	 
Escherichia coli 0.1288 (1005442.3)	381	 	 	 	 	 	345_11	346_12	 	 	 	2276	 	 	339	322	338	 	 	 	 	 	 	 	 	 	 	 	1509_48	 	 	585	 	 	1636_56	1635_57	 
Escherichia coli 0.1304 (1005441.3)	567	 	 	 	 	 	527_11	3986_12, 528_12	 	 	 	3018	 	 	521	500	520	 	 	 	 	 	 	 	 	 	 	 	2105_48, 2106_48	 	 	766	 	 	2305_56, 2306_56	2304_57	 
Escherichia coli 042 (216592.3)	437	 	 	 	 	 	400_11	401_12	 	 	 	2479	 	 	394	380	393	 	 	 	2483_36, 2484_36	 	 	 	 	 	 	 	1651_48	 	 	638	 	 	1856_56	1855_57	 
Escherichia coli 07798 (1005566.3)	490	 	 	 	 	 	465_11	466_12	 	 	 	2633	 	 	463	451	462	 	 	 	2637_36	 	 	 	 	 	 	 	1993_48	 	 	 	 	 	2129_56	2128_57	 
Escherichia coli 09BKT078844 (1081887.3)	594	 	 	 	 	 	554_11	3858_12, 555_12	 	 	 	2894	 	 	548	528	547	 	 	 	 	 	 	 	 	 	 	 	2011_48, 2012_48	 	 	879	 	 	2186_56, 2187_56	2185_57	 
Escherichia coli 1.2264 (869675.4)	807	 	 	 	 	 	843_11	842_12	 	 	 	1250	 	 	848	866	849	 	 	 	1254_36	 	 	 	 	 	 	 	2678_48	 	 	627	 	 	2936_56	2935_57	 
Escherichia coli 1.2741 (869669.4)	1539	 	 	 	 	 	1497_11	1498_12	 	 	 	2247	 	 	1491	1474	1490	 	 	 	2243_36	 	 	 	 	 	 	 	880_48	 	 	4746	 	 	2837_56	2838_57	 
Escherichia coli 10.0821 (1005469.3)	684	 	 	 	 	 	643_11	3841_12, 644_12	 	 	 	2882	 	 	637	617	636	 	 	 	 	 	 	 	 	 	 	 	2096_48, 2097_48	 	 	881	 	 	2263_56, 2264_56	2262_57	 
Escherichia coli 10.0833 (1005466.3)	647	 	 	 	 	 	606_11	4085_12, 607_12	 	 	 	2975	 	 	600	580	599	 	 	 	 	 	 	 	 	 	 	 	4535_48, 4536_48	 	 	843	 	 	2199_56, 2200_56	2198_57	 
Escherichia coli 10.0869 (1005467.3)	366	 	 	 	 	 	327_11	328_12	 	 	 	2782	 	 	321	300	320	 	 	 	 	 	 	 	 	 	 	 	1872_48	 	 	563	 	 	2060_56	2059_57	 
Escherichia coli 101-1 (358709.5)	3611	 	 	 	 	 	2936_11	2937_12, 4567_12	 	 	 	585	 	 	2930	2917	2929	 	 	 	 	 	 	 	 	 	 	 	952_48	 	 	1976	 	 	1132_56	1131_57	 
Escherichia coli 1125A (562.373)	3371	 	 	 	 	 	457_11	1854_12, 456_12	 	 	 	3886	 	 	463	485	464	 	 	 	 	 	 	 	 	 	 	 	5091_48, 5092_48	 	 	3164	 	 	5366_56, 5367_56	5365_57	 
Escherichia coli 1180 (670904.3)	2796	 	 	 	 	 	2835_11	2834_12	 	 	 	4215	 	 	2840	2857	2841	 	 	 	4211_36	 	 	 	 	 	 	 	5122_48	 	 	1319	 	 	208_56	207_57	 
Escherichia coli 1212A (562.372)	1356	 	 	 	 	 	631_11	2574_12, 630_12	 	 	 	5632	 	 	637	662	638	 	 	 	 	 	 	 	 	 	 	 	1229_48, 1230_48	 	 	1560	 	 	4697_56, 4698_56	4696_57	 
Escherichia coli 1357 (670905.3)	1873	 	 	 	 	 	1909_11	1908_12	 	 	 	2451	 	 	1915	1935	1916	 	 	 	2447_36	 	 	 	 	 	 	 	743_48	 	 	1693	 	 	553_56	554_57	 
Escherichia coli 174750 (1125634.3)	884	 	 	 	 	 	843_11	3817_12, 844_12	 	 	 	2707	 	 	837	823	 	 	 	 	 	 	 	 	 	 	 	 	1966_48	 	 	1075	 	 	2106_56	2105_57	 
Escherichia coli 174900 (1116003.3)	663	 	 	 	 	 	627_11	3519_12, 628_12	 	 	 	2522	 	 	622	603	621	 	 	 	2526_36	 	 	 	 	 	 	 	1802_48	 	 	838	 	 	1973_56	1972_57	 
Escherichia coli 178900 (1116108.3)	779, 780	 	 	 	 	 	725_11	726_12	 	 	 	2601	 	 	719	705	718	 	 	 	2605_36	 	 	 	 	 	 	 	1889_48	 	 	954	 	 	2062_56	2061_57	 
Escherichia coli 179100 (1125652.3)	359	 	 	 	 	 	323_11	324_12	 	 	 	2375	 	 	317	300	316	 	 	 	2379_36	 	 	 	 	 	 	 	1690_48	 	 	569	 	 	1836_56	1835_57	 
Escherichia coli 179550 (1116109.3)	745	 	 	 	 	 	707_11	3623_12, 708_12	 	 	 	2573	 	 	700	683	699	 	 	 	2577_36	 	 	 	 	 	 	 	1931_48	 	 	924	 	 	2068_56	2067_57	 
Escherichia coli 180050 (1116103.3)	499	 	 	 	 	 	461_11	462_12	 	 	 	2470	 	 	454	439, 440	 	 	 	 	 	 	 	 	 	 	 	 	1655_48	 	 	684	 	 	1880_56	1879_57	 
Escherichia coli 180200 (1116104.3)	675	 	 	 	 	 	638_11	3552_12, 639_12	 	 	 	2517	 	 	628	611	627	 	 	 	2521_36	 	 	 	 	 	 	 	1813_48	 	 	863	 	 	1990_56	1989_57	 
Escherichia coli 180600 (1116105.3)	714	 	 	 	 	 	678_11	679_12	 	 	 	2571	 	 	672	659	671	 	 	 	2575_36	 	 	 	 	 	 	 	1825_48	 	 	895	 	 	2021_56	2020_57	 
Escherichia coli 1827-70 (670888.3)	960	 	 	 	 	 	919_11	920_12	 	 	 	4141	 	 	913	900	912	 	 	 	 	 	 	 	 	 	 	 	2131_48	 	 	1138	 	 	110_56	109_57	 
Escherichia coli 199900.1 (1116130.3)	798	 	 	 	 	 	761_11	762_12	 	 	 	2635	 	 	755	741	754	 	 	 	2639_36	 	 	 	 	 	 	 	1944_48	 	 	999	 	 	2104_56	2103_57	 
Escherichia coli 2.3916 (869688.5)	1372	 	 	 	 	 	1334_11	1335_12, 4607_12	 	 	 	549	 	 	1328	1315	1327	 	 	 	 	 	 	 	 	 	 	 	5381_48	 	 	1582	 	 	2031_56	2030_57	 
Escherichia coli 2.4168 (869690.4)	193	 	 	 	 	 	154_11	155_12, 2087_12	 	 	 	1124	 	 	148	 	147	 	 	 	 	 	 	 	 	 	 	 	10_48	 	 	366	 	 	571_56	570_57	 
Escherichia coli 201600.1 (1116129.3)	843	 	 	 	 	 	801_11	802_12	 	 	 	2954	 	 	794	780	793	 	 	 	 	 	 	 	 	 	 	 	2090_48	 	 	1020	 	 	2309_56	2308_57	 
Escherichia coli 2362-75 (670897.3)	340	 	 	 	 	 	366_11	365_12	 	 	 	3116	 	 	368	380	369	 	 	 	3120_36	 	 	 	 	 	 	 	4878_48	 	 	 	 	 	2304_56	2305_57, 2306_57	 
Escherichia coli 2534-86 (754079.3)	798	 	 	 	 	 	761_11	762_12	 	 	 	3122	 	 	756	737	755	 	 	 	3126_36	 	 	 	 	 	 	 	 	 	 	996	 	 	2411_56	2410_57	 
Escherichia coli 2719100 (1116119.3)	753, 754	 	 	 	 	 	715_11	716_12	 	 	 	2742	 	 	709	695	708	 	 	 	 	 	 	 	 	 	 	 	1997_48	 	 	927	 	 	2173_56	2172_57	 
Escherichia coli 2720900 (1116120.3)	647	 	 	 	 	 	611_11	3666_12, 612_12	 	 	 	2661	 	 	604	587	603	 	 	 	2665_36	 	 	 	 	 	 	 	1886_48, 1887_48	 	 	824	 	 	2056_56	2055_57	 
Escherichia coli 2722950 (1116121.3)	643	 	 	 	 	 	597_11	3595_12, 598_12	 	 	 	2579	 	 	591	576	590	 	 	 	 	 	 	 	 	 	 	 	1751_48	 	 	816	 	 	1927_56	1925_57, 1926_57	 
Escherichia coli 2726800 (1116122.3)	587	 	 	 	 	 	547_11	548_12	 	 	 	2740	 	 	541	524	540	 	 	 	2744_36	 	 	 	 	 	 	 	1945_48	 	 	772	 	 	2198_56	2197_57	 
Escherichia coli 2726950 (1116123.3)	683	 	 	 	 	 	633_11	3641_12, 634_12	 	 	 	2619	 	 	627	613	626	 	 	 	125_36	 	 	 	 	 	 	 	1782_48	 	 	855	 	 	1967_56	1965_57, 1966_57	 
Escherichia coli 2729250 (1116004.3)	374	 	 	 	 	 	337_11	338_12	 	 	 	2368	 	 	332	315	331	 	 	 	2372_36	 	 	 	 	 	 	 	1706_48	 	 	556	 	 	1852_56	1851_57	 
Escherichia coli 2730350 (1116005.3)	350	 	 	 	 	 	312_11	313_12	 	 	 	2138	 	 	306	293	305	 	 	 	2142_36	 	 	 	 	 	 	 	1445_48	 	 	546	 	 	1595_56	1594_57	 
Escherichia coli 2730450 (1116006.3)	703	 	 	 	 	 	649_11	650_12	 	 	 	2541	 	 	643	 	 	 	 	 	2545_36	 	 	 	 	 	 	 	1846_48	 	 	877	 	 	2013_56	2011_57, 2012_57	 
Escherichia coli 2731150 (1116007.3)	809	 	 	 	 	 	759_11	760_12	 	 	 	2811	 	 	752	738	751	 	 	 	 	 	 	 	 	 	 	 	2012_48	 	 	993	 	 	2220_56	2219_57	 
Escherichia coli 2733950 (1125635.3)	747	 	 	 	 	 	708_11	709_12	 	 	 	2620	 	 	700	686	699	 	 	 	 	 	 	 	 	 	 	 	1896_48	 	 	948	 	 	2028_56	2027_57	 
Escherichia coli 2735000 (1116008.3)	362	 	 	 	 	 	325_11	326_12, 3435_12	 	 	 	2328	 	 	319	302	318	 	 	 	2332_36	 	 	 	 	 	 	 	1598_48	 	 	553	 	 	1757_56	1756_57	 
Escherichia coli 2741950 (1116009.3)	712	 	 	 	 	 	673_11	674_12	 	 	 	2643	 	 	667	 	 	 	 	 	 	 	 	 	 	 	 	 	1836_48	 	 	881	 	 	2075_56	2073_57, 2074_57	 
Escherichia coli 2747800 (1116010.3)	459	 	 	 	 	 	422_11	423_12	 	 	 	2394	 	 	417	400	416	 	 	 	2398_36	 	 	 	 	 	 	 	1648_48	 	 	634	 	 	1846_56	1845_57	 
Escherichia coli 2749250 (1116011.3)	405	 	 	 	 	 	368_11	369_12	 	 	 	2508	 	 	363	344	362	 	 	 	2512_36	 	 	 	 	 	 	 	1624_48	 	 	586	 	 	1803_56	1802_57	 
Escherichia coli 2756500 (1116012.3)	651	 	 	 	 	 	612_11	3779_12, 613_12	 	 	 	2528	 	 	605	588	604	 	 	 	2532_36	 	 	 	 	 	 	 	1777_48	 	 	846	 	 	1937_56	1936_57	 
Escherichia coli 2762100 (1116013.3)	373	 	 	 	 	 	321_11	322_12	 	 	 	2401	 	 	315	301	314	 	 	 	 	 	 	 	 	 	 	 	1561_48	 	 	552	 	 	1713_56	1712_57	 
Escherichia coli 2770900 (1116014.3)	425	 	 	 	 	 	388_11	389_12	 	 	 	2304	 	 	383	365	382	 	 	 	2308_36	 	 	 	 	 	 	 	1554_48	 	 	4831	 	 	1762_56	1761_57	 
Escherichia coli 2780750 (1116015.3)	530	 	 	 	 	 	492_11	493_12	 	 	 	2341	 	 	468	430	467	 	 	 	 	 	 	 	 	 	 	 	2057_48	 	 	695	 	 	1735_56	1734_57	 
Escherichia coli 2785200 (1116016.3)	751	 	 	 	 	 	713_11	714_12	 	 	 	2697	 	 	707	693	706	 	 	 	 	 	 	 	 	 	 	 	123_48, 1985_48	 	 	931	 	 	2128_56	2127_57	 
Escherichia coli 2788150 (1116017.3)	425	 	 	 	 	 	381_11	3376_12, 382_12	 	 	 	2335	 	 	375	357	374	 	 	 	2339_36	 	 	 	 	 	 	 	1605_48	 	 	611	 	 	1758_56	1757_57	 
Escherichia coli 2845350 (1116124.3)	523	 	 	 	 	 	483_11	484_12	 	 	 	2544	 	 	477	464	476	 	 	 	 	 	 	 	 	 	 	 	1755_48	 	 	702	 	 	1951_56	1950_57	 
Escherichia coli 2845650 (1116125.3)	586	 	 	 	 	 	544_11	545_12	 	 	 	2641	 	 	538	525	 	 	 	 	 	 	 	 	 	 	 	 	1950_48	 	 	782	 	 	2121_56	2120_57	 
Escherichia coli 2846750 (1116126.3)	387	 	 	 	 	 	350_11	351_12	 	 	 	2211	 	 	344	 	343	 	 	 	2215_36, 2217_36, 2219_36	 	 	 	 	 	 	 	1383_48	 	 	547	 	 	1623_56	1621_57, 1622_57	 
Escherichia coli 2848050 (1116127.3)	364	 	 	 	 	 	324_11	325_12	 	 	 	2302	 	 	319	302	318	 	 	 	2306_36	 	 	 	 	 	 	 	1584_48	 	 	634	 	 	1768_56	1767_57	 
Escherichia coli 2850400 (1116018.3)	385	 	 	 	 	 	347_11	348_12	 	 	 	2453	 	 	337	320	336	 	 	 	2457_36	 	 	 	 	 	 	 	1604_48	 	 	571	 	 	1878_56	1877_57	 
Escherichia coli 2850750 (1116019.3)	593	 	 	 	 	 	555_11	3704_12, 556_12	 	 	 	2542	 	 	544	527	543	 	 	 	2546_36	 	 	 	 	 	 	 	723_48	 	 	824	 	 	2090_56	2089_57	 
Escherichia coli 2851500 (1116128.3)	577	 	 	 	 	 	538_11	539_12	 	 	 	2476	 	 	527	510	526	 	 	 	2480_36	 	 	 	 	 	 	 	1673_48	 	 	772	 	 	1871_56	1870_57	 
Escherichia coli 2853500 (1116020.3)	603	 	 	 	 	 	565_11	566_12	 	 	 	2691	 	 	553	536	552	 	 	 	2695_36	 	 	 	 	 	 	 	1539_48	 	 	789	 	 	1740_56	1739_57	 
Escherichia coli 2854350 (1125636.3)	596	 	 	 	 	 	555_11	556_12	 	 	 	2604	 	 	549	532	548	 	 	 	2608_36	 	 	 	 	 	 	 	1953_48	 	 	835	 	 	219_56	220_57	 
Escherichia coli 2860050 (1116021.3)	347	 	 	 	 	 	311_11	312_12	 	 	 	2419	 	 	306	289	305	 	 	 	2423_36	 	 	 	 	 	 	 	1632_48	 	 	524	 	 	1863_56	1862_57	 
Escherichia coli 2860650 (1116022.3)	737	 	 	 	 	 	700_11	701_12	 	 	 	2689	 	 	695	677	694	 	 	 	2693_36	 	 	 	 	 	 	 	2063_48	 	 	922	 	 	2216_56	2215_57	 
Escherichia coli 2861200 (1116023.3)	583	 	 	 	 	 	543_11	544_12	 	 	 	2585	 	 	 	 	 	 	 	 	2589_36	 	 	 	 	 	 	 	1768_48	 	 	789	 	 	1951_56	1950_57	 
Escherichia coli 2862600 (1116024.3)	634	 	 	 	 	 	583_11	584_12	 	 	 	2485	 	 	577	563	576	 	 	 	 	 	 	 	 	 	 	 	1769_48	 	 	829	 	 	1898_56	1897_57	 
Escherichia coli 2864350 (1116025.3)	838	 	 	 	 	 	800_11	3663_12, 801_12	 	 	 	2648	 	 	794	777	793	 	 	 	 	 	 	 	 	 	 	 	1956_48	 	 	1002	 	 	2095_56	2094_57	 
Escherichia coli 2865200 (1116026.3)	460	 	 	 	 	 	422_11	423_12	 	 	 	2400	 	 	416	398	415	 	 	 	2404_36	 	 	 	 	 	 	 	1676_48	 	 	638	 	 	1820_56	1819_57	 
Escherichia coli 2866350 (1116027.3)	650	 	 	 	 	 	613_11	614_12	 	 	 	2581	 	 	608	591	607	 	 	 	2585_36	 	 	 	 	 	 	 	1844_48	 	 	822	 	 	2031_56	2030_57	 
Escherichia coli 2866450 (1116028.3)	536	 	 	 	 	 	498_11	3658_12, 499_12	 	 	 	2503	 	 	492	475	491	 	 	 	2507_36	 	 	 	 	 	 	 	1775_48	 	 	755	 	 	1924_56	1923_57	 
Escherichia coli 2866550 (1116029.3)	564	 	 	 	 	 	526_11	3709_12, 527_12	 	 	 	2623	 	 	516	498, 499	515	 	 	 	2627_36	 	 	 	 	 	 	 	1759_48	 	 	750	 	 	1923_56	1922_57	 
Escherichia coli 2866750 (1116030.3)	395	 	 	 	 	 	357_11	3527_12, 358_12	 	 	 	2267	 	 	345	328	344	 	 	 	2271_36	 	 	 	 	 	 	 	1475_48	 	 	585	 	 	1652_56	1651_57	 
Escherichia coli 2867750 (1116031.3)	388	 	 	 	 	 	350_11	351_12, 3604_12	 	 	 	2500	 	 	338	321	337	 	 	 	2504_36	 	 	 	 	 	 	 	1665_48	 	 	573	 	 	1874_56	1873_57	 
Escherichia coli 2871950 (1116032.3)	386	 	 	 	 	 	350_11	351_12	 	 	 	2369	 	 	344	 	343	 	 	 	2373_36, 2375_36	 	 	 	 	 	 	 	1538_48	 	 	547	 	 	1712_56	1710_57, 1711_57	 
Escherichia coli 2872000 (1116033.3)	418	 	 	 	 	 	381_11	382_12	 	 	 	2510	 	 	374	 	 	 	 	 	2514_36, 2516_36	 	 	 	 	 	 	 	1676_48	 	 	579	 	 	1867_56	1865_57, 1866_57	 
Escherichia coli 2872800 (1116034.3)	558	 	 	 	 	 	520_11	3675_12, 521_12	 	 	 	2481	 	 	508	491	507	 	 	 	2485_36	 	 	 	 	 	 	 	687_48	 	 	813	 	 	1807_56	1806_57	 
Escherichia coli 2875000 (1116035.3)	575	 	 	 	 	 	536_11	3654_12, 537_12	 	 	 	2450	 	 	525	508	524	 	 	 	2454_36	 	 	 	 	 	 	 	1768_48	 	 	767	 	 	1916_56	1915_57	 
Escherichia coli 2875150 (1116036.3)	803	 	 	 	 	 	751_11	752_12	 	 	 	2869	 	 	745	730	744	 	 	 	 	 	 	 	 	 	 	 	2108_48	 	 	985	 	 	2277_56	2276_57	 
Escherichia coli 3.2303 (869691.4)	489	 	 	 	 	 	4383_11	4382_12, 4738_12	 	 	 	1594	 	 	4389	4401	4390	 	 	 	 	 	 	 	 	 	 	 	3229_48	 	 	317	 	 	1939_56	1940_57	 
Escherichia coli 3.2608 (869679.4)	4702	 	 	 	 	 	4660_11	4661_12	 	 	 	1733	 	 	4654	4637	4653	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4937	 	 	1077_56	1076_57	 
Escherichia coli 3.3884 (869689.4)	2224	 	 	 	 	 	2260_11	2259_12	 	 	 	3388	 	 	2266	2283	2267	 	 	 	3392_36	 	 	 	 	 	 	 	1004_48	 	 	1993	 	 	485_56	484_57	 
Escherichia coli 3.4870 (1005450.3)	582	 	 	 	 	 	542_11	3951_12, 543_12	 	 	 	2962	 	 	536	515	535	 	 	 	 	 	 	 	 	 	 	 	2110_48, 2111_48	 	 	780	 	 	2309_56, 2310_56	2308_57	 
Escherichia coli 3003 (869692.4)	4380	 	 	 	 	 	4404_11	4403_12	 	 	 	2434	 	 	4406	4423	4407	 	 	 	2430_36	 	 	 	 	 	 	 	3537_48	 	 	 	 	 	3388_56	3389_57	 
Escherichia coli 3006 (1005565.3)	437	 	 	 	 	 	398_11	399_12	 	 	 	2518	 	 	392	 	391	 	 	 	 	 	 	 	 	 	 	 	1721_48	 	 	616	 	 	1884_56	1883_57	 
Escherichia coli 3431 (670892.3)	3340	 	 	 	 	 	3303_11	3304_12	 	 	 	4059	 	 	3295	3365	3294, 3351	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3133	 	 	785_56	784_57	 
Escherichia coli 4_1_47FAA (1127356.4)	156	 	 	 	 	 	117_11	118_12	 	 	 	4039	 	 	111	95	110	 	 	 	4035_36	 	 	 	 	 	 	 	5266_48	 	 	373	 	 	2484_56	2483_57	 
Escherichia coli 4.0522 (869681.4)	827	 	 	 	 	 	868_11	867_12	 	 	 	1730	 	 	873	890	874	 	 	 	1734_36	 	 	 	 	 	 	 	 	 	 	2809	 	 	3413_56	3414_57	 
Escherichia coli 4.0967 (869687.5)	4338	 	 	 	 	 	4297_11	1478_12, 4298_12	 	 	 	5025	 	 	4291	4272	4290	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4580	 	 	3244_56	3243_57	 
Escherichia coli 5.0588 (869671.4)	4314	 	 	 	 	 	4278_11	2553_12, 4279_12	 	 	 	1500	 	 	4273	4254	4272	 	 	 	1504_36	 	 	 	 	 	 	 	800_48	 	 	4491	 	 	967_56, 968_56	966_57	 
Escherichia coli 5.0959 (869684.5)	2377	 	 	 	 	 	2339_11	1405_12, 2340_12	 	 	 	4087	 	 	2333	2315	2332	 	 	 	 	 	 	 	 	 	 	 	4864_48	 	 	2593	 	 	4706_56	4707_57	 
Escherichia coli 5.2239 (1005452.3)	739	 	 	 	 	 	699_11	4003_12, 700_12	 	 	 	3031	 	 	693	672	692	 	 	 	 	 	 	 	 	 	 	 	2233_48, 2234_48	 	 	936	 	 	2421_56, 2422_56	2420_57	 
Escherichia coli 536 (362663.9)	437	 	 	 	 	 	408_11	3207_12, 409_12	 	 	 	2201	 	 	404	393	403	 	 	 	2205_36	 	 	 	 	 	 	 	1482_48	 	 	 	 	 	1580_56	1579_57	 
Escherichia coli 53638 (344610.7)	1298	 	 	 	 	 	 	1335_12, 3168_12	 	 	 	4292	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5137_48	 	 	1118	 	 	5265_56	5264_57	 
Escherichia coli 536A (562.374)	5622	 	 	 	 	 	1213_11	1212_12, 4649_12	 	 	 	3286	 	 	1219	1244	1220	 	 	 	 	 	 	 	 	 	 	 	2353_48, 2354_48	 	 	5416	 	 	4414_56, 4415_56	4416_57	 
Escherichia coli 541-1 (752786.3)	1444	 	 	 	 	 	1407_11	1408_12	 	 	 	4182	 	 	1402	1385	1401	 	 	 	4186_36	 	 	 	 	 	 	 	3513_48	 	 	2367	 	 	3641_56	3640_57	 
Escherichia coli 541-15 (752785.3)	1906	 	 	 	 	 	1975_11	1974_12, 2468_12	 	 	 	926	 	 	1981	1999	1982	 	 	 	922_36	 	 	 	 	 	 	 	 	 	 	2895	 	 	3700_56	3701_57	 
Escherichia coli 5412 (1005561.3)	485	 	 	 	 	 	445_11	446_12	 	 	 	2867	 	 	439	419	438	 	 	 	 	 	 	 	 	 	 	 	1971_48	 	 	679	 	 	2132_56	2131_57	 
Escherichia coli 55989 (585055.8)	398	 	 	 	 	 	358_11	3528_12, 359_12	 	 	 	2433	 	 	352	333	351	 	 	 	2437_36	 	 	 	 	 	 	 	1627_48	 	 	580	 	 	1816_56	1815_57	 
Escherichia coli 5905 (1005558.3)	823	 	 	 	 	 	784_11	785_12	 	 	 	3277	 	 	778	759	777	 	 	 	 	 	 	 	 	 	 	 	2232_48	 	 	1016	 	 	2570_56	2569_57	 
Escherichia coli 6.0172 (1005455.3)	569	 	 	 	 	 	529_11	4063_12, 530_12	 	 	 	2983	 	 	523	502	522	 	 	 	 	 	 	 	 	 	 	 	2144_48, 2145_48	 	 	767	 	 	2334_56, 2335_56	2333_57	 
Escherichia coli 7.1982 (1051348.3)	804	 	 	 	 	 	764_11	4043_12, 765_12	 	 	 	3115	 	 	758	739	757	 	 	 	 	 	 	 	 	 	 	 	2275_48, 2276_48	 	 	1003	 	 	2452_56, 2453_56	2451_57	 
Escherichia coli 75 (752788.3)	3760	 	 	 	 	 	3798_11	1834_12, 3797_12	 	 	 	1193	 	 	3805	3818	3806	 	 	 	 	 	 	 	 	 	 	 	3857_48	 	 	3594	 	 	3978_56	3977_57	 
Escherichia coli 8.0416 (1005463.3)	420	 	 	 	 	 	379_11	380_12, 3817_12	 	 	 	2785	 	 	373	351	372	 	 	 	 	 	 	 	 	 	 	 	1852_48, 1853_48	 	 	621	 	 	2024_56, 2025_56	2023_57	 
Escherichia coli 8.0566 (1005462.3)	413	 	 	 	 	 	376_11	3235_12, 377_12	 	 	 	2183	 	 	369	 	 	 	 	 	 	 	 	 	 	 	 	 	3654_48	 	 	606	 	 	1630_56	1629_57	 
Escherichia coli 8.0569 (1005464.3)	371	 	 	 	 	 	334_11	3232_12, 335_12	 	 	 	2135	 	 	328	 	 	 	 	 	 	 	 	 	 	 	 	 	1427_48	 	 	566	 	 	1574_56	1573_57	 
Escherichia coli 8.0586 (1005461.3)	684	 	 	 	 	 	643_11	4121_12, 644_12	 	 	 	3045	 	 	637	615	636	 	 	 	 	 	 	 	 	 	 	 	2125_48, 2126_48	 	 	885	 	 	2310_56, 2311_56	2309_57	 
Escherichia coli 8.2524 (1005460.3)	453	 	 	 	 	 	412_11	3823_12, 413_12	 	 	 	2812	 	 	406	386	405	 	 	 	 	 	 	 	 	 	 	 	1916_48, 1917_48	 	 	650	 	 	2074_56, 2075_56	2073_57	 
Escherichia coli 83972 (525281.3)	2529	 	 	 	 	 	2556_11	2555_12	 	 	 	3945	 	 	2558	2570	2559	 	 	 	3949_36	 	 	 	 	 	 	 	1054_48	 	 	 	 	 	890_56	891_57	 
Escherichia coli 88.0221 (1005397.3)	691	 	 	 	 	 	650_11	3874_12, 651_12	 	 	 	2842	 	 	644	624	643	 	 	 	 	 	 	 	 	 	 	 	1956_48, 1957_48	 	 	887	 	 	2142_56, 2143_56	2141_57	 
Escherichia coli 88.1042 (1005398.3)	568	 	 	 	 	 	528_11	3901_12, 529_12	 	 	 	2891	 	 	522	501	521	 	 	 	 	 	 	 	 	 	 	 	2058_48, 2059_48	 	 	767	 	 	2230_56, 2231_56	2229_57	 
Escherichia coli 88.1467 (1005396.3)	658	 	 	 	 	 	618_11	3962_12, 619_12	 	 	 	2962	 	 	612	594	611	 	 	 	 	 	 	 	 	 	 	 	2056_48, 2057_48	 	 	856	 	 	2248_56, 2249_56	2247_57	 
Escherichia coli 89.0511 (1005399.3)	513	 	 	 	 	 	473_11	3827_12, 474_12	 	 	 	2811	 	 	467	447	466	 	 	 	 	 	 	 	 	 	 	 	4259_48, 4260_48	 	 	708	 	 	2168_56, 2169_56	2167_57	 
Escherichia coli 9.0111 (869686.4)	5412	 	 	 	 	 	5450_11	5449_12	 	 	 	1297	 	 	5455	5472	5456	 	 	 	1293_36	 	 	 	 	 	 	 	3670_48	 	 	5169	 	 	2469_56	2470_57	 
Escherichia coli 9.1649 (869685.3)	1274	 	 	 	 	 	1247_11	1248_12	 	 	 	3269	 	 	1245	1233	1244	 	 	 	3274_36	 	 	 	 	 	 	 	2491_48	 	 	1444	 	 	2631_56	2630_57	 
Escherichia coli 90.0039 (1005401.3)	426	 	 	 	 	 	386_11	3766_12, 387_12	 	 	 	2762	 	 	380	360	379	 	 	 	 	 	 	 	 	 	 	 	1834_48, 1835_48	 	 	630	 	 	2027_56, 2028_56	2026_57	 
Escherichia coli 90.0091 (1005400.3)	691	 	 	 	 	 	650_11	4157_12, 651_12	 	 	 	3134	 	 	645	624	644	 	 	 	 	 	 	 	 	 	 	 	2239_48, 2240_48	 	 	889	 	 	2432_56, 2433_56	2431_57	 
Escherichia coli 90.2281 (1005402.3)	681	 	 	 	 	 	640_11	3949_12, 641_12	 	 	 	2988	 	 	634	612	633	 	 	 	 	 	 	 	 	 	 	 	2060_48, 2061_48	 	 	877	 	 	2328_56, 2329_56	2327_57	 
Escherichia coli 900105 (10e) (869695.4)	5030	 	 	 	 	 	4989_11	4990_12	 	 	 	4099	 	 	4984	4967	4983	 	 	 	4095_36	 	 	 	 	 	 	 	 	 	 	36	 	 	4548_56	4549_57	 
Escherichia coli 93-001 (1005481.3)	659	 	 	 	 	 	619_11	3983_12, 620_12	 	 	 	3002	 	 	613	594	612	 	 	 	 	 	 	 	 	 	 	 	2174_48	 	 	853	 	 	2346_56, 2347_56	2345_57	 
Escherichia coli 93.0055 (1005403.3)	432	 	 	 	 	 	392_11	3763_12, 393_12	 	 	 	2794	 	 	386	364	385	 	 	 	 	 	 	 	 	 	 	 	1882_48, 1883_48	 	 	629	 	 	2145_56, 2146_56	2144_57	 
