Organism	gdhA	proB	proA	proC	ocd1	ocd2
Aerococcus viridans ATCC 11563 (655812.3)	996_1	1160	1161	211_5	 	480
Aerococcus viridans LL1 (1175629.3)	838_1	100	99	274_5	 	302
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	 	 	 	 
Granulicatella elegans ATCC 700633 (626369.3)	 	41	40	39_5	 	 
Enterococcus asini ATCC 700915 (1158606.4)	38_1	763	762	1239_5, 537_5	 	 
Enterococcus avium ATCC 14025 (1140002.4)	2547_1	1088, 3464	3465	114_5	 	552
Enterococcus caccae ATCC BAA-1240 (1158612.4)	795_1	2449	2450	2677_5, 729_5	 	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	2558_1	1636	1637	1204_5	 	 
Enterococcus casseliflavus EC10 (565654.4)	 	1723	 	1302_5	 	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	1138_1	219	220	1951_5	 	 
Enterococcus dispar ATCC 51266 (1139219.4)	754_1	1846	1845	1147_5, 2034_5	 	 
Enterococcus durans ATCC 6056 (1140001.4)	1806_1	2786	2787	2763_5	 	 
Enterococcus durans FB129-CNAB-4 (883162.3)	1311_1	2455	2456	2416_5	 	1547
Enterococcus durans IPLA 655 (1288492.4)	919_1, 920_1	931	932	52_5	 	 
Enterococcus faecalis 12030 (1169282.3)	1830_1	78	77	1383_5, 2547_5	 	1030, 154
Enterococcus faecalis 12107 (1158664.3)	1258_1	106	105	1914_5, 768_5	 	181
Enterococcus faecalis 1448E03 (1151193.3)	1357_1	84	83	2040_5, 894_5	 	 
Enterococcus faecalis 182970 (1151194.3)	425_1	2594	2593	1171_5, 1672_5	 	2662
Enterococcus faecalis 19116 (1151195.3)	2019_1	2752	2753	1555_5, 600_5	 	 
Enterococcus faecalis 2630V05 (1151196.3)	404_1	2245	2244	1170_5, 1984_5	 	2313
Enterococcus faecalis 2924 (1151197.3)	1230_1	112	111	1991_5, 741_5	 	182
Enterococcus faecalis 5952 (1158670.3)	1387_1	89	88	2148_5, 880_5	 	157, 547
Enterococcus faecalis 599 (1134784.3)	2180_1	668	669	162_5, 2665_5	 	 
Enterococcus faecalis 599951 (1169281.3)	1878_1	78	77	1371_5, 2712_5	 	1017, 155
Enterococcus faecalis 62 (936153.3)	1809_1	419	418	1298_5, 2581_5	 	493, 954
Enterococcus faecalis 7330082-2 (1151198.3)	387_1	2670	2671	1404_5, 1896_5	 	2596
Enterococcus faecalis 7330112-3 (1151199.3)	1463_1	2622	2621	1928_5, 2855_5, 685_5	 	 
Enterococcus faecalis 7330245-2 (1151200.3)	1493_1	78	77	2187_5, 769_5	 	 
Enterococcus faecalis 7330257-1 (1151201.3)	352_1	2638	2637	1090_5, 1542_5	 	 
Enterococcus faecalis 7330259-5 (1151202.3)	353_1	2527	2528	1094_5, 2254_5	 	 
Enterococcus faecalis 7330948-5 (1151204.3)	354_1	2532	2531	1055_5, 2005_5	 	 
Enterococcus faecalis 7430275-3 (1151205.3)	1090_1	2659	2660	1552_5, 344_5	 	 
Enterococcus faecalis 7430315-3 (1151206.3)	1000_1	1704	1705	2241_5, 358_5	 	1626
Enterococcus faecalis 7430416-3 (1151207.3)	1317_1	84	83	2003_5, 854_5	 	 
Enterococcus faecalis 7430821-4 (1151208.3)	1108_1	2478	2479	1572_5, 344_5	 	 
Enterococcus faecalis 79-3 (1169283.3)	1849_1	78	77	1373_5, 2628_5	 	1019, 153
Enterococcus faecalis A-2-1 (1169245.3)	1351_1	98	97	2202_5, 842_5	 	 
Enterococcus faecalis A-3-1 (1169246.3)	1409_1	55	54	2090_5, 875_5	 	129, 518
Enterococcus faecalis AR01/DG (565651.6)	76_1	1500	1499	2110_5, 692_5	 	1575
Enterococcus faecalis ATCC 10100 (1169312.3)	1419_1	78	77	2135_5, 908_5	 	153, 546
Enterococcus faecalis ATCC 19433 (1169286.3)	1282_1	85	84	2082_5, 826_5	 	157
Enterococcus faecalis ATCC 27275 (1158675.3)	1391_1	77	76	2104_5, 894_5	 	152, 554
Enterococcus faecalis ATCC 27959 (1158676.3)	1064_1	2622	2621	1743_5, 608_5	 	2696, 271
Enterococcus faecalis ATCC 29200 (525271.4)	599_1	2482	2483	1238_5, 1699_5	 	1906, 2413
Enterococcus faecalis ATCC 29212 (1201292.3)	2593_1	2631	2630	1315_5, 1758_5	 	2202, 2317
Enterococcus faecalis ATCC 35038 (1169290.3)	1299_1	96	95	2135_5, 806_5	 	167
Enterococcus faecalis ATCC 4200 (565642.4)	2836_1	1807	1808	1001_5, 355_5	 	1738, 641
Enterococcus faecalis ATCC 6055 (1169311.3)	1278_1	80	79	1974_5, 796_5	 	162
Enterococcus faecalis B-4-111 (1169302.3)	1654_1	504	503	1156_5, 2326_5	 	578
Enterococcus faecalis B1005 (1157378.3)	 	80	79	1060_5, 2397_5	 	 
Enterococcus faecalis B1138 (1157379.3)	 	2704	2703	1792_5, 458_5	 	 
Enterococcus faecalis B1249 (1157380.3)	 	389	388	1238_5, 2571_5	 	 
Enterococcus faecalis B1290 (1151209.3)	 	2652	2651	1248_5, 1792_5	 	 
Enterococcus faecalis B1327 (1151210.3)	 	2918	2917	2006_5, 672_5	 	 
Enterococcus faecalis B1376 (1151211.3)	 	3021	3022	1249_5, 2328_5	 	 
Enterococcus faecalis B1385 (1151212.3)	 	2921	2920	2168_5, 833_5	 	 
Enterococcus faecalis B1441 (1157342.3)	 	80	79	2268_5, 933_5	 	 
Enterococcus faecalis B1505 (1157343.3)	 	81	80	2190_5, 915_5	 	 
Enterococcus faecalis B1532 (1157344.3)	 	80	79	2263_5, 929_5	 	 
Enterococcus faecalis B15725 (1151186.3)	 	2657	2658	1544_5, 528_5	 	1880
Enterococcus faecalis B1586 (1157345.3)	 	1115	1114	1963_5, 204_5	 	 
Enterococcus faecalis B1618 (1157346.3)	 	80	79	2268_5, 933_5	 	 
Enterococcus faecalis B1623 (1157347.3)	 	507	506	1365_5, 2699_5	 	 
Enterococcus faecalis B16457 (1151187.3)	1613_1	2701	2700	2061_5, 845_5	 	2388, 2785
Enterococcus faecalis B1678 (1157348.3)	 	79	78	2259_5, 925_5	 	 
Enterococcus faecalis B1696 (1157349.3)	 	80	79	2188_5, 916_5	 	 
Enterococcus faecalis B1719 (1157350.3)	 	80	79	2283_5, 946_5	 	 
Enterococcus faecalis B1734 (1157351.3)	 	80	79	2269_5, 934_5	 	 
Enterococcus faecalis B1843 (1157352.3)	 	80	79	2269_5, 932_5	 	 
Enterococcus faecalis B1851 (1157381.3)	 	80	79	2265_5, 932_5	 	 
Enterococcus faecalis B1874 (1157353.3)	 	80	79	2252_5, 919_5	 	 
Enterococcus faecalis B1921 (1157382.3)	1307_1	78	77	1954_5, 859_5	 	 
Enterococcus faecalis B1933 (1157383.3)	 	81	80	2270_5, 936_5	 	 
Enterococcus faecalis B2202 (1157384.3)	 	80	79	2258_5, 925_5	 	 
Enterococcus faecalis B2207 (1157354.3)	1310_1	78	77	1959_5, 862_5	 	 
Enterococcus faecalis B2211 (1157385.3)	 	80	79	1006_5, 2341_5	 	 
Enterococcus faecalis B2255 (1157355.3)	 	80	79	2257_5, 924_5	 	 
Enterococcus faecalis B2277 (1157386.3)	 	80	79	1012_5, 2352_5	 	 
Enterococcus faecalis B2391 (1157356.3)	 	80	79	2259_5, 925_5	 	 
Enterococcus faecalis B2488 (1157357.3)	 	80	79	2256_5, 922_5	 	 
Enterococcus faecalis B2535 (1157358.3)	 	81	80	2257_5, 919_5	 	 
Enterococcus faecalis B2557 (1157359.3)	 	80	79	2263_5, 927_5	 	 
Enterococcus faecalis B2593 (1157360.3)	 	424	423	1272_5, 2606_5	 	 
Enterococcus faecalis B2670 (1157387.3)	 	80	79	2255_5, 922_5	 	 
Enterococcus faecalis B2685 (1157388.3)	 	80	79	2257_5, 921_5	 	 
Enterococcus faecalis B2687 (1157389.3)	 	391	390	1251_5, 2587_5	 	 
Enterococcus faecalis B2802 (1157390.3)	 	56	55	1015_5, 2349_5	 	 
Enterococcus faecalis B2864 (1157392.3)	 	80	79	2264_5, 930_5	 	 
Enterococcus faecalis B2867 (1157393.3)	 	85	84	1013_5, 2350_5	 	 
Enterococcus faecalis B2949 (1157394.3)	 	80	79	2298_5, 967_5	 	 
Enterococcus faecalis B3031 (1157361.3)	 	80	79	2260_5, 928_5	 	 
Enterococcus faecalis B3042 (1157362.3)	 	80	79	2193_5, 919_5	 	 
Enterococcus faecalis B3053 (1157363.3)	 	81	80	2277_5, 941_5	 	 
Enterococcus faecalis B3119 (1157395.3)	 	81	80	1007_5, 2343_5	 	 
Enterococcus faecalis B3126 (1157364.3)	 	81	80	2296_5, 959_5	 	 
Enterococcus faecalis B3196 (1157396.3)	 	81	80	1015_5, 2348_5	 	 
Enterococcus faecalis B3286 (1157397.3)	 	81	80	2316_5, 982_5	 	 
Enterococcus faecalis B3336 (1157398.3)	 	98	97	2218_5, 935_5	 	 
Enterococcus faecalis B4008 (1157399.3)	 	80	79	1016_5, 2353_5	 	 
Enterococcus faecalis B4018 (1157400.3)	 	80	79	2310_5, 975_5	 	 
Enterococcus faecalis B4148 (1157401.3)	 	79	78	2326_5, 990_5	 	 
Enterococcus faecalis B4163 (1157402.3)	 	407	406	1338_5, 2672_5	 	 
Enterococcus faecalis B4259 (1157403.3)	 	81	80	1030_5, 2365_5	 	 
Enterococcus faecalis B4267 (1157404.3)	 	81	80	1016_5, 2351_5	 	 
Enterococcus faecalis B4270 (1157405.3)	 	55	54	2242_5, 907_5	 	 
Enterococcus faecalis B4411 (1157406.3)	 	408	407	1324_5, 2658_5	 	 
Enterococcus faecalis B4568 (1157407.3)	 	81	80	2287_5, 953_5	 	 
Enterococcus faecalis B4638 (1157408.3)	 	81	80	2258_5, 924_5	 	 
Enterococcus faecalis B4672 (1157409.3)	 	81	80	2265_5, 932_5	 	 
Enterococcus faecalis B4674 (1157410.3)	 	2931	2930	2017_5, 682_5	 	 
Enterococcus faecalis B4969 (1157411.3)	 	80	79	2280_5, 939_5	 	 
Enterococcus faecalis B5035 (1158632.3)	 	80	79	1004_5, 2337_5	 	 
Enterococcus faecalis B5076 (1157412.3)	 	81	80	2129_5, 855_5	 	 
Enterococcus faecalis B56765 (1151188.3)	1344_1	3005	3004	2341_5, 512_5	 	3072
Enterococcus faecalis B594 (1157365.3)	 	80	79	2265_5, 933_5	 	 
Enterococcus faecalis B653 (1169309.3)	1146_1	71	70	1777_5, 701_5	 	138
Enterococcus faecalis B69486 (1151189.3)	 	2634	2633	1792_5, 438_5	 	2164
Enterococcus faecalis B84847 (1151190.3)	418_1	2636	2635	1134_5, 2119_5	 	2707
Enterococcus faecalis B878 (1157366.3)	 	54	53	2242_5, 906_5	 	 
Enterococcus faecalis B939 (1157367.3)	 	80	79	2251_5, 915_5	 	 
Enterococcus faecalis C19315WT (1151191.3)	1378_1	83	82	2253_5, 899_5	 	152
Enterococcus faecalis CH116 (1158660.3)	1412_1	89	88	2172_5, 972_5	 	161, 650
Enterococcus faecalis CH136 (1158661.3)	1364_1	88	87	2122_5, 927_5	 	161, 608
Enterococcus faecalis CH188 (565644.5)	1058_1	87	86	1941_5, 731_5	 	157, 416
Enterococcus faecalis CH19 (1158627.3)	1381_1	88	87	2144_5, 945_5	 	162, 625
Enterococcus faecalis CH570 (1158656.3)	 	155	154	2273_5, 983_5	 	 
Enterococcus faecalis Com 2 (1158633.3)	1446_1	77	76	2114_5, 949_5	 	 
Enterococcus faecalis Com 6 (1158634.3)	1252_1	79	78	1979_5, 756_5	 	154
Enterococcus faecalis Com1 (1158671.3)	1422_1	77	76	2090_5, 952_5	 	 
Enterococcus faecalis Com7 (1169306.3)	1343_1	80	79	2078_5, 821_5	 	148
Enterococcus faecalis D1 (1169247.3)	1340_1	88	87	2036_5, 823_5	 	161
Enterococcus faecalis D173 (1169310.3)	1286_1	123	122	2010_5, 839_5	 	199, 497
Enterococcus faecalis D3 (1169288.3)	1511_1	79	78	2196_5, 772_5	 	 
Enterococcus faecalis D32 (1206105.3)	1242_1	38	37	2062_5, 779_5	 	111
Enterococcus faecalis D6 (565650.5)	2190_1	1883	1882	1452_5, 595_5	 	 
Enterococcus faecalis DAPTO 512 (749489.3)	1642_1	2887	2888	1218_5, 425_5	 	233, 2820
Enterococcus faecalis DAPTO 516 (749490.3)	1032_1	2671	2672	2288_5, 509_5	 	2603, 318
Enterococcus faecalis DS16 (1158677.3)	1239_1	77	76	1920_5, 757_5	 	152
Enterococcus faecalis DS5 (565643.5)	2772_1	524	525	278_5, 999_5	 	1322, 451
Enterococcus faecalis E1 (1158673.3)	1369_1	76	75	2048_5, 879_5	 	153, 540
Enterococcus faecalis E1Sol (565647.5)	1898_1	1063	1062	2646_5, 556_5	 	1140
Enterococcus faecalis E99 (1169284.3)	1445_1	100	99	2195_5, 954_5, 955_5	 	167, 571
Enterococcus faecalis ERV103 (1134785.3)	 	2535	2534	213_5, 2967_5	 	 
Enterococcus faecalis ERV116 (1134786.3)	 	731	732	1359_5, 2892_5	 	 
Enterococcus faecalis ERV129 (1134787.3)	 	2542	2543	1599_5, 683_5	 	 
Enterococcus faecalis ERV25 (1134788.3)	 	1919	1918	1058_5, 930_5	 	 
Enterococcus faecalis ERV31 (1134789.3)	 	2143	2142	499_5, 979_5	 	 
Enterococcus faecalis ERV37 (1134790.3)	 	448	447	1661_5, 28_5	 	 
Enterococcus faecalis ERV41 (1134791.3)	 	2990	2989	113_5, 1937_5	 	 
Enterococcus faecalis ERV62 (1134792.3)	 	975	976	1064_5, 1361_5	 	 
Enterococcus faecalis ERV63 (1134793.3)	 	2539	2540	2883_5, 605_5	 	 
Enterococcus faecalis ERV65 (1134794.3)	 	374	373	1762_5, 2694_5	 	 
Enterococcus faecalis ERV68 (1134795.3)	 	320	319	1999_5, 497_5	 	 
Enterococcus faecalis ERV72 (1134796.3)	 	605	606	1777_5, 2341_5	 	 
Enterococcus faecalis ERV81 (1134798.3)	 	1623	1624	1062_5, 909_5	 	 
Enterococcus faecalis ERV85 (1134799.3)	 	1220	1219	1697_5, 633_5	 	 
Enterococcus faecalis ERV93 (1134800.3)	 	2503	2504	1676_5, 1831_5	 	 
Enterococcus faecalis EnGen0253 (1158540.3)	1322_1	88	87	2010_5, 849_5	 	160, 514
Enterococcus faecalis F1 (1169297.3)	1453_1	80	79	2173_5, 932_5	 	148
Enterococcus faecalis FA2-2 (1158622.3)	1638_1	77	76	1196_5, 2446_5	 	150, 859
Enterococcus faecalis Fly 2 (1169303.3)	1230_1	81	80	1878_5, 781_5	 	204
Enterococcus faecalis Fly1 (565649.5)	1999_1	977	976	1225_5, 648_5	 	 
Enterococcus faecalis HEF39 (1157368.3)	1365_1	83	82	2062_5, 908_5	 	 
Enterococcus faecalis HH22 (491075.3)	 	2339, 2340	2338	1570_5, 963_5	 	 
Enterococcus faecalis HIP11704 (565646.5)	2311_1	1495	1494	1193_5, 1931_5, 1932_5	 	1560, 1846
Enterococcus faecalis JH1 (565648.4)	2479_1	1078	1079	1972_5, 294_5	 	1257
Enterococcus faecalis M7 (1111677.3)	835_1	2376	2377	1613_5, 686_5	 	2568
Enterococcus faecalis MMH594 (1158653.5)	 	80	79	2267_5, 931_5	 	 
Enterococcus faecalis Merz151 (1169304.3)	 	79	78	2151_5, 948_5	 	 
Enterococcus faecalis Merz192 (1169248.3)	1392_1	79	78	2081_5, 878_5	 	154, 539
Enterococcus faecalis Merz204 (1169249.3)	1401_1	96	95	2028_5, 950_5	 	171, 611
Enterococcus faecalis Merz89 (1169250.3)	1385_1	97	96	2070_5, 892_5	 	172, 554
Enterococcus faecalis Merz96 (565645.4)	2032_1	1176	1177	1364_5, 379_5	 	1110, 55
Enterococcus faecalis Ned10 (1158657.3)	1371_1	88	87	2126_5, 905_5	 	162, 583
Enterococcus faecalis OG1RF (474186.5)	1167_1	35	34	1803_5, 667_5	 	109
Enterococcus faecalis OG1X (1027372.3)	1598_1	2035	2034	497_5, 939_5	 	2374
Enterococcus faecalis PC1.1 (702448.3)	815_1	1835	1836	1813_5	 	1152
Enterococcus faecalis Pan7 (1158666.3)	1418_1	109	108	2147_5, 966_5	 	235, 634
Enterococcus faecalis R508 (1134801.3)	524_1	948	949	2209_5, 659_5	 	2010
Enterococcus faecalis R712 (699186.3)	215_1	124	123	1279_5, 1517_5	 	2382, 2420
Enterococcus faecalis RC73 (1158678.3)	1440_1	96	95	2122_5, 914_5	 	171, 558
Enterococcus faecalis RM3817 (1158674.3)	1061_1	2628	2627	1741_5, 612_5	 	2703, 275
Enterococcus faecalis RM4679 (1158625.3)	1510_1	127	126	1046_5, 2334_5	 	202, 668
Enterococcus faecalis RMC1 (1169299.3)	1450_1	87	86	2316_5, 925_5	 	161, 587
Enterococcus faecalis RMC5 (1169289.3)	1210_1	86	85	1876_5, 757_5	 	 
Enterococcus faecalis RMC65 (1169308.3)	1325_1	78	77	1985_5, 806_5	 	155
Enterococcus faecalis S613 (699185.3)	2523_1	128	129	1929_5, 703_5	 	1836, 2367
Enterococcus faecalis SF100 (1158654.3)	 	205	204	2260_5, 984_5	 	 
Enterococcus faecalis SF105 (1158658.3)	1866_1	87	86	1342_5, 2623_5	 	1019, 162
Enterococcus faecalis SF1592 (1158630.3)	 	110	109	2189_5, 905_5	 	 
Enterococcus faecalis SF19 (1158629.3)	 	78	77	2233_5, 958_5	 	 
Enterococcus faecalis SF21520 (1169313.3)	 	79	78	2158_5, 927_5	 	 
Enterococcus faecalis SF21521 (1158668.3)	1152_1	2808	2807	1917_5, 649_5	 	2876
Enterococcus faecalis SF24396 (1158665.3)	1294_1	97	96	2019_5, 843_5	 	171, 511
Enterococcus faecalis SF24397 (1158618.3)	 	89	88	2161_5, 990_5	 	652
Enterococcus faecalis SF24413 (1158619.3)	 	91	90	2208_5, 992_5	 	 
Enterococcus faecalis SF26630 (1158620.3)	 	79	78	2275_5, 958_5	 	 
Enterococcus faecalis SF28073 (1158624.3)	 	2907	2906	1960_5, 752_5	 	423
Enterococcus faecalis SF339 (1169305.3)	1389_1	64	63	2213_5, 934_5	 	139
Enterococcus faecalis SF350 (1169251.3)	1833_1	109	108	1331_5, 2624_5	 	183, 975
Enterococcus faecalis SF370 (1158655.3)	 	78	77	2301_5, 961_5	 	 
Enterococcus faecalis SF5039 (1169252.3)	1555_1	98	97	1047_5, 2280_5	 	171, 694
Enterococcus faecalis SF6375 (1169280.3)	1216_1	96	95	1938_5, 709_5	 	169, 358
Enterococcus faecalis SS-6 (1158621.3)	1374_1	79	78	2136_5, 874_5	 	153
Enterococcus faecalis SS-7 (1169298.3)	1329_1	79	78	2040_5, 870_5	 	151
Enterococcus faecalis T1 (565636.4)	1977_1	1035	1034	2612_5, 681_5	 	1106
Enterococcus faecalis T10 (1169295.3)	1218_1	87	86	1890_5, 762_5	 	164
Enterococcus faecalis T11 (565640.5)	 	1050	1051	1634_5, 790_5	 	979
Enterococcus faecalis T12 (1169287.3)	1351_1	112	111	2027_5, 886_5	 	 
Enterococcus faecalis T13 (1158663.3)	1250_1	87	86	1942_5, 744_5	 	161
Enterococcus faecalis T14 (1158626.3)	1391_1	88	87	2146_5, 926_5	 	161, 606
Enterococcus faecalis T16 (1158662.3)	1365_1	78	77	2090_5, 911_5	 	153, 580
Enterococcus faecalis T17 (1169292.3)	1396_1	80	79	2160_5, 876_5	 	153, 539
Enterococcus faecalis T18 (1169296.3)	1216_1	78	77	1951_5, 782_5	 	147
Enterococcus faecalis T19 (1169300.3)	1361_1	77	76	2159_5, 919_5	 	151, 506
Enterococcus faecalis T2 (565637.4)	2151_1	1300	1299	2805_5, 555_5	 	1365
Enterococcus faecalis T20 (1169285.3)	1186_1	78	77	1858_5, 750_5	 	151
Enterococcus faecalis T21 (1158669.3)	1356_1	89	88	2073_5, 901_5	 	158, 569
Enterococcus faecalis T3 (565638.4)	1802_1	978	977	2494_5, 814_5	 	1053
Enterococcus faecalis T4 (1169253.3)	1297_1	98	97	2153_5, 844_5	 	 
Enterococcus faecalis T5 (1169293.3)	1467_1	266	265	2153_5, 971_5	 	338
Enterococcus faecalis T6 (1169291.3)	1346_1	93	92	1988_5, 347_5, 898_5	 	159
Enterococcus faecalis T7 (1169254.3)	1712_1	78	77	1267_5, 2429_5	 	151, 855
Enterococcus faecalis T8 (565639.4)	514_1	2702	2701	1210_5, 2061_5	 	1951, 2773
Enterococcus faecalis T9 (1169294.3)	1338_1	79	78	2097_5, 729_5	 	154
Enterococcus faecalis TR161 (1169314.3)	 	78	77	2287_5, 953_5	 	621
Enterococcus faecalis TR197 (1169307.3)	 	78	77	1061_5, 2363_5	 	 
Enterococcus faecalis TUSoD Ef11 (553209.3)	578_1	2111	2110	1460_5, 337_5	 	1744
Enterococcus faecalis TX0012 (749496.3)	1223_1	505	504	1768_5, 2160_5	 	577
Enterococcus faecalis TX0017 (749497.3)	164_1	539	540	1191_5, 1565_5	 	2650, 2762
Enterococcus faecalis TX0027 (749498.3)	204_1	818	819	1460_5, 2836_5	 	2716, 745
Enterococcus faecalis TX0031 (749499.3)	2303_1	1104	1105	1486_5, 2453_5	 	1028
Enterococcus faecalis TX0043 (749500.3)	1524_1	2237	2238	1763_5, 2179_5	 	1049, 743
Enterococcus faecalis TX0102 (749501.3)	507_1	1507	1506	1794_5, 2467_5	 	1582, 1988
Enterococcus faecalis TX0104 (491074.3)	 	2163	2164	2006_5, 973_5	 	 
Enterococcus faecalis TX0109 (749502.3)	2222_1	608	609	1073_5, 286_5	 	538
Enterococcus faecalis TX0309A (749503.3)	 	1024	1025	1294_5, 2715_5	 	 
Enterococcus faecalis TX0309B (749504.3)	 	2293	2294	1910_5, 2077_5	 	 
Enterococcus faecalis TX0312 (749505.3)	2002_1	1643	1644	1032_5, 2503_5	 	1570, 471
Enterococcus faecalis TX0411 (749506.3)	1593_1	3075	3074	1190_5, 772_5	 	1757, 182
Enterococcus faecalis TX0470 (749507.3)	1389_1	1934	1935	2152_5, 608_5	 	1854
Enterococcus faecalis TX0630 (749508.3)	2145_1	1116	1117	2337_5, 692_5	 	2632, 2685
Enterococcus faecalis TX0635 = WH245 (749509.5)	1316_1	90	89	2137_5, 847_5	 	164
Enterococcus faecalis TX0645 (749510.3)	2968_1	121	120	1702_5, 429_5	 	2530, 2644
Enterococcus faecalis TX0855 (749511.3)	1918_1	2576	2575	253_5, 676_5	 	2642
Enterococcus faecalis TX0860 (749512.3)	763_1	2080	2079	1234_5, 2850_5	 	1440
Enterococcus faecalis TX1322 (525278.3)	610_1	2643	2644	1262_5, 1804_5	 	1461, 2571
Enterococcus faecalis TX1337RF (1134802.3)	2420_1	455	454	477_5	 	 
Enterococcus faecalis TX1341 (749514.3)	2454_1	1046	1045	1310_5, 2762_5	 	1116
Enterococcus faecalis TX1346 (749516.3)	2654_1	784	785	1336_5, 1520_5	 	2276
Enterococcus faecalis TX2134 (749518.3)	2852_1	1764	1763	2572_5, 908_5	 	1831, 2527
Enterococcus faecalis TX2137 (749491.3)	780_1	1418	1419	1063_5, 2706_5	 	 
Enterococcus faecalis TX2141 (749492.3)	1708_1	2452	2453	1332_5, 1726_5	 	2826
Enterococcus faecalis TX4000 (749493.3)	992_1	1355	1356	1240_5, 816_5	 	2190, 484
Enterococcus faecalis TX4244 (749494.3)	1353_1	57	58	1015_5, 2329_5	 	1914
Enterococcus faecalis TX4248 (749495.4)	2961_1	1021	1020	172_5, 2702_5	 	1095, 355
Enterococcus faecalis UAA1014 (1158546.3)	1431_1	185	184	2089_5, 926_5	 	257
Enterococcus faecalis UAA1180 (1158552.3)	1206_1	2727	2726	1867_5, 698_5	 	2799
Enterococcus faecalis UAA1489 (1158976.3)	 	80	79	2367_5, 947_5	 	 
Enterococcus faecalis UAA409 (1158637.3)	1158_1	2739	2740	1969_5, 715_5	 	2665, 377
Enterococcus faecalis UAA702 (1158640.3)	1317_1	81	80	2189_5, 842_5	 	152
Enterococcus faecalis UAA769 (1157369.3)	1618_1	98	97	1033_5, 2369_5	 	170
Enterococcus faecalis UAA823 (1157370.3)	 	78	77	2273_5, 987_5	 	652
Enterococcus faecalis UAA902 (1157371.3)	1386_1	100	99	2014_5, 755_5	 	170
Enterococcus faecalis UAA903 (1157372.3)	1386_1	101	100	2015_5, 753_5	 	171
Enterococcus faecalis UAA904 (1157373.3)	1379_1	100	99	2007_5, 750_5	 	170
Enterococcus faecalis UAA905 (1157374.3)	1378_1	100	99	2006_5, 751_5	 	170
Enterococcus faecalis UAA906 (1157375.3)	1346_1	100	99	1974_5, 752_5	 	170
Enterococcus faecalis UAA907 (1157376.3)	1442_1	100	99	2070_5, 753_5	 	171
Enterococcus faecalis UAA943 (1157377.3)	1381_1	100	99	2073_5, 754_5	 	171
Enterococcus faecalis UAA948 (1158542.3)	1508_1	165	164	1035_5, 2198_5	 	237, 703
Enterococcus faecalis V583 (226185.9)	 	35	34	2262_5, 895_5	 	 
Enterococcus faecalis V587 (1158623.3)	 	2958	2957	2069_5, 676_5	 	 
Enterococcus faecalis WH257 (1158628.3)	1255_1	21	20	2069_5, 787_5	 	466, 97
Enterococcus faecalis WH571 (1158631.3)	1357_1	92	91	2186_5, 890_5	 	167, 572
Enterococcus faecalis X98 (565641.4)	1940_1	1104	1103	2588_5, 720_5	 	1179, 390
Enterococcus faecalis YI6-1 (1158667.3)	1372_1	96	95	2075_5, 936_5	 	164
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	392_1	2844	2843	1265_5, 2029_5	 	2913
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	1240_1	39	38	1949_5, 784_5	 	111
Enterococcus faecium 1,141,733 (565659.3)	270_1	2197	2198	2176_5	 	 
Enterococcus faecium 1,230,933 (565656.3)	580_1	1854	1853	1876_5	 	1771
Enterococcus faecium 1,231,408 (565661.4)	2605_1	1905	1904	1925_5	 	745
Enterococcus faecium 1,231,410 (565660.4)	2590_1	2379	2378	2400_5	 	1140
Enterococcus faecium 1,231,501 (565658.4)	417_1	2314	2315	2292_5	 	109
Enterococcus faecium 1,231,502 (565657.5)	2373_1	1525	1524	1547_5	 	1632, 1843
Enterococcus faecium 109 A1 (1157416.3)	1576_1	824	823	846_5	 	1828
Enterococcus faecium 2006-70-121 (1157417.3)	22_1	2337	2338	2314_5	 	285
Enterococcus faecium 504 (1134805.3)	1543_1	2352	2353	2329_5	 	2256
Enterococcus faecium 505 (1134806.3)	709_1	1073	1072	1146_5	 	1603
Enterococcus faecium 7330381-1 (1157419.3)	2351_1	1322	1321	1344_5	 	946
Enterococcus faecium 7330446-2 (1157420.3)	1103_1	992	991	1016_5	 	2028
Enterococcus faecium 7330519-3 (1157421.3)	679_1	530	529	554_5	 	1544
Enterococcus faecium 7330614-1 (1157422.3)	1445_1	2455	2456	2433_5	 	1673
Enterococcus faecium 7330884-2 (1157423.3)	1050_1	2278	2279	2254_5	 	1929
Enterococcus faecium 7430166-3 (1157424.3)	1061_1	2491	2492	2467_5	 	2029
Enterococcus faecium 841V03 (1157425.3)	1306_1	2564	2565	2540_5	 	1070
Enterococcus faecium 9730219-1 (1157429.3)	455_1	2480	2481	2458_5	 	1318
Enterococcus faecium 9730357-1 (1157430.3)	1728_1	72	73	48_5	 	878
Enterococcus faecium 9731349-1 (1157431.3)	1882_1	488	487	512_5	 	2117
Enterococcus faecium 9731352-4 (1157432.3)	772_1	2556	2557	2532_5	 	1735
Enterococcus faecium 9830091-5 (1157433.3)	674_1	527	526	551_5	 	2193
Enterococcus faecium 9830512-2 (1157435.3)	1500_1	523	522	547_5	 	1273
Enterococcus faecium 9830565-4 (1157437.3)	1674_1	72	73	48_5	 	1475
Enterococcus faecium 9930238-2 (1157440.3)	1671_1	467	466	489_5	 	1422
