Organism	PANF	KPHMT	KPRED	ASPDC	PBAL	PANK	PPCS	PPCDC	DPCK	PPAT	PanT
Enterococcus faecalis Ned10 (1158657.3)	 	1715	1534, 2147, 306	1712	1713, 1714	190_7	2312	2313	827_12	2153_15	 
Enterococcus faecalis OG1RF (474186.5)	 	 	1328, 1825	 	 	113_7	1974	1975	590_12	1832_15	 
Enterococcus faecalis OG1X (1027372.3)	 	 	1739, 519	 	 	2379_7	579	580	861_12	527_15	 
Enterococcus faecalis PC1.1 (702448.3)	 	 	268	 	 	2359_7	1084	1083	597_12	502_15	1082, 455
Enterococcus faecalis Pan7 (1158666.3)	 	 	1585, 2168, 504	 	 	251_7	2319	2320	887_12	2174_15	 
Enterococcus faecalis R508 (1134801.3)	 	 	1224, 2188, 2501	 	 	870_7	1028	1027	738_12	2182_15	 
Enterococcus faecalis R712 (699186.3)	 	448	1257, 675	450	449	2290_7	1681	1680	1442_12	1251_15	 
Enterococcus faecalis RC73 (1158678.3)	 	 	1601, 2143	 	 	188_7	2294	2295	835_12	2149_15	 
Enterococcus faecalis RM3817 (1158674.3)	 	 	1223, 1762	 	 	2720_7	1917	1918	534_12	1768_15	 
Enterococcus faecalis RM4679 (1158625.3)	 	1919	1739, 2355	1917	1918	232_7	2521	2522	968_12	2361_15	 
Enterococcus faecalis RMC1 (1169299.3)	 	1855	1682, 2337, 440	1853	1854	189_7	2496	2497	845_12	2343_15	2498
Enterococcus faecalis RMC5 (1169289.3)	 	 	1376, 1897	 	 	158_7	2060	2061	679_12	1903_15	 
Enterococcus faecalis RMC65 (1169308.3)	 	 	1498, 2006	 	 	171_7	2154	2155	727_12	2012_15	 
Enterococcus faecalis S613 (699185.3)	 	83	2748, 724	81	82	1343_7	269	268	2008_12	730_15	 
Enterococcus faecalis SF100 (1158654.3)	 	1845	1651, 2281	1842	1843, 1844	303_7	2440	2441	906_12	2287_15	 
Enterococcus faecalis SF105 (1158658.3)	 	2209	2029, 2644	2207	2208	191_7	2808	2809	1263_12	2650_15	 
Enterococcus faecalis SF1592 (1158630.3)	 	1775	1571, 2210	1773	1774	207_7	2370	2371	828_12	2216_15	 
Enterococcus faecalis SF19 (1158629.3)	 	1819	1625, 2254	1816	1817, 1818	176_7	2415	2416	880_12	2260_15	 
Enterococcus faecalis SF21520 (1169313.3)	 	1794, 1810	1597, 2179	1789	1790, 1791	176_7	2341	2342	850_12	2185_15	 
Enterococcus faecalis SF21521 (1158668.3)	 	1494	1321, 1938, 367	1492	1493	2891_7	2138	2139	571_12	1944_15	2140
Enterococcus faecalis SF24396 (1158665.3)	 	 	1461, 2040, 440	 	 	187_7	2191	2192	764_12	2046_15	 
Enterococcus faecalis SF24397 (1158618.3)	 	1798	1604, 2182, 348	1796	1797	223_7	2348	2349	906_12	2189_15	 
Enterococcus faecalis SF24413 (1158619.3)	 	1798	1603, 2229, 351	1795	1796, 1797	225_7	2395	2396	908_12	2236_15	 
Enterococcus faecalis SF26630 (1158620.3)	 	1751	1555, 2296, 612	1749	1750	254_7	2456	2457	879_12	2302_15	 
Enterococcus faecalis SF28073 (1158624.3)	 	1556	1360, 157, 1981	1553	1554, 1555	32_7	2147	2148	674_12	1988_15	 
Enterococcus faecalis SF339 (1169305.3)	 	1736	1553, 2234	1734	1735	186_7	2398	2399	854_12	2240_15	 
Enterococcus faecalis SF350 (1169251.3)	 	2236	2062, 2645, 488	2234	2235	216_7	2815	2816	1253_12	2651_15	 
Enterococcus faecalis SF370 (1158655.3)	 	1823	1627, 2322, 529	1821	1822	201_7	2516	2517	883_12	2328_15	 
Enterococcus faecalis SF5039 (1169252.3)	 	1891	1717, 2301, 462	1889	1890	204_7	2472	2473	969_12	2307_15	 
Enterococcus faecalis SF6375 (1169280.3)	 	1552	1378, 1959, 2410	1550	1551	202_7	2130	2131	631_12	1965_15	 
Enterococcus faecalis SS-6 (1158621.3)	 	 	1541, 2157, 481	 	 	169_7	2308	2309	795_12	2163_15	 
Enterococcus faecalis SS-7 (1169298.3)	 	 	1499, 2063, 443	 	 	156_7	2226	2227	786_12	2069_15	 
Enterococcus faecalis T1 (565636.4)	 	 	1765, 2590, 895	 	 	1119_7	2442	2441	602_12	2584_15	 
Enterococcus faecalis T10 (1169295.3)	 	 	1386, 1911	 	 	179_7	2063	2064	684_12	1917_15	2065
Enterococcus faecalis T11 (565640.5)	 	 	1141, 1655	 	 	971_7	1814	1815	710_12	1661_15	 
Enterococcus faecalis T12 (1169287.3)	 	 	1507, 20, 2048	 	 	182_7	2209	2210	808_12	2054_15	 
Enterococcus faecalis T13 (1158663.3)	 	 	1416, 1964	 	 	176_7	2115	2116	666_12	1970_15	 
Enterococcus faecalis T14 (1158626.3)	 	1733	1552, 2167	1731	1732	190_7	2331	2332	848_12	2173_15	 
Enterococcus faecalis T16 (1158662.3)	 	 	1538, 2111, 427	 	 	169_7	2263	2264	832_12	2117_15	 
Enterococcus faecalis T17 (1169292.3)	 	1803	1614, 2181, 423	1801	1802	169_7	2334	2335	797_12	2187_15	 
Enterococcus faecalis T18 (1169296.3)	 	 	1378, 1972	 	 	154_7	2130	2131	704_12	1978_15	 
Enterococcus faecalis T19 (1169300.3)	 	 	1522, 2180	 	 	157_7	2333	2334	841_12	2188_15	 
Enterococcus faecalis T2 (565637.4)	 	1782	187, 1986, 2784	1784	1783	1114_7	2622	2621	478_12	2778_15	2620
Enterococcus faecalis T20 (1169285.3)	 	 	1353, 1879	 	 	167_7	2031	2032	671_12	1886_15	 
Enterococcus faecalis T21 (1158669.3)	 	1695	1522, 2094, 413	1693	1694	163_7	2255	2256	823_12	2100_15	 
Enterococcus faecalis T3 (565638.4)	 	 	1965, 2515, 2534	 	 	1058_7	1326	1327	736_12	2522_15	 
Enterococcus faecalis T4 (1169253.3)	 	1698	1469, 2174, 430	1695	1696, 1697	176_7	2326	2327	764_12	2180_15	 
Enterococcus faecalis T5 (1169293.3)	 	 	1629, 2174	 	 	343_7	2334	2335	894_12	2180_15	 
Enterococcus faecalis T6 (1169291.3)	 	 	1508, 2009	 	 	163_7	2195	2196	817_12	2015_15	 
Enterococcus faecalis T7 (1169254.3)	 	2045	1872, 2451, 2883, 432	2043	2044	184_7	2621	2622	1189_12	2457_15	 
Enterococcus faecalis T8 (565639.4)	 	898	149, 288, 289, 669	896	897	2809_7	1384	1385	2139_12	1236_15	1386
Enterococcus faecalis T9 (1169294.3)	 	 	1501, 2118	 	 	165_7	2266	2267	642_12	2124_15	 
Enterococcus faecalis TR161 (1169314.3)	 	1810	1615, 2308, 524	1808	1809	201_7	2499	2500	875_12	2314_15	 
Enterococcus faecalis TR197 (1169307.3)	 	 	1744, 2385	 	 	192_7	2538	2539	982_12	2391_15	 
Enterococcus faecalis TUSoD Ef11 (553209.3)	 	 	1265, 315, 505	 	 	1772_7	1164	1163	876_12	309_15	 
Enterococcus faecalis TX0012 (749496.3)	 	 	1063, 1747	 	 	624_7	1594	1593	2083_12	1740_15	 
Enterococcus faecalis TX0017 (749497.3)	 	846	1212, 397, 896	844	845	2777_7	1367	1368	1645_12	1218_15	 
Enterococcus faecalis TX0027 (749498.3)	 	 	1439, 366	 	 	1228_7	1952	1953	2757_12	1433_15	 
Enterococcus faecalis TX0031 (749499.3)	 	 	2137, 2474	 	 	1013_7	2624	2625	1408_12	2480_15	2626
Enterococcus faecalis TX0043 (749500.3)	 	 	1171, 1351, 1784	 	 	1065_7	1934	1935	2100_12	1790_15	 
Enterococcus faecalis TX0102 (749501.3)	 	 	2488, 673	 	 	1597_7	2640	2641	1872_12	2494_15	2642
Enterococcus faecalis TX0104 (491074.3)	 	1555	2349, 269, 952	1557	1556	2807_7	789	788	2703_12	945_15	 
Enterococcus faecalis TX0109 (749502.3)	 	 	1052, 1348, 2387	 	 	527_7	906	905	207_12	1045_15	 
Enterococcus faecalis TX0309A (749503.3)	 	2095	2298, 2736	2093	2094	909_7	105	106	1216_12	2742_15	 
Enterococcus faecalis TX0309B (749504.3)	 	1864	1889, 445	1866	1865	2657_7	187	188	2154_12	1883_15	 
Enterococcus faecalis TX0312 (749505.3)	 	 	1011, 1352, 2171	 	 	1553_7	859	858	2425_12	1005_15	 
Enterococcus faecalis TX0411 (749506.3)	 	1886	2057, 751, 847	1888	1887	1785_7	593	592	1110_12	745_15	591
Enterococcus faecalis TX0470 (749507.3)	 	 	289, 629	 	 	1839_7	776	777	2230_12	635_15	 
Enterococcus faecalis TX0630 (749508.3)	 	1770	1958, 671	1768	1769	376_7	505	504	2416_12	665_15	 
Enterococcus faecalis TX0635 = WH245 (749509.5)	 	1738	1552, 2158	1736	1737	192_7	2327	2328	768_12	2164_15	 
Enterococcus faecalis TX0645 (749510.3)	 	959	1681, 2796	957	958	2548_7	1172	1173	508_12	1675_15	 
Enterococcus faecalis TX0855 (749511.3)	 	1579	1756, 2156, 275	1581	1580	2655_7	431	432	590_12	281_15	 
Enterococcus faecalis TX0860 (749512.3)	 	116	1971, 2829, 286	118	117	839_7	2667	2666	704_12	2823_15	2665
Enterococcus faecalis TX1322 (525278.3)	 	271	1241, 2310, 451	273	272	2556_7	1077	1076	1726_12	1235_15	 
Enterococcus faecalis TX1337RF (1134802.3)	 	 	1222, 2007	 	 	1159_7	179	178	2102_12	2591_15	177, 948
Enterococcus faecalis TX1341 (749514.3)	 	 	2741, 364	 	 	1123_7	763	764	1388_12	2734_15	 
Enterococcus faecalis TX1346 (749516.3)	 	 	1358, 2487	 	 	2268_7	1204	1203	107_12	902_15	 
Enterococcus faecalis TX2134 (749518.3)	 	1222	1067, 2551, 441	1224	1223	1836_7	2337	2338	828_12	2545_15	 
Enterococcus faecalis TX2137 (749491.3)	 	 	1750, 2685, 618	 	 	1351_7	2531	2530	983_12	2679_15	 
Enterococcus faecalis TX2141 (749492.3)	 	1254	1079, 1311, 2115	1251	1252, 1253	2821_7	2313	2312	952_12	1304_15	 
Enterococcus faecalis TX4000 (749493.3)	 	1945	1578, 516, 795	1947	1946	2159_7	637	636	1160_12	789_15	635
Enterococcus faecalis TX4244 (749494.3)	 	 	1508, 1975, 2350	 	 	1903_7	439	440	937_12	2356_15	 
Enterococcus faecalis TX4248 (749495.4)	 	 	2681, 2799	 	 	1111_7	2530	2529	94_12	2675_15	 
Enterococcus faecalis UAA1014 (1158546.3)	 	 	1603, 2110, 545	 	 	262_7	2269	2270	848_12	2116_15	 
Enterococcus faecalis UAA1180 (1158552.3)	 	 	1378, 1888, 317	 	 	2804_7	2049	2050	620_12	1894_15	 
Enterococcus faecalis UAA1489 (1158976.3)	 	1887, 1903	1691, 2388	1882	1883, 1884	176_7	2550	2551	869_12	2394_15	 
Enterococcus faecalis UAA409 (1158637.3)	 	1566	1393, 1990, 2380	1564	1565	2633_7	2148	2149	635_12	1996_15	2150
Enterococcus faecalis UAA702 (1158640.3)	 	 	1476, 2210	 	 	160_7	2368	2369	763_12	2216_15	 
Enterococcus faecalis UAA769 (1157369.3)	 	 	1780, 2390, 435	 	 	195_7	2537	2538	955_12	2396_15	 
Enterococcus faecalis UAA823 (1157370.3)	 	 	1659, 2294	1852	1853, 1854	176_7	2456	2457	909_12	2300_15	 
Enterococcus faecalis UAA902 (1157371.3)	 	 	1545, 2035, 278	 	 	183_7	2192	2193	668_12	2041_15	 
Enterococcus faecalis UAA903 (1157372.3)	 	 	1545, 2036, 279	 	 	184_7	2193	2194	667_12	2042_15	 
Enterococcus faecalis UAA904 (1157373.3)	 	 	1538, 2028, 277	 	 	183_7	2186	2187	664_12	2034_15	 
Enterococcus faecalis UAA905 (1157374.3)	 	 	1537, 2027, 277	 	 	183_7	2183	2184	665_12	2033_15	 
Enterococcus faecalis UAA906 (1157375.3)	 	 	1505, 1995, 277	 	 	183_7	2152	2153	666_12	2001_15	 
Enterococcus faecalis UAA907 (1157376.3)	 	 	1601, 2091, 279	 	 	184_7	2248	2249	667_12	2097_15	 
Enterococcus faecalis UAA943 (1157377.3)	 	 	1540, 2094, 278	 	 	184_7	2251	2252	668_12	2100_15	 
Enterococcus faecalis UAA948 (1158542.3)	 	 	1670, 2219	 	 	245_7	2374	2375	957_12	2225_15	 
Enterococcus faecalis V583 (226185.9)	 	1743	1554, 2283, 476	1741	1742	155_7	2477	2478	815_12	2289_15	 
Enterococcus faecalis V587 (1158623.3)	 	1538	1344, 2090, 241	1536	1537	3043_7	2286	2287	597_12	2097_15	 
Enterococcus faecalis WH257 (1158628.3)	 	1672	1489, 2090	1670	1671	143_7	2258	2259	708_12	2096_15	 
Enterococcus faecalis WH571 (1158631.3)	 	1789	1592, 2207	1787	1788	195_7	2375	2376	812_12	2213_15	 
Enterococcus faecalis X98 (565641.4)	 	 	1756, 2566, 936	 	 	1195_7	2419	2418	641_12	2560_15	 
Enterococcus faecalis YI6-1 (1158667.3)	 	1712	1540, 2096, 653	1710	1711	218_7	528	527	858_12	2102_15	526
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	 	 	1287, 557	 	 	2918_7	1515	1516	1951_12	1293_15	 
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	 	 	1411, 1970, 401	 	 	116_7	2126	2127	705_12	1976_15	 
Enterococcus faecium 1,141,733 (565659.3)	 	 	1140, 1324	 	 	1416_7	1185	1184	489_12	862_15	1183, 731
Enterococcus faecium 1,230,933 (565656.3)	 	2591	1558, 886	2593	2592	1089_7	1177	1176	386_12	76_15	1175, 186
Enterococcus faecium 1,231,408 (565661.4)	 	 	1622, 624	 	 	1167_7	676	675	2164_12	178_15	284, 674
Enterococcus faecium 1,231,410 (565660.4)	 	 	1449, 931	 	 	1473_7	970	969	644_12	275_15	175, 968
Enterococcus faecium 1,231,501 (565658.4)	 	 	1244, 1858	 	 	1901_7	30	29	601_12	890_15	28, 793
Enterococcus faecium 1,231,502 (565657.5)	 	2697	958	2699	2698	759_7	1252	1253	1986_12	366_15	1254, 271
Enterococcus faecium 109 A1 (1157416.3)	 	 	1937	 	 	47_7	1893	1894	1407_12	1094_15	1198, 1895
Enterococcus faecium 2006-70-121 (1157417.3)	 	 	2637	 	 	2174_7	1498	1499	662_12	984_15	1500, 868
Enterococcus faecium 504 (1134805.3)	 	 	2004, 852	 	 	1488_7	2563	2562	1145_12	24_15	1646, 2561
Enterococcus faecium 505 (1134806.3)	 	 	1640	 	 	889_7	1106	1105	1992_12	1942_15	1104, 177
Enterococcus faecium 7330381-1 (1157419.3)	 	 	2390, 840	 	 	332_7	881	880	2179_12	1844_15	1950, 879
Enterococcus faecium 7330446-2 (1157420.3)	 	 	2136, 2578	 	 	45_7	2094	2095	1274_12	1613_15	1507, 2096
Enterococcus faecium 7330519-3 (1157421.3)	 	 	1652, 1963	 	 	44_7	1610	1611	848_12	1181_15	1077, 1612
Enterococcus faecium 7330614-1 (1157422.3)	 	 	1780, 2335	 	 	45_7	1738	1739	1269_12	935_15	1037, 1740
Enterococcus faecium 7330884-2 (1157423.3)	 	 	2036, 2389	 	 	45_7	1994	1995	1219_12	1516_15	1411, 1996
Enterococcus faecium 7430166-3 (1157424.3)	 	 	2137, 2389	 	 	44_7	2095	2096	1280_12	1614_15	1509, 2097
Enterococcus faecium 841V03 (1157425.3)	 	 	2201, 962	 	 	45_7	1004	1003	1535_12	1874_15	1002, 1767
Enterococcus faecium 9730219-1 (1157429.3)	 	 	1423, 2007	 	 	44_7	1382	1383	623_12	956_15	1384, 852
Enterococcus faecium 9730357-1 (1157430.3)	 	 	2497, 770	 	 	203_7	812	811	1897_12	2233_15	2128, 810
Enterococcus faecium 9731349-1 (1157431.3)	 	 	2248, 2493	 	 	53_7	2200	2201	1693_12	1377_15	1266, 2202
Enterococcus faecium 9731352-4 (1157432.3)	 	 	1843	 	 	44_7	1801	1802	990_12	1324_15	1220, 1803
Enterococcus faecium 9830091-5 (1157433.3)	 	 	2301	 	 	44_7	2259	2260	895_12	1232_15	1127, 2261
Enterococcus faecium 9830512-2 (1157435.3)	 	 	1165, 2590	 	 	44_7	1207	1206	1668_12	2007_15	1205, 1898
Enterococcus faecium 9830565-4 (1157437.3)	 	 	1366, 2485	 	 	201_7	1409	1408	1851_12	2187_15	1407, 2081
Enterococcus faecium 9930238-2 (1157440.3)	 	 	1316, 2401	 	 	45_7	1358	1357	1843_12	2176_15	1356, 2073
Enterococcus faecium 9931110-4 (1157441.3)	 	 	616	 	 	44_7	658	657	1170_12	1508_15	1402, 656
Enterococcus faecium A17 Sv1 (1157442.3)	 	 	2204, 2431	 	 	44_7	2162	2163	1387_12	1685_15	1580, 2164
Enterococcus faecium ATCC 8459 (1158600.4)	 	 	1267, 298	 	 	521_7	1226	1227	760_12	2195_15	1228, 2308
Enterococcus faecium Aus0004 (1155766.14)	 	 	295, 649	 	 	74_7	694	693	1603_12	1117_15	1010, 692
Enterococcus faecium C309 (1176489.3)	 	 	3235	 	 	2300_7	3192	3193	56_12	2100_15	3194, 683
Enterococcus faecium C68 (565664.3)	 	 	469	 	 	76_7	509	508	1793_12	957_15	1052, 507
Enterococcus faecium CRL1879 (1295527.3)	 	 	2440, 545	 	 	460_7	1842	1843	1214_12	2640_15	1458, 1844
Enterococcus faecium Com12 (565662.4)	 	 	881	 	 	1312_7	922	921	287_12	588_15	492, 920
Enterococcus faecium Com15 (565663.4)	 	 	2677, 908	 	 	1621_7	948	947	237_12	598_15	497, 946
Enterococcus faecium D344SRF (565665.3)	 	 	2535, 814	 	 	459_7	1507	1506	2054_12	1375_15	1342, 1505
Enterococcus faecium E0045 (1138880.3)	 	 	152, 2239	 	 	1557_7	201	200	712_12	1012_15	199, 905
Enterococcus faecium E0120 (1138881.3)	 	 	1193	 	 	1428_7	1152	1153	692_12	297_15	1154, 410
Enterococcus faecium E0164 (1138882.3)	 	 	1033, 2281	 	 	1502_7	989	990	524_12	225_15	332, 991
Enterococcus faecium E0269 (1138883.3)	 	 	2257, 559	 	 	1230_7	515	516	78_12	942_15	1044, 517
Enterococcus faecium E0333 (1138884.3)	 	 	1262, 1893	 	 	1673_7	1306	1305	552_12	231_15	1304, 337
Enterococcus faecium E0679 (1138885.3)	 	 	1589	 	 	2096_7	1543	1544	226_12	562_15	1545, 458
Enterococcus faecium E0680 (1138886.3)	 	 	161, 2450	 	 	1200_7	203	202	648_12	961_15	201, 859
Enterococcus faecium E0688 (1138887.3)	 	 	837	 	 	1534_7	796	797	323_12	1031_15	798, 88
Enterococcus faecium E1007 (1138888.3)	 	 	1653	 	 	2240_7	1607	1608	1068_12	758_15	1609, 861
Enterococcus faecium E1039 (645663.4)	 	 	1336, 1368	 	 	1809_7	1275	1276	1486_12	265_15	1277, 815
Enterococcus faecium E1050 (1138889.3)	 	 	271, 585	 	 	53_7	627	626	1103_12	1486_15	1374, 625
Enterococcus faecium E1071 (535205.4)	 	 	1230, 126	 	 	696_7	272	273	1635_12	1976_15	2161, 274
Enterococcus faecium E1133 (1138890.3)	 	1580	1084	1578	1579	2572_7	1127	1126	354_12	712_15	1125, 606
Enterococcus faecium E1162 (535206.4)	 	 	169, 950	 	 	1482_7	1741	1740	595_12	2195_15	1739, 36
Enterococcus faecium E1185 (1138891.3)	 	550	163, 2026	552	551	1803_7	209	208	803_12	1100_15	207, 996
Enterococcus faecium E1258 (1138892.3)	 	 	1517, 557	 	 	1737_7	514	515	17_12	1092_15	516, 987
Enterococcus faecium E1293 (1138893.3)	 	 	2728, 339, 673	 	 	78_7	715	714	1238_12	1546_15	1444, 713
Enterococcus faecium E1321 (1138930.3)	 	 	1085, 1256	 	 	1472_7	1042	1043	545_12	229_15	1044, 334
Enterococcus faecium E1392 (1138894.3)	 	2743	1298, 1755	2745	2744	1512_7	1798	1797	531_12	213_15	1796, 319
Enterococcus faecium E1552 (1138895.3)	 	 	180	 	 	1625_7	222	221	700_12	1036_15	220, 930
Enterococcus faecium E1573 (1138896.3)	 	 	1484, 746	 	 	1260_7	704	705	225_12	1901_15	2015, 706
Enterococcus faecium E1574 (1138897.3)	 	 	1114	 	 	1347_7	1073	1074	613_12	224_15	1075, 336
Enterococcus faecium E1575 (1138898.3)	 	 	1319, 2342	 	 	1528_7	1275	1276	770_12	460_15	1277, 561
Enterococcus faecium E1576 (1138899.3)	 	 	53	 	 	788_7	94	93	558_12	1441_15	1551, 92
Enterococcus faecium E1578 (1138900.3)	 	 	274, 597	 	 	53_7	638	637	1105_12	1492_15	1377, 636
Enterococcus faecium E1590 (1138901.3)	 	 	1882, 2668, 801	 	 	1636_7	757	758	251_12	1212_15	1313, 759
Enterococcus faecium E1604 (1138902.3)	 	 	1853	 	 	2427_7	1808	1809	1169_12	865_15	1810, 963
Enterococcus faecium E1613 (1138903.3)	 	 	1555	 	 	1838_7	1506	1507	1036_12	721_15	1508, 826
Enterococcus faecium E1620 (1138904.3)	 	 	499, 923	 	 	2051_7	456	457	23_12	1379_15	1482, 458
Enterococcus faecium E1622 (1138905.3)	 	 	1190, 1512	 	 	1730_7	1146	1147	624_12	248_15	1148, 361
Enterococcus faecium E1623 (1138906.3)	 	 	1100, 49	 	 	881_7	90	89	609_12	1427_15	1314, 88
Enterococcus faecium E1626 (1138907.3)	 	 	1375, 1726	 	 	1944_7	1330	1331	387_12	733_15	1332, 610
Enterococcus faecium E1627 (1138908.3)	 	 	1143	 	 	1694_7	1097	1098	565_12	218_15	1099, 348
Enterococcus faecium E1630 (1138909.3)	 	 	2339, 592	 	 	1360_7	544	545	32_12	1110_15	1005, 546
Enterococcus faecium E1634 (1138910.3)	 	 	1708	 	 	1210_7	1659	1660	286_12	610_15	1661, 504
Enterococcus faecium E1636 (544875.4)	 	620	2629, 801	622	621	1416_7	531	532	1613_12	1812_15	2418, 533
Enterococcus faecium E1644 (1138931.3)	 	2708	268, 588	2706	2707	52_7	630	629	1484_12	1162_15	1270, 628
Enterococcus faecium E1731 (1138913.3)	 	 	1499, 197	 	 	1716_7	240	239	1093_12	769_15	238, 876
Enterococcus faecium E1861 (1138914.3)	 	 	1139	 	 	1720_7	1098	1099	575_12	221_15	1100, 326
Enterococcus faecium E1904 (1138915.3)	 	2627	1779, 827	2625	2626	2180_7	786	787	1364_12	325_15	205, 788
Enterococcus faecium E1972 (1138916.3)	 	 	167, 2148	 	 	2395_7	210	209	849_12	1170_15	1070, 208
Enterococcus faecium E2039 (1138917.3)	 	 	1238, 1646	2328	 	1011_7	1600	1601	407_12	715_15	1602, 614
Enterococcus faecium E2071 (1138918.3)	 	 	152, 1736	 	 	1505_7	193	192	673_12	1131_15	1240, 191
Enterococcus faecium E2134 (1138919.3)	 	 	1649, 2454	 	 	2170_7	1605	1606	1103_12	783_15	1607, 890
Enterococcus faecium E2297 (1138920.3)	 	 	1434, 199	 	 	1658_7	156	157	2354_12	820_15	158, 713
Enterococcus faecium E2369 (1138932.3)	 	2907	1248, 1844	2909	2908	2381_7	1886	1885	19_12	793_15	1884, 902
Enterococcus faecium E2560 (1138933.3)	 	2686	1750	2688	2687	2426_7	1791	1790	614_12	947_15	1789, 840
Enterococcus faecium E2620 (1138921.3)	 	 	1613, 2004	 	 	2272_7	1565	1566	1095_12	739_15	1567, 840
Enterococcus faecium E2883 (1138922.3)	 	 	2158, 342	 	 	2408_7	384	383	1234_12	914_15	1018, 382
Enterococcus faecium E2966 (1138923.3)	 	 	274, 985	 	 	54_7	1026	1025	1769_12	1461_15	1024, 1360
Enterococcus faecium E3083 (1138924.3)	 	 	1118, 1509	 	 	1753_7	1074	1075	575_12	237_15	1076, 337
Enterococcus faecium E3346 (1138925.3)	 	 	1044, 2497	 	 	1263_7	997	998	542_12	203_15	308, 999
Enterococcus faecium E3548 (1138926.3)	 	 	1128, 1516	 	 	1750_7	1080	1081	537_12	225_15	1082, 326
Enterococcus faecium E4215 (1138929.3)	 	 	2461, 592	 	 	804_7	545	546	24_12	1221_15	1326, 547
Enterococcus faecium E4389 (1138934.3)	 	 	993	 	 	1555_7	1035	1034	598_12	233_15	1033, 338
Enterococcus faecium E6012 (1138935.3)	 	2841	185	2843	2842	1490_7	228	227	901_12	1221_15	1114, 226
Enterococcus faecium E6045 (1138936.3)	 	2668	767	2670	2669	208_7	810	809	1665_12	1333_15	1438, 808
Enterococcus faecium E8sv3 (1157443.3)	 	 	2464, 610	 	 	44_7	651	650	1180_12	1513_15	1408, 649
Enterococcus faecium E980 (529885.3)	 	 	1465, 4	 	 	943_7	2619	2618	1494_12	1630_15	2617, 295
Enterococcus faecium ERV1 (1134819.3)	 	 	153, 1603	 	 	476_7	582	583	238_12	1302_15	1245, 584
Enterococcus faecium EnGen0305 (1158641.3)	 	 	1588, 1917	 	 	344_7	1540	1541	437_12	769_15	1542, 669
Enterococcus faecium EnGen0308 (1158642.3)	 	 	1731, 2085	 	 	2293_7	1679	1680	1178_12	841_15	1681, 946
Enterococcus faecium EnGen0312 (1158652.3)	 	2838	2243, 954	2836	2837	52_7	2200	2201	736_12	1356_15	1251, 2202
Enterococcus faecium EnGen0314 (1158646.3)	 	2825	2283, 313	2823	2824	53_7	2239	2240	1407_12	1733_15	1630, 2241
Enterococcus faecium EnGen0316 (1158647.3)	 	2729	317, 660	2727	2728	52_7	702	701	2178_12	2508_15	2403, 700
Enterococcus faecium EnGen0318 (1158648.3)	 	2801	1359, 673	2799	2800	53_7	715	714	1846_12	2175_15	2072, 713
Enterococcus faecium EnGen0319 (1158649.3)	 	2805	317, 660	2803	2804	54_7	703	702	2130_12	2459_15	2356, 701
Enterococcus faecium EnGen0321 (1158650.3)	 	2808	2279, 319	2806	2807	54_7	2237	2238	1362_12	1693_15	1588, 2239
Enterococcus faecium EnGen0323 (1158651.3)	 	2816	1984, 654	2814	2815	53_7	1942	1943	1100_12	1430_15	1324, 1944
Enterococcus faecium EnGen0375 (1138937.4)	 	2276	2633, 443	2274	2275	722_7	2674	2673	1334_12	1663_15	1559, 2672
Enterococcus faecium EnGen0376 (1138938.4)	 	2191	2610, 416	2189	2190	52_7	2651	2650	979_12	1308_15	1205, 2649
Enterococcus faecium EnGen0377 (1138939.4)	 	2551	246, 589	2549	2550	857_7	205	206	1877_12	1549_15	1654, 207
Enterococcus faecium F9730129-1 (1157479.3)	 	 	2399	 	 	54_7	2355	2356	1867_12	1513_15	1405, 2357
Enterococcus faecium H17243 (1157444.3)	 	 	1987, 272	 	 	52_7	2028	2027	2491_12	1398_15	1511, 2026
Enterococcus faecium H17575 (1157446.3)	 	 	2241, 2500	 	 	44_7	2199	2200	1129_12	1461_15	1355, 2201
Enterococcus faecium HF50104 (1157480.3)	 	 	2305, 2591	 	 	44_7	2550	2551	1622_12	1959_15	1854, 2552
Enterococcus faecium HF50105 (1157481.3)	 	 	2072, 2376	 	 	45_7	2030	2031	974_12	1309_15	1203, 2032
Enterococcus faecium HF50106 (1157482.3)	 	 	1068, 2398	 	 	45_7	2356	2357	1302_12	1636_15	1531, 2358
Enterococcus faecium HF50203 (1157483.3)	 	 	1136, 2278	 	 	44_7	2237	2238	1729_12	1398_15	1501, 2239
Enterococcus faecium HF50204 (1157484.3)	 	 	2537, 861	 	 	304_7	903	902	1537_12	1873_15	1767, 901
Enterococcus faecium HF50215 (1157485.3)	 	 	1531, 2648	 	 	45_7	1573	1572	2017_12	2355_15	1571, 2249
Enterococcus faecium HM1071 (1157447.3)	 	 	2598, 346	 	 	91_7	2555	2556	2181_12	1251_15	1146, 2557
Enterococcus faecium HM1072 (1157487.3)	 	2515	1476, 271	2512	2513, 2514	51_7	1430	1431	2263_12	1894_15	1432, 1995
