Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Escherichia coli 95.0083 (1051346.3)							2845	2844	2843	2841	2840	2842	2124	4664	4544						
Escherichia coli 95.0183 (1005406.3)							898, 3097	3096	3095	3093	3092	3094	2310	4953	4847						
Escherichia coli 95.0941 (869674.3)							3546	3545	3544	3542	3541	3543	2961	702	601						
Escherichia coli 95.0943 (1005408.3)							790, 3082	3081	3080	3078	3077	3079	2388	4975	4868						
Escherichia coli 95.1288 (1005407.3)							616, 2680	2679	2678	2676	2675	2677	1970	4378	4274						
Escherichia coli 96.0107 (1005415.3)							832, 3074	3073	3072	3070	3069	3071	2310	4861	4754						
Escherichia coli 96.0109 (1005414.3)							790, 3051	3050	3049	3047	3046	3048	2377	4864	4760						
Escherichia coli 96.0427 (1005411.3)							724, 2994	2993	2992	2990	2989	2991	2281	4826	4723						
Escherichia coli 96.0428 (1005410.3)							873, 3059	3058	3057	3055	3054	3056	2287	4857	4751						
Escherichia coli 96.0497 (869677.4)							2417	2416	2415	2413	2412	2414	1782	4234	4091						
Escherichia coli 96.0932 (1005413.3)							921, 3098	3097	3096	3094	3093	3095	2293	4891	4783						
Escherichia coli 96.0939 (1005412.3)							849, 3091	3090	3089	3087	3086	3088	2252	4942	4834						
Escherichia coli 96.154 (869683.4)							959	958	957	955	954	956	378	2639	2541						
Escherichia coli 97.0003 (1005416.3)							854, 3049	3048	3047	3045	3044	3046	2331	4816	4709						
Escherichia coli 97.0010 (1005419.3)							694, 2912	2911	2910	2908	2907	2909	2205	4757	4655						
Escherichia coli 97.0246 (869670.4)							1617	1616	1615	1613	1612	1614	988	1336	3757						
Escherichia coli 97.0259 (869672.4)							1832	1833	1834	1836	1837	1835	1299	3975	4114						
Escherichia coli 97.0264 (869676.4)							2644	2645	2646	2648	2649	2647	3250	4983	5082						
Escherichia coli 99.0670 (1005423.3)							923, 3174	3173	3172	3170	3169	3171	2491	4895	4835						
Escherichia coli 99.0672 (1005421.3)							3003	3002	3001	2999	2998	3000	2172	4818	4692						
Escherichia coli 99.0678 (1005422.3)							982, 3161	3160	3159	3157	3156	3158	2377	4869	4765						
Escherichia coli 99.0713 (1005424.3)							878, 2992	2991	2990	2988	2987	2989	2313	4769	4616						
Escherichia coli 99.0741 (869678.4)							2882	2883	2884	2886	2887	2885	4615	1388	5195						
Escherichia coli 99.0814 (1005434.3)							887, 3028	3027	3026	3024	3023	3025	2290	4736	4628						
Escherichia coli 99.0815 (1005433.3)							685, 2824	2823	2822	2820	2819	2821	1987	4512	4454						
Escherichia coli 99.0816 (1005430.3)							677, 2903	2902	2901	2899	2898	2900	2073	4685	4532						
Escherichia coli 99.0839 (1005432.3)							768, 3009	3008	3007	3005	3004	3006	2190	4689	4584						
Escherichia coli 99.0848 (1005431.3)							880, 3032	3031	3030	3028	3027	3029	2305	4826	4722						
Escherichia coli 99.1753 (1005440.3)							763, 2924	2923	2922	2920	2919	2921	2224	4614	4510						
Escherichia coli 99.1762 (1005435.3)							916, 3122	3121	3120	3118	3117	3119	2355	4925	4772						
Escherichia coli 99.1775 (1005438.3)							650, 2643	2642	2641	2639	2638	2640	2038	4396	4291						
Escherichia coli 99.1781 (1005439.3)							827, 3074	3073	3072	3070	3069	3071	2324	4872	4764						
Escherichia coli 99.1805 (1005436.3)							698, 2727	2726	2725	2723	2722	2724	2023	4535	4431						
Escherichia coli AA86 (1004153.3)							2462	2461	2460	2458	2457	2459	1841	4266	4170						
Escherichia coli ABU 83972 (655817.3)							2719	2718	2717	2715	2714	2716	2031	4631	4527						
Escherichia coli AD30 (1169664.3)							587	586	585	583	582	584	164	3888	3644						
Escherichia coli AI27 (1089445.3)							803	802	801	799	4450	800	1185	4187	3352						
Escherichia coli APEC O1 (405955.13)							2491	2490	2489	2487	2486	2488	1773	4398	4304						
Escherichia coli APEC O78 (1274814.3)							3102	3101	3100	3098	3097	3099	2511	82	4707						
Escherichia coli ARS4.2123 (1005563.3)							2552	2551	2550	2548	2547	2549	1942	4309	4220						
Escherichia coli ATCC 25922 (1322345.3)							1714	1713	1712	1710	1709	1711	2205	3042	1120						
Escherichia coli ATCC 700728 (1051353.3)							727, 2783	2782	2781	2779	2778	2780	2087	2480	4444						
Escherichia coli ATCC 8739 (481805.6)							1477, 3259	1478	1479	1481	1482	1480	2093	4380	4476						
Escherichia coli B str. REL606 (413997.3)							2290	2289	2288	2286	2285	2287	1730	4009	3907						
Escherichia coli B088 (550672.3)							1979	1977	1976	1974	1973	1975	2530	4010	3908						
Escherichia coli B093 (550674.3)							2434	2435	2436	2438	2439	2437	1743	3411	600, 3863						
Escherichia coli B185 (550676.3)							1482	1481	1480	1478	1477	1479	1992	4188	4044						
Escherichia coli B354 (550677.3)							1816	1815	1814	1812	1811	1813	1177	4513	4410						
Escherichia coli B41 (869694.4)							209, 2027	2026	2025	2023	2022	2024	1433	4266	4165						
Escherichia coli B799 (550682.3)							809	808	807	805	804	806	148	2820	2719						
Escherichia coli BCE001_MS16 (1116037.3)							2325	2324	2323	2321	2320	2322	1725	4302	4198						
Escherichia coli BCE002_MS12 (1116112.3)							2454	2453	2452	2450	2449	2451	1943	4315	4213						
Escherichia coli BCE006_MS-23 (1125637.3)							604, 2470	2469	2468	2466	2465	2467	1773	4339	4239						
Escherichia coli BCE007_MS-11 (1116113.3)							833, 2589	2588	2587	2585	2584	2586	1939	4489	4386						
Escherichia coli BCE008_MS-13 (1116471.3)							2746	2745	2744	2742	2741	2743	2041	4835	4733						
Escherichia coli BCE011_MS-01 (1116114.3)							599, 2330	2329	2328	2326	2325	2327	1695	4062	3960						
Escherichia coli BCE019_MS-13 (1116115.3)							594, 2433	2432	2431	2429	2428	2430	1738	4382	4292						
Escherichia coli BCE030_MS-09 (1116116.3)							618, 2456	2455	2454	2452	2451	2453	1766	4338	4238						
Escherichia coli BCE032_MS-12 (1116117.3)							602, 2441	2440	2439	2437	2436	2438	1772	4320	4219						
Escherichia coli BCE034_MS-14 (1116118.3)							2826	2825	2824	2822	2821	2823	2265	4789	4686						
Escherichia coli BL21 (511693.5)							2303	2302	2301	2299	2298	2300	1757	4027	3925						
Escherichia coli BL21(DE3) (469008.4)							1433	1434	1435	1437	1438	1436	2020	4259	4362						
Escherichia coli BW2952 (595496.3)							517, 2240	2239	2238	2236	2235	2237	1646	3932	3833						
Escherichia coli C-34666 (1116002.3)							3165	3164	3163	3161	3160	3162	2562	4971	4871						
Escherichia coli C639_08 (1126911.3)							1471	1472	1473	1475	1476	1474	3209	2789	1262						
Escherichia coli C844_97 (1126932.3)							23	22	21	19	18	20	758	4329	2410						
Escherichia coli CB7326 (1005559.3)							647, 3035	3034	3033	3031	3030	3032	2209	4818	4714						
Escherichia coli CFT073 (199310.4)							2647	2646	2645	2643	2642	2644	1947	4584	4487						
Escherichia coli chi7122 (475609.3)							2381	2380	2379	2377	2376	2378	1785	4126	4026						
Escherichia coli cloneA_i1 (993513.3)							2345	2344	2343	2341	2340	2342	1643	4182	4088						
Escherichia coli CUMT8 (752790.3)							2808	2807	2806	2804	2803	2805	2219	95	16						
Escherichia coli DEC10A (868180.3)							3134	3133	3132	3130	3129	3131	2316	4659	4758						
Escherichia coli DEC10B (868181.3)							3549	3548	3547	3545	3544	3546	2722	4939	5062						
Escherichia coli DEC10C (868182.3)							3529	3528	3527	3525	3524	3526	2651	5024	466						
Escherichia coli DEC10D (868183.3)							3062	3061	3060	3058	3057	3059	2235	4469	183						
Escherichia coli DEC10E (868184.3)							2654	2653	2652	2650	2649	2651	1901	4132	4277						
Escherichia coli DEC10F (868185.3)							3472	3471	3470	3468	3467	3469	2522	4978	5084						
Escherichia coli DEC11A (868186.3)							2629	2628	2627	2625	2624	2626	2012	4551	4447						
Escherichia coli DEC11B (868187.3)							2648	2646, 2647	2645	2643	2642	2644	1981	4571	4423						
Escherichia coli DEC11C (868188.3)							2790	2789	2788	2786	2785	2787	2034	4340	4695						
Escherichia coli DEC11D (868189.3)							2948	2947	2946	2944	2943	2945	2173	4809	4664						
Escherichia coli DEC11E (868190.3)							2598	2597	2596	2594	2593	2595	1831	4426							
Escherichia coli DEC12A (868191.3)							2750	2749	2748	2746	2745	2747	1913	4601	4498						
Escherichia coli DEC12B (868192.3)							3169	3168	3167	3165	3164	3166	2281	5123	4760						
Escherichia coli DEC12C (868193.3)							3261	3260	3259	3257	3256	3258	2434	5193	5090						
Escherichia coli DEC12D (868194.3)							2981	2980	2979	2976, 2977	2975	2978	2151	4838	4482						
Escherichia coli DEC12E (868195.3)							2756	2755	2754	2752	2751	2753	2017	4535	4432						
Escherichia coli DEC13A (868196.3)							2476	2475	2474	2472	2471	2473	1795	4275	4129						
Escherichia coli DEC13B (868197.3)							2200	2199	2198	2196	2195	2197	1537	4033	3888						
Escherichia coli DEC13C (868198.3)							2897	2896	2895	2893	2892	2894	2104	4742	4598						
Escherichia coli DEC13D (868199.3)							2613	2612	2611	2609	2608	2610	1848	4353	4206						
Escherichia coli DEC13E (868200.3)							2628	2627	2626	2624	2623	2625	1895	4376	4269						
Escherichia coli DEC14A (868201.3)							2455	2454	2453	2451	2450	2452	1772	4007	4106						
Escherichia coli DEC14B (868202.3)							2837	2836	2835	2833	2832	2834	2198	4722	4570						
Escherichia coli DEC14C (868203.3)							2713	2712	2711	2709	2708	2710	1994	4648	4500						
Escherichia coli DEC14D (868204.3)							2686	2685	2684	2682	2681	2683	1999	4566	4411						
Escherichia coli DEC15A (868206.3)							2900	2899	2898	2896	2895	2897	2148	4213	4370						
Escherichia coli DEC15B (868207.3)							2637	2636	2635	2633	2632	2634	1850	4591	4445						
Escherichia coli DEC15C (868208.3)							2601	2600	2599	2597	2596	2598	1871	4476	4333						
Escherichia coli DEC15D (868209.3)							2508	2507	2506	2504	2503	2505	1805	4416	4270						
Escherichia coli DEC15E (868210.3)							2893	2892	2891	2889	2888	2890	2138	4765	4617						
Escherichia coli DEC1A (868133.3)							2663	2662	2661	2659	2658	2660	1890	4473	4375						
Escherichia coli DEC1B (868134.3)							2641	2640	2639	2637	2636	2638	1924	4553	4455						
Escherichia coli DEC1C (868135.3)							2900	2899	2898	2896	2895	2897	2006	4790	4692						
Escherichia coli DEC1D (868136.3)							3186	3185	3184	3182	3181	3183	2525	4819	4720						
Escherichia coli DEC1E (868137.3)							2824	2823	2822	2820	2819	2821	1925	4657	4558						
Escherichia coli DEC2A (868138.3)							2820	2819	2818	2816	2815	2817	2122	4614	4516						
Escherichia coli DEC2B (868139.3)							2773	2772	2771	2769	2768	2770	1945	4603	4505						
Escherichia coli DEC2C (868140.3)							2676	2675	2674	2672	2671	2673	1849	4554	4457						
Escherichia coli DEC2D (868141.3)							2842	2841	2840	2838	2837	2839	1986	4672	4574						
Escherichia coli DEC2E (868142.3)							2230	2229	2228	2226	2225	2227	1414	4155	4053						
Escherichia coli DEC3A (868143.3)							638, 3120	3119	3118	3116	3115	3117	2260	4844	144						
Escherichia coli DEC3B (868144.3)							502, 3205	3204	3203	3201	3200	3202	2437	5020	4912						
Escherichia coli DEC3C (868145.3)							797, 3477	3476, 5602	3475	3473	3472	3474	2680	5307	5198						
Escherichia coli DEC3D (868146.3)							622, 3168	3167	3166	3164	3163	3165	2297	4881	5419						
Escherichia coli DEC3E (868147.3)							782, 3342	3341	3340	3338	3337	3339	2473	5190	5085						
Escherichia coli DEC3F (868148.3)							914, 3407	3406	3405	3403	3402	3404	2571	5018	4908						
Escherichia coli DEC4A (868149.3)							505, 2893	2892	2891	2889	2888	2890	2200	4383	4253						
Escherichia coli DEC4B (868150.3)							482, 3049	3048	3047	3045	3044	3046	2187	5016	4910						
Escherichia coli DEC4E (868153.3)							729, 3186	3185	3184	3182	3181	3183	2346	4909	29						
Escherichia coli DEC4F (868154.3)							479, 2997	2996	2995	2993	2992	2994	2254	4655	5383						
Escherichia coli DEC5A (868155.3)							653, 2738	2737	2736	2734	2733	2735	1951	4621							
Escherichia coli DEC5B (868156.3)							855, 2954	2953	2952	2950	2949	2951	2191	4921	5032						
Escherichia coli DEC5C (868157.3)							915, 2892	2891	2890	2888	2887	2889	2165	4827	4705						
Escherichia coli DEC5D (868158.3)							1021, 2950	2949	2948	2946	2945	2947	2282	4867	4689						
Escherichia coli DEC5E (868159.3)							524, 2745	2744	2743	2741	2740	2742	1863	4748	4599						
Escherichia coli DEC6A (868160.3)							716, 2786	2785	2784	2782	2781	2783	1915	4596	4496						
Escherichia coli DEC6B (868161.3)							704, 3133	3132	3131	3129	3128	3130	2242	4867	4768						
Escherichia coli DEC6C (868162.3)							749, 2948	2947	2946	2944	2943	2945	2076	4725	4622						
Escherichia coli DEC6D (868163.3)							810, 2812	2811	2810	2808	2807	2809	2059	4617	4517						
Escherichia coli DEC6E (868164.3)							526, 2700	2699	2698	2695	2694	2696, 2697	2023	4497	4397						
Escherichia coli DEC7A (868165.3)							2810	2809	2808	2806	2805	2807	2116	4723	4624						
Escherichia coli DEC7B (868166.3)							634, 2479	2478	2477	2475	2474	2476	1819	4157	4056						
Escherichia coli DEC7C (868167.3)							2665	2664	2663	2661	2660	2662	1967	4516	4416						
Escherichia coli DEC7D (868168.3)							2698	2697	2696	2694	2693	2695	2002	4703	4605						
Escherichia coli DEC7E (868169.3)							2517	2516	2515	2513	2512	2514	1819	4181	4080						
Escherichia coli DEC8A (868170.3)							2788	2787	2786	2784	2783	2785	2042	4619	4515						
Escherichia coli DEC8B (868171.3)							3013	3012	3011	3009	3008	3010	2092	4842	5496						
Escherichia coli DEC8C (868172.3)							3525	3524	3523	3521	3520	3522	2629	5480	5373						
Escherichia coli DEC8D (868173.3)							3002	3001	3000	2998	2997	2999	2251	4887	4827						
Escherichia coli DEC8E (868174.3)							3226	3225	3224	3222	3221	3223	2358	4955	165						
Escherichia coli DEC9A (868175.3)							2839	2838	2837	2835	2834	2836	2054	4466	4575						
Escherichia coli DEC9C (868177.3)							2698	2697	2696	2694	2693	2695	1971	4293	4638						
Escherichia coli DEC9D (868178.3)							2831	2830	2829	2827	2826	2828	2075	4881	4727						
Escherichia coli DEC9E (868179.3)							2990	2989	2988	2986	2985	2987	2223	4559	5037						
Escherichia coli DH1 (536056.3)							1462, 3206	1463	1464	1466	1467	1465	2068	4312	4412						
Escherichia coli E101 (550685.3)							2315	2316	2317	2319	2320	2318	534	3249	4034						
Escherichia coli E1167 (656372.3)							2226	2227	2228	2230	2231	2229	896	4495	4417						
Escherichia coli E128010 (670894.3)							2132	2131	2130	5208	2129		318	2507	2609						
Escherichia coli E1520 (656374.3)							398, 2228	2227	2226	2224	2223	2225	1565	4441	4662						
Escherichia coli E2348/69 (216593.1)							2467	2469	2470	2473	2474	2471	462	4766	4658						
Escherichia coli E24377A (331111.12)							2843	2842	2841	2839	2838	2840	2183	4684	4580						
Escherichia coli E482 (550687.3)							352, 2538	2539	2540	2542	2543	2541	3122	4567	4671						
Escherichia coli EC1734 (1005536.3)							1910, 3149	3148	3147	3145	3144	3146	2329	5132	5026						
Escherichia coli EC1735 (1005537.3)							742, 3025	3024	3023	3021	3020	3022	2279	4865	4761						
Escherichia coli EC1736 (1005538.3)							625, 2945	2944	2943	2941	2940	2942	2169	4835	4728						
Escherichia coli EC1737 (1005539.3)							631, 2912	2911	2910	2908	2907	2909	2154	4742	4636						
Escherichia coli EC1738 (1005535.3)							3285, 5390	3284	3283	3281	3280	3282	2472	5037	4930						
Escherichia coli EC1845 (1005540.3)							618, 2857	2856	2855	2853	2852	2854	2069	4666	4559						
Escherichia coli EC1846 (1005541.3)							628, 2916	2915	2914	2912	2911	2913	2113	4782	4679						
Escherichia coli EC1847 (1005542.3)							620, 2919	2918	2917	2915	2914	2916	2114	4796	4694						
Escherichia coli EC1848 (1005543.3)							869, 3198	3197	3196	3194	3193	3195	2369	5060	4954						
Escherichia coli EC1849 (1005544.3)							635, 2922	2921	2920	2918	2917	2919	2113	4811	4708						
Escherichia coli EC1850 (1005545.3)							796, 3122	3121	3120	3118	3117	3119	2306	4974	4867						
Escherichia coli EC1856 (1005546.3)							664, 2969	2968	2967	2965	2964	2966	2170	4835	4728						
