Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Staphylococcus aureus M1010 (1158708.3)	829_1, 893_1	894	830	 	2194	2530	 	 	2606	2605	 	2527_18	 	 	2153_28, 2155_26, 2607_23, 2608_24, 294_23	1799
Staphylococcus aureus M1015 (1158709.3)	1372_1, 1437_1	1438	1373	 	2732	447	 	 	523	522	 	444_18	 	 	2691_28, 2693_26, 524_23, 878_23, 879_24	2340
Staphylococcus aureus M1016 (1158710.3)	862_1, 926_1	927	863	 	2230	2568	 	 	2644	2643	 	2565_18	 	 	2188_28, 2189_27, 2190_27, 2191_26, 2645_23, 331_23	1833
Staphylococcus aureus M1034 (1169259.3)	1671_1, 1735_1	1670	1734	 	288	2662	 	 	2576	2577	 	2665_18	 	 	2573_25, 2575_23, 330_26, 332_28	683
Staphylococcus aureus M1036 (1158711.3)	872_1, 937_1	938	873	 	2308	2648	 	 	46	45	 	2645_18	 	 	2267_28, 2269_26, 399_23, 47_23	1914
Staphylococcus aureus M1037 (1158712.3)	1198_1, 1263_1	1264	1199	 	2628	306	 	 	381	380	 	303_18	 	 	2587_28, 2589_26, 382_23, 383_24, 733_23	2234
Staphylococcus aureus M1044 (1169260.3)	1240_1, 1304_1	1305	1241	 	2600	315	 	 	391	390	 	312_18	 	 	2558_28, 2560_26, 392_23, 740_23	2205
Staphylococcus aureus M1060 (1303782.3)	1945_1, 2010_1	2011	1946	 	694	1027	 	 	1103	1102	 	1024_18	 	 	1104_23, 1105_24, 1456_23, 1457_24, 653_28, 655_26	301
Staphylococcus aureus M1061 (1169261.3)	1900_1, 1964_1	1965	1901	 	556	890	 	 	965	964	 	887_18	 	 	1333_23, 515_28, 517_26, 966_23	161
Staphylococcus aureus M1062 (1169262.3)	1207_1, 1272_1	1273	1208	 	2642	306	 	 	382	381	 	303_18	 	 	2601_28, 2603_26, 383_23, 384_24, 738_23	2249
Staphylococcus aureus M1063 (1158463.3)	2082_1, 2148_1	2149	2083	 	753	1085	 	 	1161	1160	 	1082_18	 	 	1162_23, 1518_23, 712_28, 714_26	359
Staphylococcus aureus M1064 (1158465.3)	1888_1, 1951_1	1952	1889	 	572	889	 	888_10	986	985	 	886_18	 	 	1353_23, 1355_25, 527_28, 528_27, 529_26, 987_23, 989_25	165
Staphylococcus aureus M1068 (1169263.3)	1200_1, 1265_1	1266	1201	 	2638	302	 	 	379	378	 	299_18	 	 	2597_28, 2599_26, 380_23, 733_23	2241
Staphylococcus aureus M1076 (1158464.3)	821_1, 885_1	886	822	 	2256	2594	 	 	2692	2691	 	2591_18	 	 	2215_28, 2217_26, 2693_23, 333_23	1860
Staphylococcus aureus M1078 (1303783.3)	738_1, 802_1	803	739	 	2163	2503	 	 	2579	2578	 	2500_18	 	 	2122_28, 2124_26, 2580_23, 290_23	1767
Staphylococcus aureus M1083 (1169264.3)	1184_1, 1249_1	1250	1185	 	2572	304	 	 	380	379	 	301_18	 	 	2531_28, 2533_26, 381_23, 732_23	2177
Staphylococcus aureus M1092 (1158466.3)	1932_1, 1996_1	1997	1933	 	655	995	 	 	1072	1071	 	992_18	 	 	1073_23, 1074_23, 1076_25, 1424_23, 614_28, 616_26	260
Staphylococcus aureus M1093 (1158467.3)	1026_1, 1090_1	1091	1027	 	2317	91	 	 	166	165	 	88_18	 	 	167_23, 168_24, 2276_28, 2278_26, 517_23	1922
Staphylococcus aureus M1095 (1158468.3)	1252_1, 1317_1	1318	1253	 	2687	271	 	 	345	344	 	268_18	 	 	2646_28, 2648_26, 346_23, 347_24, 700_23	2294
Staphylococcus aureus M1103 (1158469.3)	2083_1, 2148_1	2149	2084	 	804	1141	 	 	1217	1216	 	1138_18	 	 	1218_23, 1571_23, 763_28, 765_26	410
Staphylococcus aureus M1109 (1169265.3)	2049_1, 2114_1	2115	2050	 	657	993	 	 	1068	1067	 	990_18	 	 	1069_23, 1421_23, 616_28, 618_26	264
Staphylococcus aureus M1119 (1158470.3)	1783_1, 1847_1	1848	1784	 	508	846	 	 	922	921	 	843_18	 	 	1283_23, 467_28, 469_26, 923_23	116
Staphylococcus aureus M1126 (1169266.3)	1167_1, 1232_1	1233	1168	 	2574	305	 	 	381	380	 	302_18	 	 	2533_28, 2535_26, 382_23, 383_24, 735_23, 736_24	2178
Staphylococcus aureus M1142 (1169267.3)	774_1, 838_1	839	775	 	2144	2483	 	 	2558	2557	 	2480_18	 	 	2103_28, 2105_26, 2559_23, 294_23	1747
Staphylococcus aureus M1167 (1158471.3)	1202_1, 1266_1	1267	1203	 	2633	305	 	 	380	379	 	302_18	 	 	2592_28, 2594_26, 381_23, 382_24, 732_23	2240
Staphylococcus aureus M1170 (1158472.3)	2093_1, 2157_1	2158	2094	 	837	1176	 	 	1251	1250	 	1173_18	 	 	1252_23, 1601_23, 796_28, 798_26	443
Staphylococcus aureus M1188 (1158473.3)	787_1, 852_1	853	788	 	2219	2553	 	2552_10	2627	2626	 	2550_18	 	 	2178_28, 2179_27, 2180_26, 2628_23, 294_23	1826
Staphylococcus aureus M1193 (1303784.3)	2111_1, 2176_1	2177	2112	 	858	1194	 	 	1269	1268	 	1191_18	 	 	1270_23, 1271_24, 1622_23, 817_28, 819_26	463
Staphylococcus aureus M1198 (1158474.3)	419_1, 484_1	485	420	 	1841	2180	 	 	2256	2255	 	2177_18	 	 	1800_28, 1802_26, 2257_23, 2258_24, 2611_23	1447
Staphylococcus aureus M1199 (1158475.3)	2385_1, 2450_1	2451	2386	 	1103	1437	 	 	1512	1511	 	1434_18	 	 	1062_28, 1064_26, 1513_23, 1864_23	708
Staphylococcus aureus M1215 (1158476.3)	420_1, 485_1	486	421	 	1851	2186	 	 	2261	2260	 	2183_18	 	 	1810_28, 1811_27, 1812_26, 2262_23, 2263_24, 2613_23	1452
Staphylococcus aureus M1216 (1158477.3)	759_1, 822_1	823	760	 	2079	2453	 	2452_10	2530, 2531	2529	 	2450_18	 	 	2037_28, 2038_27, 2039_26, 2532_23, 2533_24, 2534_25, 292_23, 294_25	1682
Staphylococcus aureus M1223 (1169268.3)	1889_1, 1952_1	1953	1890	 	561	885	 	884_10	1005	1004	 	882_18	 	 	1006_23, 1008_25, 1367_23, 1369_25, 516_28, 517_27, 518_26	162
Staphylococcus aureus M1224 (1169269.3)	1222_1, 1287_1	1288	1223	 	2626	302	 	 	378	377	 	299_18	 	 	2585_28, 2587_26, 379_23, 731_23	2230
Staphylococcus aureus M1228 (1303785.3)	1850_1, 1935_1	1936	1851	 	664, 665	974	 	973_10	1062	1061	 	971_18	 	 	1063_23, 1413_23, 1415_25	255
Staphylococcus aureus M1229 (1158478.3)	422_1, 487_1	488	423	 	1815	2154	 	 	2229	2228	 	2151_18	 	 	1774_28, 1776_26, 2230_23, 2231_24, 2581_23, 2582_24	1419
Staphylococcus aureus M1244 (1169270.3)	1357_1, 1422_1	1423	1358	 	2726	356	 	 	433	432	 	353_18	 	 	2685_28, 2687_26, 434_23, 787_23	2331
Staphylococcus aureus M1248 (1158479.3)	1205_1, 1270_1	1271	1206	 	2629	305	 	 	381	380	 	302_18	 	 	2588_28, 2590_26, 382_23, 383_24, 737_23	2236
Staphylococcus aureus M1253 (1158480.3)	2166_1, 2231_1	2232	2167	 	848	1183	 	 	1258	1257	 	1180_18	 	 	1259_23, 1611_23, 807_28, 809_26	449
Staphylococcus aureus M1255 (1158481.3)	1277_1, 1344_1	1345	1278	 	2701	303	 	 	379	378	 	300_18	 	 	2660_28, 2662_26, 380_23, 733_23	2312
Staphylococcus aureus M1256 (1169271.3)	1779_1, 1842_1	1778	1841	 	419	117	 	 	20	21	 	120_18	 	 	17_25, 19_23, 462_26, 463_27, 464_28	838
Staphylococcus aureus M1257 (1158482.3)	1219_1, 1283_1	1284	1220	 	2590	303	 	 	378	377	 	300_18	 	 	2549_28, 2551_26, 379_23, 380_24, 730_23	2194
Staphylococcus aureus M1275 (1169272.3)	1278_1, 1342_1	1343	1279	 	2650	303	 	 	378	377	 	300_18	 	 	2609_28, 2611_26, 379_23, 792_23	2251
Staphylococcus aureus M1277 (1158483.3)	784_1, 848_1	849	785	 	2186	2521	 	 	2597	2596	 	2518_18	 	 	2145_28, 2146_27, 2147_26, 2598_23, 2599_24, 293_23	1790
Staphylococcus aureus M1286 (1169273.3)	1216_1, 1281_1	1282	1217	 	2609	303	 	 	379	378	 	300_18	 	 	2568_28, 2570_26, 380_23, 736_23	2211
Staphylococcus aureus M1291 (1158484.3)	1227_1, 1292_1	1293	1228	 	2602	305	 	 	380	379	 	302_18	 	 	2561_28, 2563_26, 381_23, 736_23	2206
Staphylococcus aureus M1309 (1169274.3)	1245_1, 1309_1	1310	1246	 	2675	307	 	 	382	381	 	304_18	 	 	2634_28, 2636_26, 383_23, 733_23	2281
Staphylococcus aureus M1311 (1158485.3)	1834_1, 1896_1	1833	1895	 	504	145	 	146_10, 147_10	66	67	 	149_18	 	 	2341_25, 2342_24, 2343_23, 63_25, 65_23	895
Staphylococcus aureus M1320 (1158486.3)	819_1, 883_1	884	820	 	2233	2569	 	 	2645	2644	 	2566_18	 	 	2192_28, 2194_26, 2646_23, 2647_24, 332_23, 333_24	1836
Staphylococcus aureus M1321 (1158487.3)	1302_1, 1366_1	1367	1303	 	2729	308	 	 	384	383	 	305_18	 	 	2688_28, 2690_26, 385_23, 386_23, 737_23	2336
Staphylococcus aureus M1322 (1158488.3)	441_1, 506_1	507	442	 	1811	2153	 	 	2228	2227	 	2150_18	 	 	1770_28, 1772_26, 2229_23, 2230_24, 2582_23	1416
Staphylococcus aureus M1359 (1158489.3)	2119_1, 2184_1	2185	2120	 	852	1189	 	 	1265	1264	 	1186_18	 	 	1266_23, 1267_24, 1617_23, 811_28, 813_26	457
Staphylococcus aureus M1367 (1158490.3)	786_1, 851_1	852	787	 	2233	2562	 	 	2637	2636	 	2559_18	 	 	2191_28, 2193_26, 2638_23, 300_23	1840
Staphylococcus aureus M1373 (1158491.3)	1759_1, 1823_1	1824	1760	 	511	843	 	 	917	916	 	840_18	 	 	1269_23, 470_28, 472_26, 918_23	114
Staphylococcus aureus M1374 (1169275.3)	1198_1, 1262_1	1263	1199	 	2622	303	 	 	379	378	 	300_18	 	 	2581_28, 2583_26, 380_23, 733_23	2227
Staphylococcus aureus M1394 (1158492.3)	2109_1, 2174_1	2175	2110	 	859	1199	 	 	1274	1273	 	1196_18	 	 	1275_23, 1276_24, 1626_23, 818_28, 820_26	464
Staphylococcus aureus M1405 (1169276.3)	1203_1, 1268_1	1269	1204	 	2622	304	 	 	381	380	 	301_18	 	 	2581_28, 2583_26, 382_23, 383_24, 735_23, 736_24	2228
Staphylococcus aureus M1407 (1303786.3)	1903_1, 1967_1	1968	1904	 	694	1034	 	1033_10	1110	1109	 	1031_18	 	 	1111_23, 1460_23, 653_28, 654_27, 655_26	299
Staphylococcus aureus M1450 (1158493.3)	767_1, 833_1	834	768	 	2194	2532	 	 	2607	2606	 	2529_18	 	 	2153_28, 2155_26, 2608_23, 2609_24, 300_23, 301_24	1800
Staphylococcus aureus M1451 (1158494.3)	1251_1, 1316_1	1317	1252	 	2656	319	 	 	396	395	 	316_18	 	 	2615_28, 2617_26, 397_23, 398_24, 750_23, 751_24	2262
Staphylococcus aureus M1462 (1158495.3)	1190_1, 1253_1	1189	1252	 	2675	278	 	277_10	391	390	 	275_18	 	 	2630_28, 2631_27, 2632_26, 392_23, 394_25, 775_23, 777_25	2269
Staphylococcus aureus M1463 (1158496.3)	1023_1, 1089_1	1090	1024	 	2454	123	 	 	200	199	 	120_18	 	 	201_23, 2413_28, 2415_26, 557_23	2059
Staphylococcus aureus M1466 (1303787.3)	1309_1, 1373_1	1374	1310	 	2757	303	 	 	378	377	 	300_18	 	 	2716_28, 2718_26, 379_23, 753_23	2367
Staphylococcus aureus M1481 (1158497.3)	763_1, 828_1	829	764	 	2190	2529	 	 	2605	2604	 	2526_18	 	 	2149_28, 2151_26, 2606_23, 2607_24, 296_23	1795
Staphylococcus aureus M1510 (1169277.3)	1256_1, 1320_1	1321	1257	 	2713	303	 	 	381	380	 	300_18	 	 	2672_28, 2674_26, 382_23	2317
Staphylococcus aureus M1520 (1158498.3)	1734_1, 1798_1	1799	1735	 	553	892	 	 	967	966	 	889_18	 	 	1315_23, 512_28, 514_26, 968_23	160
Staphylococcus aureus M1521 (1158499.3)	840_1, 905_1	906	841	 	2289	2624	 	 	2700	2699	 	2621_18	 	 	2248_28, 2250_26, 2701_23, 335_23	1894
Staphylococcus aureus M1531 (1158500.3)	1098_1, 1162_1	1163	1099	 	2467	226	 	 	302	301	 	223_18	 	 	2426_28, 2428_26, 303_23, 304_24, 675_23	2070
Staphylococcus aureus M1533 (1158501.3)	828_1, 893_1	894	829	 	2192	2529	 	 	2606	2605	 	2526_18	 	 	2151_28, 2153_26, 2607_23, 2608_24, 335_23, 336_24	1798
Staphylococcus aureus M1544 (1158502.3)	1312_1, 1376_1	1377	1313	 	2689	304	 	 	379	378	 	301_18	 	 	2648_28, 2650_26, 380_23, 381_24, 736_23	2293
Staphylococcus aureus M1556 (1158503.3)	1196_1, 1261_1	1262	1197	 	2638	303	 	 	379	378	 	300_18	 	 	2597_28, 2599_26, 380_23, 731_23	2243
Staphylococcus aureus M1563 (1158504.3)	1416_1, 1481_1	1482	1417	 	134	538	 	 	615	614	 	535_18	 	 	616_23, 617_24, 93_28, 95_26, 992_23	2396
Staphylococcus aureus M1565 (1158505.3)	2256_1, 2321_1	2322	2257	 	965	1298	 	 	1373	1372	 	1295_18	 	 	1374_23, 1725_23, 924_28, 926_26	572
Staphylococcus aureus M1578 (1158506.3)	1236_1, 1301_1	1302	1237	 	2630	304	 	 	380	379	 	301_18	 	 	2589_28, 2591_26, 381_23, 732_23	2234
Staphylococcus aureus M2 (1233245.3)	1157_1, 1910_1	1158	1911	 	2242	2631	 	2630_10	754	753	 	2628_18	 	 	1525_25, 755_23, 757_25, 811_28, 813_26	1000
Staphylococcus aureus NN54 (1161392.3)	328_1, 393_1	327	392	 	1667	30	 	 	2263	2264	 	33_18	 	 	1706_26, 1708_28, 2262_23	1331
Staphylococcus aureus O11 (948561.3)	170_1, 234_1	235	171	 	1340	2207	 	2206_10	1824	1825	 	2204_18	 	 	1380_26, 1381_27, 1382_28, 1821_25, 1823_23, 2523_25, 2525_23	1085
Staphylococcus aureus O46 (948563.3)	149_1, 84_1	150	85	 	701	1441	 	1442_10	1795	1796	 	1444_18	 	 	1792_25, 1794_23, 2007_23, 2008_24, 2009_25, 741_26, 742_27, 743_28	359
Staphylococcus aureus PM1 (1147034.3)	1202_1, 1264_1	1201	1263	 	254	2212	 	2213_10	2188	2187	 	2215_18	 	 	1825_26, 1826_27, 1827_28, 1934_23, 1936_25, 2189_23, 2191_25	1691
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	1362_1, 1432_1	1433	1363, 1364	 	18	424	 	423_10	531	530	 	421_18	 	 	2896_28, 2897_27, 2898_27, 2899_27, 2900_26, 532_23, 534_25, 914_23, 916_25	2505
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	1377_1, 1443_1	1444	1378	 	18	416	 	415_10	518	517	 	413_18	 	 	2943_28, 2944_27, 2945_26, 519_23, 521_25, 900_23, 902_25	2551
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	1294_1, 1365_1	1366	1295	 	27	346	 	 	427	426	 	343_18	 	 	2621_28, 2622_27, 2623_26, 428_23, 429_24, 802_23	2255
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	1254_1, 1321_1	1322	1255, 1256	 	19	397	 	396_10	508	507	 	394_18	 	 	2882_28, 2884_26, 509_23, 511_25, 891_23, 893_25	2502
Staphylococcus aureus RF122 (273036.3)	1536_1, 681_1	682	1537	 	142	323	 	322_10	59	58	 	320_18	 	 	2483_28, 2484_27, 2485_26, 60_23, 61_24, 62_25, 869_23, 870_24, 871_25	2141
Staphylococcus aureus ST228/10388 (1075076.3)	1193_1, 1258_1	1259	1194	 	12	325	 	 	405	404	 	322_18	 	 	2527_28, 2528_27, 2529_26, 406_23, 770_23	2164
Staphylococcus aureus ST228/10497 (1075077.3)	1197_1, 1262_1	1263	1198	 	12	326	 	 	407	406	 	323_18	 	 	2531_28, 2532_27, 2533_26, 408_23, 774_23	2169
Staphylococcus aureus ST228/15532 (1075078.3)	1192_1, 1257_1	1258	1193	 	12	325	 	 	406	405	 	322_18	 	 	2522_28, 2523_27, 2524_26, 407_23, 769_23	2162
Staphylococcus aureus ST228/16035 (1075079.3)	1190_1, 1255_1	1256	1191	 	12	325	 	 	406	405	 	322_18	 	 	2518_28, 2519_27, 2520_26, 407_23, 766_23	2157
Staphylococcus aureus ST228/18412 (1075082.3)	1196_1, 1261_1	1262	1197	 	12	326	 	 	407	406	 	323_18	 	 	2525_28, 2526_27, 2527_26, 408_23, 771_23	2165
Staphylococcus aureus VH221 (1278074.4)	162_1, 1875_1	161	1874	 	1906	858	 	857_10	22	21	 	855_18	 	 	2265_26, 2266_27, 2267_27, 2268_28, 23_23, 2355_25, 2357_23, 24_24	2333
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	1336_1, 1400_1	1401	1337	 	94	421	 	 	497	496	 	418_18	 	 	498_23, 53_28, 55_26, 872_23, 873_24	2315, 2316
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	1374_1, 1605_1	1373	1606	 	2011	844	 	 	2356	2355	 	841_18	 	 	1295_28, 1297_26, 2030_23, 2031_24, 2032_25, 2357_23	1581
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	2171_1, 601_1	602	2170	 	1736	2032	 	2033_10	1251	1250	 	2035_18	 	 	1252_23, 1254_25, 1692_25, 1694_23, 1895_28, 1896_27, 1897_26	1391
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	1701_1, 207_1	1700	208	 	1081	456	 	457_10	1966	1965	 	459_18	 	 	1283_23, 1284_24, 1967_23, 1968_24, 1969_25	536
Staphylococcus aureus subsp. aureus 118 (1144271.3)	69_1, 766_1	765	68	 	282	1069	 	1070_10	1509	1508	 	1072_18	 	 	1510_23, 1511_24, 1512_25, 463_23, 465_25, 956_26, 957_27, 958_28	1177
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	1264_1, 1328_1	1329	1265	 	12	345	 	344_10	429	428	 	342_18	 	 	2616_28, 2617_27, 2618_26, 430_23, 432_25, 843_23, 845_25, 968_23	2273
Staphylococcus aureus subsp. aureus 120 (1221451.3)	2120_1, 666_1	2119	665	 	1795	1700	 	1699_10	2142	2143	 	1697_18	 	 	1079_25, 1081_23, 1838_26, 1839_27, 1840_28, 2139_25, 2140_24, 2141_23	298
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	2459_1, 479_1	480	2460	 	1904	614	 	613_10	1504	1505	 	611_18	 	 	1233_26, 1235_28, 1321_25, 1501_25, 1503_23	293
Staphylococcus aureus subsp. aureus 132 (644279.4)	1414_1, 1481_1	1482	1415	 	103	427	 	426_10	532	531	 	424_18	 	 	1037_23, 533_23, 535_25, 56_28, 57_27, 58_27, 59_26, 912_23, 914_25	2465
Staphylococcus aureus subsp. aureus 21172 (904723.3)	464_1, 530_1	531	465	 	1501	1234	 	 	1158	1159	 	1237_18	 	 	1157_23, 1541_26, 1543_28, 1974_23	2213
Staphylococcus aureus subsp. aureus 21178 (904724.3)	2678_1, 821_1	820	2677	 	2543	1583	 	1584_10	1987	1988	 	1586_18	 	 	1552_28, 1554_26, 1984_25, 1986_23, 2377_23, 657_23, 659_25	1304
Staphylococcus aureus subsp. aureus 21189 (904725.3)	2075_1, 615_1	2076	614	 	329	2346	 	2347_10	755	756	 	2349_18	 	 	1987_25, 1989_23, 372_26, 373_27, 374_28, 480_23, 752_25, 754_23	1552
Staphylococcus aureus subsp. aureus 21193 (904726.3)	149_1, 249_1	250	148	 	966	670	 	 	1433	1434	 	673_18	 	 	1431_24, 1432_23, 58_25, 60_23	1679
Staphylococcus aureus subsp. aureus 21195 (904728.3)	1450_1, 2510_1	1451	2509	 	2025	651	 	652_10	1663	1662	 	654_18	 	 	1664_23, 1666_25, 1981_28, 1983_26, 2167_23	1326
Staphylococcus aureus subsp. aureus 21196 (904729.3)	1770_1, 529_1	530	1769	 	178	451	 	452_10	1582	1581	 	454_18	 	 	1583_23, 1584_24, 1585_25, 2143_25, 2145_23, 217_28, 218_27, 219_26	1372
Staphylococcus aureus subsp. aureus 21200 (904730.3)	196_1, 259_1	260	197	 	1365	1054	 	1055_10	972	973	 	1057_18	 	 	2288_23, 2405_25, 2407_23, 969_25, 971_23	1601
Staphylococcus aureus subsp. aureus 21201 (904731.3)	2481_1, 656_1	655	2482	 	1915	1628	 	 	1552	1553	 	1631_18	 	 	1520_23, 1551_23, 1954_26, 1956_28	373
Staphylococcus aureus subsp. aureus 21202 (904732.3)	2511_1, 2574_1	2575	2512	 	230	2040	 	2041_10	1958	1959	 	2043_18	 	 	1394_23, 1955_25, 1957_23, 670_23	567
Staphylococcus aureus subsp. aureus 21209 (904735.3)	2568_1, 353_1	352	2567	 	2439	830	 	831_10	429	430	 	833_18	 	 	1521_25, 1523_23, 2482_26, 2483_27, 2484_28, 426_25, 428_23	2704
Staphylococcus aureus subsp. aureus 21232 (904737.3)	14_1, 341_1	13	340	 	917	178	 	177_10	56	57	 	175_18	 	 	241_28, 242_27, 243_26, 53_25, 55_23, 610_23, 755_25, 757_23	1837
Staphylococcus aureus subsp. aureus 21236 (904739.3)	1688_1, 2383_1	2384	1689	 	956	284	 	 	2000	1999	 	281_18	 	 	1526_23, 2001_23, 995_26, 997_28	1457
Staphylococcus aureus subsp. aureus 21252 (904743.3)	1313_1, 1375_1	100	1374	 	980	1637	 	1638_10	183	182	 	1640_18	 	 	184_23, 185_24, 186_25, 2020_23, 2195_25, 2197_23	1198
Staphylococcus aureus subsp. aureus 21259 (904744.3)	755_1, 820_1	754	819	 	2200	1019	 	1021_10	935	936	 	1023_18	 	 	1164_25, 1166_23, 2029_23, 2239_26, 2240_27, 2241_28, 933_24, 934_23	1382
Staphylococcus aureus subsp. aureus 21262 (904745.3)	1945_1, 2007_1	1944	2006	 	564	1552	 	1551_10	759	760	 	1549_18	 	 	1741_23, 380_23, 382_25, 756_25, 757_24, 758_23	42
Staphylococcus aureus subsp. aureus 21264 (904746.3)	1172_1, 2182_1	2181	1171	 	1311	2233	 	 	2109	2110	 	2236_18	 	 	2106_25, 2108_23, 568_28, 570_26	94
Staphylococcus aureus subsp. aureus 21266 (904747.3)	1158_1, 1223_1	1157	1221, 1222	 	520	2376	 	2377_10	1722	1723	 	2379_18	 	 	1533_23, 1680_25, 1682_23, 1719_25, 1720_24, 1721_23, 480_28, 481_27, 482_26	738
Staphylococcus aureus subsp. aureus 21269 (904749.3)	1494_1, 1561_1	1562	1495, 1496	 	2384	1896	 	1897_10	1360	1361	 	1899_18	 	 	1037_23, 1039_25, 1357_25, 1358_24, 1359_23, 349_23	874
Staphylococcus aureus subsp. aureus 21272 (904750.3)	1755_1, 2226_1	1756	2225	 	719	1009	 	 	1084	1083	 	1006_18	 	 	1085_23, 1561_23, 678_28, 680_26	2041
Staphylococcus aureus subsp. aureus 21282 (904753.3)	1274_1, 554_1	1275	555	 	2339	679	 	680_10	943	942	 	682_18	 	 	1088_26, 1089_27, 1090_28, 2394_23, 2396_25, 944_23, 946_25	1720
Staphylococcus aureus subsp. aureus 21283 (904754.3)	1696_1, 352_1	1695	353	 	52	559	 	560_10	272	273	 	562_18	 	 	1231_23, 2482_26, 2483_27, 2484_28, 269_25, 271_23, 383_25, 385_23	1859
Staphylococcus aureus subsp. aureus 21305 (904759.3)	2481_1, 2547_1	2548	2482	 	1794	534	 	 	2652	2653	 	537_18	 	 	173_25, 175_23, 2650_24, 2651_23	901
Staphylococcus aureus subsp. aureus 21310 (904760.3)	2383_1, 2449_1	2382	2448	 	1422	1785	 	1786_10	1713	1714	 	1788_18	 	 	1712_23, 847_23, 849_25	2613
Staphylococcus aureus subsp. aureus 21318 (904763.3)	1080_1, 1147_1, 1148_1	1079	1146	 	978	2398	 	2399_10	1530	1531	 	2401_18	 	 	1529_23, 1839_23, 2705_28, 2707_26	1295
Staphylococcus aureus subsp. aureus 21331 (904766.3)	1069_1, 825_1	824	1070	 	182	2147	 	2148_10	2076	2077	 	2150_18	 	 	1827_23, 2073_25, 2074_24, 2075_23, 467_23	1454
Staphylococcus aureus subsp. aureus 21333 (904767.3)	63_1, 681_1	682	62	 	1846	1474	 	1475_10	1389	1390	 	1477_18	 	 	1386_25, 1388_23, 1804_28, 1805_27, 1806_26, 1919_25, 1921_23, 2530_23	953
Staphylococcus aureus subsp. aureus 21334 (904768.3)	2142_1, 36_1	37	2141	 	422	1487	 	1486_10	1568	1567	 	1484_18	 	 	155_25, 1569_23, 157_23, 1570_24, 1571_25, 381_28, 382_27, 383_26	2368
Staphylococcus aureus subsp. aureus 21340 (904771.3)	196_1, 2563_1	195	2562	 	221	1663	 	 	911	910	 	1660_18	 	 	1546_23, 263_26, 264_27, 265_28, 483_25, 485_23, 912_23, 913_24, 914_25	2415
Staphylococcus aureus subsp. aureus 21342 (904772.3)	41_1, 962_1	40	961	 	1568	2640	 	 	1056	1055	 	2637_18	 	 	1057_23, 1058_24, 1059_25	547
Staphylococcus aureus subsp. aureus 21343 (904773.3)	1620_1, 2357_1	2358	1619	 	738	174	 	175_10	101	102	 	177_18	 	 	100_23, 476_23, 692_28, 693_27, 694_26, 903_25, 905_23, 98_25, 99_24	1256
Staphylococcus aureus subsp. aureus 21345 (904774.3)	1541_1, 17_1	1540	18	 	361	2128	 	 	497	498	 	2125_18	 	 	494_25, 496_23, 793_28, 795_26	44
Staphylococcus aureus subsp. aureus 333 (1221452.3)	653_1, 718_1	719	654	 	2210	1723	 	1724_10	1596	1595	 	1726_18	 	 	10_28, 1597_23, 1598_23, 1599_24, 1600_25, 230_23, 232_25, 8_26, 9_27	908
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	1597_1, 2406_1	1598	2407	 	2200	1067	 	1066_10	1159	1158	 	1064_18	 	 	1160_23, 1161_24, 1162_25, 1974_26, 1975_27, 1976_28, 605_23, 607_25	147
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	1877_1, 1878_1, 1941_1	1942	1879	 	244	632	 	 	705	704	 	629_18	 	 	1336_23, 195_28, 196_27, 197_26, 706_23, 708_25	799
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	1261_1, 1324_1	1325	1262	 	220	524	 	 	600	599	 	521_18	 	 	1695_23, 171_28, 172_27, 173_26, 603_25	787
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	2308_1, 2371_1	2372	2309	 	38	338	 	 	410	409	 	335_18	 	 	1323_23, 411_23, 413_25, 967_28, 968_27, 969_26	596
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	1588_1, 1915_1	1589	1916	 	650	951	 	 	239	238	 	947_18	 	 	1328_23, 240_23, 242_25, 600_28, 601_27, 602_26	167
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	931_1, 997_1	998	932	 	2365	2686	 	 	1958	1957	 	2683_18	 	 	1959_23, 1960_23, 1962_25, 2317_28, 2318_27, 2319_26	1881
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	655_1, 721_1	654	720	 	1779	1462	 	 	1371	1372	 	1465_18	 	 	1162_25, 1164_23, 1368_25, 1369_24, 1370_23, 1818_26, 1819_27, 1820_28	2187
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	1905_1, 1975_1	1904	1974	 	807	1177	 	1176_10	1284	1283	 	1174_18	 	 	1285_23, 1287_25, 2301_23, 2451_25, 2453_23, 758_28, 760_26	323
