Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Enterococcus faecalis UAA907 (1157376.3)	322	1154_2	1155	1511	 	 	 	 	1106	1650	1107	403_17	 	1458	 	256_25, 257_27	 
Enterococcus faecalis UAA943 (1157377.3)	323	1154_2	1155	1450	 	 	 	 	1106	1589	1107	404_17	 	1397	 	255_25, 256_27	 
Enterococcus faecalis UAA948 (1158542.3)	488	1272_2	1273	1580	 	 	 	 	1227	1719	1228	583_17	 	1526	 	317_28, 318_27	 
Enterococcus faecalis V583 (226185.9)	340	1106_2	1107	1461	 	 	 	 	1059	 	1060	429_17	 	1413	 	225_25	 
Enterococcus faecalis V587 (1158623.3)	99	890_2	891	1252	 	 	 	 	843	 	844	191_17	 	1204	 	3115_25	 
Enterococcus faecalis WH257 (1158628.3)	317	1039_2	1040	1398	 	 	 	 	961	 	962	408_17	 	1345	 	217_28, 218_27	 
Enterococcus faecalis WH571 (1158631.3)	362	1139_2	1140	1501	 	 	 	 	1062	 	1063	454_17	 	1448	 	268_28, 269_27	 
Enterococcus faecalis X98 (565641.4)	827	2153_2	2152, 962	1855	 	 	 	 	2196	1709	2195	919_17	 	1922	 	1270_25, 1271_27	 
Enterococcus faecalis YI6-1 (1158667.3)	2459	1157_2	1158	1444	 	 	 	 	1108	1589	1109	2366_17	 	1390	 	291_25, 292_27	 
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	2543	176_2	177, 2168	461	 	 	 	 	127	609	128	2634_17	 	408	 	2990_25, 2991_27	 
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	253	1008_2	1009, 369	1313	 	 	 	 	961	1461	962	344_17	 	1258	 	187_25, 188_27	 
Enterococcus faecium 1,141,733 (565659.3)	15	14_2	11, 399	12	 	 	 	 	13	17	16	10_17	 	9	 	1586_27, 1587_28	 
Enterococcus faecium 1,230,933 (565656.3)	1336	1335_2	1332, 2570, 2656	1333	 	 	 	 	1334	1338	1337	1331_17	 	1330	 	763_25, 764_23_24, 764_23_24	 
Enterococcus faecium 1,231,408 (565661.4)	509	508_2	2593, 505	506	 	 	 	 	507	511	510	504_17	 	503	 	1003_28, 1004_27	 
Enterococcus faecium 1,231,410 (565660.4)	685	684_2	2625, 2660, 681	682	 	 	 	 	683	687	686	680_17	 	679	 	1332_25, 1333_23_24, 1333_23_24	 
Enterococcus faecium 1,231,501 (565658.4)	13	12_2	9	10	 	 	 	 	11	15	14	8_17	 	7	 	2013_25, 2014_23_24, 2014_23_24	 
Enterococcus faecium 1,231,502 (565657.5)	1118	1119_2	1122, 2681, 2704	1121	 	 	 	 	1120	1116	1117	1123_17	 	1124	 	460_25, 461_23_24, 461_23_24	 
Enterococcus faecium 109 A1 (1157416.3)	2109	2110_2	2113	2112	 	 	 	 	2111	2107	2108	2114_17	 	2115	 	166_25, 167_23_24, 167_23_24	 
Enterococcus faecium 2006-70-121 (1157417.3)	1863	1864_2	1867	1866	 	 	 	 	1865	1861	1862	1868_17	 	1869	 	 	 
Enterococcus faecium 504 (1134805.3)	2500	2501_2	2504	2503	 	 	 	 	2502	2498	2499	2505_17	 	2506	 	1761_28	 
Enterococcus faecium 505 (1134806.3)	1136	1135_2	1132	1133	 	 	 	 	1134	1138	1137	1131_17	 	1130	 	1098_28	 
Enterococcus faecium 7330381-1 (1157419.3)	679	678_2	675	676	 	 	 	 	677	681	680	674_17	 	673	 	448_28, 449_23_24, 449_23_24	 
Enterococcus faecium 7330446-2 (1157420.3)	2295	2296_2	2299	2298	 	 	 	 	2297	2293	2294	2300_17	 	2301	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium 7330519-3 (1157421.3)	1804	1805_2	1808	1807	 	 	 	 	1806	1802	1803	1809_17	 	1810	 	162_28, 163_23_24, 163_23_24	 
Enterococcus faecium 7330614-1 (1157422.3)	1935	1936_2	1939	1938	 	 	 	 	1937	1933	1934	1940_17	 	1941	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium 7330884-2 (1157423.3)	2193	2194_2	2197	2196	 	 	 	 	2195	2191	2192	2198_17	 	2199	 	163_28, 164_23_24, 164_23_24	 
Enterococcus faecium 7430166-3 (1157424.3)	2284	2285_2	2288	2287	 	 	 	 	2286	2282	2283	2289_17	 	2290	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium 841V03 (1157425.3)	812	811_2	808	809	 	 	 	 	810	814	813	807_17	 	806	 	163_28, 164_23_24, 164_23_24	 
Enterococcus faecium 9730219-1 (1157429.3)	1578	1579_2	1582	1581	 	 	 	 	1580	1576	1577	1583_17	 	1584	 	162_28, 163_23_24, 163_23_24	 
Enterococcus faecium 9730357-1 (1157430.3)	611	610_2	607	608	 	 	 	 	609	613	612	606_17	 	605	 	320_28, 321_23_24, 321_23_24	 
Enterococcus faecium 9731349-1 (1157431.3)	2374	2375_2	2378	2377	 	 	 	 	2376	2372	2373	2379_17	 	2380	 	174_25, 175_23_24, 175_23_24	 
Enterococcus faecium 9731352-4 (1157432.3)	1988	1989_2	1992	1991	 	 	 	 	1990	1986	1987	1993_17	 	1994	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium 9830091-5 (1157433.3)	2461	2462_2	2465	2464	 	 	 	 	2463	2459	2460	2466_17	 	2467	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium 9830512-2 (1157435.3)	1012	1011_2	1008	1009	 	 	 	 	1010	1014	1013	1007_17	 	1006	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium 9830565-4 (1157437.3)	1208	1207_2	1204	1205	 	 	 	 	1206	1210	1209	1203_17	 	1202	 	319_28, 320_23_24, 320_23_24	 
Enterococcus faecium 9930238-2 (1157440.3)	1156	1155_2	1152	1153	 	 	 	 	1154	1158	1157	1151_17	 	1150	 	162_28, 163_23_24, 163_23_24	 
Enterococcus faecium 9931110-4 (1157441.3)	457	456_2	453	454	 	 	 	 	455	459	458	452_17	 	451	 	162_28, 163_23_24, 163_23_24	 
Enterococcus faecium A17 Sv1 (1157442.3)	2365	2366_2	2369	2368	 	 	 	 	2367	2363	2364	2370_17	 	2371	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium ATCC 8459 (1158600.4)	125	126_2	129	128	 	 	 	 	127	123	124	130_17	 	131	 	397_27, 398_25	 
Enterococcus faecium Aus0004 (1155766.14)	484	483_2	480	481	 	 	 	 	482	486	485	479_17	 	478	 	197_25, 198_23_24, 198_23_24	 
Enterococcus faecium C309 (1176489.3)	656	657_2	660	659	 	 	 	 	658	654	655	661_17	 	662	 	1376_23_24, 1376_23_24, 1377_25	 
Enterococcus faecium C68 (565664.3)	2799	2800_2	20, 2688, 2803	2802	 	 	 	 	2801	2797	2798	2804_17	 	2805	 	355_28, 356_23_24, 356_23_24	 
Enterococcus faecium CRL1879 (1295527.3)	2796	2797_2	2801	2800	 	 	 	 	2798, 2799	2794	2795	2802_17	 	2803, 2804	 	1980_27, 1981_25	 
Enterococcus faecium Com12 (565662.4)	14	13_2	10, 197	11	 	 	 	 	12	16	15	9_17	 	8	 	1445_28, 1446_27	 
Enterococcus faecium Com15 (565663.4)	14	13_2	10	11	 	 	 	 	12	16	15	9_17	 	8	 	1750_28, 1751_27	 
Enterococcus faecium D344SRF (565665.3)	1437	1436_2	1433	1434	 	 	 	 	1435	1439	1438	1432_17	 	1431	 	993_23_24, 993_23_24, 994_25	 
Enterococcus faecium E0045 (1138880.3)	13	12_2	9	10	 	 	 	 	11	15	14	8_17	 	7	 	1659_23_24, 1659_23_24, 1660_28	 
Enterococcus faecium E0120 (1138881.3)	1356	1357_2	1360	1359	 	 	 	 	1358	1354	1355	1361_17	 	1362	 	1555_28, 1556_23_24, 1556_23_24	 
Enterococcus faecium E0164 (1138882.3)	2474	2473_2	2470	2471	 	 	 	 	2472	2476	2475	2469_17	 	2468	 	1379_23_24, 1379_23_24, 1380_28	 
Enterococcus faecium E0269 (1138883.3)	718	719_2	722	721	 	 	 	 	720	716	717	723_17	 	724	 	1352_28, 1353_23_24, 1353_23_24	 
Enterococcus faecium E0333 (1138884.3)	1105	1104_2	1101	1102	 	 	 	 	1103	1107	1106	1100_17	 	1099	 	1793_25, 1794_23_24, 1794_23_24	 
Enterococcus faecium E0679 (1138885.3)	1744	1745_2	1748	1747	 	 	 	 	1746	1742	1743	1749_17	 	1750	 	1978_28	 
Enterococcus faecium E0680 (1138886.3)	13	12_2	9	10	 	 	 	 	11	15	14	8_17	 	7	 	1327_25, 1328_23_24, 1328_23_24	 
Enterococcus faecium E0688 (1138887.3)	994	995_2	998	997	 	 	 	 	996	992	993	999_17	 	1000	 	1652_28, 1653_23_24, 1653_23_24	 
Enterococcus faecium E1007 (1138888.3)	1825	1826_2	1829	1828	 	 	 	 	1827	1823	1824	1830_17	 	1831	 	2110_27, 2111_28	 
Enterococcus faecium E1039 (645663.4)	1780	1781_2	1784	1783	 	 	 	 	1782	1778	1779	1785_17	 	1786	 	2081_28, 2082_23_24, 2082_23_24	 
Enterococcus faecium E1050 (1138889.3)	444	443_2	440	441	 	 	 	 	442	2560, 446	445	439_17	 	438	 	172_25, 173_23_24, 173_23_24	 
Enterococcus faecium E1071 (535205.4)	727	726_2	723	724	 	 	 	 	725	729	728	722_17	 	721	 	581_27, 582_25	 
Enterococcus faecium E1133 (1138890.3)	1537	1536_2	1533, 1570	1534	 	 	 	 	1535	1539	1538	1532_17	 	1531	 	1763_25, 1764_23_24, 1764_23_24	 
Enterococcus faecium E1162 (535206.4)	2080	2081_2	2084	2083	 	 	 	 	2082	2078	2079	2085_17	 	2086	 	2117_25, 2118_23_24, 2118_23_24	 
Enterococcus faecium E1185 (1138891.3)	14	13_2	10, 657	11	 	 	 	 	12	16	15	9_17	 	8	 	1927_28, 1928_23_24, 1928_23_24	 
Enterococcus faecium E1258 (1138892.3)	720	721_2	724	723	 	 	 	 	722	718	719	725_17	 	726	 	1620_23_24, 1620_23_24, 1621_25	 
Enterococcus faecium E1293 (1138893.3)	517	516_2	513	514	 	 	 	 	515	519	518	512_17	 	511	 	195_25, 196_23_24, 196_23_24	 
Enterococcus faecium E1321 (1138930.3)	1228	1229_2	1232	1231	 	 	 	 	1230	1226	1227	1233_17	 	1234	 	1357_25	 
Enterococcus faecium E1392 (1138894.3)	1599	1598_2	1595, 2756	1596	 	 	 	 	1597	1601	1600	1594_17	 	1593	 	1395_25	 
Enterococcus faecium E1552 (1138895.3)	14	13_2	10	11	 	 	 	 	12	16	15	9_17	 	8	 	1507_23_24, 1507_23_24, 1508_28	 
Enterococcus faecium E1573 (1138896.3)	2686	2687_2	2690	2689	 	 	 	 	2688	2684	2685	2691_17	 	2692	 	1384_25, 1385_27	 
Enterococcus faecium E1574 (1138897.3)	1275	1276_2	1279	1278	 	 	 	 	1277	1273	1274	1280_17	 	1281	 	1473_28, 1474_23_24, 1474_23_24	 
Enterococcus faecium E1575 (1138898.3)	1464	1465_2	1468	1467	 	 	 	 	1466	1462	1463	1469_17	 	1470	 	1647_28, 1648_23_24, 1648_23_24	 
Enterococcus faecium E1576 (1138899.3)	2398	2399_2	2402	2401	 	 	 	 	2400	2396	2397	2403_17	 	2404	 	910_25, 911_27	 
Enterococcus faecium E1578 (1138900.3)	447	446_2	443	444	 	 	 	 	445	449	448	442_17	 	441	 	175_25, 176_27	 
Enterococcus faecium E1590 (1138901.3)	969	970_2	341, 973	972	 	 	 	 	971	967	968	974_17	 	975	 	1771_28, 1772_27	 
Enterococcus faecium E1604 (1138902.3)	2003	2004_2	2007	2006	 	 	 	 	2005	2001	2002	2008_17	 	2009	 	2302_27, 2303_28	 
Enterococcus faecium E1613 (1138903.3)	15	14_2	11, 1128	12	 	 	 	 	13	17	16	10_17	 	9	 	1962_28, 1963_27	 
Enterococcus faecium E1620 (1138904.3)	637	638_2	641	640	 	 	 	 	639	635	636	642_17	 	643	 	1932_23_24, 1932_23_24, 1933_25	 
Enterococcus faecium E1622 (1138905.3)	1337	1338_2	1341	1340	 	 	 	 	1339	1335	1336	1342_17	 	1343	 	1610_23_24, 1610_23_24, 1611_25	 
Enterococcus faecium E1623 (1138906.3)	2610	2609_2	2606	2607	 	 	 	 	2608	2612	2611	2605_17	 	2604	 	1002_25, 1003_27	 
Enterococcus faecium E1626 (1138907.3)	1546	1547_2	1550	1549	 	 	 	 	1548	1544	1545	1551_17	 	1552	 	1825_23_24, 1825_23_24, 1826_25	 
Enterococcus faecium E1627 (1138908.3)	1284	1285_2	1288	1287	 	 	 	 	1286	1282	1283	1289_17	 	1290	 	1573_23_24, 1573_23_24, 1574_25	 
Enterococcus faecium E1630 (1138909.3)	768	769_2	772	771	 	 	 	 	770	766	767	773_17	 	774	 	1481_28	 
Enterococcus faecium E1634 (1138910.3)	1867	1868_2	1871	1870	 	 	 	 	1869	1865	1866	1872_17	 	1873	 	1085_23_24, 1085_23_24, 1086_25	 
Enterococcus faecium E1636 (544875.4)	635	634_2	1503, 631	632	 	 	 	 	633	637	636	630_17	 	629	 	665_23_24, 665_23_24, 666_25	 
Enterococcus faecium E1644 (1138931.3)	419	418_2	2694, 415	416	 	 	 	 	417	421	420	414_17	 	413	 	166_25, 167_23_24, 167_23_24	 
Enterococcus faecium E1731 (1138913.3)	13	12_2	2393, 2410, 9	10	 	 	 	 	11	15	14	8_17	 	7	 	1599_23_24, 1599_23_24, 1600_25	 
Enterococcus faecium E1861 (1138914.3)	1300	1301_2	1304	1303	 	 	 	 	1302	1298	1299	1305_17	 	1306	 	1596_27, 1597_28	 
Enterococcus faecium E1904 (1138915.3)	997, 998	999_2	1002	1001	 	 	 	 	1000	995	996	1003_17	 	1004	 	2838_25, 2839_23_24, 2839_23_24	 
Enterococcus faecium E1972 (1138916.3)	17	16_2	13, 757	14	 	 	 	 	15	19	18	12_17	 	11	 	2269_27, 2270_28	 
Enterococcus faecium E2039 (1138917.3)	1807	1808_2	1811	1810	 	 	 	 	1809	1805	1806	1812_17	 	1813	 	1138_28, 1139_27	 
Enterococcus faecium E2071 (1138918.3)	14	13_2	10	11	 	 	 	 	12	16	15	9_17	 	8	 	1629_28, 1630_23_24, 1630_23_24	 
Enterococcus faecium E2134 (1138919.3)	1810	1811_2	1814, 2402	1813	 	 	 	 	1812	1808	1809	1815_17	 	1816	 	2050_23_24, 2050_23_24, 2051_28	 
Enterococcus faecium E2297 (1138920.3)	359	360_2	2732, 3027, 363	362	 	 	 	 	361	357	358	364_17	 	365	 	1537_23_24, 1537_23_24, 1538_25	 
Enterococcus faecium E2369 (1138932.3)	1673	1672_2	1669, 2723	1670	 	 	 	 	1671	1675	1674	1668_17	 	1667	 	1147_25, 1148_23_24, 1148_23_24	 
Enterococcus faecium E2560 (1138933.3)	1579	1578_2	1575, 2658	1576	 	 	 	 	1577	1581	1580	1574_17	 	1573	 	1307_25, 1308_23_24, 1308_23_24	 
Enterococcus faecium E2620 (1138921.3)	1785	1786_2	1188, 1789, 1990	1788	 	 	 	 	1787	1783	1784	1790_17	 	1791	 	2133_28	 
Enterococcus faecium E2883 (1138922.3)	143	142_2	139	140	 	 	 	 	141	145	144	138_17	 	137	 	2288_23_24, 2288_23_24, 2289_25	 
Enterococcus faecium E2966 (1138923.3)	820	819_2	816	817	 	 	 	 	818	822	821	815_17	 	814	 	174_25, 175_23_24, 175_23_24	 
Enterococcus faecium E3083 (1138924.3)	1310	1311_2	1314, 666	1313	 	 	 	 	1312	1308	1309	1315_17	 	1316	 	1618_27, 1619_28	 
Enterococcus faecium E3346 (1138925.3)	1203	1204_2	1207	1206	 	 	 	 	1205	1201	1202	1208_17	 	1209	 	1386_28	 
Enterococcus faecium E3548 (1138926.3)	1316	1317_2	1320, 628	1319	 	 	 	 	1318	1314	1315	1321_17	 	1322	 	1624_27, 1625_28	 
Enterococcus faecium E4215 (1138929.3)	731	732_2	735	734	 	 	 	 	733	729	730	736_17	 	737	 	924_28, 925_23_24, 925_23_24	 
Enterococcus faecium E4389 (1138934.3)	832	831_2	828	829	 	 	 	 	830	834	833	827_17	 	826	 	1439_25	 
Enterococcus faecium E6012 (1138935.3)	13	12_2	2468, 2703, 9	10	 	 	 	 	11	15	14	8_17	 	7	 	1602_25, 1603_23_24, 1603_23_24	 
Enterococcus faecium E6045 (1138936.3)	597	596_2	2679, 593	594	 	 	 	 	595	599	598	592_17	 	591	 	324_25, 325_23_24, 325_23_24	 
Enterococcus faecium E8sv3 (1157443.3)	455	454_2	451	452	 	 	 	 	453	457	456	450_17	 	449	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium E980 (529885.3)	1105	1104_2	1101, 1587	1102	 	 	 	 	1103	1107	1106	1100_17	 	1099	 	2604_28, 2605_27	 
Enterococcus faecium ERV1 (1134819.3)	2797	2798_2	2801	2800	 	 	 	 	2799	2795	2796	2802_17	 	2803	 	2440_25, 2441_23_24, 2441_23_24	 
Enterococcus faecium EnGen0305 (1158641.3)	1757	1758_2	1107, 1761	1760	 	 	 	 	1759	1755	1756	1762_17	 	1763	 	222_23_24, 222_23_24, 223_25	 
Enterococcus faecium EnGen0308 (1158642.3)	1882	1883_2	1886	1885	 	 	 	 	1884	1880	1881	1887_17	 	1888	 	2176_23_24, 2176_23_24, 2177_25	 
Enterococcus faecium EnGen0312 (1158652.3)	2405	2406_2	2409, 2825	2408	 	 	 	 	2407	2403	2404	2410_17	 	2411	 	2739_23_24, 2739_23_24, 2740_25	 
Enterococcus faecium EnGen0314 (1158646.3)	2443	2444_2	2447, 2812	2446	 	 	 	 	2445	2441	2442	2448_17	 	2449	 	174_25, 175_23_24, 175_23_24	 
Enterococcus faecium EnGen0316 (1158647.3)	501	500_2	2717, 497	498	 	 	 	 	499	503	502	496_17	 	495	 	174_25, 175_23_24, 175_23_24	 
Enterococcus faecium EnGen0318 (1158648.3)	514	513_2	2789, 510	511	 	 	 	 	512	516	515	509_17	 	508	 	175_25, 176_23_24, 176_23_24	 
Enterococcus faecium EnGen0319 (1158649.3)	503	502_2	2793, 499	500	 	 	 	 	501	505	504	498_17	 	497	 	176_25, 177_23_24, 177_23_24	 
Enterococcus faecium EnGen0321 (1158650.3)	2441	2442_2	2445, 2796	2444	 	 	 	 	2443	2439	2440	2446_17	 	2447	 	176_25, 177_23_24, 177_23_24	 
Enterococcus faecium EnGen0323 (1158651.3)	2144	2145_2	2148, 2804	2147	 	 	 	 	2146	2142	2143	2149_17	 	2150	 	173_25, 174_23_24, 174_23_24	 
Enterococcus faecium EnGen0375 (1138937.4)	2476	2475_2	2263, 2472	2473	 	 	 	 	2474	2478	2477	2471_17	 	2470	 	597_23_24, 597_23_24, 598_25	 
Enterococcus faecium EnGen0376 (1138938.4)	2451	2450_2	2178, 2447	2448	 	 	 	 	2449	2453	2452	2446_17	 	2445	 	174_25, 175_23_24, 175_23_24	 
Enterococcus faecium EnGen0377 (1138939.4)	402	403_2	2539, 406	405	 	 	 	 	404	400	401	407_17	 	408	 	734_23_24, 734_23_24, 735_25	 
Enterococcus faecium F9730129-1 (1157479.3)	2539	2540_2	2543	2542	 	 	 	 	2541	2537	2538	2544_17	 	2545	 	178_28, 179_23_24, 179_23_24	 
Enterococcus faecium H17243 (1157444.3)	447	446_2	443	444	 	 	 	 	445	449	448	442_17	 	441	 	173_25, 174_27	 
Enterococcus faecium H17575 (1157446.3)	2397	2398_2	2401	2400	 	 	 	 	2399	2395	2396	2402_17	 	2403	 	162_28, 163_23_24, 163_23_24	 
Enterococcus faecium HF50104 (1157480.3)	2742	2743_2	2746	2745	 	 	 	 	2744	2740	2741	2747_17	 	2748	 	163_28, 164_23_24, 164_23_24	 
Enterococcus faecium HF50105 (1157481.3)	2229	2230_2	2233	2232	 	 	 	 	2231	2227	2228	2234_17	 	2235	 	161_28, 162_23_24, 162_23_24	 
Enterococcus faecium HF50106 (1157482.3)	2558	2559_2	2562	2561	 	 	 	 	2560	2556	2557	2563_17	 	2564	 	163_28, 164_23_24, 164_23_24	 
Enterococcus faecium HF50203 (1157483.3)	2435	2436_2	2439	2438	 	 	 	 	2437	2433	2434	2440_17	 	2441	 	162_28, 163_23_24, 163_23_24	 
Enterococcus faecium HF50204 (1157484.3)	715	714_2	711	712	 	 	 	 	713	717	716	710_17	 	709	 	421_28, 422_23_24, 422_23_24	 
Enterococcus faecium HF50215 (1157485.3)	1378	1377_2	1374	1375	 	 	 	 	1376	1380	1379	1373_17	 	1372	 	162_28, 163_23_24, 163_23_24	 
Enterococcus faecium HM1071 (1157447.3)	2760	2761_2	1841, 2764	2763	 	 	 	 	2762	2758	2759	2765_17	 	2766	 	209_25, 210_23_24, 210_23_24	 
Enterococcus faecium HM1072 (1157487.3)	1630	1631_2	1634, 2405	1633	 	 	 	 	1632	1628	1629	1635_17	 	1636	 	173_28, 174_23_24, 174_23_24	 
Enterococcus faecium HM1073 (1157486.3)	2924	2925_2	2289, 2928	2927	 	 	 	 	2926	2922	2923	2929_17	 	2930	 	170_28, 171_23_24, 171_23_24	 
Enterococcus faecium HM1074 (1157448.3)	2149	2150_2	2153	2152	 	 	 	 	2151	2147	2148	2154_17	 	2155	 	192_25, 193_23_24, 193_23_24	 
Enterococcus faecium LCT-EF128 (1178528.3)	440	439_2	436	437	 	 	 	 	438	442	441	435_17	 	434	 	172_25, 173_27	 
Enterococcus faecium LCT-EF20 (1245477.3)	213	212_2	209	210	 	 	 	 	211	215	214	208_17	 	207	 	1605_27, 1606_28	 
Enterococcus faecium LCT-EF258 (1245478.3)	512	513_2	516	515	 	 	 	 	514	510	511	517_17	 	518	 	838_27, 839_28	 
Enterococcus faecium LCT-EF90 (1167697.3)	508	509_2	512	511	 	 	 	 	510	506	507	513_17	 	514	 	832_27, 833_28	 
Enterococcus faecium NRRL B-2354 (1104325.3)	431	430_2	427	428	 	 	 	 	429	433	432	426_17	 	425	 	158_25, 159_27	 
Enterococcus faecium PC4.1 (791161.5)	962	963_2	707, 966	965	 	 	 	 	964	960	961	967_17	 	968	 	2258_28, 2259_27	 
Enterococcus faecium S658-3 (1157451.3)	455	454_2	451	452	 	 	 	 	453	457	456	450_17	 	449	 	160_28, 161_23_24, 161_23_24	 
Enterococcus faecium TC 6 (565666.3)	1617	1618_2	1461, 1621, 91	1620	 	 	 	 	1619	1615	1616	1622_17	 	1623	 	596_25, 597_23_24, 597_23_24	 
Enterococcus faecium TX0082 (749520.3)	381	382_2	385	384	 	 	 	 	383	379	380	386_17	 	387	 	1528_25, 1529_23_24, 1529_23_24	 
Enterococcus faecium TX0133A (749521.3)	89	88_2	85	86	 	 	 	 	87	91	90	84_17	 	83	 	1466_25, 1467_23_24, 1467_23_24	 
Enterococcus faecium TX0133B (749524.3)	691	690_2	687	688	 	 	 	 	689	693	692	686_17	 	685	 	513_23_24, 513_23_24, 514_25	 
Enterococcus faecium TX0133C (749525.3)	397	396_2	393	394	 	 	 	 	395	399	398	392_17	 	391	 	2512_25, 2513_23_24, 2513_23_24	 
Enterococcus faecium TX0133a04 (749523.3)	1831	1832_2	1835	1834	 	 	 	 	1833	1829	1830	1836_17	 	1837	 	1400_25, 1401_23_24, 1401_23_24	 
Enterococcus faecium TX1330 (525279.3)	1119	1120_2	1123, 425	1122	 	 	 	 	1121	1071	1072	1124_17	 	1125	 	1184_28, 1185_27	 
Enterococcus faecium U0317 (547468.4)	1723	1722_2	1719, 798	1720	 	 	 	 	1721	1725	1724	1718_17	 	1717	 	582_25, 583_23_24, 583_23_24	 
Enterococcus faecium UAA1007 (1158545.3)	2525	2526_2	2529	2528	 	 	 	 	2527	2523	2524	2530_17	 	2531	 	198_25, 199_23_24, 199_23_24	 
Enterococcus faecium UAA1019 (1158547.3)	477	476_2	473	474	 	 	 	 	475	479	478	472_17	 	471	 	198_25, 199_23_24, 199_23_24	 
Enterococcus faecium UAA1022 (1158548.3)	2176	2177_2	2180	2179	 	 	 	 	2178	2174	2175	2181_17	 	2182	 	159_25, 160_23_24, 160_23_24	 
Enterococcus faecium UAA1023 (1158549.3)	1407	1406_2	1403	1404	 	 	 	 	1405	1409	1408	1402_17	 	1401	 	193_25, 194_23_24, 194_23_24	 
Enterococcus faecium UAA1024 (1158550.3)	1920	1921_2	1924	1923	 	 	 	 	1922	1918	1919	1925_17	 	1926	 	194_25, 195_23_24, 195_23_24	 
Enterococcus faecium UAA1025 (1158551.3)	747	746_2	2311, 743	744	 	 	 	 	745	749	748	742_17	 	741	 	201_25, 202_23_24, 202_23_24	 
Enterococcus faecium UAA1280 (1158553.3)	482	481_2	478	479	 	 	 	 	480	484	483	477_17	 	476	 	186_28	 
Enterococcus faecium UAA1433 (1158554.3)	1009	1008_2	1005, 2540	1006	 	 	 	 	1007	1011	1010	1004_17	 	1003	 	197_25, 198_23_24, 198_23_24	 
Enterococcus faecium UAA1484 (1158555.3)	2976	2977_2	1063, 2980	2979	 	 	 	 	2978	2974	2975	2981_17	 	2982	 	169_25, 170_23_24, 170_23_24	 
Enterococcus faecium UAA210 (1158635.3)	2064	2065_2	2068	2067	 	 	 	 	2066	2062	2063	2069_17	 	2070	 	170_25, 171_23_24, 171_23_24	 
Enterococcus faecium UAA407 (1158636.3)	1200	1199_2	1196	1197	 	 	 	 	1198	1202	1201	1195_17	 	1194	 	172_25, 173_23_24, 173_23_24	 
Enterococcus faecium UAA430 (1158638.3)	2300	2301_2	2304	2303	 	 	 	 	2302	2298	2299	2305_17	 	2306	 	173_25, 174_23_24, 174_23_24	 
Enterococcus faecium UAA431 (1158639.3)	1416	1417_2	1420	1419	 	 	 	 	1418	1414	1415	1421_17	 	1422	 	166_25, 167_23_24, 167_23_24	 
Enterococcus faecium UAA714 (1157453.3)	277	276_2	273	274	 	 	 	 	275	279	278	272_17	 	271	 	164_25, 165_23_24, 165_23_24	 
Enterococcus faecium UAA715 (1157454.3)	456	455_2	452	453	 	 	 	 	454	458	457	451_17	 	450	 	164_25, 165_23_24, 165_23_24	 
Enterococcus faecium UAA716 (1157455.3)	488	487_2	484	485	 	 	 	 	486	490	489	483_17	 	482	 	172_25, 173_23_24, 173_23_24	 
Enterococcus faecium UAA718 (1157456.3)	2614	2615_2	2618	2617	 	 	 	 	2616	2612	2613	2619_17	 	2620	 	165_25, 166_23_24, 166_23_24	 
Enterococcus faecium UAA719 (1157457.3)	2344	2345_2	2348	2347	 	 	 	 	2346	2342	2343	2349_17	 	2350	 	165_25, 166_23_24, 166_23_24	 
Enterococcus faecium UAA720 (1157458.3)	605	604_2	1421, 601	602	 	 	 	 	603	607	606	600_17	 	599	 	320_25, 321_23_24, 321_23_24	 
Enterococcus faecium UAA721 (1157459.3)	1934	1935_2	1938	1937	 	 	 	 	1936	1932	1933	1939_17	 	1940	 	163_28, 164_23_24, 164_23_24	 
Enterococcus faecium UAA722 (1157460.3)	447	446_2	443	444	 	 	 	 	445	2182, 449	448	442_17	 	441	 	173_28, 174_23_24, 174_23_24	 
Enterococcus faecium UAA723 (1157461.3)	787	786_2	783	784	 	 	 	 	785	789	788	782_17	 	781	 	195_25, 196_23_24, 196_23_24	 
Enterococcus faecium UAA724 (1157462.3)	911	910_2	907	908	 	 	 	 	909	913	912	906_17	 	905	 	195_25, 196_23_24, 196_23_24	 
Enterococcus faecium UAA725 (1157463.3)	464	463_2	460	461	 	 	 	 	462	466	465	459_17	 	458	 	179_25, 180_23_24, 180_23_24	 
Enterococcus faecium UAA825 (1157464.3)	457	456_2	453	454	 	 	 	 	455	459	458	452_17	 	451	 	174_25, 175_23_24, 175_23_24	 
Enterococcus faecium UAA909 (1157476.3)	2582	2583_2	1725, 2586	2585	 	 	 	 	2584	2580	2581	2587_17	 	2588	 	168_25, 169_23_24, 169_23_24	 
