Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Enterococcus faecium UAA722 (1157460.3)	1449	1445	1447_3	1450_5, 1451_6, 1452_7	1448_8	1456_9, 1457_22	1453_10	1455_11	1446_12	1446_12	30	4_17	52_19	1436	1458	1459
Enterococcus faecium UAA723 (1157461.3)	2197	2193	2195_3	2198_5, 2199_6, 2200_7	2196_8	2204_9, 2205_22	2201_10	2203_11	2194_12	2194_12	31	4_17	76_19	2184	2206	2207
Enterococcus faecium UAA724 (1157462.3)	1989	1985	1987_3	1990_5, 1991_6, 1992_7	1988_8	1996_9, 1997_22	1993_10	1995_11	1986_12	1986_12	30	4_17	77_19	1976	1999	2000
Enterococcus faecium UAA725 (1157463.3)	2141	2145	2143_3	2138_7, 2139_6, 2140_5	2142_8	2133_22, 2134_9	2137_10	2135_11	2144_12	2144_12	42	16_17	64_19	2154	2131	2130
Enterococcus faecium UAA825 (1157464.3)	1651	1655	1653_3	1648_7, 1649_6, 1650_5	1652_8	1643_22, 1644_9	1647_10	1645_11	1654_12	1654_12	30	4_17	53_19	1664	1641	1640
Enterococcus faecium UAA909 (1157476.3)	1064	1060	1062_3	1065_5, 1066_6, 1067_7	1063_8	1071_9, 1072_22	1068_10	1070_11	1061_12	1061_12	30	4_17	51_19	1051	1073	1074
Enterococcus faecium UAA910 (1157477.3)	984	980	982_3	985_5, 986_6, 987_7	983_8	991_9, 992_22	988_10	990_11	981_12	981_12	30	4_17	44_19	970	994	995
Enterococcus faecium UAA911 (1157478.3)	1800	1804	1802_3	1797_7, 1798_6, 1799_5	1801_8	1792_22, 1793_9	1796_10	1794_11	1803_12	1803_12	30	4_17	53_19	1813	1790	1789
Enterococcus faecium UAA944 (1157465.3)	2430	2426	2428_3	2431_5, 2432_6, 2433_7	2429_8	2437_9, 2438_22	2434_10	2436_11	2427_12	2427_12	30	4_17	52_19	2417	2440	2441
Enterococcus faecium UAA945 (1157488.3)	2244	2240	2242_3	2245_5, 2246_6, 2247_7	2243_8	2251_9, 2252_22	2248_10	2250_11	2241_12	2241_12	31	4_17	54_19	2231	2254	2255
Enterococcus faecium UAA947 (1158541.3)	973	969	971_3	974_5, 975_6, 976_7	972_8	980_9, 981_22	977_10	979_11	970_12	970_12	30	4_17	1216_19, 54_19	960	983	984
Enterococcus faecium UAA949 (1158644.3)	1554	1558	1556_3	1551_7, 1552_6, 1553_5	1555_8	1546_22, 1547_9	1550_10	1548_11	1557_12	1557_12	31	4_17	53_19	1567	1544	1543
Enterococcus faecium UAA950 (1158645.3)	1354	1358	1356_3	1351_7, 1352_6, 1353_5	1355_8	1346_22, 1347_9	1350_10	1348_11	1357_12	1357_12	59	32_17	81_19	1367	1344	1343
Enterococcus faecium UAA951 (1158543.3)	1172	1176	1174_3	1169_7, 1170_6, 1171_5	1173_8	1164_22, 1165_9	1168_10	1166_11	1175_12	1175_12	724	751_17	702_19	1185	1162	1161
Enterococcus faecium UAA952 (1158544.3)	1176	1180	1178_3	1173_7, 1174_6, 1175_5	1177_8	1168_22, 1169_9	1172_10	1170_11	1179_12	1179_12	44	18_17	67_19	1189	1166	1165
Enterococcus faecium UC7251 (1328870.3)	918	914	916_3	919_5, 920_6, 921_7	917_8	925_9, 926_22	922_10	924_11	915_12	915_12	1856	1897_17	771_19	905	927	928
Enterococcus faecium VAN 219 (1157466.3)	2083	2079	2081_3	2084_5, 2085_6, 2086_7	2082_8	2090_9, 2091_22	2087_10	2089_11	2080_12	2080_12	30	4_17	50_19	2070	2093	2094
Enterococcus faecium VAN 222 (1157467.3)	1670	1666	1668_3	1671_5, 1672_6, 1673_7	1669_8	1677_9, 1678_22	1674_10	1676_11	1667_12	1667_12	31	4_17	51_19	1657	1680	1681
Enterococcus faecium VAN 327 (1169279.3)	1094	1098	1096_3	1091_7, 1092_6, 1093_5	1095_8	1086_22, 1087_9	1090_10	1088_11	1097_12	1097_12	30	4_17	58_19	1107	1085	1084
Enterococcus faecium VAN 332 (1157468.3)	1925	1921	1923_3	1926_5, 1927_6, 1928_7	1924_8	1932_9, 1933_22	1929_10	1931_11	1922_12	1922_12	34	7_17	56_19	1912	1934	1935
Enterococcus faecium VAN 335 (1157469.3)	1482	1478	1480_3	1483_5, 1484_6, 1485_7	1481_8	1489_9, 1490_22	1486_10	1488_11	1479_12	1479_12	31	5_17	59_19	1469	1491	1492
Enterococcus faecium VAN 342 (1157470.3)	2444	2440	2442_3	2445_5, 2446_6, 2447_7	2443_8	2451_9, 2452_22	2448_10	2450_11	2441_12	2441_12	30	4_17	51_19	2431	2453	2454
Enterococcus faecium VAN 345 (1157471.3)	2326	2322	2324_3	2327_5, 2328_6, 2329_7	2325_8	2333_9, 2334_22	2330_10	2332_11	2323_12	2323_12	34	7_17	57_19	2313	2335	2336
Enterococcus faecium VAN 476 (1169278.3)	1740	1736	1738_3	1741_5, 1742_6, 1743_7	1739_8	1747_9, 1748_22	1744_10	1746_11	1737_12	1737_12	181	155_17	200_19	1727	1749	1750
Enterococcus faecium VRE 108 (1157472.3)	2051	2047	2049_3	2052_5, 2053_6, 2054_7	2050_8	2058_9, 2059_22	2055_10	2057_11	2048_12	2048_12	30	4_17	2340_19, 51_19	2038	2061	2062
Enterococcus faecium VRE 110 (1157473.3)	2017	2013	2015_3	2018_5, 2019_6, 2020_7	2016_8	2024_9, 2025_22	2021_10	2023_11	2014_12	2014_12	700	728_17	655_19	2004	2027	2028
Enterococcus faecium VRE 13 (1157474.3)	1327	1323	1325_3	1328_5, 1329_6, 1330_7	1326_8	1334_9, 1335_22	1331_10	1333_11	1324_12	1324_12	30	4_17	2884_19, 53_19	1314	1336	1337
Enterococcus faecium VRE 84 (1157475.3)	1671	1667	1669_3	1672_5, 1673_6, 1674_7	1670_8	1678_9, 1679_22	1675_10	1677_11	1668_12	1668_12	30	4_17	53_19	1658	1681	1682
Enterococcus gallinarum EG2 (565653.4)	1397	1401	1399_3	1394_7, 1395_6, 1396_5	1398_8	1388_22, 1389_9	1393_10	1390_11	1400_12	1400_12	2816	2785_17	1957_19	1403	1387, 460	1386
Enterococcus hirae ATCC 9790 (768486.3)	2452	2447	2450_3	2453_5, 2454_6, 2455_7	2451_8	2459_9, 2460_22	2456_10	2458_11	2448_12, 2449_12	2448_12, 2449_12	922	955_17	911_19	2444	2464	2465
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	1719	1723	1721_3	1716_7, 1717_6, 1718_5	1720_8	1711_22, 1712_9	1715_10	1713_11	1722_12	1722_12	3394	3433_17	1203_19, 2303_19	1725	1710	1709
Enterococcus saccharolyticus 30_1 (742813.4)	2305	2309	2307_3	2302_7, 2303_6, 2304_5	2306_8	2295_22, 2296_9	2301_10	2297_11	2308_12	2308_12	2840	2874_17	215_19	2311	2294, 702	2293
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	1400	1404	1402_3	1397_7, 1398_6, 1399_5	1401_8	1392_22, 1393_9	1396_10	1394_11, 2153_11	1403_12	1403_12	343	378_17	63_19	1406	1292	1389
Enterococcus sp. 7L76 (657310.3)	219	215	217_3	220_5, 221_6, 222_7	218_8	224_9, 225_22, 558_9	223_10	557_11	216_12	216_12	2498	2315_17	294_19, 626_19	684	559, 685	560
Lactobacillus acidophilus 30SC (891391.3)	1659	1655	1657_3	1660_5, 1662_7	1658_8	1665_9, 1666_22	1663_10	1742_11, 2015_11	1656_12	1656_12	2016	191_17	235_19	2017	230	231
Lactobacillus acidophilus ATCC 4796 (525306.3)	83	78, 91	80_3	84_5, 86_7	81_8, 82_8	88_9	87_10	1667_11	79_12	79_12	1666	1289_17	1333_19	1665	1329	1330
Lactobacillus acidophilus La-14 (1314884.3)	1490	1486, 1498	1488_3	1491_5, 1493_7	1489_8	1495_9	1494_10	1819_11	1487_12	1487_12	1820	188_17	232_19	1821	228	229
Lactobacillus amylolyticus DSM 11664 (585524.3)	 	462	 	 	 	 	 	1045_11	463_12	463_12	1044	896_17	801_19, 802_19	1042, 1043	804	803
Lactobacillus amylovorus GRL 1112 (695560.3)	1728	1724	1726_3	1729_5, 1731_7	1727_8	1733_9, 1734_22	1732_10	1808_11, 2035_11	1725_12	1725_12	2036	225_17	267_19	2037	262	263
Lactobacillus amylovorus GRL1118 (695562.4)	1556	1552	1554_3	1557_5, 1558_6, 1559_7	1555_8	1561_9, 1562_22	1560_10	1622_11, 1842_11	1553_12	1553_12	1843	202_17	247_19	1844	242	243
Lactobacillus animalis KCTC 3501 (930942.3)	1133	1128	1131_3	1134_5, 1135_6, 1136_7	1132_8	1142_9, 1143_22, 1313_9	1137_10	1141_11	1129_12, 1130_12	1129_12, 1130_12	1628	477_17	381_19	1157	 	1315
Lactobacillus antri DSM 16041 (525309.3)	704	700	702_3	705_5, 706_6, 707_7	703_8	712_9, 713_22, 914_9	708_10	711_11	701_12	701_12	1162	1131_17	745_19	1163	874	913
Lactobacillus brevis KB290 (1001583.3)	 	 	 	 	 	1541_9	 	223_11	 	 	222	2028_17	1731_19	221	1810, 915	1542
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	226	230	228_3	223_7, 224_6, 225_5	227_8	1834_9, 220_22, 221_9	222_10	415_11	229_12	229_12	414	837_17	1721_19	413	1584, 368, 880	1833
Lactobacillus buchneri ATCC 11577 (525318.3)	138	142	140_3	135_7, 136_6, 137_5	139_8	132_22, 133_9, 1343_9	134_10	302_11	141_12	141_12	301	586_17	1231_19	300	256, 627	1342
Lactobacillus buchneri CD034 (1071400.3)	403	407	405_3	400_7, 401_6, 402_5	404_8	1691_9, 397_22, 398_9	399_10	539_11	406_12	406_12	538	602_17	1813_19	537	491, 625	1692
Lactobacillus buchneri NRRL B-30929 (511437.3)	444	449	446_3	442_6, 443_5	445_8	1780_9, 438_22, 439_9	440_10	590_11	447_12	447_12	589	676_17	1901_19	588	535, 699	1781
Lactobacillus casei 12A (1051650.4)	1617	1613	1615_3	1618_5, 1619_6, 1620_7	1616_8	1622_9, 1866_9	1621_10	1865_11	1614_12	1614_12	84	193_17	1760_19	733	1867	1868
Lactobacillus casei 21/1 (1051651.3)	1772	1768	1770_3	1773_5, 1774_6, 1775_7	1771_8	1150_9, 1777_9	1776_10	1151_11	1769_12	1769_12	155	293_17, 294_17	1960_19	910	1149	1148
Lactobacillus casei 32G (1051652.3)	2338	2342	2340_3	2335_7, 2336_6, 2337_5	2339_8	1234_15, 2332_9	2333_10, 2334_10	1235_11	2341_12	2341_12	131	238_17	2109_19	987	1233	1232
Lactobacillus casei ATCC 334 (321967.11)	1729	1725	1727_3	1730_5, 1731_6, 1732_7	1728_8	1091_15, 1734_15	1733_10	1092_11	1726_12	1726_12	144	243_17	1943_19	880	1090	1089
Lactobacillus casei BD-II (998820.3)	1937	1933	1935_3	1938_5, 1939_6, 1940_7	1936_8	1239_9, 1942_9	1941_10	1240_11	1934_12	1934_12	108	203_17	2114_19	976	1238	1237
Lactobacillus casei BL23 (543734.4)	1872	1868	1870_3	1873_5, 1874_6, 1875_7	1871_8	1201_9, 1877_9	1876_10	1202_11	1869_12	1869_12	102	197_17	2044_19	946	1200	1199
Lactobacillus casei CRF28 (1051654.3)	1847	1843	1845_3	1848_5, 1849_6, 1850_7	1846_8	1852_9, 2072_9	1851_10	2071_11	1844_12	1844_12	75	1739_17	2098_19	780	2073	2074
Lactobacillus casei LC2W (999378.3)	1893	1889	1891_3	1894_5, 1895_6, 1896_7	1892_8	1249_9, 1898_9	1897_10	1250_11	1890_12	1890_12	111	206_17	2070_19	988	1248	1247
Lactobacillus casei Lc-10 (1051655.5)	1754	1750	1752_3	1755_5, 1756_6, 1757_7	1753_8	1075_9, 1759_9	1758_10	1076_11	1751_12	1751_12	126	225_17	1928_19, 1929_19	838	1074	1073
Lactobacillus casei Lpc-37 (1051656.3)	125	121	123_3	126_5, 127_6, 128_7	124_8	1255_9, 130_9	129_10	1256_11	122_12	122_12	2318	1799_17	2686_19	899	1254	1253
Lactobacillus casei M36 (1051657.3)	2063	2059	2061_3	2064_5, 2065_6, 2066_7	2062_8	1329_9, 2068_9	2067_10	1330_11	2060_12	2060_12	134	241_17	2224_19	1084	1328	1327
Lactobacillus casei T71499 (1051658.3)	1837	1832	1834_3, 1835_3	1838_5, 1839_6, 1840_7	1836_8	1152_15, 1842_9	1841_10	1153_11	1833_12	1833_12	130	409_17	2008_19	938	1151	1150
Lactobacillus casei UCD174 (1051659.3)	1915	1910	1912_3, 1913_3	1916_5, 1917_5, 1918_6, 1919_7	1914_8	1176_9, 1921_15	1920_10	1177_11	1911_12	1911_12	220	322_17	2232_19	948	1175	1174
Lactobacillus casei UW1 (1051660.3)	1802	1797	1799_3, 1800_3	1803_5, 1804_6, 1805_7	1801_8	1121_9, 1807_9, 1808_22	1806_10	1122_11	1798_12	1798_12	99	196_17, 197_17	1990_19	888, 889	1120	1119
Lactobacillus casei UW4 (1051661.3)	1720	1716	1718_3	1721_5, 1722_6, 1723_7	1719_8	1080_9, 1725_9, 1726_22	1724_10	1081_11	1717_12	1717_12	147	263_17	1889_19	821	1079	1078
Lactobacillus casei W56 (1215914.3)	2013	2008	2010_3, 2011_3	2014_5, 2015_6, 2016_7	2012_8	1293_9, 2018_9	2017_10	1294_11	2009_12	2009_12	116	212_17	2200_19	1025	1292	1291
Lactobacillus casei str. Zhang (498216.5)	1644	1640	1642_3	1645_5, 1646_6, 1647_7	1643_8	1020_9, 1649_9	1648_10	1021_11	1641_12	1641_12	119	230_17	1799_19	779	1019	1018
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	781	777	779_3	782_5, 783_6, 784_7	780_8	374_9, 786_9	785_10	373_11	778_12	778_12	1256	1366_17	1790_19	604	375	376
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	743	747	745_3	740_7, 741_6, 742_5	744_8	339_15, 738_15	739_10	338_11	746_12	746_12	1752	2702_17	2230_19	563	340	341
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	2701, 2702	2706	2704_3	2698_7, 2699_6, 2700_5	2703_8	2390_15, 2696_15	2697_10	2391_11	2705_12	2705_12	326	1250_17	2724_19	1035	2389	2388
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	192	188	190_3	193_5, 194_6, 195_7	191_8	197_15, 2023_15	196_10	2024_11	189_12	189_12	1916	1157_17	2101_19	1468	2022	2021
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	1634	1630	1632_3	1635_5, 2692_6, 2693_7	1633_8	1767_15, 2695_9	2694_10	1768_11	1631_12	1631_12	2201	510_17	850_19	1667	1766	1765
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	758	754	756_3	759_5, 760_6, 761_7	757_8	2896_15, 763_9, 764_22	762_10	2897_11	755_12	755_12	2720	1546_17	820_19	1835	2895	2894
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	2019	2015	2017_3	2020_5, 2021_6, 2022_6, 2023_7	2018_8	2025_9, 703_9	2024_10	702_11	2016_12	2016_12	262	2535_17	1614_19	2330	704	705
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	1285	1391	1394_3	1286_5, 1287_6, 985_7	1395_8	2238_15, 983_9	984_10	2239_11	1392_12, 1393_12	1392_12, 1393_12	2649	2554_17	2314_19	1356	2237	2236
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	1369	1365	1367_3	1370_5, 1371_6, 1372_7	1368_8	1374_9, 2671_9	1373_10	2670_11	1366_12	1366_12	243	2866_17	611_19	2206	2672	2673
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	563	559	561_3	564_5, 565_6, 566_7	562_8	1868_9, 568_9	567_10	1867_11	560_12	560_12	59	1274_17	1982_19	297	1869	1870
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	2643	3027	2641_3	2644_5, 2645_6, 2646_7	2642_8	1966_9, 2648_9	2647_10	1967_11	2640_12	2640_12	1508	460_17	320_19	698	1965	1964
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	982	987	984_3, 985_3	979_7, 980_6, 981_5	983_8	1851_9, 976_22, 977_15	978_10	1852_11	986_12	986_12	198	1459_17	1195_19	1924	1850	1849
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	465	461	463_3	466_5, 467_6, 468_7	464_8	2638_9, 470_15, 471_22	469_10	2639_11	462_12	462_12	2048	2330_17	876_19	732	2637	2636
Lactobacillus coleohominis 101-4-CHN (575594.3)	1692	1697	1695_3	1687_7, 1688_6, 1689_5, 1690_5, 1691_5	1693_8, 1694_8	1683_15	1686_10	1684_11	1696_12	1696_12	1615	1674_17	1376_21	1614	621, 710	864
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	1493	 	1495_3	1490_7, 1491_6, 1492_5	1494_8	1340_9, 1487_22, 1488_9	1489_10	1339_11	1496_12	1496_12	2717	61_17	1456_19	1616	 	1342
Lactobacillus crispatus 125-2-CHN (575595.3)	 	846	 	 	 	 	 	1127_11	 	 	1126	1559_17	1602_19, 1989_19	1125	1599	1600
Lactobacillus crispatus FB049-03 (883094.3)	 	 	 	 	 	 	 	2378_11	 	 	2377	2019_17	1981_19, 381_19	2376	1984	1983
Lactobacillus crispatus FB077-07 (883092.3)	 	 	 	 	 	 	 	2004_11	 	 	2005	137_17	1255_19, 177_19	2006	174	175
Lactobacillus crispatus JV-V01 (491076.4)	 	151	 	 	 	 	 	1236_11	 	 	1235	200_17	1814_19, 239_19	1234	236	237
Lactobacillus crispatus MV-1A-US (575596.3)	 	1418	 	 	 	 	 	786_11	 	 	787	558_17	2111_19, 519_19	788	522	521
Lactobacillus crispatus MV-3A-US (575597.3)	 	2005	 	 	 	 	 	622_11	 	 	623	1580_17	1409_19, 1542_19	624	1545	1544
Lactobacillus crispatus ST1 (748671.3)	 	 	 	 	 	 	 	1893_11	 	 	1894	193_17	232_19, 556_19	1895	228	229
Lactobacillus curvatus CRL 705 (1074451.3)	411	407	409_3	412_5, 413_6, 414_7	410_8	417_9, 418_22, 679_9	415_10	416_11, 678_11	408_12	408_12	1629	99_17	1684_19	752	514, 73	680
Lactobacillus delbrueckii ZN7a-9 (1217420.3)	1068	1072	1070_3	1065_7, 1066_6, 1067_5	1069_8	1061_22, 1062_9	1064_10	1063_11	1071_12	1071_12	278	287_17	288_19	279	285	286
Lactobacillus delbrueckii subsp. bulgaricus 2038 (353496.3)	1353	1349	1351_3	1354_5, 1355_6, 1356_7	1352_8	1359_9	1357_10	1358_11	1350_12	1350_12	257	258_17, 263_17	264_19	 	261	262
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	1292	1288	1290_3	1293_5, 1294_6, 1295_7	1291_8	1298_15	1296_10	1297_11	1289_12	1289_12	260	261_17, 266_17	267_19	 	264	265
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	1312	1308	1310_3	1313_5, 1314_6, 1315_7	1311_8	1318_9, 1319_22	1316_10	1317_11	1309_12	1309_12	248, 249	250_17, 255_17	256_19	 	253	254
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632 (1042399.3)	146	150	148_3	143_7, 144_6, 145_5	147_8	139_22, 140_9	142_10	141_11	149_12	149_12	675	669_17, 674_17	668_19	 	671	670
Lactobacillus delbrueckii subsp. bulgaricus ND02 (767455.3)	1377	1373	1375_3	1378_5, 1379_6, 1380_7	1376_8	1383_9, 1384_22	1381_10	1382_11	1374_12	1374_12	243	244_17, 251_17	252_19	 	249	250
Lactobacillus fermentum 28-3-CHN (575599.3)	1790	1794	1792_3	1787_7, 1788_6, 1789_5	1791_8	1781_22, 1782_9	1786_10	1783_11	1793_12	1793_12	445	483_17	361_19	444	1447, 525	835
Lactobacillus fermentum ATCC 14931 (525325.3)	620	624	622_3	617_7, 618_6, 619_5	621_8	608_22, 609_9	616_10	610_11	623_12	623_12	700	735_17	276_19	699	1323, 226	154
Lactobacillus fermentum CECT 5716 (712938.3)	2358, 2359	2363	2361_3	2354_7, 2355_6, 2356_5, 2357_5	2360_8	2263_22, 2264_9	2353_10	2265_11	2362_12	2362_12	56	1838_17, 1839_17	2060_19	54	1689, 2120	1859
Lactobacillus fermentum F-6 (767453.3)	131	137	133_3	128_7, 129_6, 130_5	132_8	120_22, 121_9, 1630_9, 1631_9	127_10	122_11, 868_11	134_12	134_12	45	83_17	1830_19	44	1502, 1887	1632
Lactobacillus fermentum IFO 3956 (334390.5)	134	138	136_3	131_7, 132_6, 133_5	135_8	124_15	130_10	125_11	137_12	137_12	45	85_17	1809_19, 1810_19	43, 44	1498, 1869	1624
Lactobacillus gasseri 202-4 (630527.3)	 	 	 	 	 	 	 	1096_11	 	 	1095	513_17	373_19	1093, 1094	370	371
Lactobacillus gasseri 224-1 (679196.3)	 	 	 	 	 	 	 	2078_11	 	 	2077	1667_17	1882_19	2076	1879	1880
Lactobacillus gasseri ATCC 33323 (324831.13)	 	 	 	 	 	 	 	385_11	 	 	384	40_17	228_19	383	225	226
Lactobacillus gasseri JV-V03 (525326.3)	 	 	 	 	 	 	 	1220_11	 	 	1221	1568_17	1371_19	1222	1374	1373
Lactobacillus gasseri K7 (1334627.3)	 	 	 	 	 	 	 	1920_11	 	 	1919	1089_18	18_19	1918	21	20
Lactobacillus gasseri SJ-9E-US (575603.3)	 	 	 	 	 	 	 	996_11	 	 	997	1341_17	1152_19	998	1155	1154
Lactobacillus gasseri SV-16A-US (575604.3)	 	 	 	 	 	 	 	1145_11	 	 	1146	1515_17	1320_19	1147	1323	1322
Lactobacillus gastricus PS3 (1144300.3)	1256	1252	1254_3	1257_5, 1258_6, 1259_7	1255_8	1262_9, 1263_22	1260_10	1261_11	1253_12	1253_12	1741	 	962_19	 	626	627
Lactobacillus helveticus DPC 4571 (405566.6)	1611	1608, 1710, 1715	1609_3_12	1612_5, 1613_6, 1614_7	1610_8	1616_9, 1617_22	1615_10	2147_11	1609_3_12	1609_3_12	2148	225_17, 587_18	268_19	2149	261	262
Lactobacillus helveticus DSM 20075 (585520.4)	1223	1220, 1364, 1367	1221_3_12	1224_5, 1225_6, 1226_7	1222_8	1228_9, 1229_22	1227_10	113_11	1221_3_12	1221_3_12	112	1090_17, 385_17	428_19	111	422	423
Lactobacillus helveticus H10 (767462.3)	598	590, 602	600_3	595_7, 597_5	599_8	592_22, 593_9	594_10	2214_11	601_12	601_12	2215	225_17	263_19	2216	258	259
Lactobacillus helveticus R0052 (880633.7)	1748	1744, 1759	1746_3	1749_5, 1750_6, 1751_7	1747_8	1753_9, 1754_9, 1755_9, 1756_9, 1757_22	1752_10	60_11	1745_12	1745_12	59	2190_17	2137_19	58	2142	2141
Lactobacillus hilgardii ATCC 8290 (525327.3)	391	395	393_3	388_7, 389_6, 390_5	392_8	1593_9, 385_22, 386_9	387_10	558_11	394_12	394_12	557	1840_17	1483_19	556	1878, 503	1592
Lactobacillus iners AB-1 (713605.5)	 	 	 	 	 	 	 	566_11	 	 	565	70_17	218_19	564	220, 376	219
Lactobacillus iners ATCC 55195 (888801.3)	 	 	 	 	 	 	 	53_11	 	 	54	116_17	241_19	55	243, 385	242
Lactobacillus iners DSM 13335 (525328.4)	 	 	 	 	 	 	 	53_11	 	 	54	771_17	625_19	55	470, 623	624
Lactobacillus iners LEAF 2052A-d (879302.3)	 	 	 	 	 	 	 	556_11	 	 	557	220_17	689_19	558	112, 687	688
Lactobacillus iners LEAF 2053A-b (879301.3)	 	 	 	 	 	 	 	662_11	 	 	661	936_17	306_19	660	308, 461	307
Lactobacillus iners LEAF 2062A-h1 (879303.3)	 	 	 	 	 	 	 	929_11	 	 	928	1221_17	673_19	927	675, 836	674
Lactobacillus iners LEAF 3008A-a (879304.3)	 	 	 	 	 	 	 	93_11	 	 	94	113_17	877_19	95	596, 879	878
Lactobacillus iners LactinV 09V1-c (879299.3)	 	 	 	 	 	 	 	1161_11	 	 	1162	146_17	302_19	1163	304, 429	303
Lactobacillus iners LactinV 11V1-d (879300.3)	 	 	 	 	 	 	 	553_11	 	 	554	765_17	706_19	555	1024, 708	707
Lactobacillus iners SPIN 1401G (879295.3)	 	 	 	 	 	 	 	5_11	 	 	4	552_17	697_19	3	183, 699	698
Lactobacillus iners SPIN 2503V10-D (879296.3)	 	 	 	 	 	 	 	709_11	 	 	710	400_17	250_19	711	252	251
Lactobacillus iners UPII 143-D (928327.3)	 	 	 	 	 	 	 	693_11	 	 	694	128_17	1158_19	695	1160, 990	1159
Lactobacillus iners UPII 60-B (928328.3)	 	 	 	 	 	 	 	1265_11	 	 	1266	798_17	662_19	1267	1139, 664	663
Lactobacillus jensenii 115-3-CHN (575605.3)	 	 	 	 	 	 	 	1184_11	 	 	1183	99_17	962_19	1182	124, 965	963, 964
Lactobacillus jensenii 269-3 (596325.3)	 	 	 	 	 	 	 	1045_11	 	 	1046	245_17	174_19	1047	176	175
Lactobacillus jensenii 27-2-CHN (575606.3)	 	 	 	 	 	 	 	901_11	 	 	902	574_17	1194_19	903	1191, 602	1192, 1193
Lactobacillus jensenii JV-V16 (525329.3)	 	 	 	 	 	 	 	750_11	 	 	751, 752	357_17	1343_19	753	1345, 8	1344
Lactobacillus jensenii SJ-7A-US (575607.3)	 	 	 	 	 	 	 	1350_11	 	 	1349	434_17	908_19	1348	906	907
Lactobacillus johnsonii ATCC 33200 (525330.3)	 	 	 	 	 	 	 	1120_11	 	 	1121	1490_17	1286_19	1122	1290	1289
Lactobacillus johnsonii DPC 6026 (909954.3)	 	 	 	 	 	 	 	450_11	 	 	449	69_17	257_19	448	254	255
Lactobacillus johnsonii FI9785 (633699.4)	 	 	 	 	 	 	 	401_11	 	 	400	46_17	242_19	399	239	240
Lactobacillus johnsonii NCC 533 (257314.6)	 	 	 	 	 	 	 	469_11	 	 	468	47_17	240_19	467	237	238
Lactobacillus mucosae LM1 (1130798.3)	239	243	241_3	236_7, 237_6, 238_5	240_8	1450_9, 232_22, 233_9	235_10	234_11	242_12	242_12	1771	203_17	1398_19	1770	1625	1451
Lactobacillus oris F0423 (944562.4)	339	343	341_3	336_7, 337_6, 338_5	340_8	1955_9, 330_22, 331_9	335_10	332_11	342_12	342_12	353	241_17	474_19	352	1089	1956
Lactobacillus oris PB013-T2-3 (908339.3)	1017	1013	1015_3	1018_5, 1019_6, 1020_7	1016_8	1025_9, 1026_22, 1843_9	1021_10	1024_11	1014_12	1014_12	406	377_17	1903_19	407	760	1844
Lactobacillus pentosus KCA1 (1136177.4)	2161	2157	2159_3	2162_5, 2163_6, 2164_7	2160_8	2166_9, 2167_22, 518_9	2165_10	2647_11	2158_12	2158_12	2648	2587_17	333_21	2649	2153	516
Lactobacillus plantarum 16 (1327988.3)	2209	2205	2207_3	2210_5, 2211_6, 2212_7	2208_8	2214_9, 2215_22, 945_9	2213_10	2647_11	2206_12	2206_12	2648	2581_18	745_19	2649	2197	943
Lactobacillus plantarum IPLA88 (1328309.5)	2141	2137	2139_3	2142_5, 2143_6, 2144_7	2140_8	2146_9, 2147_22, 748_9	2145_10	2773_11	2138_12	2138_12	2772	2956_18	1184_19	2771	2129	746
Lactobacillus plantarum JDM1 (644042.3)	2203	2199	2201_3	2204_5, 2205_6, 2206_7	2202_8	2208_9, 2209_22, 940_9	2207_10	2651_11	2200_12	2200_12	2652	2583_18	760_19	2653	2191	938
Lactobacillus plantarum UCMA 3037 (1284223.3)	1773	1777	1775_3	1770_7, 1771_6, 1772_5	1774_8	1767_22, 1768_9, 2454_9	1769_10	1114_11	1776_12	1776_12	1113	854_18	1587_19	1112	1785	2456
