Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Staphylococcus aureus M0780 (1158697.3)	2304_3, 2305_4, 2306_2, 2307_1	2298_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M0792 (1213726.3)	2353_3, 2354_4, 2355_2, 2356_1	2346_15	 	 	 	 	 	 	 	 	 	 	 	 	188_88	 
Staphylococcus aureus M0799 (1158698.3)	458_3, 459_4, 460_2, 461_1	452_15	 	 	 	 	 	 	 	464_49	 	 	 	 	995_88	 
Staphylococcus aureus M0822 (1213727.3)	2317_3, 2318_4, 2319_2, 2320_1	2311_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M0823 (1158699.3)	2410_3, 2411_4, 2412_2, 2413_1	2404_15	 	 	 	 	 	 	 	 	 	 	 	 	187_88	 
Staphylococcus aureus M0831 (1213728.3)	1969_3, 1970_4, 1971_2, 1972_1	1962_9	 	 	 	 	 	 	 	1974_52, 1975_49	 	 	 	 	2505_87	 
Staphylococcus aureus M0844 (1158700.3)	335_3, 336_4, 337_2, 338_1	328_15	 	 	 	 	 	 	 	 	 	 	 	 	874_88	 
Staphylococcus aureus M0871 (1213729.3)	2277_3, 2278_4, 2279_2, 2280_1	2271_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M0877 (1213730.3)	807_1, 808_2, 809_4, 810_3	816_15	 	 	 	 	 	 	 	804_49, 805_52	 	 	 	 	287_87	 
Staphylococcus aureus M0892 (1213732.3)	2343_3, 2344_4, 2345_2, 2346_1	2337_15	 	 	 	 	 	 	 	 	 	 	 	 	189_88	 
Staphylococcus aureus M0900 (1213733.3)	2335_3, 2336_4, 2337_2, 2338_1	2329_15	 	 	 	 	 	 	 	 	 	 	 	 	159_88	 
Staphylococcus aureus M0927 (1213734.3)	2323_3, 2324_4, 2325_2, 2326_1	2317_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0934 (1158701.3)	714_3, 715_4, 716_2, 717_1	707_15	 	 	 	 	 	 	 	 	 	 	 	 	1252_88	 
Staphylococcus aureus M0943 (1158702.3)	2300_3, 2301_4, 2302_2, 2303_1	2294_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0944 (1158703.3)	2288_3, 2289_4, 2290_2, 2291_1	2282_15	 	 	 	 	 	 	 	 	 	 	 	 	144_88	 
Staphylococcus aureus M0946 (1169255.3)	817_1, 818_2, 819_4, 820_3	827_15	 	 	 	 	 	 	 	 	 	 	 	252	278_88	 
Staphylococcus aureus M0953 (1158704.3)	1875_3, 1876_4, 1877_2, 1878_1	1869_15	 	 	 	 	 	 	 	 	 	 	 	 	2421_88	 
Staphylococcus aureus M0964 (1169256.3)	2331_3, 2332_4, 2333_2, 2334_1	2324_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M0978 (1169257.3)	1989_3, 1990_4, 1991_2, 1992_1	1983_15	 	 	 	 	 	 	 	 	 	 	 	 	2482_88	 
Staphylococcus aureus M0994 (1169258.3)	1898_3, 1899_4, 1900_2, 1901_1	1892_15	 	 	 	 	 	 	 	 	 	 	 	 	2441_88	 
Staphylococcus aureus M0998 (1158705.3)	1907_3, 1908_4, 1909_2, 1910_1	1901_15	 	 	 	 	 	 	 	 	 	 	 	 	2452_88	 
Staphylococcus aureus M0999 (1158706.3)	2306_3, 2307_4, 2308_2, 2309_1	2299_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M1 (1305598.3)	2374_3, 2375_4, 2376_2, 2377_1	2367_9	 	 	 	 	 	 	 	2379_52, 2380_49	 	 	 	 	237_87	 
Staphylococcus aureus M1007 (1158707.3)	234_3, 235_4, 236_2, 237_1	227_9	 	 	 	 	 	 	 	239_52, 240_49	 	 	 	 	773_87	 
Staphylococcus aureus M1010 (1158708.3)	1867_3, 1868_4, 1869_2, 1870_1	1861_15	 	 	 	 	 	 	 	 	 	 	 	 	2411_88	 
Staphylococcus aureus M1015 (1158709.3)	2408_3, 2409_4, 2410_2, 2411_1	2402_15	 	 	 	 	 	 	 	2414_49	 	 	 	 	192_88	 
Staphylococcus aureus M1016 (1158710.3)	1901_3, 1902_4, 1903_2, 1904_1	1895_15	 	 	 	 	 	 	 	 	 	 	 	 	2447_88	 
Staphylococcus aureus M1034 (1169259.3)	606_1, 607_2, 608_4, 609_3	616_15	 	 	 	 	 	 	 	 	 	 	 	93	119_88	 
Staphylococcus aureus M1036 (1158711.3)	1983_3, 1984_4, 1985_2, 1986_1	1976_15	 	 	 	 	 	 	 	 	 	 	 	 	2527_88	 
Staphylococcus aureus M1037 (1158712.3)	2303_3, 2304_4, 2305_2, 2306_1	2296_15	 	 	 	 	 	 	 	 	 	 	 	 	187_88	 
Staphylococcus aureus M1044 (1169260.3)	2273_3, 2274_4, 2275_2, 2276_1	2267_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M1060 (1303782.3)	369_3, 370_4, 371_2, 372_1	363_15	 	 	 	 	 	 	 	 	 	 	 	 	907_88	 
Staphylococcus aureus M1061 (1169261.3)	230_3, 231_4, 232_2, 233_1	224_15	 	 	 	 	 	 	 	 	 	 	 	 	769_88	 
Staphylococcus aureus M1062 (1169262.3)	2317_3, 2318_4, 2319_2, 2320_1	2311_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M1063 (1158463.3)	429_3, 430_4, 431_2, 432_1	422_15	 	 	 	 	 	 	 	 	 	 	 	 	965_88	 
Staphylococcus aureus M1064 (1158465.3)	237_3, 238_4, 239_2, 240_1	229_9	 	 	 	 	 	 	 	242_52, 243_49	 	 	 	 	770_87	 
Staphylococcus aureus M1068 (1169263.3)	2309_3, 2310_4, 2311_2, 2312_1	2303_15	 	 	 	 	 	 	 	 	 	 	 	 	182_88	 
Staphylococcus aureus M1076 (1158464.3)	1928_3, 1929_4, 1930_2, 1931_1	1922_15	 	 	 	 	 	 	 	 	 	 	 	 	2474_88	 
Staphylococcus aureus M1078 (1303783.3)	1836_3, 1837_4, 1838_2, 1839_1	1830_15	 	 	 	 	 	 	 	 	 	 	 	 	2383_88	 
Staphylococcus aureus M1083 (1169264.3)	2247_3, 2248_4, 2249_2, 2250_1	2240_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M1092 (1158466.3)	328_3, 329_4, 330_2, 331_1	322_15	 	 	 	 	 	 	 	 	 	 	 	 	873_88	 
Staphylococcus aureus M1093 (1158467.3)	1991_3, 1992_4, 1993_2, 1994_1	1984_15	 	 	 	 	 	 	 	 	 	 	 	 	2535_88	 
Staphylococcus aureus M1095 (1158468.3)	2362_3, 2363_4, 2364_2, 2365_1	2356_15	 	 	 	 	 	 	 	 	 	 	 	 	153_88	 
Staphylococcus aureus M1103 (1158469.3)	478_3, 479_4, 480_2, 481_1	472_15	 	 	 	 	 	 	 	484_49	 	 	 	 	1020_88	 
Staphylococcus aureus M1109 (1169265.3)	333_3, 334_4, 335_2, 336_1	326_15	 	 	 	 	 	 	 	 	 	 	 	 	872_88	 
Staphylococcus aureus M1119 (1158470.3)	184_3, 185_4, 186_2, 187_1	178_15	 	 	 	 	 	 	 	190_49	 	 	 	 	726_88	 
Staphylococcus aureus M1126 (1169266.3)	2247_3, 2248_4, 2249_2, 2250_1	2240_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M1142 (1169267.3)	1817_3, 1818_4, 1819_2, 1820_1	1811_15	 	 	 	 	 	 	 	 	 	 	 	 	2364_88	 
Staphylococcus aureus M1167 (1158471.3)	2309_3, 2310_4, 2311_2, 2312_1	2302_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M1170 (1158472.3)	511_3, 512_4, 513_2, 514_1	505_15	 	 	 	 	 	 	 	 	 	 	 	 	1056_88	 
Staphylococcus aureus M1188 (1158473.3)	1894_3, 1895_4, 1896_2, 1897_1	1888_15	 	 	 	 	 	 	 	 	 	 	 	 	2437_88	 
Staphylococcus aureus M1193 (1303784.3)	532_3, 533_4, 534_2, 535_1	525_15	 	 	 	 	 	 	 	 	 	 	 	 	1075_88	 
Staphylococcus aureus M1198 (1158474.3)	1515_3, 1516_4, 1517_2, 1518_1	1509_15	 	 	 	 	 	 	 	 	 	 	 	 	2061_88	 
Staphylococcus aureus M1199 (1158475.3)	778_3, 779_4, 780_2, 781_1	771_15	 	 	 	 	 	 	 	 	 	 	 	 	1316_88	 
Staphylococcus aureus M1215 (1158476.3)	1520_3, 1521_4, 1522_2, 1523_1	1514_15	 	 	 	 	 	 	 	 	 	 	 	 	2067_88	 
Staphylococcus aureus M1216 (1158477.3)	1751_3, 1752_4, 1753_2, 1754_1	1747_9	 	 	 	 	 	 	 	1756_52, 1757_49	 	 	 	 	2318_87	 
Staphylococcus aureus M1223 (1169268.3)	231_3, 232_4, 233_2, 234_1	224_9	 	 	 	 	 	 	 	236_52, 237_49	 	 	 	 	767_87	 
Staphylococcus aureus M1224 (1169269.3)	2298_3, 2299_4, 2300_2, 2301_1	2292_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M1228 (1303785.3)	325_3, 326_4, 327_2, 328_1	319_15	 	 	 	 	 	 	 	331_49	 	 	 	882	857_87	 
Staphylococcus aureus M1229 (1158478.3)	1488_3, 1489_4, 1490_2, 1491_1	1481_15	 	 	 	 	 	 	 	 	 	 	 	 	2034_87	 
Staphylococcus aureus M1244 (1169270.3)	2400_3, 2401_4, 2402_2, 2403_1	2393_15	 	 	 	 	 	 	 	 	 	 	 	 	173_88	 
Staphylococcus aureus M1248 (1158479.3)	2304_3, 2305_4, 2306_2, 2307_1	2298_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M1253 (1158480.3)	517_3, 518_4, 519_2, 520_1	511_15	 	 	 	 	 	 	 	 	 	 	 	 	1063_88	 
Staphylococcus aureus M1255 (1158481.3)	2381_3, 2382_4, 2383_2, 2384_1	2374_9	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M1256 (1169271.3)	760_1, 761_2, 762_4, 763_3	770_15	 	 	 	 	 	 	 	 	 	 	 	212	238_88	 
Staphylococcus aureus M1257 (1158482.3)	2262_3, 2263_4, 2264_2, 2265_1	2256_15	 	 	 	 	 	 	 	 	 	 	 	 	183_88	 
Staphylococcus aureus M1275 (1169272.3)	2321_3, 2322_4, 2323_2, 2324_1	2314_15	 	 	 	 	 	 	 	 	 	 	 	 	184_87	 
Staphylococcus aureus M1277 (1158483.3)	1858_3, 1859_4, 1860_2, 1861_1	1852_15	 	 	 	 	 	 	 	 	 	 	 	 	2402_88	 
Staphylococcus aureus M1286 (1169273.3)	2280_3, 2281_4, 2282_2, 2283_1	2273_15	 	 	 	 	 	 	 	 	 	 	 	 	183_88	 
Staphylococcus aureus M1291 (1158484.3)	2276_3, 2277_4, 2278_2, 2279_1	2269_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M1309 (1169274.3)	2350_3, 2351_4, 2352_2, 2353_1	2344_15	 	 	 	 	 	 	 	 	 	 	 	 	187_88	 
Staphylococcus aureus M1311 (1158485.3)	822_1, 823_2, 824_4, 825_3	831_15	 	 	 	333_38, 334_41	 	 	 	819_49, 820_52	 	 	 	 	272_87	 
Staphylococcus aureus M1320 (1158486.3)	1905_3, 1906_4, 1907_2, 1908_1	1898_15	 	 	 	 	 	 	 	 	 	 	 	 	2450_88	 
Staphylococcus aureus M1321 (1158487.3)	2404_3, 2405_4, 2406_2, 2407_1	2398_15	 	 	 	 	 	 	 	 	 	 	 	 	186_88	 
Staphylococcus aureus M1322 (1158488.3)	1484_3, 1485_4, 1486_2, 1487_1	1478_15	 	 	 	 	 	 	 	 	 	 	 	 	2033_88	 
Staphylococcus aureus M1359 (1158489.3)	526_3, 527_4, 528_2, 529_1	519_15	 	 	 	 	 	 	 	 	 	 	 	 	1069_88	 
Staphylococcus aureus M1367 (1158490.3)	1908_3, 1909_4, 1910_2, 1911_1	1902_15	 	 	 	 	 	 	 	 	 	 	 	 	2445_88	 
Staphylococcus aureus M1373 (1158491.3)	183_3, 184_4, 185_2, 186_1	176_15	 	 	 	 	 	 	 	 	 	 	 	 	723_88	 
Staphylococcus aureus M1374 (1169275.3)	2295_3, 2296_4, 2297_2, 2298_1	2289_15	 	 	 	 	 	 	 	 	 	 	 	 	183_88	 
Staphylococcus aureus M1394 (1158492.3)	532_3, 533_4, 534_2, 535_1	526_15	 	 	 	 	 	 	 	 	 	 	 	 	1079_88	 
Staphylococcus aureus M1405 (1169276.3)	2297_3, 2298_4, 2299_2, 2300_1	2290_15	 	 	 	 	 	 	 	 	 	 	 	 	183_88	 
Staphylococcus aureus M1407 (1303786.3)	368_3, 369_4, 370_2, 371_1	361_15	 	 	 	 	 	 	 	 	 	 	 	 	914_88	 
Staphylococcus aureus M1450 (1158493.3)	1869_3, 1870_4, 1871_2, 1872_1	1862_15	 	 	 	 	 	 	 	 	 	 	 	 	2412_88	 
Staphylococcus aureus M1451 (1158494.3)	2330_3, 2331_4, 2332_2, 2333_1	2324_15	 	 	 	 	 	 	 	 	 	 	 	 	198_88	 
Staphylococcus aureus M1462 (1158495.3)	2339_3, 2340_4, 2341_2, 2342_1	2332_9	 	 	 	 	 	 	 	2344_52, 2345_49	 	 	 	 	151_87	 
Staphylococcus aureus M1463 (1158496.3)	2127_3, 2128_4, 2129_2, 2130_1	2121_15	 	 	 	 	 	 	 	 	 	 	 	 	2675_87, 5_88	 
Staphylococcus aureus M1466 (1303787.3)	2435_3, 2436_4, 2437_2, 2438_1	2429_15	 	 	 	 	 	 	 	2441_49	 	 	 	 	184_88	 
Staphylococcus aureus M1481 (1158497.3)	1863_3, 1864_4, 1865_2, 1866_1	1857_15	 	 	 	 	 	 	 	 	 	 	 	 	2409_88	 
Staphylococcus aureus M1510 (1169277.3)	2386_3, 2387_4, 2388_2, 2389_1	2380_15	 	 	 	 	 	 	 	2392_49	 	 	 	 	185_88	 
Staphylococcus aureus M1520 (1158498.3)	228_3, 229_4, 230_2, 231_1	222_15	 	 	 	 	 	 	 	 	 	 	 	 	772_88	 
Staphylococcus aureus M1521 (1158499.3)	1963_3, 1964_4, 1965_2, 1966_1	1956_15	 	 	 	 	 	 	 	 	 	 	 	 	2504_88	 
Staphylococcus aureus M1531 (1158500.3)	2139_3, 2140_4, 2141_2, 2142_1	2132_15	 	 	 	 	 	 	 	 	 	 	 	 	106_88	 
Staphylococcus aureus M1533 (1158501.3)	1866_3, 1867_4, 1868_2, 1869_1	1860_15	 	 	 	 	 	 	 	 	 	 	 	 	2409_88	 
Staphylococcus aureus M1544 (1158502.3)	2361_3, 2362_4, 2363_2, 2364_1	2355_15	 	 	 	 	 	 	 	 	 	 	 	 	183_88	 
Staphylococcus aureus M1556 (1158503.3)	2311_3, 2312_4, 2313_2, 2314_1	2305_15	 	 	 	 	 	 	 	 	 	 	 	 	185_88	 
Staphylococcus aureus M1563 (1158504.3)	2464_3, 2465_4, 2466_2, 2467_1	2458_15	 	 	 	 	 	 	 	 	 	 	 	 	354_88	 
Staphylococcus aureus M1565 (1158505.3)	641_3, 642_4, 643_2, 644_1	634_15	 	 	 	 	 	 	 	 	 	 	 	 	1177_88	 
Staphylococcus aureus M1578 (1158506.3)	2302_3, 2303_4, 2304_2, 2305_1	2296_15	 	 	 	 	 	 	 	 	 	 	 	 	184_88	 
Staphylococcus aureus M2 (1233245.3)	48_1, 49_2, 50_4, 51_3	2721_15	 	 	 	 	 	 	 	 	 	 	 	1351	2209_88	 
Staphylococcus aureus NN54 (1161392.3)	1779_3, 1780_4, 1781_2, 1782_1	1773_15	 	 	 	 	 	 	 	 	 	 	 	 	149_88	 
Staphylococcus aureus O11 (948561.3)	1445_3, 1446_4, 1447_2, 1448_1	1441_9	 	 	 	 	 	 	 	1450_52, 1451_49	 	 	 	945	919_87	 
Staphylococcus aureus O46 (948563.3)	1354_1, 1355_2, 1356_4, 1357_3	1362_9	 	 	 	 	 	 	 	1351_49, 1352_52	 	 	 	613	587_87	 
Staphylococcus aureus PM1 (1147034.3)	2471_3, 2472_4, 2473_2, 2474_1	2464_9	 	 	 	 	 	 	 	2476_52, 2477_49	 	 	 	 	2330_87	 
Staphylococcus aureus PPUKM-261-2009 (1235275.3)	2576_3, 2577_4, 2578_2, 2579_1, 2580_5	2569_9	 	 	 	 	 	 	 	2582_52, 2583_49	 	 	 	268	242_88	 
Staphylococcus aureus PPUKM-332-2009 (1235276.3)	2623_3, 2624_4, 2625_2, 2626_1	2616_9	 	 	 	 	 	 	 	2628_52, 2629_49	 	 	 	267	241_88	 
Staphylococcus aureus PPUKM-377-2009 (1235277.3)	2327_3, 2328_4, 2329_2, 2330_1	2321_15	 	 	 	 	 	 	 	 	 	 	 	 	224_88	 
Staphylococcus aureus PPUKM-775-2009 (1235278.3)	2573_3, 2574_4, 2575_2, 2576_1	2566_9	 	 	 	 	 	 	 	2578_52, 2579_49	 	 	 	254	227_88	 
Staphylococcus aureus RF122 (273036.3)	2211_3, 2212_4, 2213_2, 2214_1	2205_9	 	 	 	 	 	 	 	2217_52, 2218_49	 	 	 	 	398_87	 
Staphylococcus aureus ST228/10388 (1075076.3)	2233_3, 2234_4, 2235_2, 2236_1	2226_15	 	 	 	 	 	 	 	 	 	 	 	 	206_88	 
Staphylococcus aureus ST228/10497 (1075077.3)	2237_3, 2238_4, 2239_2, 2240_1	2231_15	 	 	 	 	 	 	 	 	 	 	 	 	207_88	 
Staphylococcus aureus ST228/15532 (1075078.3)	2230_3, 2231_4, 2232_2, 2233_1	2224_15	 	 	 	 	 	 	 	 	 	 	 	 	206_88	 
Staphylococcus aureus ST228/16035 (1075079.3)	2226_3, 2227_4, 2228_2, 2229_1	2220_15	 	 	 	 	 	 	 	 	 	 	 	 	206_88	 
Staphylococcus aureus ST228/18412 (1075082.3)	2233_3, 2234_4, 2235_2, 2236_1	2227_15	 	 	 	 	 	 	 	 	 	 	 	 	206_88	 
Staphylococcus aureus VH221 (1278074.4)	1146_1, 1147_2, 1148_4, 1149_3	1155_9	 	 	 	 	 	 	 	1143_49, 1144_52	 	 	 	 	767_87	 
Staphylococcus aureus subsp. aureus 06BA18369 (1216363.3)	2384_3, 2385_4, 2386_2, 2387_1	2378_15	 	 	 	 	 	 	 	 	 	 	 	 	281_88	 
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	2554_1, 2555_2, 2556_4, 2557_3	2564_15	 	 	 	 	 	 	 	 	 	 	 	 	656_88	 
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	1323_1, 1324_2, 1325_4, 1326_3	1330_9	 	 	 	 	 	 	 	1320_49, 1321_52	 	 	 	 	1809_87	 
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	2148_3, 2149_4, 2150_2, 2151_1	2142_15	 	 	 	 	 	 	 	2154_49	 	 	 	1447	783_87	 
Staphylococcus aureus subsp. aureus 118 (1144271.3)	1724_1, 1725_2, 1726_4, 1727_3	1733_9	 	 	 	 	 	 	 	1721_49	 	 	 	2424	2449_87	 
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	2338_3, 2339_4, 2340_2, 2341_1	2334_9	 	 	 	 	 	 	 	2343_52, 2344_49	 	 	 	 	224_87	 
Staphylococcus aureus subsp. aureus 120 (1221451.3)	2090_1, 2091_2, 2092_4, 2093_3	2099_9	 	 	 	 	 	 	 	2087_49	 	 	 	1607	1582_87	 
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	60_1, 61_2, 62_4, 63_3	682_15	 	 	 	 	 	 	 	 	 	 	 	306	580_88	 
Staphylococcus aureus subsp. aureus 132 (644279.4)	2537_3, 2538_4, 2539_2, 2540_1	2530_9	 	 	 	 	 	 	 	2542_52, 2543_49	 	 	 	 	305_87	 
Staphylococcus aureus subsp. aureus 21172 (904723.3)	2283_3, 2284_4, 2285_2, 2286_1	2277_15	 	 	 	 	 	 	 	 	 	 	 	 	1354_88	 
Staphylococcus aureus subsp. aureus 21178 (904724.3)	2800_1, 2801_2, 2802_4, 2803_3	2810_9	 	 	 	 	 	 	 	2797_49, 2798_52	 	 	 	412	2199_88	 
Staphylococcus aureus subsp. aureus 21189 (904725.3)	1814_3, 1815_4, 1817_2, 1818_1	1807_9	 	 	 	 	 	 	 	1820_52, 1821_49	 	 	 	 	160_87	 
Staphylococcus aureus subsp. aureus 21193 (904726.3)	1748_3, 1749_4, 1750_2, 1751_1	1744_9	 	 	 	 	 	 	 	 	 	 	 	 	792_87	 
Staphylococcus aureus subsp. aureus 21195 (904728.3)	1693_3, 1694_4, 1695_2, 1696_1	1687_15	 	 	 	 	 	 	 	 	 	 	 	482	507_88	 
Staphylococcus aureus subsp. aureus 21196 (904729.3)	1303_1, 1304_2, 1305_4, 1306_3	1310_9	 	 	 	 	 	 	 	1300_49, 1301_52	 	 	 	 	1090_87	 
Staphylococcus aureus subsp. aureus 21200 (904730.3)	1672_3, 1673_4, 1674_2, 1675_1	1666_15	 	 	 	 	 	 	 	1677_52, 1678_49	 	 	 	 	6_87	 
Staphylococcus aureus subsp. aureus 21201 (904731.3)	442_3, 443_4, 444_2, 445_1	436_15	 	 	 	 	 	 	 	 	 	 	 	 	1747_88	 
Staphylococcus aureus subsp. aureus 21202 (904732.3)	82_3, 83_4, 84_2, 85_1	78_15	 	 	 	 	 	 	 	88_49	 	 	 	 	1115_87	 
Staphylococcus aureus subsp. aureus 21209 (904735.3)	2056_3, 2057_4, 2058_2, 2059_1	2049_9	 	 	 	 	 	 	 	2061_52, 2062_49	 	 	 	 	1100_87	 
Staphylococcus aureus subsp. aureus 21232 (904737.3)	2540_1, 2541_2, 2542_4, 2543_3	2550_9	 	 	 	 	 	 	 	2537_49, 2538_52	 	 	 	 	2294_87	 
Staphylococcus aureus subsp. aureus 21236 (904739.3)	1386_1, 1387_2, 1388_4, 1389_3	1395_15	 	 	 	 	 	 	 	 	 	 	 	 	163_88	 
Staphylococcus aureus subsp. aureus 21252 (904743.3)	851_3, 852_4, 853_2, 854_1	845_15	 	 	 	 	 	 	 	856_52, 857_49	 	 	 	 	41_87	 
Staphylococcus aureus subsp. aureus 21259 (904744.3)	1773_3, 1774_4, 1775_2, 1776_1	1769_9	 	 	 	 	 	 	 	1778_52	 	 	 	 	577_87	 
Staphylococcus aureus subsp. aureus 21262 (904745.3)	926_1, 927_2, 928_4, 929_3	936_9	 	 	 	 	 	 	 	923_49, 924_52	 	 	 	 	343_87	 
Staphylococcus aureus subsp. aureus 21264 (904746.3)	290_3, 291_4, 292_2, 293_1	283_15	 	 	 	 	 	 	 	 	 	 	 	2328	1974_88	 
Staphylococcus aureus subsp. aureus 21266 (904747.3)	1825_3, 1826_4, 1827_2, 1828_1	1821_9	 	 	 	 	 	 	 	1830_52	 	 	 	 	2499_87	 
Staphylococcus aureus subsp. aureus 21269 (904749.3)	941_3, 942_4, 943_2, 944_1	935_9	 	 	 	 	 	 	 	946_52, 947_49	 	 	 	127	153_87	 
Staphylococcus aureus subsp. aureus 21272 (904750.3)	2106_3, 2107_4, 2108_2, 2109_1	2100_15	 	 	 	 	 	 	 	 	 	 	 	 	889_88	 
Staphylococcus aureus subsp. aureus 21282 (904753.3)	467_1, 468_2, 469_4, 470_3	477_9	 	 	 	 	 	 	 	464_49, 465_52	 	 	 	 	2141_87	 
Staphylococcus aureus subsp. aureus 21283 (904754.3)	1984_3, 1985_4, 1986_2, 1987_1	1977_9	 	 	 	 	 	 	 	1989_52, 1990_49	 	 	 	 	2073_87	 
Staphylococcus aureus subsp. aureus 21305 (904759.3)	1574_3, 1575_4, 1576_2, 1577_1	1570_9	 	 	 	 	 	 	 	 	 	 	 	 	658_87	 
Staphylococcus aureus subsp. aureus 21310 (904760.3)	2218_1, 2219_2, 2220_4, 2221_3	2227_15	 	 	 	 	 	 	 	2215_49	 	 	 	373	398_87	 
Staphylococcus aureus subsp. aureus 21318 (904763.3)	2240_1, 2241_2, 2242_4, 2243_3	2250_9	 	 	 	 	 	 	 	 	 	 	 	 	2517_88	 
Staphylococcus aureus subsp. aureus 21331 (904766.3)	1694_3, 1695_4, 1696_2, 1697_1	1688_15	 	 	 	 	 	 	 	1700_49	 	 	 	2241	1512_87	 
Staphylococcus aureus subsp. aureus 21333 (904767.3)	1018_3, 1019_4, 1020_2, 1021_1	1014_9	 	 	 	 	 	 	 	1023_52, 1024_49	 	 	 	 	1671_87	 
Staphylococcus aureus subsp. aureus 21334 (904768.3)	1139_1, 1140_2, 1141_4, 1142_3	1148_9	 	 	 	 	 	 	 	1136_49, 1137_52	 	 	 	 	2476_87	 
Staphylococcus aureus subsp. aureus 21340 (904771.3)	2344_1, 2345_2, 2346_4, 2347_3	2354_9	 	 	 	 	 	 	 	2341_49, 2342_52	 	 	 	 	108_87	 
Staphylococcus aureus subsp. aureus 21342 (904772.3)	1115_3, 1116_4, 1117_2, 1118_1	1108_15	 	 	 	 	 	 	 	 	 	 	 	2546	2073_88	 
Staphylococcus aureus subsp. aureus 21343 (904773.3)	2234_3, 2235_4, 2236_2, 2237_1	2227_9	 	 	 	 	 	 	 	2239_52	 	 	 	 	1852_87	 
Staphylococcus aureus subsp. aureus 21345 (904774.3)	2190_3, 2191_4, 2192_2, 2193_1	2183_15	 	 	 	 	 	 	 	 	 	 	 	713	2060_88	 
Staphylococcus aureus subsp. aureus 333 (1221452.3)	977_3, 978_4, 979_2, 980_1	970_9	 	 	 	 	 	 	 	983_49	 	 	 	1817	1842_87	 
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	73_1, 74_2, 75_4, 76_3	82_9	 	 	 	 	 	 	 	70_49	 	 	 	973	948_87	 
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	873_3, 874_4, 875_2, 876_1	866_15	 	 	 	 	 	 	 	 	 	 	 	525	500_88	 
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	863_3, 864_4, 865_2, 866_1	856_15	 	 	 	 	 	 	 	 	 	 	 	417	391_88	 
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	672_3, 673_4, 674_2, 675_1	665_15	 	 	 	 	 	 	 	 	 	 	 	232	207_88	 
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	303_3, 304_4, 305_2, 306_1	296_15	 	 	 	 	 	 	 	 	 	 	 	844	818_88	 
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	2025_3, 2026_4, 2027_2, 2028_1	2017_15	 	 	 	 	 	 	 	 	 	 	 	2586	2559_88	 
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	2111_1, 2112_2, 2113_4, 2114_3	2121_9	 	 	 	 	 	 	 	2109_52	 	 	 	 	1585_87	 
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	397_3, 398_4, 399_2, 400_1	390_9	 	 	 	 	 	 	 	402_52, 403_49	 	 	 	1074	1045_88	 
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)	2183_3, 2184_4, 2185_2, 2186_1	2175_15	 	 	 	 	 	 	 	 	 	 	 	1775	2695_88	 
Staphylococcus aureus subsp. aureus C101 (585149.6)	2576_3, 2577_4, 2578_2, 2579_1	2569_15	 	 	 	 	 	 	 	 	 	 	 	406	381_88	 
Staphylococcus aureus subsp. aureus C160 (585150.3)	794_3, 795_4, 796_2, 797_1	786_15	 	 	 	 	 	 	 	 	 	 	 	348	321_88	 
