Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Listeria monocytogenes serotype 1/2b str. SLCC2755 (1639.165)	2059_1	 	287_7	288	284, 285, 286	1622_11_19	2000_12, 2655_12	1622_11_19	2849_21, 2850_22	2850_22	2691_26, 2693_27
Listeria monocytogenes serotype 7 str. SLCC2482 (1639.166)	2051_1	 	278_7	279	277	1665_11_19, 1666_11_19	1992_12, 2638_12	1665_11_19, 1666_11_19	2832_21, 2833_22	2833_22	2674_26, 2676_27
Listeria monocytogenes 07PF0776 (1126011.4)	1964_1	 	242_7	243	239, 240, 241	1580_11_19	1905_12, 2548_12	1580_11_19	2735_21, 2736_22	2736_22	2575_26, 2577_27
Listeria monocytogenes 08-5578 (653938.3)	2149_1	 	2816_7	2815	2817	1711_11_19	2089_12, 2792_12	1711_11_19	109_22, 110_21	109_22	261_27, 262_27
Listeria monocytogenes 08-5923 (637381.3)	2102_1	 	2768_7	2767	2769	1665_11_19	2042_12, 2743_12	1665_11_19	109_22, 110_21	109_22	261_27, 262_27
Listeria monocytogenes 10403S (393133.8)	1787_1	 	2878_7	2877	2879	2277_11_19	1320_12, 1847_12	2277_11_19	1134_22, 1135_21	1134_22	 
Listeria monocytogenes ATCC 19117 (882095.3)	1956_1	 	238_7	239	235, 236, 237	1572_11_19	1897_12, 2587_12	1572_11_19	2764_21, 2765_22	 	2614_26, 2615_27, 2616_27
Listeria monocytogenes Aureli 1997 (401650.3)	1642_1	 	1850_7	1851	1849	1228_11_19	1580_12, 2629_12	1228_11_19	2418_21, 2419_22, 2831_21, 2832_22	 	2673_26, 2674_27, 2675_27
Listeria monocytogenes Clip80459 (634178.4)	1964_1	 	232_7	233	229, 230, 231	1572_11_19	1904_12, 2569_12	1572_11_19	2753_21, 2754_22	2754_22	2598_26, 2599_27, 2600_27
Listeria monocytogenes EGD-e (169963.11)	1979_1	 	233_7	234	232	1592_11_19	1918_12, 2635_12	1592_11_19	2815_21, 2816_22	2816_22	2665_27
Listeria monocytogenes F6900 (393128.7)	1368_1	 	2992_7	2991	2993	1100_11_19	1308_12, 2769_12	1100_11_19	1184_21, 1935_21, 1936_22	1936_22	1780_26, 1781_27, 1782_27
Listeria monocytogenes FSL J1-194 (393117.11)	2092_1	 	2940_7	2939	2941	902_11_19	2607_12, 2853_12	902_11_19	1403_22, 1404_21	1403_22	1553_27, 1554_27, 1555_26
Listeria monocytogenes FSL N1-017 (393123.7)	337_1	 	2875_7	2874	2876	2291_11_19	1004_12, 1282_12	2291_11_19	160_21, 161_22	161_22	10_26, 11_27, 12_27
Listeria monocytogenes FSL N3-165 (393124.10)	378_1	 	2858_7	2859	2857	1412_11_19	438_12	1412_11_19	509_21, 510_22	510_22	2269_27
Listeria monocytogenes FSL R2-503 (393125.10)	1175_1	 	3056_7	3057	2902, 3055	464_11_19	1114_12, 2846_12	464_11_19	227_22, 228_21	227_22	2636_27, 2637_27, 2638_26
Listeria monocytogenes FSL R2-561 (393126.4)	382_1	 	3000_7	2999	3001, 3002	632_11_19	2816_12, 443_12	632_11_19	1998_22, 1999_22, 2000_21	1998_22, 1999_22	2786_27, 2787_27
Listeria monocytogenes Finland 1988 (393127.4)	510_1	 	2932_7, 2933_7	2934	2931	1784_11_19	2257_12, 2534_12	1784_11_19	285_22, 286_21	285_22	1224_26, 1225_27
Listeria monocytogenes HCC23 (552536.6)	617_1	 	2400_7	2399	2401	1007_11_19	20_12, 677_12	1007_11_19	2759_22, 2760_21	2759_22	2909_27, 2910_27, 2911_26
Listeria monocytogenes HPB2262 (401650.12)	1117_1	 	2876_7	2875	2877	713_11_19	1177_12, 1406_12	713_11_19	198_22, 199_21, 2633_21	 	347_27, 348_27, 349_26
Listeria monocytogenes J0161 (393130.8)	1226_1	 	3097_7	3096	3098	131_11_19	1286_12, 2845_12	131_11_19	1649_22, 1650_21, 49_21	1649_22	1803_27, 1804_27, 1805_26
Listeria monocytogenes J2818 (393131.7)	1367_1	 	3006_7	3007	3005	1100_11_19	1307_12, 2702_12	1100_11_19	1182_21, 1881_21, 1882_22	1882_22	1726_26, 1727_27, 1728_27
Listeria monocytogenes L312 (882094.3)	1945_1	 	232_7	233	228, 229, 230, 231	1560_11_19	1886_12, 2538_12	1560_11_19	2721_21, 2722_22	2722_22	2566_26, 2568_27
Listeria monocytogenes L99 (563174.3)	2047_1	 	249_7	250	245, 246, 247, 248	1654_11_19	1986_12, 2651_12	1654_11_19	2904_21, 2905_22	2905_22	2751_26, 2752_27, 2753_27
Listeria monocytogenes M7 (1030009.3)	2015_1	 	241_7	242	240	1625_11_19	1955_12, 2606_12	1625_11_19	2849_21, 2850_22	2850_22	2700_26, 2701_27, 2702_27
Listeria monocytogenes SLCC2376 (882097.3)	1894_1	 	196_7	197	195	1506_11_19	1834_12, 2464_12	1506_11_19	2642_21, 2643_22	2643_22	2493_26, 2495_27
Listeria monocytogenes SLCC2378 (879088.3)	1958_1	 	243_7	244	240, 241, 242	1573_11_19	1899_12, 2582_12	1573_11_19	2772_21, 2773_22	2773_22	2609_26, 2610_27, 2611_27
Listeria monocytogenes SLCC2479 (882020.3)	2008_1	 	230_7	231	229	1626_11_19	1949_12, 2650_12	1626_11_19	2839_21, 2840_22	2840_22	2680_27
Listeria monocytogenes SLCC2540 (879089.3)	2014_1	 	233_7	234	229, 230, 231, 232	1632_11_19	1955_12, 2611_12	1632_11_19	2802_21, 2803_22	2803_22	2642_26, 2643_27, 2644_27, 2677_26
Listeria monocytogenes SLCC5850 (882096.3)	2008_1	 	225_7	226	224	1624_11_19	1949_12, 2599_12	1624_11_19	2783_21, 2784_22	2784_22	 
Listeria monocytogenes SLCC7179 (879090.3)	1912_1	 	224_7	225	223	1530_11_19	1852_12, 2494_12	1530_11_19	2737_21, 2738_22	2738_22	2586_27, 2587_27
Listeria monocytogenes serotype 1/2a str. NCCP No. 15743 (1293288.3)	1911_1	 	218_7	219	217	1527_11_19	1852_12	1527_11_19	2677_21, 2678_22	2678_22	2526_27, 2527_27
Listeria monocytogenes serotype 1/2c str. SLCC2372 (932920.3)	2066_1	 	284_7	285	283	1679_11_19	2007_12, 2710_12	1679_11_19	2899_21, 2900_22	2900_22	2740_27
Listeria monocytogenes serotype 4b str. LL195 (1230340.3)	1946_1	 	239_7	240	236, 237, 238	1562_11_19	1887_12, 2531_12	1562_11_19	2721_21, 2722_22	2722_22	2558_26, 2559_27, 2560_27
Listeria monocytogenes str. 4b F2365 (265669.9)	1968_1	 	242_7	243	239, 240, 241	1577_11_19	1908_12, 2564_12	1577_11_19	2755_21, 2756_22	2756_22	2592_26, 2593_27, 2594_27
Listeria monocytogenes str. Scott A (1027396.3)	2064_1	 	305_7	306	302, 303, 304	1680_11_19	2005_12, 2706_12	1680_11_19	2501_21, 2884_21, 2885_22	 	2733_26, 2734_27, 2735_27
Brevibacillus agri BAB-2500 (1246477.3)	2625_1	 	5134_7	5133	5135	2_11_19	2796_12	2_11_19	3924_21, 3925_22	5136, 5137	1262_26, 1263_27, 1264_27, 3804_26, 3805_27, 3806_27, 3807_27
Brevibacillus borstelensis AK1 (1300222.3)	1293_1	 	4114_7	4115	4113	1750_11_19	2955_12	1750_11_19	4106_22, 4107_21	4112	1180_26, 1181_27, 1182_27, 2556_27, 4797_26, 4798_27, 4799_27
Brevibacillus brevis FJAT-0809-GLX (1129895.3)	1520_1	 	156_7	155	 	553_11_19	157_16, 4533_12, 4595_12, 5093_12	553_11_19	161_21, 162_22	158	1972_27, 1974_26, 4737_26, 4738_27
Brevibacillus brevis NBRC 100599 (358681.3)	2442_1	 	181_7	182	 	1815_11_19	180_16, 2854_12, 309_12, 4355_12	1815_11_19	175_22, 176_21	179	 
Paenibacillus alvei DSM 29 (1206781.3)	559_1	 	2063_7	2064	2062	3076_11_19	3179_12, 3180_12, 4771_12	3076_11_19	2059_22, 2060_21	2061	1698_26, 1699_27, 1700_27
Paenibacillus barengoltzii G22 (1235795.3)	3089_1	 	4276_7	4275	4277	486_11_19	1509_12, 4140_12	486_11_19	4279_21, 4280_22	4278	3187_26, 3188_27, 3189_27
Paenibacillus daejeonensis DSM 15491 (1122917.3)	1653_1	 	447_7	448	446	6154_11_19	4344_12, 478_12, 497_12, 591_12	6154_11_19	443_22, 444_21	445	5478_27, 5749_26, 5750_27, 5751_27
Paenibacillus lactis 154 (743719.3)	6007_1	 	5853_7	5854	5852	3621_11_19	1006_12, 2395_12, 2865_12, 3333_12	3621_11_19	5849_22, 5850_21	5851	5376_27, 5378_26
Ureibacillus thermosphaericus str. Thermo-BF (1160707.3)	206_1	 	1996_7	1995	1997	1619_11_19, 1620_11_19	2221_12, 2481_12	1619_11_19, 1620_11_19	1395_22	1395_22	2543_27, 2544_27, 2545_26
Staphylococcus arlettae CVD059 (1212545.3)	770_2	 	1060_7	1061	1059	1529_11_19	1994_12, 2445_12, 2462_12, 260_12	1529_11_19	113_22, 114_21	112	472_26, 473_27, 474_27
Staphylococcus aureus 04-02981 (703339.3)	547_2	 	495_7	496	494	1653_11_19	1406_12	1653_11_19	697_21, 698_22	699	2202_27
Staphylococcus aureus 08BA02176 (1229492.3)	602_2	 	551_7	552	550	1617_11_19	1387_12	1617_11_19	753_21, 754_22	754_22, 755	2087_26, 2088_27, 2089_27
Staphylococcus aureus 16K (908247.3)	415_2	 	2670_7	2671	2669	1734_11_19	1106_12	1734_11_19	561_21, 562_22	563	1269_27, 1271_26
Staphylococcus aureus 3957 (1278071.4)	1207_2	 	35_7	36	34	448_11_19	1279_12, 2055_12	448_11_19	1358_21, 1359_22	1359_22, 1360	 
Staphylococcus aureus 930918-3 (452948.4)	1011_2	 	1694_7	1693	1695	1410_11_19	2168_12, 2517_12	1410_11_19	2010_21, 2011_22	2012	1112_27
Staphylococcus aureus A10102 (553601.3)	2114_2	 	2465_7	2466	2464	2692_11_19	1480_12	2692_11_19	294_21, 295_22	296	444_27
Staphylococcus aureus A5937 (553565.3)	1825_2	 	574_7	575	573	1054_11_19	1368_12	1054_11_19	771_22, 772_21	770	2189_27
Staphylococcus aureus A5948 (553567.3)	475_2	 	2300_7	2299	2301	1315_11_19	564_12	1315_11_19	2419_21, 2420_22	2421	275_27
Staphylococcus aureus A6224 (553568.3)	2369_2	 	323_7	322	324	299_11_19	1562_12	299_11_19	1968_22, 1969_21	1967	2545_27, 2546_27
Staphylococcus aureus A6300 (553571.3)	1341_2	 	1126_7	1125	1127	97_11_19	2449_12	97_11_19	862_22, 863_21	861	1713_27
Staphylococcus aureus A8115 (553573.3)	492_2	 	2320_7	2319	2321	1492_11_19	2627_12	1492_11_19	411_21, 412_22	413	 
Staphylococcus aureus A8117 (553574.3)	2310_2	 	2426_7	2427	2425	504_11_19	271_12	504_11_19	1811_21, 1812_22	1813	 
Staphylococcus aureus A8796 (553577.3)	2157_2	 	2527_7	2528	2526	1174_11_19	659_12	1174_11_19	1228_21, 1229_22	1230	43_27
Staphylococcus aureus A8819 (553580.3)	2086_2	 	2545_7	2546	2544	1115_11_19	1513_12	1115_11_19	1573_21, 1574_22	1575	44_27
Staphylococcus aureus A9299 (553581.3)	1494_2	 	321_7	322	320	1582_11_19	768_12	1582_11_19	512_22, 513_21	511	2680_26
Staphylococcus aureus A9635 (553583.3)	1500_2	 	1976_7	1975	1977	1602_11_19	58_12	1602_11_19	873_21, 874_22	875	182_26, 183_27, 184_27
Staphylococcus aureus A9719 (553588.3)	644_2	 	1113_7	1112	1114	2349_11_19	889_12	2349_11_19	1912_22, 1913_21	1911	2768_27
Staphylococcus aureus A9754 (553590.4)	1277_2	 	2422_7	2423	2421	745_11_19	2791_12	745_11_19	1451_21, 1452_22	1453	820_27
Staphylococcus aureus A9765 (553594.3)	2174_2	 	2251_7	2252	2250	281_11_19	2624_12, 2832_12	281_11_19	1015_21, 1016_22	1017	1101_27, 1102_27
Staphylococcus aureus A9781 (553596.3)	4_2	 	1126_7	1125	1127	925_11_19	2447_12	925_11_19	1883_22, 1884_21	1882	1462_27
Staphylococcus aureus B147830 (1157039.3)	450_2	 	1785_7	1784	1786	1589_11_19	1346_12	1589_11_19	595_21, 596_22	596_22, 597	2172_26, 2173_27
Staphylococcus aureus B40723 (1157037.3)	501_2	 	450_7	451	449	1574_11_19	1337_12	1574_11_19	647_21, 648_22	648_22, 649	2149_26, 2150_27
Staphylococcus aureus B40950 (1157038.3)	482_2	 	430_7	431	429	1552_11_19	1314_12	1552_11_19	627_21, 628_22	628_22, 629	2114_26, 2115_27
Staphylococcus aureus B53639 (1157036.3)	495_2	 	432_7	433	431	1569_11_19	1329_12	1569_11_19	641_21, 642_22	642_22, 643	2144_26, 2145_27
Staphylococcus aureus CA-347 (1323661.3)	561_2	 	508_7	509	507	1626_11_19	1333_12	1626_11_19	706_21, 707_22	708	2213_26, 2214_27, 2215_27
Staphylococcus aureus CN79 (1242970.3)	547_2	 	493_7	494	492	1598_11_19	1370_12	1598_11_19	696_21, 697_22	698	2214_26, 2216_27
Staphylococcus aureus D30 (455227.3)	1695_2	 	2102_7	2103	2101	606_11_19	2559_12	606_11_19	295_22, 296_21	294	440_27
Staphylococcus aureus HI010 (1156995.3)	1213_2	 	1160_7	1161	1159	2319_11_19	2025_12	2319_11_19	1382_21, 1383_22	1384	158_27
Staphylococcus aureus HI010B (1156997.3)	570_2	 	517_7	518	516	1675_11_19	1381_12	1675_11_19	740_21, 741_22	742	2219_27
Staphylococcus aureus HI013 (1157003.3)	1113_2	 	1060_7	1061	1059	2220_11_19	1927_12	2220_11_19	1283_21, 1284_22	1285	57_27
Staphylococcus aureus HI022 (1156999.3)	502_2	 	449_7	450	448	1607_11_19	1314_12	1607_11_19	673_21, 674_22	675	2147_27
Staphylococcus aureus HI049 (1156994.3)	52_2	 	2699_7	2700	2698	1155_11_19	861_12	1155_11_19	222_21, 223_22	224	1697_27
Staphylococcus aureus HI049B (1156996.3)	51_2	 	2710_7	2711	2709	1157_11_19	864_12	1157_11_19	222_21, 223_22	224	1699_27
Staphylococcus aureus HI049C (1157000.3)	541_2	 	486_7	487	485	1646_11_19	1353_12	1646_11_19	711_21, 712_22	713	2193_27
Staphylococcus aureus HI111 (1157002.3)	260_2	 	205_7	206	204	1366_11_19	1073_12	1366_11_19	430_21, 431_22	432	1911_27
Staphylococcus aureus HI168 (1157001.3)	1108_2	 	1056_7	1057	1055	2193_11_19	1898_12	2193_11_19	1276_21, 1277_22	1278	57_27
Staphylococcus aureus HIF003_B2N-C (1156998.3)	49_2	 	2552_7	2553	2551	1073_11_19	843_12	1073_11_19	220_21, 221_22	222	1606_27, 1607_27
Staphylococcus aureus KLT6 (1283278.3)	493_2	 	444_7	445	443	1515_11_19	1284_12	1515_11_19	649_21, 650_22	651	1975_26, 1976_27, 1977_27
Staphylococcus aureus KT/314250 (1231383.3)	135_2	 	1230_7	1231	1229	359_11_19	2342_12	359_11_19	1913_21, 1914_22	1915	2508_26, 2510_27
Staphylococcus aureus KT/Y21 (1231382.3)	1198_2	 	2565_7	2566	2564	498_11_19	1519_12, 2359_12	498_11_19	766_21, 767_22	768	 
Staphylococcus aureus LVP2 (1278072.4)	232_2	 	2672_7	2671	2673	350_11_19	1606_12, 1860_12	350_11_19	752_21, 753_22	753_22, 754	 
Staphylococcus aureus LVP5 (1278075.4)	1142_2	 	2300_7	2301	2299	512_11_19	1156_12	512_11_19	995_22, 996_21	994, 995_22	20_26, 21_27, 22_27
Staphylococcus aureus M0001 (1157004.3)	1196_2	 	1144_7	1145	1143	2316_11_19	2079_12	2316_11_19	1341_21, 1342_22	1342_22, 1343	161_27
Staphylococcus aureus M0006 (1158507.3)	1324_2	 	1271_7	1272	1270	2483_11_19	2192_12	2483_11_19	1469_21, 1470_22	1470_22, 1471	289_27
Staphylococcus aureus M0029 (1157005.3)	52_2	 	2678_7	2679	2677	1115_11_19	880_12	1115_11_19	196_21, 197_22	197_22, 198	1712_27
Staphylococcus aureus M0035 (1157006.3)	56_2	 	2688_7	2689	2687	1184_11_19	889_12	1184_11_19	200_21, 201_22	201_22, 202	 
Staphylococcus aureus M0045 (1157007.3)	1573_2	 	1517_7	1518	1516	15_11_19	2488_12	15_11_19	1718_21, 1719_22	1719_22, 1720	556_27
Staphylococcus aureus M0055 (1158508.3)	470_2	 	418_7	419	417	1580_11_19	1290_12, 2699_12	1580_11_19	624_21, 625_22	626	2124_27, 2125_27
Staphylococcus aureus M0060 (1157008.3)	1093_2	 	1041_7	1042	1040	2215_11_19	1953_12	2215_11_19	1238_21, 1239_22	1239_22, 1240	81_27
Staphylococcus aureus M0066 (1157009.3)	1077_2	 	1019_7	1020	1018	2262_11_19	1975_12	2262_11_19	1223_21, 1224_22	1224_22, 1225	58_27
Staphylococcus aureus M0075 (1303780.3)	2373_2	 	2321_7	2322	2320	755_11_19	519_12	755_11_19	2518_21, 2519_22	2519_22, 2520	1351_27
Staphylococcus aureus M0077 (1158509.3)	1070_2	 	1018_7	1019	1017	2196_11_19	1909_12	2196_11_19	1216_21, 1217_22	1217_22, 1218	58_27
Staphylococcus aureus M0102 (1157010.3)	476_2	 	424_7	425	423	1500_11_19	1263_12	1500_11_19	621_21, 622_22	622_22, 623	 
Staphylococcus aureus M0103 (1157011.3)	1089_2	 	1021_7	1022	1020	2222_11_19	1932_12	2222_11_19	1234_21, 1235_22	1235_22, 1236	59_27
Staphylococcus aureus M0104 (1224919.3)	1227_2	 	1172_7	1173	1171	2395_11_19	2105_12	2395_11_19	1373_21, 1374_22	1374_22, 1375	210_27, 211_27
Staphylococcus aureus M0108 (1158510.3)	480_2	 	427_7	428	426	1610_11_19	1370_12	1610_11_19	625_21, 626_22	626_22, 627	 
Staphylococcus aureus M0144 (1158511.3)	1301_2	 	1249_7	1250	1248	2445_11_19	2144_12	2445_11_19	1446_21, 1447_22	1447_22, 1448	290_27
Staphylococcus aureus M0150 (1157012.3)	1339_2	 	1287_7	1288	1286	2511_11_19	2232_12	2511_11_19	1484_21, 1485_22	1485_22, 1486	325_27
Staphylococcus aureus M0154 (1158512.3)	511_2	 	459_7	460	458	1590_11_19	1353_12	1590_11_19	655_21, 656_22	656_22, 657	2160_27
Staphylococcus aureus M0171 (1224920.3)	1114_2	 	1045_7	1046	1044	2242_11_19	1947_12	2242_11_19	1260_21, 1261_22	1261_22, 1262	87_27
Staphylococcus aureus M0173 (1157013.3)	1403_2	 	1349_7	1350	1348	2453_11_19	2219_12	2453_11_19	1549_21, 1550_22	1550_22, 1551	383_27
Staphylococcus aureus M0177 (1158513.3)	88_2	 	36_7	37	35	1170_11_19	935_12	1170_11_19	230_21, 231_22	231_22, 232	1723_27
Staphylococcus aureus M0192 (1157014.3)	485_2	 	433_7	434	432	1555_11_19	1320_12	1555_11_19	632_21, 633_22	633_22, 634	2086_27
Staphylococcus aureus M0197 (1157015.3)	1247_2	 	1195_7	1196	1194	2432_11_19	2158_12	2432_11_19	1392_21, 1393_22	1393_22, 1394	228_27
Staphylococcus aureus M0200 (1158514.3)	106_2	 	51_7	52	50	1233_11_19	947_12	1233_11_19	251_21, 252_22	252_22, 253	1786_27
Staphylococcus aureus M0210 (1224921.3)	2145_2	 	2088_7	2089	2087	548_11_19	311_12	548_11_19	2290_21, 2291_22	2291_22, 2292	1127_27
Staphylococcus aureus M0212 (1158515.3)	488_2	 	436_7	437	435	1621_11_19	1384_12	1621_11_19	634_21, 635_22	635_22, 636	2163_27
Staphylococcus aureus M0213 (1224922.3)	1377_2	 	1324_7	1325	1323	2450_11_19	2214_12	2450_11_19	1523_21, 1524_22	1524_22, 1525	356_27
Staphylococcus aureus M0216 (1158516.3)	50_2	 	2667_7	2668	2666	1133_11_19	894_12	1133_11_19	196_21, 197_22	197_22, 198	1701_27
Staphylococcus aureus M0221 (1157016.3)	1367_2	 	1312_7	1313	1311	2529_11_19	2239_12, 2730_12	2529_11_19	1523_21, 1524_22	1525	313_27, 314_27
Staphylococcus aureus M0235 (1158517.3)	1079_2	 	1027_7	1028	1026	2147_11_19	1909_12	2147_11_19	1223_21, 1224_22	1224_22, 1225	56_27
Staphylococcus aureus M0237 (1157017.3)	557_2	 	505_7	506	504	1721_11_19	1486_12	1721_11_19	702_21, 703_22	703_22, 704	 
Staphylococcus aureus M0239 (1157018.3)	47_2	 	2528_7	2529	2527	1056_11_19	827_12	1056_11_19	201_21, 202_22	203	1580_26, 1581_27, 1582_27
Staphylococcus aureus M0240 (1224923.3)	439_2	 	386_7	387	385	1566_11_19	1322_12	1566_11_19	585_21, 586_22	586_22, 587	 
Staphylococcus aureus M0250 (1158518.3)	1478_2	 	1425_7	1426	1424	2610_11_19	2311_12	2610_11_19	1624_21, 1625_22	1625_22, 1626	456_27
Staphylococcus aureus M0252 (1157019.3)	1488_2	 	1436_7	1437	1435	3_11_19	2319_12	3_11_19	1635_21, 1636_22	1636_22, 1637	468_27
Staphylococcus aureus M0270 (1224924.3)	1068_2	 	1016_7	1017	1015	2267_11_19	1984_12	2267_11_19	1213_21, 1214_22	1214_22, 1215	57_27
Staphylococcus aureus M0273 (1224925.3)	1356_2	 	1304_7	1305	1303	2475_11_19	2239_12	2475_11_19	1501_21, 1502_22	1502_22, 1503	338_27
Staphylococcus aureus M0279 (1224926.3)	56_2	 	2688_7	2689	2687	1186_11_19	889_12	1186_11_19	202_21, 203_22	203_22, 204	 
Staphylococcus aureus M0280 (1158520.3)	2473_2	 	2421_7	2422	2420	887_11_19	589_12	887_11_19	2620_21, 2621_22	2621_22, 2622	1458_27
Staphylococcus aureus M0288 (1224927.3)	50_2	 	2713_7	2714	2712	1207_11_19	903_12	1207_11_19	196_21, 197_22	197_22, 198	1754_27
Staphylococcus aureus M0294 (1303781.3)	1333_2	 	1275_7	1276	1274	2450_11_19	2156_12	2450_11_19	1478_21, 1479_22	1479_22, 1480	304_27
Staphylococcus aureus M0306 (1158521.3)	486_2	 	432_7	433	431	1639_11_19	1403_12	1639_11_19	631_21, 632_22	632_22, 633	 
Staphylococcus aureus M0312 (1224928.3)	92_2	 	37_7	38	36	1249_11_19	2780_12, 964_12	1249_11_19	246_21, 247_22	248	1807_27, 1808_27
Staphylococcus aureus M0326 (1157020.3)	56_2	 	2697_7	2698	2696	1179_11_19	898_12	1179_11_19	201_21, 202_22	202_22, 203	1738_27
Staphylococcus aureus M0328 (1157021.3)	50_2	 	2711_7	2712	2710	1215_11_19	913_12	1215_11_19	195_21, 196_22	196_22, 197	1748_27
Staphylococcus aureus M0329 (1157022.3)	510_2	 	458_7	459	457	1647_11_19	1409_12, 2728_12	1647_11_19	657_21, 658_22	658_22, 659	 
Staphylococcus aureus M0330 (1157023.3)	1186_2	 	1130_7	1131	1129	2253_11_19	2015_12	2253_11_19	1331_21, 1332_22	1332_22, 1333	166_27
Staphylococcus aureus M0334 (1158522.3)	1327_2	 	1247_7	1248	1246	2464_11_19	2172_12	2464_11_19	1471_21, 1472_22	1472_22, 1473	289_27
Staphylococcus aureus M0340 (1157024.3)	1230_2	 	1177_7	1178	1176	2394_11_19	2098_12	2394_11_19	1386_21, 1387_22	1388	180_27, 181_27
Staphylococcus aureus M0347 (1157025.3)	547_2	 	493_7	494	492	1614_11_19	1377_12	1614_11_19	692_21, 693_22	693_22, 694	2154_27
Staphylococcus aureus M0350 (1158523.3)	1098_2	 	1046_7	1047	1045	2226_11_19	1928_12	2226_11_19	1241_21, 1242_22	1242_22, 1243	80_27
Staphylococcus aureus M0351 (1158524.3)	538_2	 	471_7	472	470	1606_11_19	1370_12	1606_11_19	683_21, 684_22	684_22, 685	2171_27
Staphylococcus aureus M0363 (1158525.3)	426_2	 	374_7	375	373	1563_11_19	1326_12	1563_11_19	571_21, 572_22	572_22, 573	 
Staphylococcus aureus M0364 (1157026.3)	496_2	 	442_7	443	441	1567_11_19	1331_12	1567_11_19	642_21, 643_22	643_22, 644	2148_27
Staphylococcus aureus M0367 (1158526.3)	1372_2	 	1320_7	1321	1319	2512_11_19	2212_12	2512_11_19	1516_21, 1517_22	1517_22, 1518	357_27
Staphylococcus aureus M0374 (1158527.3)	2378_2	 	2326_7	2327	2325	751_11_19	512_12	751_11_19	2522_21, 2523_22	2523_22, 2524	1354_27
Staphylococcus aureus M0375 (1158528.3)	1072_2	 	1018_7	1019	1017	2211_11_19	1927_12	2211_11_19	1217_21, 1218_22	1218_22, 1219	58_27
Staphylococcus aureus M0391 (1157027.3)	1078_2	 	1026_7	1027	1025	2196_11_19	1959_12	2196_11_19	1227_21, 1228_22	1228_22, 1229	 
Staphylococcus aureus M0396 (1158529.3)	705_2	 	652_7	653	651	1785_11_19	1490_12	1785_11_19	865_21, 866_22	866_22, 867	2254_26, 2256_27
Staphylococcus aureus M0404 (1224929.3)	263_2	 	209_7	210	208	1400_11_19	1092_12	1400_11_19	407_21, 408_22	408_22, 409	 
Staphylococcus aureus M0408 (1157028.3)	2655_2	 	1098_7	1099	1097	1563_11_19	1815_12	1563_11_19	2480_22, 2481_21	2479, 2480_22	 
Staphylococcus aureus M0415 (1224930.3)	1169_2	 	1117_7	1118	1116	2318_11_19	2087_12	2318_11_19	1314_21, 1315_22	1315_22, 1316	156_27, 157_27
Staphylococcus aureus M0424 (1158530.3)	1119_2	 	1066_7	1067	1065	2306_11_19	2014_12	2306_11_19	1277_21, 1278_22	1279	56_27, 57_27
Staphylococcus aureus M0427 (1157029.3)	480_2	 	428_7	429	427	1548_11_19	1311_12	1548_11_19	625_21, 626_22	626_22, 627	2083_27
Staphylococcus aureus M0438 (1158531.3)	485_2	 	434_7	435	433	1614_11_19	1317_12	1614_11_19	629_21, 630_22	630_22, 631	2083_27
Staphylococcus aureus M0450 (1157030.3)	479_2	 	426_7	427	425	1600_11_19	1364_12	1600_11_19	623_21, 624_22	624_22, 625	2135_27
Staphylococcus aureus M0455 (1224931.3)	87_2	 	36_7	37	35	1159_11_19	914_12	1159_11_19	232_21, 233_22	233_22, 234	 
Staphylococcus aureus M0460 (1224932.3)	51_2	 	2667_7	2668	2666	1096_11_19	860_12	1096_11_19	195_21, 196_22	196_22, 197	1699_27
Staphylococcus aureus M0467 (1157031.3)	2347_2	 	2295_7	2296	2294	760_11_19	524_12	760_11_19	2493_21, 2494_22	2494_22, 2495	1333_27
Staphylococcus aureus M0468 (1157032.3)	75_2	 	2783_7	2784	2782	1225_11_19	2787_12, 936_12	1225_11_19	231_21, 232_22	233	1773_27, 1774_27
Staphylococcus aureus M0478 (1157033.3)	440_2	 	380_7	381	379	1597_11_19	1301_12, 2647_12	1597_11_19	586_21, 587_22	587_22, 588	2067_27
Staphylococcus aureus M0489 (1157034.3)	583_2	 	531_7	532	530	1757_11_19	1462_12	1757_11_19	729_21, 730_22	730_22, 731	2293_27
Staphylococcus aureus M0493 (1224933.3)	1365_2	 	1313_7	1314	1312	2452_11_19	2213_12	2452_11_19	1510_21, 1511_22	1511_22, 1512	348_27
Staphylococcus aureus M0494 (1157035.3)	52_2	 	2572_7	2573	2571	1108_11_19	816_12	1108_11_19	197_21, 198_22	198_22, 199	 
Staphylococcus aureus M0510 (1158533.3)	58_2	 	2737_7	2738	2736	1236_11_19	936_12	1236_11_19	204_21, 205_22	205_22, 206	1774_27
Staphylococcus aureus M0513 (1158534.3)	1132_2	 	1187_7	1186	1188	2754_11_19	297_12	2754_11_19	951_22, 952_21	950, 951_22	 
Staphylococcus aureus M0528 (1158682.3)	541_2	 	488_7	489	487	1660_11_19	1357_12, 1650_12	1660_11_19	691_21, 692_22	692_22, 693	2225_27
Staphylococcus aureus M0529 (1158462.3)	1243_2	 	1191_7	1192	1190	2390_11_19	2089_12	2390_11_19	1388_21, 1389_22	1389_22, 1390	228_27
