Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Staphylococcus aureus subsp. aureus 091751 (1137129.3)	 	 	 	 	 	 	 	 	195_14, 196_13	 	 
Staphylococcus aureus subsp. aureus 103564 (1137130.3)	 	 	 	 	 	 	 	 	868_14, 869_13	 	 
Staphylococcus aureus subsp. aureus 112808A (1137132.3)	 	 	975_4	 	 	 	 	 	992_14, 993_13	 	 
Staphylococcus aureus subsp. aureus 118 (1144271.3)	 	 	 	 	 	 	 	 	2461_14, 2462_13	 	 
Staphylococcus aureus subsp. aureus 11819-97 (1123523.3)	 	 	 	 	 	 	 	 	487_14, 488_13	 	 
Staphylococcus aureus subsp. aureus 120 (1221451.3)	 	 	 	 	 	 	 	 	1131_14, 1132_13	 	 
Staphylococcus aureus subsp. aureus 122051 (1137131.3)	 	 	1663_4	 	 	 	 	 	1765_13, 1766_14	 	 
Staphylococcus aureus subsp. aureus 132 (644279.4)	 	 	1869_4	 	 	 	 	 	591_14, 592_13	 	 
Staphylococcus aureus subsp. aureus 21172 (904723.3)	 	 	 	 	 	 	 	 	275_13, 276_14	 	 
Staphylococcus aureus subsp. aureus 21178 (904724.3)	 	 	2497_4	 	 	 	 	 	1102_14, 1103_13	 	 
Staphylococcus aureus subsp. aureus 21189 (904725.3)	 	 	1718_4	 	 	 	 	 	572_13, 573_14	 	 
Staphylococcus aureus subsp. aureus 21193 (904726.3)	 	 	 	 	 	 	 	 	1105_13, 1106_14	 	 
Staphylococcus aureus subsp. aureus 21195 (904728.3)	 	 	2461_4	 	 	 	 	 	2393_13, 2394_14	 	 
Staphylococcus aureus subsp. aureus 21196 (904729.3)	 	 	 	 	 	 	 	 	400_13, 401_14	 	 
Staphylococcus aureus subsp. aureus 21200 (904730.3)	 	 	573_4	 	 	 	 	 	732_13, 733_14	 	 
Staphylococcus aureus subsp. aureus 21201 (904731.3)	 	184	 	 	 	 	 	 	1428_13, 1429_14	 	 
Staphylococcus aureus subsp. aureus 21202 (904732.3)	 	 	2286_4	 	 	 	 	 	897_13, 898_14	 	 
Staphylococcus aureus subsp. aureus 21209 (904735.3)	 	 	73_4	 	 	 	 	 	1749_13, 1750_14	 	 
Staphylococcus aureus subsp. aureus 21232 (904737.3)	 	 	852_4	 	 	 	 	 	804_13, 805_14	 	 
Staphylococcus aureus subsp. aureus 21236 (904739.3)	 	 	 	 	 	 	 	 	1907_14, 1908_13	 	 
Staphylococcus aureus subsp. aureus 21252 (904743.3)	 	 	1837_4	 	 	 	 	 	1031_14, 1032_13	 	 
Staphylococcus aureus subsp. aureus 21259 (904744.3)	 	 	 	 	 	 	 	 	2127_13, 2128_14	 	 
Staphylococcus aureus subsp. aureus 21262 (904745.3)	 	 	1382_4	 	 	 	 	1506_12	269_14, 270_13	 	 
Staphylococcus aureus subsp. aureus 21264 (904746.3)	 	 	862_4	 	 	 	 	 	2079_13, 2080_14	 	 
Staphylococcus aureus subsp. aureus 21266 (904747.3)	 	 	 	 	 	 	 	 	1991_13, 1992_14	 	 
Staphylococcus aureus subsp. aureus 21269 (904749.3)	 	 	 	 	 	 	 	 	58_13, 59_14	 	 
Staphylococcus aureus subsp. aureus 21272 (904750.3)	 	 	 	 	 	 	 	 	139_13, 140_14	 	 
Staphylococcus aureus subsp. aureus 21282 (904753.3)	 	 	2445_4	 	 	 	 	1869_12	1711_13, 1712_14	 	 
Staphylococcus aureus subsp. aureus 21283 (904754.3)	 	 	1919_4	 	 	 	 	941_12	1095_14, 1096_13	 	 
Staphylococcus aureus subsp. aureus 21305 (904759.3)	 	 	1354_4	 	 	 	 	 	1675_13, 1676_14	 	 
Staphylococcus aureus subsp. aureus 21310 (904760.3)	 	 	2058_4	 	 	 	 	 	629_13, 630_14	 	 
Staphylococcus aureus subsp. aureus 21318 (904763.3)	 	 	 	 	 	 	 	 	786_14, 787_13	 	 
Staphylococcus aureus subsp. aureus 21331 (904766.3)	 	 	702_4	 	 	 	 	 	1202_13, 1203_14	 	 
Staphylococcus aureus subsp. aureus 21333 (904767.3)	 	 	 	 	 	 	 	 	1308_13, 1309_14	 	 
Staphylococcus aureus subsp. aureus 21334 (904768.3)	 	 	 	 	 	 	 	 	1030_14, 1031_13	 	 
Staphylococcus aureus subsp. aureus 21340 (904771.3)	 	 	2226_4	 	 	 	 	 	786_13, 787_14	 	 
Staphylococcus aureus subsp. aureus 21342 (904772.3)	 	 	 	 	 	 	 	 	287_13, 288_14	 	 
Staphylococcus aureus subsp. aureus 21343 (904773.3)	 	 	 	 	 	 	 	 	1319_14, 1320_13	 	 
Staphylococcus aureus subsp. aureus 21345 (904774.3)	 	 	 	 	 	 	 	 	906_13, 907_14	 	 
Staphylococcus aureus subsp. aureus 333 (1221452.3)	 	 	 	 	 	 	 	 	2021_14, 2022_13	 	 
Staphylococcus aureus subsp. aureus 3989 (1221453.3)	 	 	 	 	 	 	 	 	1358_14, 1359_13	 	 
Staphylococcus aureus subsp. aureus 55/2053 (585143.3)	 	 	 	 	 	 	 	 	1028_14, 1029_13	 	 
Staphylococcus aureus subsp. aureus 58-424 (585144.3)	 	 	 	 	 	 	 	 	1039_14, 1040_13	 	 
Staphylococcus aureus subsp. aureus 65-1322 (585145.3)	 	 	 	 	 	 	 	 	1021_14, 1022_13	 	 
Staphylococcus aureus subsp. aureus 68-397 (585146.3)	 	 	2251_4	 	 	 	 	 	1026_14, 1027_13	 	 
Staphylococcus aureus subsp. aureus A017934/97 (585147.3)	 	 	 	 	 	 	 	 	44_14, 45_13	 	 
Staphylococcus aureus subsp. aureus ATCC 51811 (762962.3)	 	 	265_4	 	 	 	 	 	175_13, 176_14	 	 
Staphylococcus aureus subsp. aureus ATCC BAA-39 (862516.3)	 	 	1566_4	 	 	 	 	 	2781_13, 2782_14	 	 
Staphylococcus aureus subsp. aureus Btn1260 (585148.3)	 	 	 	 	 	 	 	 	44_14, 45_13	 	 
Staphylococcus aureus subsp. aureus C101 (585149.6)	 	 	 	 	 	 	 	 	649_14, 650_13	 	 
Staphylococcus aureus subsp. aureus C160 (585150.3)	 	 	 	 	 	 	 	 	1069_14, 1070_13	 	 
Staphylococcus aureus subsp. aureus C427 (585151.3)	 	 	 	 	 	 	 	 	138_14, 139_13	 	 
Staphylococcus aureus subsp. aureus CBD-635 (1331008.3)	 	 	 	 	 	 	 	 	2082_14, 2083_13	 	 
Staphylococcus aureus subsp. aureus CGS00 (543538.3)	 	1288	 	 	 	 	 	 	1687_14, 1688_13	 	 
Staphylococcus aureus subsp. aureus CGS01 (543539.3)	 	 	1486_4	 	 	 	 	 	1993_13, 1994_14	 	 
Staphylococcus aureus subsp. aureus CGS03 (543540.3)	 	 	 	 	 	 	 	 	2142_14, 2143_13	 	 
Staphylococcus aureus subsp. aureus CIG1057 (931432.3)	 	 	 	 	 	 	 	 	1022_14, 1023_13	 	 
Staphylococcus aureus subsp. aureus CIG1096 (931443.3)	 	 	 	 	 	 	 	 	1025_14, 1026_13	 	 
Staphylococcus aureus subsp. aureus CIG1114 (931433.3)	 	 	2297_4	 	 	 	 	 	1063_14, 1064_13	 	 
Staphylococcus aureus subsp. aureus CIG1150 (931444.3)	 	 	 	 	 	 	 	 	1059_14, 1060_13	 	 
Staphylococcus aureus subsp. aureus CIG1165 (931434.3)	 	 	 	 	 	 	 	 	985_14, 986_13	 	 
Staphylococcus aureus subsp. aureus CIG1176 (931445.3)	 	 	 	 	 	 	 	 	1141_14, 1142_13	 	 
Staphylococcus aureus subsp. aureus CIG1213 (931446.3)	 	 	 	 	 	 	 	 	1043_14, 1044_13	 	 
Staphylococcus aureus subsp. aureus CIG1214 (931435.3)	 	 	 	 	 	 	 	 	1100_14, 1101_13	 	 
Staphylococcus aureus subsp. aureus CIG1233 (931447.3)	 	 	 	 	 	 	 	 	1099_14, 1100_13	 	 
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)	 	 	 	 	 	 	 	 	501_14, 502_13	 	 
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)	 	 	 	 	 	 	 	 	1025_14, 1026_13	 	 
Staphylococcus aureus subsp. aureus CIG149 (931453.3)	 	 	 	 	 	 	 	 	1118_14, 1119_13	 	 
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)	 	 	 	 	 	 	 	 	1233_14, 1234_13	 	 
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)	 	 	2113_4	 	 	 	 	 	1014_14, 1015_13	 	 
Staphylococcus aureus subsp. aureus CIG1605 (931438.3)	 	 	 	 	 	 	 	 	1056_14, 1057_13	 	 
Staphylococcus aureus subsp. aureus CIG1612 (931448.3)	 	 	2328_4	 	 	 	 	 	1093_14, 1094_13	 	 
Staphylococcus aureus subsp. aureus CIG1750 (931439.3)	 	 	 	 	 	 	 	 	943_14, 944_13	 	 
Staphylococcus aureus subsp. aureus CIG1769 (931440.3)	 	 	 	 	 	 	 	 	1149_14, 1150_13	 	 
Staphylococcus aureus subsp. aureus CIG1770 (931449.3)	 	 	2342_4	 	 	 	 	 	1067_14, 1068_13	 	 
Staphylococcus aureus subsp. aureus CIG1835 (931441.3)	 	 	2034_4	 	 	 	 	 	675_14, 676_13	 	 
Staphylococcus aureus subsp. aureus CIG2018 (931450.3)	 	 	2072_4	 	 	 	 	 	842_14, 843_13	 	 
Staphylococcus aureus subsp. aureus CIG290 (931451.3)	 	 	2292_4	 	 	 	 	 	1094_14, 1095_13	 	 
Staphylococcus aureus subsp. aureus CIG547 (931442.3)	 	 	2346_4	 	 	 	 	 	1183_14, 1184_13	 	 
Staphylococcus aureus subsp. aureus CIGC128 (931459.3)	 	 	2197_4	 	 	 	 	 	961_14, 962_13	 	 
Staphylococcus aureus subsp. aureus CIGC340D (931455.3)	 	 	 	 	 	 	 	 	994_14, 995_13	 	 
Staphylococcus aureus subsp. aureus CIGC341D (931456.3)	 	 	 	 	 	 	 	 	1112_14, 1113_13	 	 
Staphylococcus aureus subsp. aureus CIGC345D (931457.3)	 	 	2142_4	 	 	 	 	 	591_13, 592_14	 	 
Staphylococcus aureus subsp. aureus CIGC348 (931458.3)	 	 	 	 	 	 	 	 	1092_14, 1093_13	 	 
Staphylococcus aureus subsp. aureus CIGC93 (931460.3)	 	 	 	 	 	 	 	 	647_14, 648_13	 	 
Staphylococcus aureus subsp. aureus CM05 (1134842.3)	 	 	2126_4	 	 	 	 	 	2205_14, 2206_13	 	 
Staphylococcus aureus subsp. aureus COL (93062.4)	 	 	440_4	 	 	 	 	 	1019_14, 1020_13	 	 
Staphylococcus aureus subsp. aureus D139 (585152.3)	 	 	1715_4	 	 	 	 	497_12	434_14, 435_13	 	 
Staphylococcus aureus subsp. aureus DSM 20231 (1241616.3)	 	 	1178_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus subsp. aureus E1410 (585153.3)	 	 	1995_4, 1996_4	 	 	 	 	 	1079_14, 1080_13	 	 
Staphylococcus aureus subsp. aureus ECT-R 2 (889933.4)	 	 	1543_4	 	 	 	 	 	452_14, 453_13	 	 
Staphylococcus aureus subsp. aureus ED133 (685039.3)	 	 	1784_4	 	 	 	 	 	571_14, 572_13	 	 
Staphylococcus aureus subsp. aureus ED98 (681288.4)	 	738	 	 	 	 	 	 	471_14, 472_13	 	 
Staphylococcus aureus subsp. aureus EMRSA16 (585154.3)	 	 	 	 	 	 	 	 	478_14, 479_13	 	 
Staphylococcus aureus subsp. aureus GR1 (1144272.3)	 	 	797_4	 	 	 	 	 	2541_14, 2542_13	 	 
Staphylococcus aureus subsp. aureus H19 (585155.3)	 	 	1956_4	 	 	 	 	1123_12	1060_14, 1061_13	 	 
Staphylococcus aureus subsp. aureus H29 (1258575.3)	 	 	 	 	 	 	 	 	2295_14, 2296_13	 	 
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)	 	 	1658_4	 	 	 	 	 	454_14, 455_13	 	 
Staphylococcus aureus subsp. aureus IS-105 (904781.3)	 	 	495_4	 	 	 	 	 	1837_14, 1838_13	 	 
Staphylococcus aureus subsp. aureus IS-111 (904782.3)	 	 	501_4	 	 	 	 	 	925_14, 926_13	 	 
Staphylococcus aureus subsp. aureus IS-122 (904783.3)	 	 	 	 	 	 	 	 	1681_13, 1682_14	 	 
Staphylococcus aureus subsp. aureus IS-189 (904787.3)	 	 	1171_4	 	 	 	 	2205_12	1989_13, 1990_14	 	 
Staphylococcus aureus subsp. aureus IS-250 (904789.3)	 	 	936_4	 	 	 	 	2297_12	658_13, 659_14	 	 
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	 	 	 	 	 	 	 	1553_12	1812_13, 1813_14	 	 
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	 	 	 	 	 	 	 	 	450_13, 451_14	 	 
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	 	 	825_4	 	 	 	 	1688_12	2_14, 3_13	 	 
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	 	 	 	 	 	 	 	 	2793_13, 2794_14	 	 
Staphylococcus aureus subsp. aureus IS-K (904791.3)	 	 	119_4, 952_4	 	 	 	 	393_12	2139_14, 2140_13	 	 
Staphylococcus aureus subsp. aureus JH1 (359787.11)	 	 	 	 	 	 	 	 	583_14, 584_13	 	 
Staphylococcus aureus subsp. aureus JH9 (359786.13)	 	 	 	 	 	 	 	 	593_14, 594_13	 	 
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	 	 	 	 	 	 	 	 	500_14, 501_13	 	 
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	 	 	 	 	 	 	 	 	1_14, 2_13	 	 
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	 	 	1629_4	 	 	 	 	521_12	459_14, 460_13	 	 
Staphylococcus aureus subsp. aureus M013 (1118959.3)	 	 	1696_4	 	 	 	 	546_12	483_14, 484_13	 	 
Staphylococcus aureus subsp. aureus M1015 (585156.3)	 	 	 	 	 	 	 	 	45_14, 46_13	 	 
Staphylococcus aureus subsp. aureus M809 (585157.3)	 	 	 	 	 	 	 	 	167_14, 168_13	 	 
Staphylococcus aureus subsp. aureus M876 (585158.3)	 	 	 	 	 	 	 	 	1019_14, 1020_13	 	 
Staphylococcus aureus subsp. aureus M899 (585159.3)	 	 	 	 	 	 	 	 	633_14, 634_13	 	 
Staphylococcus aureus subsp. aureus MN8 (548470.3)	 	 	 	 	 	 	 	 	1581_13, 1582_14	 	 
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	 	 	616_4	 	 	 	 	 	931_13, 932_14	 	 
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	 	 	51_4	 	 	 	 	1789_12	131_13, 132_14	 	 
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	 	 	719_4	 	 	 	 	 	2364_14, 2365_13	 	 
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	 	 	 	 	 	 	 	 	531_14, 532_13	 	 
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	 	725	1585_4	 	 	 	 	530_12	469_14, 470_13	 	 
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	 	 	1714_4	 	 	 	 	 	498_14, 499_13	 	 
Staphylococcus aureus subsp. aureus MW2 (196620.5)	 	 	1735_4	 	 	 	 	 	502_14, 503_13	 	 
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	 	 	 	 	 	 	 	 	521_14, 522_13	 	 
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	 	 	 	 	 	 	 	 	524_14, 525_13	 	 
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	 	 	 	 	 	 	 	 	523_14, 524_13	 	 
Staphylococcus aureus subsp. aureus N315 (158879.11)	 	 	 	 	 	 	 	 	502_14, 503_13	 	 
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	 	 	1672_4	 	 	 	 	 	446_14, 447_13	 	 
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	 	 	109_4	 	 	 	 	 	2140_14, 2141_13	 	 
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	 	 	1305_4	 	 	 	 	 	2248_13, 2249_14	 	 
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	 	 	 	 	 	 	 	 	1409_14, 1410_13	 	 
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	 	 	1526_4	 	 	 	 	 	436_14, 437_13	 	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	 	 	345_4	 	 	 	 	 	2163_13, 2164_14	 	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	 	 	1693_4	 	 	 	 	581_12	520_14, 521_13	 	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	 	 	 	 	 	 	 	1648_12	2084_14, 2085_13	 	 
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	 	 	1388_4	 	 	 	 	 	2604_13, 2605_14	 	 
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	 	 	708_4	 	 	 	 	 	2_14, 3_13	 	 
Staphylococcus aureus subsp. aureus TW20 (663951.4)	 	 	1836_4	 	 	 	 	 	617_14, 618_13	 	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	 	 	1010_4	 	 	 	 	 	378_13, 538_14	 	 
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	 	 	1821_4	 	 	 	 	 	565_14, 566_13	 	 
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	 	 	1810_4	 	 	 	 	 	555_14, 556_13	 	 
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	 	 	1560_4	 	 	 	 	 	435_14, 436_13	 	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	 	2263	 	 	 	 	 	 	338_14, 339_13	 	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	 	 	 	 	 	 	 	 	2210_13, 2211_14	 	 
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	 	 	 	 	 	 	 	 	450_14, 451_13	 	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	 	 	 	 	 	 	 	 	482_14, 483_13	 	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	 	 	 	 	 	 	 	 	502_14, 503_13	 	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	 	 	 	 	 	 	 	 	501_14, 502_13	 	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	 	 	 	 	 	 	 	 	445_14, 446_13	 	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	 	 	 	 	 	 	 	 	437_14, 438_13	 	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	 	 	 	 	 	 	 	 	448_14, 449_13	 	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	 	 	 	 	 	 	 	 	453_14, 454_13	 	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	 	 	 	 	 	 	 	 	430_14, 431_13	 	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	 	 	 	 	 	 	 	 	482_14, 483_13	 	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	 	 	 	 	 	 	 	 	453_14, 454_13	 	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	 	 	 	 	 	 	 	 	477_14, 478_13	 	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	 	 	1257_4	 	 	 	 	 	42_14, 43_13	 	 
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	 	 	 	 	 	 	 	 	381_14, 382_13	 	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	 	 	1782_4	 	 	 	 	 	548_14, 549_13	 	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	 	 	2420_4	 	 	 	 	 	1066_13, 1067_14	 	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	 	 	1750_4	 	 	 	 	590_12	527_14, 528_13	 	 
Staphylococcus capitis QN1 (1189311.3)	 	635	1506_4, 1835_4, 467_4	 	 	 	 	1880_12	1941_13, 1942_14	 	 
Staphylococcus capitis SK14 (553212.3)	 	588	1316_4, 317_4	 	 	 	 	784_12	847_13, 848_14	 	 
Staphylococcus capitis VCU116 (904334.4)	 	83	341_4, 644_4, 657_4	 	 	 	 	1716_12	1654_14, 1655_13	 	 
Staphylococcus caprae C87 (435838.3)	 	204	1180_4, 1660_4	 	 	 	 	102_12	40_14, 41_13	 	 
Staphylococcus epidermidis 12142587 (1235440.3)	 	 	2401_4, 889_4	 	 	 	 	2458_12	2068_14, 2069_13	 	 
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	 	 	162_4, 331_4	 	 	 	 	1201_12	1133_14, 1134_13	 	 
Staphylococcus epidermidis 41tr (1294271.3)	 	 	1229_4, 2456_4	 	 	 	 	2640_12	2686_14, 2687_13	 	 
Staphylococcus epidermidis 528m (1294272.3)	 	 	2512_4, 624_4	 	 	 	 	2373_12	2710_13, 2711_14	 	 
Staphylococcus epidermidis A487 (904143.3)	 	395	1211_4, 1676_4	 	2114_6	 	 	204_12	139_14, 140_13	 	 
Staphylococcus epidermidis ATCC 12228 (176280.10)	 	 	1511_4	 	 	 	 	323_12	2206_13, 2207_14	 	 
Staphylococcus epidermidis AU12-03 (1220510.3)	 	 	2055_4	 	 	 	 	1124_12	1188_13, 1189_14	 	 
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	 	2333	 	 	 	 	 	1828_12	824_14, 825_13	 	 
Staphylococcus epidermidis BVS058A4 (883130.3)	 	 	2011_4, 997_4	 	 	 	 	1890_12	1825_14, 1826_13	 	 
Staphylococcus epidermidis FRI909 (764544.3)	 	 	1065_4	 	 	 	 	1839_12	2254_13, 2255_14	 	 
Staphylococcus epidermidis M0881 (1213731.3)	 	 	1282_4	 	 	 	 	63_12	 	 	 
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	 	 	2250_4	 	 	 	 	1883_12	1493_14, 1494_13	 	 
Staphylococcus epidermidis NIH04003 (1155132.3)	 	 	2069_4	 	 	 	 	68_12	2_14, 3_13	 	 
Staphylococcus epidermidis NIH04008 (979222.3)	 	 	1001_4, 2452_4, 977_4	 	 	 	 	1230_12	1758_14, 1759_13	 	 
Staphylococcus epidermidis NIH05001 (979221.3)	 	 	2396_4, 2455_4	 	 	 	 	2152_12	2473_13, 2474_14	 	 
Staphylococcus epidermidis NIH05003 (1155133.3)	 	 	2103_4	 	 	 	 	67_12	2_14, 3_13	 	 
Staphylococcus epidermidis NIH05005 (979220.3)	 	 	2242_4	 	 	 	 	119_12	374_14, 375_13	 	 
Staphylococcus epidermidis NIH051475 (1155130.3)	 	 	1131_4, 2076_4	 	 	 	 	69_12	2_14, 3_13	 	 
Staphylococcus epidermidis NIH051668 (1155131.3)	 	 	2150_4	 	 	 	 	67_12	3_14, 4_13	 	 
Staphylococcus epidermidis NIH06004 (1155134.3)	 	 	2027_4, 2239_4	 	 	 	 	1574_12	1637_13, 1638_14	 	 
Staphylococcus epidermidis NIH08001 (1155135.3)	 	 	100_4, 2074_4	 	 	 	 	1187_12	1252_13, 1253_14	 	 
Staphylococcus epidermidis NIHLM001 (979219.3)	 	 	1542_4, 1659_4	 	 	 	 	503_12	2510_13, 2511_14	 	 
Staphylococcus epidermidis NIHLM003 (979218.3)	 	 	1451_4	 	 	 	 	420_12	2472_13, 2473_14	 	 
Staphylococcus epidermidis NIHLM008 (979217.3)	 	 	111_4, 2196_4	 	 	 	 	1138_12	1203_13, 1204_14	 	 
Staphylococcus epidermidis NIHLM015 (979216.3)	 	 	1102_4, 1241_4	 	 	 	 	68_12	2_14, 3_13	 	 
Staphylococcus epidermidis NIHLM018 (979215.3)	 	 	1359_4, 630_4	 	 	 	 	1806_12	2319_13, 2320_14	 	 
Staphylococcus epidermidis NIHLM020 (979213.3)	 	 	1867_4, 551_4	 	 	 	 	311_12	650_13, 651_14	 	 
Staphylococcus epidermidis NIHLM021 (979212.3)	 	 	1671_4	 	 	 	 	724_12	2401_14, 2402_13	 	 
Staphylococcus epidermidis NIHLM023 (979211.3)	 	 	1161_4, 366_4	 	 	 	 	1944_12	2408_13, 2409_14	 	 
Staphylococcus epidermidis NIHLM031 (979214.3)	 	 	2138_4, 28_4	 	 	 	 	1902_12	2325_13, 2326_14	 	 
Staphylococcus epidermidis NIHLM037 (979210.3)	 	 	1225_4, 1700_4	 	235_6	 	 	2115_12	1978_14, 1979_13	 	 
Staphylococcus epidermidis NIHLM039 (979209.3)	 	1278	126_4, 453_4	 	 	 	 	1476_12	1543_13, 1544_14	 	 
Staphylococcus epidermidis NIHLM040 (979208.3)	 	 	1955_4, 2255_4, 571_4	 	 	 	 	706_12	2335_13, 2336_14	 	 
Staphylococcus epidermidis NIHLM049 (979207.3)	 	 	 	 	 	 	 	502_12	436_14, 437_13	 	 
Staphylococcus epidermidis NIHLM053 (979206.3)	 	1214	1118_4, 1918_4	 	 	 	 	391_12	456_13, 457_14	 	 
Staphylococcus epidermidis NIHLM057 (979205.3)	 	68	1370_4, 1945_4	 	 	 	 	1788_12	1853_13, 1854_14	 	 
Staphylococcus epidermidis NIHLM061 (979204.3)	 	 	25_4, 419_4	 	 	 	 	1480_12	1547_13, 1548_14	 	 
Staphylococcus epidermidis NIHLM067 (979203.3)	 	 	1483_4	 	 	 	 	112_12	2254_13, 2255_14	 	 
Staphylococcus epidermidis NIHLM087 (979201.3)	 	 	1351_4, 1462_4	 	 	 	 	404_12	2250_14, 2251_13	 	 
Staphylococcus epidermidis NIHLM088 (979200.3)	 	 	1551_4	 	 	 	 	206_12	2435_14, 2436_13	 	 
Staphylococcus epidermidis NIHLM095 (979199.3)	 	 	1555_4, 2383_4	 	 	 	 	2133_12	2068_14, 2069_13	 	 
Staphylococcus epidermidis RP62A (176279.9)	 	 	 	 	 	 	 	217_12	149_14, 150_13	 	 
Staphylococcus epidermidis SK135 (596317.3)	 	 	 	 	 	 	 	483_12	554_13, 555_14	 	 
Staphylococcus epidermidis UC7032 (1327991.3)	 	 	1277_4, 348_4	 	 	 	 	1404_12	1885_13, 1886_14	 	 
Staphylococcus epidermidis VCU028 (904317.3)	 	 	 	 	 	 	 	1024_12	14_13, 15_14	 	 
Staphylococcus epidermidis VCU037 (904319.3)	 	 	144_4	 	 	 	 	777_12	1104_14, 1105_13	 	 
Staphylococcus epidermidis VCU041 (904320.3)	 	 	2322_4, 2446_4	 	 	 	 	1170_12	2177_13, 2178_14	 	 
Staphylococcus epidermidis VCU045 (904321.3)	 	 	1721_4	 	 	 	 	707_12	284_14, 285_13	 	 
Staphylococcus epidermidis VCU065 (904324.3)	 	 	1622_4	 	 	 	 	2269_12	859_14, 860_13	 	 
Staphylococcus epidermidis VCU071 (904325.3)	 	 	2015_4, 979_4	 	 	 	 	972_12	1398_13, 1399_14	 	 
Staphylococcus epidermidis VCU081 (904326.3)	 	 	340_4	 	 	 	 	1883_12	335_13, 336_14	 	 
Staphylococcus epidermidis VCU105 (904328.3)	 	1366	568_4, 972_4	 	 	 	 	1607_12	1195_14, 1196_13	 	 
Staphylococcus epidermidis VCU107 (904329.3)	 	 	211_4	 	 	 	 	1395_12	100_13, 101_14	 	 
Staphylococcus epidermidis VCU109 (904330.3)	 	 	211_4	 	 	 	 	1395_12	100_13, 101_14	 	 
Staphylococcus epidermidis VCU116 (904334.3)	 	83	341_4, 644_4, 657_4	 	 	 	 	1718_12	1656_14, 1657_13	 	 
Staphylococcus epidermidis VCU117 (904335.3)	 	 	2168_4	 	 	 	 	 	47_13, 48_14	 	 
Staphylococcus epidermidis VCU118 (904336.3)	 	 	1924_4, 754_4	 	 	 	 	896_12	419_14, 420_13	 	 
Staphylococcus epidermidis VCU120 (904337.3)	 	 	1499_4, 917_4	 	 	 	 	1571_12	1261_14, 1262_13	 	 
