Organism	PyrAB	PyrB	PyrC	PyrDq	PyrDfum	PyrDnad	PyrE	PyrF	PyrH	Ndk	Adk	PyrG	ThiA
Staphylococcus aureus HI013 (1157003.3)	1693_4, 1694_1	1691_5	1692_6	431_7	 	 	1696_13	1695_14	 	1969_16	64_17	2732_19	1928_20
Staphylococcus aureus HI022 (1156999.3)	1082_4, 1083_1	1080_5	1081_6	2519_7	 	 	1085_13	1084_14	 	1356_16	2154_17	2054_19	1315_20
Staphylococcus aureus HI049 (1156994.3)	630_4, 631_1	628_5	629_6	2069_7	 	 	633_13	632_14	 	903_16	1704_17	1603_19	862_20
Staphylococcus aureus HI049B (1156996.3)	631_4, 632_1	629_5	630_6	2071_7	 	 	634_13	633_14	 	906_16	1706_17	1606_19	865_20
Staphylococcus aureus HI049C (1157000.3)	1120_4, 1121_1	1118_5	1119_6	2565_7	 	 	1123_13	1122_14	 	1395_16	2200_17	2098_19	1354_20
Staphylococcus aureus HI111 (1157002.3)	840_4, 841_1	838_5	839_6	2283_7	 	 	843_13	842_14	 	1115_16	1918_17	1817_19	1074_20
Staphylococcus aureus HI168 (1157001.3)	1666_4, 1667_1	1664_5	1665_6	427_7	 	 	1669_13	1668_14	 	1940_16	64_17	2708_19	1899_20
Staphylococcus aureus HIF003_B2N-C (1156998.3)	611_4, 612_1	609_5	610_6	1979_7	 	 	614_13	613_14	 	886_16	1614_17	1515_19	844_20
Staphylococcus aureus KLT6 (1283278.3)	1056_4, 1057_1	1054_5	1055_6	2346_7	 	 	1059_13	1058_14	 	1331_16	1984_17	1893_19	1285_20
Staphylococcus aureus KT/314250 (1231383.3)	2252_1, 2253_4	2255_5	2254_6	947_12	 	 	2250_13	2251_14	 	1597_16	2517_17	2188_19	2343_20
Staphylococcus aureus KT/Y21 (1231382.3)	1254_4, 1255_1	1252_5	1253_6	1325_7	 	 	1257_13	1256_14	 	156_16	2243_17	2411_19	1520_20
Staphylococcus aureus LVP2 (1278072.4)	1756_4, 1757_1	1754_5	1755_6	639_7	 	 	1759_13	1758_14	 	1567_16	126_17	469_19	1605_20
Staphylococcus aureus LVP5 (1278075.4)	1384_1, 1385_4	1387_5	1386_6	639_7	 	 	1382_13	1383_14	 	330_16	29_17	2367_19	1155_20
Staphylococcus aureus M0001 (1157004.3)	1852_4, 1853_1	1850_5	1851_6	522_12	 	 	1855_13	1854_14	 	2122_16	168_17	69_19	2080_20
Staphylococcus aureus M0006 (1158507.3)	1966_4, 1967_1	1964_5	1965_6	655_12	 	 	1969_13	1968_14	 	2234_16	297_17	195_19	2193_20
Staphylococcus aureus M0029 (1157005.3)	656_4, 657_1	654_5	655_6	2074_12	 	 	659_13	658_14	 	922_16	1720_17	1558_19	881_20
Staphylococcus aureus M0035 (1157006.3)	664_4, 665_1	662_5	663_6	2088_12	 	 	667_13	666_14	 	931_16	1732_17	1630_19	890_20
Staphylococcus aureus M0045 (1157007.3)	2226_4, 2227_1	2224_5	2225_6	916_12	 	 	2229_13	2228_14	 	2530_16	563_17	461_19	2489_20
Staphylococcus aureus M0055 (1158508.3)	1040_4, 1041_1	1038_5	1039_6	2493_7	 	 	1043_13	1042_14	 	1332_16	2132_17	2035_19	1291_20, 2698_20
Staphylococcus aureus M0060 (1157008.3)	1727_4, 1728_1	1725_5	1726_6	441_12	 	 	1730_13	1729_14	 	1995_16	88_17	2686_19	1954_20
Staphylococcus aureus M0066 (1157009.3)	1685_4, 1686_1	1683_5	1684_6	421_12	 	 	1688_13	1687_14	 	2018_16	66_17	2708_19	1976_20
Staphylococcus aureus M0075 (1303780.3)	292_4, 293_1	290_5	291_6	1716_12	 	 	295_13	294_14	 	561_16	1359_17	1258_19	520_20
Staphylococcus aureus M0077 (1158509.3)	1684_4, 1685_1	1682_5	1683_6	419_12	 	 	1687_13	1686_14	 	1952_16	65_17	2679_19	1910_20
Staphylococcus aureus M0102 (1157010.3)	1039_4, 1040_1	1037_5	1038_6	2399_12	 	 	1042_13	1041_14	 	1305_16	2043_17	1942_19	1264_20
Staphylococcus aureus M0103 (1157011.3)	1706_4, 1707_1	1704_5	1705_6	420_12	 	 	1709_13	1708_14	 	1974_16	66_17	2687_19	1933_20
Staphylococcus aureus M0104 (1224919.3)	1835_4, 1836_1	1833_5	1834_6	572_12	 	 	1838_13	1837_14	 	2147_16	218_17	118_19	2106_20
Staphylococcus aureus M0108 (1158510.3)	1145_4, 1146_1	1143_5	1144_6	2517_12	 	 	1148_13	1147_14	 	1413_16	2162_17	2061_19	1371_20
Staphylococcus aureus M0144 (1158511.3)	1920_4, 1921_1	1918_5	1919_6	649_12	 	 	1923_13	1922_14	 	2187_16	297_17	197_19	2145_20
Staphylococcus aureus M0150 (1157012.3)	1951_4, 1952_1	1949_5	1950_6	689_12	 	 	1954_13	1953_14	 	2274_16	332_17	233_19	2233_20
Staphylococcus aureus M0154 (1158512.3)	1126_4, 1127_1	1124_5	1125_6	2524_12	 	 	1129_13	1128_14	 	1395_16	2168_17	2069_19	1354_20
Staphylococcus aureus M0171 (1224920.3)	1721_4, 1722_1	1719_5	1720_6	448_12	 	 	1724_13	1723_14	 	1989_16	94_17	2688_19	1948_20
Staphylococcus aureus M0173 (1157013.3)	1991_4, 1992_1	1989_5	1990_6	749_12	 	 	1994_13	1993_14	 	2261_16	391_17	291_19	2220_20
Staphylococcus aureus M0177 (1158513.3)	710_4, 711_1	708_5	709_6	2086_12	 	 	713_13	712_14	 	977_16	1731_17	1632_19	936_20
Staphylococcus aureus M0192 (1157014.3)	1093_4, 1094_1	1091_5	1092_6	2451_12	 	 	1096_13	1095_14	 	1362_16	2094_17	1995_19	1321_20
Staphylococcus aureus M0197 (1157015.3)	1882_4, 1883_1	1880_5	1881_6	594_12	 	 	1885_13	1884_14	 	2201_16	235_17	136_19	2159_20
Staphylococcus aureus M0200 (1158514.3)	720_4, 721_1	718_5	719_6	2149_12	 	 	723_13	722_14	 	990_16	1793_17	1683_19	948_20
Staphylococcus aureus M0210 (1224921.3)	88_4, 89_1	86_5	87_6	1491_12	 	 	91_13	90_14	 	353_16	1135_17	1037_19	312_20
Staphylococcus aureus M0212 (1158515.3)	1158_4, 1159_1	1156_5	1157_6	2531_12	 	 	1161_13	1160_14	 	1427_16	2171_17	2071_19	1385_20
Staphylococcus aureus M0213 (1224922.3)	1988_4, 1989_1	1986_5	1987_6	721_12	 	 	1991_13	1990_14	 	2256_16	364_17	264_19	2215_20
Staphylococcus aureus M0216 (1158516.3)	666_4, 667_1	664_5	665_6	2066_12	 	 	669_13	668_14	 	937_16	1709_17	1611_19	895_20
Staphylococcus aureus M0221 (1157016.3)	2006_4, 2007_1	2004_5	2005_6	687_7	 	 	2009_13	2008_14	 	2281_16	321_17	216_19	2240_20, 2731_20
Staphylococcus aureus M0235 (1158517.3)	1684_4, 1685_1	1682_5	1683_6	421_12	 	 	1687_13	1686_14	 	1952_16	64_17	2591_19	1910_20
Staphylococcus aureus M0237 (1157017.3)	1262_4, 1263_1	1260_5	1261_6	2573_12	 	 	1265_13	1264_14	 	1528_16	2217_17	2117_19	1487_20
Staphylococcus aureus M0239 (1157018.3)	595_4, 596_1	593_5	594_6	1940_7	 	 	598_13	597_14	 	870_16	1589_17	1500_19	828_20
Staphylococcus aureus M0240 (1224923.3)	1097_4, 1098_1	1095_5	1096_6	2462_7	 	 	1100_13	1099_14	 	1365_16	2106_17	2006_19	1323_20
Staphylococcus aureus M0250 (1158518.3)	2085_4, 2086_1	2083_5	2084_6	821_12	 	 	2088_13	2087_14	 	2354_16	464_17	366_19	2312_20
Staphylococcus aureus M0252 (1157019.3)	2092_4, 2093_1	2090_5	2091_6	833_12	 	 	2095_13	2094_14	 	2361_16	476_17	377_19	2320_20
Staphylococcus aureus M0270 (1224924.3)	1690_4, 1691_1	1688_5	1689_6	417_12	 	 	1693_13	1692_14	 	2026_16	64_17	2715_19	1985_20
Staphylococcus aureus M0273 (1224925.3)	2015_4, 2016_1	2013_5	2014_6	701_12	 	 	2018_13	2017_14	 	2281_16	346_17	247_19	2240_20
Staphylococcus aureus M0279 (1224926.3)	663_4, 664_1	661_5	662_6	2089_12	 	 	666_13	665_14	 	930_16	1734_17	1631_19	890_20
Staphylococcus aureus M0280 (1158520.3)	362_4, 363_1	360_5	361_6	1816_12	 	 	365_13	364_14	 	631_16	1465_17	1366_19	590_20
Staphylococcus aureus M0288 (1224927.3)	677_4, 678_1	675_5	676_6	2116_12	 	 	680_13	679_14	 	945_16	1761_17	1655_19	904_20
Staphylococcus aureus M0294 (1303781.3)	1930_4, 1931_1	1928_5	1929_6	667_12	 	 	1933_13	1932_14	 	2199_16	311_17	209_19	2157_20
Staphylococcus aureus M0306 (1158521.3)	1178_4, 1179_1	1176_5	1177_6	2537_12	 	 	1181_13	1180_14	 	1446_16	2182_17	2082_19	1404_20
Staphylococcus aureus M0312 (1224928.3)	714_4, 715_1	712_5	713_6	2179_7	 	 	717_13	716_14	 	1005_16	1815_17	1712_19	2781_20, 965_20
Staphylococcus aureus M0326 (1157020.3)	673_4, 674_1	671_5	672_6	2099_12	 	 	676_13	675_14	 	940_16	1745_17	1658_19	899_20
Staphylococcus aureus M0328 (1157021.3)	687_4, 688_1	685_5	686_6	2112_12	 	 	690_13	689_14	 	954_16	1756_17	1655_19	914_20
Staphylococcus aureus M0329 (1157022.3)	1182_4, 1183_1	1180_5	1181_6	2543_12	 	 	1185_13	1184_14	 	1452_16	2185_17	2087_19	1410_20, 2729_20
Staphylococcus aureus M0330 (1157023.3)	1792_4, 1793_1	1790_5	1791_6	531_12	 	 	1795_13	1794_14	 	2057_16	174_17	73_19	2016_20
Staphylococcus aureus M0334 (1158522.3)	1946_4, 1947_1	1944_5	1945_6	649_12	 	 	1949_13	1948_14	 	2214_16	296_17	195_19	2173_20
Staphylococcus aureus M0340 (1157024.3)	1863_4, 1864_1	1861_5	1862_6	555_7	 	 	1867_13	1866_14	 	2142_16	188_17	87_19	2099_20
Staphylococcus aureus M0347 (1157025.3)	1150_4, 1151_1	1148_5	1149_6	2516_12	 	 	1153_13	1152_14	 	1418_16	2162_17	2061_19	1378_20
Staphylococcus aureus M0350 (1158523.3)	1704_4, 1705_1	1702_5	1703_6	440_12	 	 	1707_13	1706_14	 	1971_16	87_17	2690_19	1929_20
Staphylococcus aureus M0351 (1158524.3)	1146_4, 1147_1	1144_5	1145_6	2536_12	 	 	1149_13	1148_14	 	1411_16	2179_17	2079_19	1371_20
Staphylococcus aureus M0363 (1158525.3)	1098_4, 1099_1	1096_5	1097_6	2466_12	 	 	1101_13	1100_14	 	1369_16	2110_17	2007_19	1327_20
Staphylococcus aureus M0364 (1157026.3)	1105_4, 1106_1	1103_5	1104_6	2511_12	 	 	1108_13	1107_14	 	1373_16	2156_17	2055_19	1332_20
Staphylococcus aureus M0367 (1158526.3)	1987_4, 1988_1	1985_5	1986_6	721_12	 	 	1990_13	1989_14	 	2255_16	365_17	266_19	2213_20
Staphylococcus aureus M0374 (1158527.3)	287_4, 288_1	285_5	286_6	1721_12	 	 	290_13	289_14	 	555_16	1362_17	1264_19	513_20
Staphylococcus aureus M0375 (1158528.3)	1699_4, 1700_1	1697_5	1698_6	419_12	 	 	1702_13	1701_14	 	1969_16	65_17	2684_19	1928_20
Staphylococcus aureus M0391 (1157027.3)	1732_4, 1733_1	1730_5	1731_6	419_12	 	 	1735_13	1734_14	 	2002_16	67_17	2676_19	1960_20
Staphylococcus aureus M0396 (1158529.3)	1262_4, 1263_1	1260_5	1261_6	95_12	 	 	1265_13	1264_14	 	1533_16	2263_17	2173_19	1491_20
Staphylococcus aureus M0404 (1224929.3)	867_4, 868_1	865_5	866_6	2300_12	 	 	870_13	869_14	 	1134_16	1947_17	1847_19	1093_20
Staphylococcus aureus M0408 (1157028.3)	2070_1, 2071_4	2073_5	2072_6	861_12	 	 	2068_13	2069_14	 	1773_16	164_17	68_19	1814_20
Staphylococcus aureus M0415 (1224930.3)	1862_4, 1863_1	1860_5	1861_6	520_12	 	 	1865_13	1864_14	 	2130_16	164_17	66_19	2088_20
Staphylococcus aureus M0424 (1158530.3)	1760_4, 1761_1	1758_5	1759_6	426_7	 	 	1763_13	1762_14	 	2056_16	64_17	2764_19	2015_20
Staphylococcus aureus M0427 (1157029.3)	1086_4, 1087_1	1084_5	1085_6	2449_12	 	 	1089_13	1088_14	 	1353_16	2091_17	1992_19	1312_20
Staphylococcus aureus M0438 (1158531.3)	1091_4, 1092_1	1089_5	1090_6	2449_12	 	 	1094_13	1093_14	 	1358_16	2091_17	1991_19	1318_20
Staphylococcus aureus M0450 (1157030.3)	1139_4, 1140_1	1137_5	1138_6	2499_12	 	 	1142_13	1141_14	 	1405_16	2143_17	2041_19	1365_20
Staphylococcus aureus M0455 (1224931.3)	689_4, 690_1	687_5	688_6	1984_12	 	 	692_13	691_14	 	955_16	1634_17	1535_19	915_20
Staphylococcus aureus M0460 (1224932.3)	632_4, 633_1	630_5	631_6	2064_12	 	 	635_13	634_14	 	901_16	1707_17	1607_19	861_20
Staphylococcus aureus M0467 (1157031.3)	296_4, 297_1	294_5	295_6	1696_12	 	 	299_13	298_14	 	566_16	1341_17	1241_19	525_20
Staphylococcus aureus M0468 (1157032.3)	703_4, 704_1	701_5	702_6	2145_7	 	 	706_13	705_14	 	978_16	1781_17	1679_19	2788_20, 937_20
Staphylococcus aureus M0478 (1157033.3)	1074_4, 1075_1	1072_5	1073_6	2434_12	 	 	1077_13	1076_14	 	1343_16	2075_17	1975_19	1302_20, 2648_20
Staphylococcus aureus M0489 (1157034.3)	1182_4, 1183_1	1180_5	1181_6	2657_12	 	 	1185_13	1184_14	 	1506_16	2301_17	2202_19	1463_20
Staphylococcus aureus M0493 (1224933.3)	1986_4, 1987_1	1984_5	1985_6	714_12	 	 	1989_13	1988_14	 	2256_16	356_17	257_19	2214_20
Staphylococcus aureus M0494 (1157035.3)	590_4, 591_1	588_5	589_6	2018_12	 	 	593_13	592_14	 	857_16	1650_17	1553_19	817_20
Staphylococcus aureus M0510 (1158533.3)	709_4, 710_1	707_5	708_6	2137_12	 	 	712_13	711_14	 	978_16	1782_17	1684_19	937_20
Staphylococcus aureus M0513 (1158534.3)	552_1, 553_4	555_5	554_6	1815_12	 	 	550_13	551_14	 	256_16	2172_17	2271_19	296_20
Staphylococcus aureus M0528 (1158682.3)	1133_4, 1134_1	1131_5	1132_6	2588_12	 	 	1136_13	1135_14	 	1400_16	2233_17	2130_19	1358_20, 1651_20
Staphylococcus aureus M0529 (1158462.3)	1865_4, 1866_1	1863_5	1864_6	592_12	 	 	1868_13	1867_14	 	2132_16	235_17	136_19	2090_20
Staphylococcus aureus M0531 (1158683.3)	613_4, 614_1	611_5	612_6	2055_7	 	 	616_13	615_14	 	887_16	1687_17	1587_19	846_20
Staphylococcus aureus M0536 (1158684.3)	1140_4, 1141_1, 1142_1	1138_5	1139_6	2502_12	 	 	1144_13	1143_14	 	1412_16	2149_17	2050_19	1370_20
Staphylococcus aureus M0539 (1158685.3)	1940_4, 1941_1	1938_5	1939_6	660_12	 	 	1943_13	1942_14	 	2208_16	304_17	204_19	2167_20
Staphylococcus aureus M0547 (1158686.3)	1936_4, 1937_1	1934_5	1935_6	646_12	 	 	1939_13	1938_14	 	2205_16	290_17	192_19	2164_20
Staphylococcus aureus M0562 (1158535.3)	1108_4, 1109_1	1106_5	1107_6	2491_12	 	 	1111_13	1110_14	 	1375_16	2136_17	2038_19	1333_20
Staphylococcus aureus M0565 (1158687.3)	1089_4, 1090_1	1087_5	1088_6	2501_12	 	 	1092_13	1091_14	 	1357_16	2145_17	2046_19	1316_20
Staphylococcus aureus M0571 (1158536.3)	2165_4, 2166_1	2163_5	2164_6	907_12	 	 	2168_13	2167_14	 	2490_16	550_17	451_19	2449_20
Staphylococcus aureus M0580 (1158688.3)	287_4, 288_1	285_5	286_6	1704_12	 	 	290_13	289_14	 	553_16	1347_17	1250_19	513_20
Staphylococcus aureus M0584 (1158537.3)	1096_4, 1097_1	1094_5	1095_6	2519_12	 	 	1099_13	1098_14	 	1364_16	2165_17	2067_19	1323_20
Staphylococcus aureus M0586 (1158538.3)	1795_4, 1796_1	1793_5	1794_6	553_12	 	 	1798_13	1797_14	 	2116_16	198_17	99_19	2076_20
Staphylococcus aureus M0602 (1158689.3)	660_4, 661_1	658_5	659_6	2138_12	 	 	663_13	662_14	 	990_16	1784_17	1684_19	950_20
Staphylococcus aureus M0622 (1158690.3)	1087_4, 1088_1	1085_5	1086_6	2514_12	 	 	1090_13	1089_14	 	1355_16	2159_17	2061_19	1314_20
Staphylococcus aureus M0628 (1158461.3)	622_4, 623_1	620_5	621_6	2052_12	 	 	625_13	624_14	 	889_16	1693_17	1592_19	848_20
Staphylococcus aureus M0633 (1158539.3)	1138_4, 1139_1	1136_5	1137_6	2601_7	 	 	1141_13	1140_14	 	1432_16	2237_17	2138_19	1391_20, 18_20
Staphylococcus aureus M0646 (1214901.3)	2154_4, 2155_1	2152_5	2153_6	903_12	 	 	2157_13	2156_14	 	2482_16	546_17	447_19	2441_20
Staphylococcus aureus M0648 (1213721.3)	1802_4, 1803_1	1800_5	1801_6	518_12	 	 	1805_13	1804_14	 	2067_16	165_17	65_19	2026_20
Staphylococcus aureus M0660 (1213722.3)	1713_4, 1714_1	1711_5	1712_6	420_12	 	 	1716_13	1715_14	 	1982_16	66_17	2689_19	1941_20
Staphylococcus aureus M0663 (1213723.3)	1097_4, 1098_1	1095_5	1096_6	2480_12	 	 	1100_13	1099_14	 	1364_16	2126_17	 	1323_20
Staphylococcus aureus M0673 (1213724.3)	1093_4, 1094_1	1091_5	1092_6	2521_12	 	 	1096_13	1095_14	 	1364_16	2167_17	2048_19	1322_20
Staphylococcus aureus M0676 (1158691.3)	1107_4, 1108_1	1105_5	1106_6	2476_12	 	 	1110_13	1109_14	 	1374_16	2122_17	2024_19	1333_20
Staphylococcus aureus M0687 (1158692.3)	914_4, 915_1	912_5	913_6	2338_12	 	 	917_13	916_14	 	1181_16	1981_17	1882_19	1140_20, 419_20
Staphylococcus aureus M0692 (1158693.3)	1714_4, 1715_1	1712_5	1713_6	422_12	 	 	1717_13	1716_14	 	2038_16	66_17	2718_19	1997_20
Staphylococcus aureus M0695 (1213725.3)	1096_4, 1097_1	1094_5	1095_6	2504_12	 	 	1099_13	1098_14	 	1363_16	2148_17	2049_19	1322_20
Staphylococcus aureus M0719 (1158694.3)	1790_4, 1791_1	1788_5	1789_6	518_12	 	 	1793_13	1792_14	 	2113_16	165_17	65_19	2072_20
Staphylococcus aureus M0769 (1158695.3)	1076_4, 1077_1	1074_5	1075_6	2493_12	 	 	1079_13	1078_14	 	1345_16	2139_17	2040_19	1303_20
Staphylococcus aureus M0770 (1158696.3)	2224_4, 2225_1	2222_5	2223_6	895_12	 	 	2227_13	2226_14	 	2490_16	542_17	444_19	2449_20
Staphylococcus aureus M0780 (1158697.3)	1072_4, 1073_1	1070_5	1071_6	2494_12	 	 	1075_13	1074_14	 	1341_16	2140_17	2040_19	1299_20
Staphylococcus aureus M0792 (1213726.3)	1125_4, 1126_1	1123_5	1124_6	2547_12	 	 	1128_13	1127_14	 	1393_16	2188_17	2088_19	1351_20
Staphylococcus aureus M0799 (1158698.3)	1936_4, 1937_1	1934_5	1935_6	649_12	 	 	1939_13	1938_14	 	2255_16	294_17	195_19	2214_20
Staphylococcus aureus M0822 (1213727.3)	1072_4, 1073_1	1070_5	1071_6	2508_12	 	 	1075_13	1074_14	 	1338_16	2137_17	2039_19	1297_20
Staphylococcus aureus M0823 (1158699.3)	1117_4, 1118_1	1115_5	1116_6	2601_12	 	 	1120_13	1119_14	 	1443_16	2244_17	2146_19	1402_20
Staphylococcus aureus M0831 (1213728.3)	689_4, 690_1	687_5	688_6	2163_7	 	 	692_13	691_14	 	985_16	1801_17	1699_19	943_20
Staphylococcus aureus M0844 (1158700.3)	1786_4, 1787_1	1784_5	1785_6	526_12	 	 	1789_13	1788_14	 	2054_16	170_17	71_19	2012_20
Staphylococcus aureus M0871 (1213729.3)	1063_4, 1064_1	1061_5	1062_6	2467_12	 	 	1066_13	1065_14	 	1330_16	2113_17	2012_19	1289_20
Staphylococcus aureus M0877 (1213730.3)	1974_1, 1975_4	1977_5	1976_6	621_7	 	 	1972_13	1973_14	 	1689_16	976_17	1067_19	1731_20
Staphylococcus aureus M0892 (1213732.3)	1165_4, 1166_1	1163_5	1164_6	2535_12	 	 	1168_13	1167_14	 	1435_16	2179_17	2079_19	1394_20
Staphylococcus aureus M0900 (1213733.3)	1113_4, 1114_1	1111_5	1112_6	2527_12	 	 	1116_13	1115_14	 	1380_16	2172_17	2073_19	1338_20
Staphylococcus aureus M0927 (1213734.3)	1076_4, 1077_1	1074_5	1075_6	2514_12	 	 	1079_13	1078_14	 	1346_16	2159_17	2060_19	1304_20
Staphylococcus aureus M0934 (1158701.3)	2142_4, 2143_1	2140_5	2141_6	906_12	 	 	2145_13	2144_14	 	2465_16	549_17	450_19	2425_20
Staphylococcus aureus M0943 (1158702.3)	1068_4, 1069_1	1066_5	1067_6	2494_12	 	 	1071_13	1070_14	 	1336_16	2136_17	2036_19	1295_20
Staphylococcus aureus M0944 (1158703.3)	991_4, 992_1	989_5	990_6	2480_12	 	 	994_13	993_14	 	1258_16	2124_17	2025_19	1217_20
Staphylococcus aureus M0946 (1169255.3)	2130_1, 2131_4	2133_5	2132_6	634_12	 	 	2128_13	2129_14	 	1837_16	991_17	1088_19	1877_20, 2793_20
Staphylococcus aureus M0953 (1158704.3)	708_4, 709_1	706_5	707_6	2067_12	 	 	711_13	710_14	 	973_16	1711_17	1613_19	933_20
Staphylococcus aureus M0964 (1169256.3)	1096_4, 1097_1	1094_5	1095_6	2523_12	 	 	1099_13	1098_14	 	1363_16	2166_17	2066_19	1322_20
Staphylococcus aureus M0978 (1169257.3)	758_4, 759_1	756_5	757_6	2181_12	 	 	761_13	760_14	 	1025_16	1825_17	1727_19	984_20
Staphylococcus aureus M0994 (1169258.3)	659_4, 660_1	657_5	658_6	2092_12	 	 	662_13	661_14	 	927_16	1734_17	1635_19	886_20
Staphylococcus aureus M0998 (1158705.3)	696_4, 697_1	694_5	695_6	2098_12	 	 	699_13	698_14	 	966_16	1742_17	1643_19	925_20
Staphylococcus aureus M0999 (1158706.3)	1109_4, 1110_1	1107_5	1108_6	2495_12	 	 	1112_13	1111_14	 	1378_16	2139_17	2040_19	1338_20
Staphylococcus aureus M1 (1305598.3)	1092_4, 1093_1	1090_5	1091_6	2566_7	 	 	1095_13	1094_14	 	1387_16	2206_17	2109_19	1329_20
Staphylococcus aureus M1007 (1158707.3)	1757_4, 1758_1	1755_5	1756_6	430_7	 	 	1760_13	1759_14	 	2052_16	66_17	2764_19	2011_20
Staphylococcus aureus M1010 (1158708.3)	700_4, 701_1	698_5	699_6	2059_12	 	 	703_13	702_14	 	967_16	1703_17	1605_19	926_20
Staphylococcus aureus M1015 (1158709.3)	1242_4, 1243_1	1240_5	1241_6	2597_12	 	 	1245_13	1244_14	 	1511_16	2244_17	2145_19	1470_20
Staphylococcus aureus M1016 (1158710.3)	731_4, 732_1	729_5	730_6	2093_12	 	 	734_13	733_14	 	1000_16	1736_17	1637_19	959_20
Staphylococcus aureus M1034 (1169259.3)	1892_1, 1893_4	1895_5	1894_6	427_12	 	 	1890_13	1891_14	 	1597_16	779_17	874_19	1637_20
Staphylococcus aureus M1036 (1158711.3)	743_4, 744_1	741_5	742_6	2174_12	 	 	746_13	745_14	 	1009_16	1818_17	1717_19	970_20
Staphylococcus aureus M1037 (1158712.3)	1070_4, 1071_1	1068_5	1069_6	2493_12	 	 	1073_13	1072_14	 	1337_16	2138_17	2040_19	1296_20
Staphylococcus aureus M1044 (1169260.3)	1111_4, 1112_1	1109_5	1110_6	2464_12	 	 	1114_13	1113_14	 	1377_16	2110_17	2010_19	1337_20
Staphylococcus aureus M1060 (1303782.3)	1818_4, 1819_1	1816_5	1817_6	559_12	 	 	1821_13	1820_14	 	2085_16	204_17	106_19	2043_20
Staphylococcus aureus M1061 (1169261.3)	1742_4, 1743_1	1740_5	1741_6	421_12	 	 	1745_13	1744_14	 	2038_16	66_17	2668_19	1997_20
Staphylococcus aureus M1062 (1169262.3)	1077_4, 1078_1	1075_5	1076_6	2507_12	 	 	1080_13	1079_14	 	1347_16	2152_17	2052_19	1305_20
Staphylococcus aureus M1063 (1158463.3)	1895_4, 1896_1	1893_5	1894_6	619_12	 	 	1898_13	1897_14	 	2222_16	262_17	160_19	2181_20
Staphylococcus aureus M1064 (1158465.3)	1735_4, 1736_1	1733_5	1734_6	433_7	 	 	1738_13	1737_14	 	2029_16	67_17	2737_19	1988_20, 2788_20
Staphylococcus aureus M1068 (1169263.3)	1070_4, 1071_1	1068_5	1069_6	2503_12	 	 	1073_13	1072_14	 	1339_16	2144_17	2045_19	1298_20
Staphylococcus aureus M1076 (1158464.3)	691_4, 692_1	689_5	690_6	2121_12	 	 	694_13	693_14	 	959_16	1765_17	1664_19	918_20
Staphylococcus aureus M1078 (1303783.3)	609_4, 610_1	607_5	608_6	2028_12	 	 	612_13	611_14	 	874_16	1671_17	1571_19	835_20
Staphylococcus aureus M1083 (1169264.3)	1056_4, 1057_1	1054_5	1055_6	2438_12	 	 	1059_13	1058_14	 	1322_16	2081_17	1982_19	1282_20
Staphylococcus aureus M1092 (1158466.3)	1803_4, 1804_1	1801_5	1802_6	520_12	 	 	1806_13	1805_14	 	2070_16	164_17	66_19	2029_20
Staphylococcus aureus M1093 (1158467.3)	896_4, 897_1	894_5	895_6	2181_12	 	 	899_13	898_14	 	1164_16	1827_17	1729_19	1123_20
Staphylococcus aureus M1095 (1158468.3)	1123_4, 1124_1	1121_5	1122_6	2553_12	 	 	1126_13	1125_14	 	1391_16	2198_17	2100_19	1350_20
Staphylococcus aureus M1103 (1158469.3)	1954_4, 1955_1	1952_5	1953_6	668_12	 	 	1957_13	1956_14	 	2223_16	314_17	213_19	2181_20
Staphylococcus aureus M1109 (1169265.3)	1866_4, 1867_1	1864_5	1865_6	523_12	 	 	1869_13	1868_14	 	2188_16	168_17	67_19	2147_20
Staphylococcus aureus M1119 (1158470.3)	1655_4, 1656_1	1653_5	1654_6	373_12	 	 	1658_13	1657_14	 	1921_16	20_17	2625_19	1880_20
Staphylococcus aureus M1126 (1169266.3)	1037_4, 1038_1	1035_5	1036_6	2437_12	 	 	1040_13	1039_14	 	1306_16	2082_17	1983_19	1265_20
Staphylococcus aureus M1142 (1169267.3)	647_4, 648_1	645_5	646_6	2008_12	 	 	650_13	649_14	 	912_16	1652_17	1551_19	871_20
Staphylococcus aureus M1167 (1158471.3)	1073_4, 1074_1	1071_5	1072_6	2498_12	 	 	1076_13	1075_14	 	1338_16	2144_17	2045_19	1299_20
Staphylococcus aureus M1170 (1158472.3)	1895_4, 1896_1	1893_5	1894_6	703_12	 	 	1898_13	1897_14	 	2231_16	347_17	246_19	2190_20
Staphylococcus aureus M1188 (1158473.3)	657_4, 658_1	655_5	656_6	2085_12	 	 	660_13	659_14	 	927_16	1730_17	1630_19	885_20
Staphylococcus aureus M1193 (1303784.3)	1983_4, 1984_1	1981_5	1982_6	723_12	 	 	1986_13	1985_14	 	2250_16	367_17	268_19	2209_20
Staphylococcus aureus M1198 (1158474.3)	290_4, 291_1	288_5	289_6	1707_12	 	 	293_13	292_14	 	558_16	1351_17	1253_19	517_20
Staphylococcus aureus M1199 (1158475.3)	2256_4, 2257_1	2254_5	2255_6	968_12	 	 	2259_13	2258_14	 	2524_16	612_17	441_19	2483_20
Staphylococcus aureus M1215 (1158476.3)	291_4, 292_1	289_5	290_6	1715_12	 	 	294_13	293_14	 	559_16	1356_17	1258_19	518_20
