Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Enterococcus faecalis B1843 (1157352.3)	1099_3, 86_1	1532_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B1851 (1157381.3)	1098_3, 86_1	1530_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B1874 (1157353.3)	1083_3, 86_1	1517_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B1921 (1157382.3)	1030_3, 84_1	1402_5, 285_8	 	 	 	 	2746_18	 
Enterococcus faecalis B1933 (1157383.3)	1102_3, 87_1	1534_5, 280_8	 	 	 	 	 	 
Enterococcus faecalis B2202 (1157384.3)	1091_3, 86_1	1523_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B2207 (1157354.3)	1033_3, 84_1	1405_5, 288_8	 	 	 	 	2750_18	 
Enterococcus faecalis B2211 (1157385.3)	1172_3, 86_1	1605_5, 285_8	 	 	 	 	 	 
Enterococcus faecalis B2255 (1157355.3)	1090_3, 86_1	1521_5, 277_8	 	 	 	 	 	 
Enterococcus faecalis B2277 (1157386.3)	1179_3, 86_1	1613_5, 282_8	 	 	 	 	 	 
Enterococcus faecalis B2391 (1157356.3)	1093_3, 86_1	1525_5, 280_8	 	 	 	 	 	 
Enterococcus faecalis B2488 (1157357.3)	1087_3, 86_1	1520_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B2535 (1157358.3)	1085_3, 87_1	1517_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B2557 (1157359.3)	1092_3, 86_1	1524_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B2593 (1157360.3)	1438_3, 430_1	1870_5, 622_8	 	 	 	 	 	 
Enterococcus faecalis B2670 (1157387.3)	1088_3, 86_1	1520_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B2685 (1157388.3)	1087_3, 86_1	1520_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B2687 (1157389.3)	1418_3, 397_1	1850_5, 589_8	 	 	 	 	 	 
Enterococcus faecalis B2802 (1157390.3)	1182_3, 62_1	1614_5, 259_8	 	 	 	 	 	 
Enterococcus faecalis B2864 (1157392.3)	1096_3, 86_1	1529_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B2867 (1157393.3)	1179_3, 91_1	1612_5, 281_8	 	 	 	 	 	 
Enterococcus faecalis B2949 (1157394.3)	1133_3, 86_1	1566_5, 359_8	 	 	 	 	 	 
Enterococcus faecalis B3031 (1157361.3)	1093_3, 86_1	1525_5, 277_8	 	 	 	 	 	 
Enterococcus faecalis B3042 (1157362.3)	1085_3, 86_1	1519_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B3053 (1157363.3)	1108_3, 87_1	1540_5, 280_8	 	 	 	 	 	 
Enterococcus faecalis B3119 (1157395.3)	1174_3, 87_1	1606_5, 285_8	 	 	 	 	 	 
Enterococcus faecalis B3126 (1157364.3)	1125_3, 87_1	1558_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B3196 (1157396.3)	1181_3, 87_1	1614_5, 282_8	 	 	 	 	 	 
Enterococcus faecalis B3286 (1157397.3)	1148_3, 87_1	1581_5, 330_8	 	 	 	 	 	 
Enterococcus faecalis B3336 (1157398.3)	104_1, 1103_3	1485_5, 345_8	 	 	 	 	2617_18, 2618_18	 
Enterococcus faecalis B4008 (1157399.3)	1183_3, 86_1	1615_5, 284_8	 	 	 	 	 	 
Enterococcus faecalis B4018 (1157400.3)	1142_3, 86_1	1574_5, 283_8	 	 	 	 	 	 
Enterococcus faecalis B4148 (1157401.3)	1156_3, 85_1	1587_5, 282_8	 	 	 	 	 	 
Enterococcus faecalis B4163 (1157402.3)	1504_3, 413_1	1936_5, 613_8	 	 	 	 	 	 
Enterococcus faecalis B4259 (1157403.3)	1196_3, 87_1	1628_5, 286_8	 	 	 	 	 	 
Enterococcus faecalis B4267 (1157404.3)	1183_3, 87_1	1616_5, 285_8	 	 	 	 	 	 
Enterococcus faecalis B4270 (1157405.3)	1074_3, 61_1	1506_5, 253_8	 	 	 	 	 	 
Enterococcus faecalis B4411 (1157406.3)	1490_3, 414_1	1923_5, 606_8	 	 	 	 	 	 
Enterococcus faecalis B4568 (1157407.3)	1119_3, 87_1	1552_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B4638 (1157408.3)	1089_3, 87_1	1521_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B4672 (1157409.3)	1098_3, 87_1	1530_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis B4674 (1157410.3)	2937_1, 848_3	1281_5, 20_8	 	 	 	 	 	 
Enterococcus faecalis B4969 (1157411.3)	1107_3, 86_1	1541_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis B5035 (1158632.3)	1170_3, 86_1	1602_5, 281_8	 	 	 	 	 	 
Enterococcus faecalis B5076 (1157412.3)	1020_3, 87_1	1455_5, 277_8	 	 	 	 	 	 
Enterococcus faecalis B56765 (1151188.3)	1614_3, 3011_1	1176_5, 1716_8	 	 	 	 	2502_18, 2906_18	 
Enterococcus faecalis B594 (1157365.3)	1100_3, 86_1	1531_5, 275_8	 	 	 	 	 	 
Enterococcus faecalis B653 (1169309.3)	77_1, 872_3	1241_5, 257_8	 	 	 	 	2606_18	 
Enterococcus faecalis B69486 (1151189.3)	1624_3, 2640_1	1182_5, 3202_8	 	 	 	 	 	 
Enterococcus faecalis B84847 (1151190.3)	135_3, 2642_1	1566_8, 516_5	 	 	 	 	2550_18	 
Enterococcus faecalis B878 (1157366.3)	1072_3, 60_1	1503_5, 249_8	 	 	 	 	 	 
Enterococcus faecalis B939 (1157367.3)	1080_3, 86_1	1512_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis C19315WT (1151191.3)	1112_3, 89_1	1474_5, 314_8	 	 	 	 	2668_18	 
Enterococcus faecalis CH116 (1158660.3)	1144_3, 95_1	1512_5, 303_8	 	 	 	 	2710_18, 3097_18	 
Enterococcus faecalis CH136 (1158661.3)	1099_3, 94_1	1464_5, 322_8	 	 	 	 	2654_18, 3041_18	 
Enterococcus faecalis CH188 (565644.5)	1854_3, 93_1	1153_5, 355_8	 	 	 	 	2649_18, 3033_18	 
Enterococcus faecalis CH19 (1158627.3)	1115_3, 94_1	1481_5, 339_8	 	 	 	 	2681_18, 3067_18	 
Enterococcus faecalis CH570 (1158656.3)	1149_3, 161_1	1585_5, 406_8	 	 	 	 	 	 
Enterococcus faecalis Com 2 (1158633.3)	1174_3, 83_1	1536_5, 334_8	 	 	 	 	2863_18	 
Enterococcus faecalis Com 6 (1158634.3)	85_1, 975_3	1351_5, 289_8	 	 	 	 	2330_18, 2658_18	 
Enterococcus faecalis Com1 (1158671.3)	1149_3, 83_1	1512_5, 334_8	 	 	 	 	2861_18	 
Enterococcus faecalis Com7 (1169306.3)	1063_3, 86_1	1442_5, 268_8	 	 	 	 	2844_18	 
Enterococcus faecalis D1 (1169247.3)	1060_3, 94_1	1438_5, 281_8	 	 	 	 	2438_18, 2834_18	 
Enterococcus faecalis D173 (1169310.3)	1007_3, 129_1	1455_5, 321_8	 	 	 	 	2831_18	 
Enterococcus faecalis D3 (1169288.3)	1220_3, 85_1	1607_5, 271_8	 	 	 	 	2549_18	 
Enterococcus faecalis D32 (1206105.3)	44_1, 956_3	1340_5, 231_8	 	 	 	 	2529_18, 2873_18	 
Enterococcus faecalis D6 (565650.5)	1889_1, 783_3	2092_5, 22_8	 	 	 	 	2315_18, 2692_18	 
Enterococcus faecalis DAPTO 512 (749489.3)	130_3, 2881_1, 46_2	1805_5, 647_8	 	 	 	 	839_18	 
Enterococcus faecalis DAPTO 516 (749490.3)	144_2, 196_3, 2665_1	1195_5, 730_8	 	 	 	 	1750_18	 
Enterococcus faecalis DS16 (1158677.3)	83_1, 955_3	1337_5, 284_8	 	 	 	 	2271_18, 2663_18	 
Enterococcus faecalis DS5 (565643.5)	2500_3, 518_1	2136_5, 947_8	 	 	 	 	1664_18, 1785_18	 
Enterococcus faecalis E1 (1158673.3)	1056_3, 82_1	1467_5, 286_8	 	 	 	 	2400_18, 2847_18	 
Enterococcus faecalis E1Sol (565647.5)	1069_1, 2235_3	1808_5, 659_8	 	 	 	 	4_18	 
Enterococcus faecalis E99 (1169284.3)	106_1, 1175_3	1542_5, 292_8	 	 	 	 	2550_18	 
Enterococcus faecalis ERV103 (1134785.3)	2291_3, 2541_1	287_8, 709_5	 	 	 	 	1429_18	 
Enterococcus faecalis ERV116 (1134786.3)	2540_3, 725_1	1522_8, 2135_5	 	 	 	 	1595_18	 
Enterococcus faecalis ERV129 (1134787.3)	2453_3, 2536_1	1192_5, 1940_8	 	 	 	 	418_18	 
Enterococcus faecalis ERV25 (1134788.3)	1332_3, 1926_1	1160_8, 708_5	 	 	 	 	2621_18	 
Enterococcus faecalis ERV31 (1134789.3)	2149_1, 2896_3	1138_5, 746_8	 	 	 	 	1582_18	 
Enterococcus faecalis ERV37 (1134790.3)	454_1, 920_3	1072_8, 2812_5	 	 	 	 	2007_18	 
Enterococcus faecalis ERV41 (1134791.3)	1802_3, 2996_1	1225_5, 173_8	 	 	 	 	2039_18	 
Enterococcus faecalis ERV62 (1134792.3)	1498_3, 969_1	1137_8, 631_5	 	 	 	 	1922_18	 
Enterococcus faecalis ERV63 (1134793.3)	1256_3, 2533_1	117_8, 884_5	 	 	 	 	2165_18	 
Enterococcus faecalis ERV65 (1134794.3)	2549_3, 380_1	1340_5, 2230_8	 	 	 	 	2119_18	 
Enterococcus faecalis ERV68 (1134795.3)	2399_3, 326_1	103_8, 1327_5	 	 	 	 	1936_18	 
Enterococcus faecalis ERV72 (1134796.3)	1898_3, 599_1	1029_8, 1417_5	 	 	 	 	2416_18	 
Enterococcus faecalis ERV81 (1134798.3)	1167_3, 1617_1	2810_5, 939_8	 	 	 	 	1472_18	 
Enterococcus faecalis ERV85 (1134799.3)	1140_3, 1226_1	1941_8, 2211_5	 	 	 	 	2439_18	 
Enterococcus faecalis ERV93 (1134800.3)	1757_3, 2497_1	1360_5, 163_8	 	 	 	 	2135_18	 
Enterococcus faecalis EnGen0253 (1158540.3)	1041_3, 94_1	1421_5, 279_8	 	 	 	 	2486_18, 2897_18	 
Enterococcus faecalis F1 (1169297.3)	1168_3, 86_1	1552_5, 376_8	 	 	 	 	2932_18	 
Enterococcus faecalis FA2-2 (1158622.3)	1363_3, 83_1	1808_5, 297_8	 	 	 	 	499_18	 
Enterococcus faecalis Fly 2 (1169303.3)	87_1, 960_3	1327_5, 327_8	 	 	 	 	2537_18	 
Enterococcus faecalis Fly1 (565649.5)	114_2, 2314_3, 983_1	1842_5, 356_8	 	 	 	 	4_18	 
Enterococcus faecalis HEF39 (1157368.3)	1093_3, 89_1	1463_5, 307_8	 	 	 	 	2408_18, 2793_18	 
Enterococcus faecalis HH22 (491075.3)	2346_1, 722_3	2591_8, 416_5	 	 	 	 	 	 
Enterococcus faecalis HIP11704 (565646.5)	1501_1, 2577_3	2214_5, 631_8	 	 	 	 	231_18, 609_18	 
Enterococcus faecalis JH1 (565648.4)	1072_1, 603_3	1357_5, 2539_8	 	 	 	 	11_18, 725_18	 
Enterococcus faecalis M7 (1111677.3)	1521_3, 2370_1	1170_8, 1889_5	 	 	 	 	2140_18, 2202_18	 
Enterococcus faecalis MMH594 (1158653.5)	1097_3, 86_1	1530_5, 279_8	 	 	 	 	 	 
Enterococcus faecalis Merz151 (1169304.3)	1119_3, 85_1	1493_5, 268_8	 	 	 	 	2884_18	 
Enterococcus faecalis Merz192 (1169248.3)	1111_3, 85_1	1490_5, 287_8	 	 	 	 	2495_18, 2903_18	 
Enterococcus faecalis Merz204 (1169249.3)	102_1, 1122_3	1499_5, 303_8	 	 	 	 	2380_18, 2828_18	 
Enterococcus faecalis Merz89 (1169250.3)	103_1, 1106_3	1483_5, 304_8	 	 	 	 	2516_18, 2903_18	 
Enterococcus faecalis Merz96 (565645.4)	1170_1, 2311_3, 742_2	1943_5, 297_8	 	 	 	 	851_18	 
Enterococcus faecalis Ned10 (1158657.3)	1077_3, 94_1	1471_5, 351_8	 	 	 	 	2598_18, 2984_18	 
Enterococcus faecalis OG1RF (474186.5)	41_1, 882_3	1265_5, 229_8	 	 	 	 	2145_18, 2471_18	 
Enterococcus faecalis OG1X (1027372.3)	1689_3, 2041_1	1984_5, 624_8	 	 	 	 	2529_18, 83_18	 
Enterococcus faecalis PC1.1 (702448.3)	1830_1, 933_3	1755_5, 941_8	 	 	 	 	 	 
Enterococcus faecalis Pan7 (1158666.3)	1139_3, 115_1	1518_5, 369_8	 	 	 	 	2495_18, 2876_18	 
Enterococcus faecalis R508 (1134801.3)	1846_3, 942_1	2563_5, 403_8	 	 	 	 	1983_18	 
Enterococcus faecalis R712 (699186.3)	1042_3, 130_1, 72_2	1843_8, 741_5	 	 	 	 	2003_18	 
Enterococcus faecalis RC73 (1158678.3)	102_1, 1156_3	1538_5, 305_8	 	 	 	 	2520_18, 2966_18	 
Enterococcus faecalis RM3817 (1158674.3)	2634_1, 784_3	1160_5, 20_8	 	 	 	 	2097_18, 2549_18	 
Enterococcus faecalis RM4679 (1158625.3)	1218_3, 133_1	1676_5, 381_8	 	 	 	 	2697_18, 3091_18	 
Enterococcus faecalis RMC1 (1169299.3)	1174_3, 93_1	1619_5, 303_8	 	 	 	 	2667_18, 3059_18	 
Enterococcus faecalis RMC5 (1169289.3)	92_1, 928_3	1298_5, 286_8	 	 	 	 	2260_18	 
Enterococcus faecalis RMC65 (1169308.3)	1044_3, 84_1	1423_5, 284_8	 	 	 	 	2821_18	 
Enterococcus faecalis S613 (699185.3)	122_1, 1772_2, 905_3	2683_5, 515_8	 	 	 	 	2899_18	 
Enterococcus faecalis SF100 (1158654.3)	1150_3, 211_1	1587_5, 415_8	 	 	 	 	 	 
Enterococcus faecalis SF105 (1158658.3)	1570_3, 93_1	1966_5, 304_8	 	 	 	 	595_18, 606_18	 
Enterococcus faecalis SF1592 (1158630.3)	1070_3, 116_1	1507_5, 335_8	 	 	 	 	2597_18	 
Enterococcus faecalis SF19 (1158629.3)	1124_3, 84_1	1561_5, 294_8	 	 	 	 	 	 
Enterococcus faecalis SF21520 (1169313.3)	1095_3, 85_1	1532_5, 350_8	 	 	 	 	 	 
Enterococcus faecalis SF21521 (1158668.3)	2814_1, 887_3	1251_5, 53_8	 	 	 	 	2378_18, 2709_18	 
Enterococcus faecalis SF24396 (1158665.3)	1016_3, 103_1	1394_5, 304_8	 	 	 	 	2367_18, 2698_18	 
Enterococcus faecalis SF24397 (1158618.3)	1165_3, 95_1	1540_5, 406_8	 	 	 	 	3027_18	 
Enterococcus faecalis SF24413 (1158619.3)	1164_3, 97_1	1539_5, 408_8	 	 	 	 	3084_18	 
Enterococcus faecalis SF26630 (1158620.3)	1125_3, 85_1	1491_5, 447_8	 	 	 	 	 	 
Enterococcus faecalis SF28073 (1158624.3)	2913_1, 923_3	1296_5, 183_8	 	 	 	 	2825_18	 
Enterococcus faecalis SF339 (1169305.3)	1105_3, 70_1	1489_5, 387_8	 	 	 	 	2639_18, 3003_18	 
Enterococcus faecalis SF350 (1169251.3)	115_1, 1559_3	1999_5, 330_8	 	 	 	 	585_18	 
Enterococcus faecalis SF370 (1158655.3)	1128_3, 84_1	1562_5, 315_8	 	 	 	 	 	 
Enterococcus faecalis SF5039 (1169252.3)	104_1, 1275_3	1653_5, 317_8	 	 	 	 	3106_18	 
Enterococcus faecalis SF6375 (1169280.3)	102_1, 938_3	1315_5, 2554_8	 	 	 	 	3088_18	 
Enterococcus faecalis SS-6 (1158621.3)	1096_3, 85_1	1474_5, 346_8	 	 	 	 	2486_18, 2822_18	 
Enterococcus faecalis SS-7 (1169298.3)	1047_3, 85_1	1428_5, 270_8	 	 	 	 	2828_18	 
Enterococcus faecalis T1 (565636.4)	1041_1, 2249_3	1831_5, 354_8	 	 	 	 	4_18, 89_18	 
Enterococcus faecalis T10 (1169295.3)	93_1, 933_3	1319_5, 298_8	 	 	 	 	2293_18, 2647_18	 
Enterococcus faecalis T11 (565640.5)	1044_1, 2051_3	2409_5, 356_8	 	 	 	 	 	 
Enterococcus faecalis T12 (1169287.3)	1061_3, 118_1	1445_5, 297_8	 	 	 	 	2821_18	 
Enterococcus faecalis T13 (1158663.3)	93_1, 973_3	1349_5, 294_8	 	 	 	 	2291_18, 2619_18	 
Enterococcus faecalis T14 (1158626.3)	1098_3, 94_1	1489_5, 319_8	 	 	 	 	2503_18, 2915_18	 
Enterococcus faecalis T16 (1158662.3)	1087_3, 84_1	1465_5, 292_8	 	 	 	 	2481_18, 2798_18	 
Enterococcus faecalis T17 (1169292.3)	1113_3, 86_1	1494_5, 289_8	 	 	 	 	2841_18	 
Enterococcus faecalis T18 (1169296.3)	84_1, 953_3	1315_5, 268_8	 	 	 	 	2299_18, 2667_18	 
Enterococcus faecalis T19 (1169300.3)	1089_3, 83_1	1458_5, 269_8	 	 	 	 	2582_18	 
Enterococcus faecalis T2 (565637.4)	1306_1, 2464_3	2056_5, 69_8	 	 	 	 	764_18, 803_18	 
Enterococcus faecalis T20 (1169285.3)	84_1, 920_3	1286_5, 284_8	 	 	 	 	2206_18, 2530_18	 
Enterococcus faecalis T21 (1158669.3)	1075_3, 95_1	1456_5, 274_8	 	 	 	 	2841_18	 
Enterococcus faecalis T3 (565638.4)	1524_3, 984_1	1902_5, 367_8	 	 	 	 	3_18	 
Enterococcus faecalis T4 (1169253.3)	1015_3, 104_1	1396_5, 291_8	 	 	 	 	2499_18, 2838_18	 
Enterococcus faecalis T5 (1169293.3)	1194_3, 272_1	1565_5, 455_8	 	 	 	 	2505_18	 
Enterococcus faecalis T6 (1169291.3)	1073_3, 99_1	1444_5, 452_8	 	 	 	 	2716_18	 
Enterococcus faecalis T7 (1169254.3)	1432_3, 84_1	1809_5, 297_8	 	 	 	 	538_18	 
Enterococcus faecalis T8 (565639.4)	167_2, 2708_1, 839_3	20_8, 608_5	 	 	 	 	2471_18	 
Enterococcus faecalis T9 (1169294.3)	1056_3, 85_1	1438_5, 278_8	 	 	 	 	 	 
Enterococcus faecalis TR161 (1169314.3)	1118_3, 84_1	1551_5, 314_8	 	 	 	 	 	 
Enterococcus faecalis TR197 (1169307.3)	1283_3, 84_1	1679_5, 304_8	 	 	 	 	2833_18	 
Enterococcus faecalis TUSoD Ef11 (553209.3)	2117_1, 2346_3	271_8, 575_5	 	 	 	 	484_18, 681_18	 
Enterococcus faecalis TX0012 (749496.3)	1377_3, 511_1	1127_5, 1478_8	 	 	 	 	141_18	 
Enterococcus faecalis TX0017 (749497.3)	2395_3, 533_1	1908_8, 333_5	 	 	 	 	1034_18	 
Enterococcus faecalis TX0027 (749498.3)	2185_3, 812_1	1789_8, 302_5	 	 	 	 	1910_18	 
Enterococcus faecalis TX0031 (749499.3)	1098_1, 877_3	2204_5, 768_8	 	 	 	 	1760_18, 4_18	 
Enterococcus faecalis TX0043 (749500.3)	2231_1, 804_3	1424_5, 466_8	 	 	 	 	2737_18, 934_18	 
Enterococcus faecalis TX0102 (749501.3)	1513_1, 476_3	1048_8, 606_5	 	 	 	 	1223_18, 2691_18	 
Enterococcus faecalis TX0104 (491074.3)	2157_1, 512_3	205_5, 2927_8	 	 	 	 	1680_18	 
Enterococcus faecalis TX0109 (749502.3)	1802_3, 602_1	1953_8, 2322_5	 	 	 	 	1365_18	 
Enterococcus faecalis TX0309A (749503.3)	1018_1, 289_3	2362_5, 796_8	 	 	 	 	 	 
Enterococcus faecalis TX0309B (749504.3)	2287_1, 2575_3	1544_8, 509_5	 	 	 	 	 	 
Enterococcus faecalis TX0312 (749505.3)	1637_1, 1767_3	1220_8, 2104_5	 	 	 	 	112_18, 1197_18	 
Enterococcus faecalis TX0411 (749506.3)	1318_3, 3081_1	2121_5, 2587_8	 	 	 	 	1065_18, 979_18	 
Enterococcus faecalis TX0470 (749507.3)	1928_1, 385_3	1291_8, 1487_5	 	 	 	 	518_18	 
Enterococcus faecalis TX0630 (749508.3)	1110_1, 2202_3	2022_5, 351_8	 	 	 	 	3106_18, 753_18	 
Enterococcus faecalis TX0635 = WH245 (749509.5)	1021_3, 2790_2, 96_1	1489_5, 341_8	 	 	 	 	2612_18, 3090_18	 
Enterococcus faecalis TX0645 (749510.3)	127_1, 2398_3	2762_8, 2868_5	 	 	 	 	1135_18, 144_18	 
Enterococcus faecalis TX0855 (749511.3)	2379_3, 2582_1	1820_5, 844_8	 	 	 	 	1266_18, 1334_18	 
Enterococcus faecalis TX0860 (749512.3)	1084_3, 2086_1	1733_8, 358_5	 	 	 	 	1964_18, 800_18	 
Enterococcus faecalis TX1322 (525278.3)	2292_2, 2637_1, 925_3	2440_8, 514_5	 	 	 	 	2004_18	 
Enterococcus faecalis TX1337RF (1134802.3)	12_3, 460_1	4_8, 975_5	 	 	 	 	 	 
Enterococcus faecalis TX1341 (749514.3)	1052_1, 958_3	1447_8, 427_5	 	 	 	 	117_18	 
Enterococcus faecalis TX1346 (749516.3)	334_3, 778_1	2297_8, 2556_5	 	 	 	 	260_18	 
Enterococcus faecalis TX2134 (749518.3)	177_3, 1770_1	508_5, 801_8	 	 	 	 	130_18	 
Enterococcus faecalis TX2137 (749491.3)	125_3, 1412_1	1913_8, 682_5	 	 	 	 	150_18, 57_18	 
Enterococcus faecalis TX2141 (749492.3)	1513_3, 2446_1	1006_5, 2037_8	 	 	 	 	2187_18, 734_18	 
Enterococcus faecalis TX4000 (749493.3)	1349_1, 163_2, 292_3	1641_5, 2545_8	 	 	 	 	201_18	 
Enterococcus faecalis TX4244 (749494.3)	51_1, 618_3	1445_5, 2226_8	 	 	 	 	 	 
Enterococcus faecalis TX4248 (749495.4)	1027_1, 836_3	1204_8, 2863_5	 	 	 	 	1981_18, 899_18	 
Enterococcus faecalis UAA1014 (1158546.3)	1151_3, 191_1	1529_5, 374_8	 	 	 	 	2444_18	 
Enterococcus faecalis UAA1180 (1158552.3)	2733_1, 925_3	1304_5, 146_8	 	 	 	 	2226_18	 
Enterococcus faecalis UAA1489 (1158976.3)	1113_3, 86_1	1557_5, 372_8	 	 	 	 	 	 
Enterococcus faecalis UAA409 (1158637.3)	2733_1, 883_3	1329_5, 2516_8	 	 	 	 	17_18	 
Enterococcus faecalis UAA702 (1158640.3)	1030_3, 87_1	1413_5, 273_8	 	 	 	 	2907_18	 
Enterococcus faecalis UAA769 (1157369.3)	104_1, 1336_3	1717_5, 309_8	 	 	 	 	450_18	 
Enterococcus faecalis UAA823 (1157370.3)	1152_3, 84_1	1591_5, 288_8	 	 	 	 	 	 
Enterococcus faecalis UAA902 (1157371.3)	106_1, 1110_3	1482_5, 298_8	 	 	 	 	2368_18	 
Enterococcus faecalis UAA903 (1157372.3)	107_1, 1108_3	1482_5, 299_8	 	 	 	 	2369_18	 
Enterococcus faecalis UAA904 (1157373.3)	106_1, 1103_3	1475_5, 297_8	 	 	 	 	2361_18	 
Enterococcus faecalis UAA905 (1157374.3)	106_1, 1101_3	1474_5, 297_8	 	 	 	 	2359_18	 
Enterococcus faecalis UAA906 (1157375.3)	106_1, 1072_3	1442_5, 297_8	 	 	 	 	2327_18	 
Enterococcus faecalis UAA907 (1157376.3)	106_1, 1106_3	1538_5, 299_8	 	 	 	 	2423_18	 
Enterococcus faecalis UAA943 (1157377.3)	106_1, 1106_3	1477_5, 300_8	 	 	 	 	2426_18	 
Enterococcus faecalis UAA948 (1158542.3)	1227_3, 171_1	1607_5, 465_8	 	 	 	 	2676_18, 3103_18	 
Enterococcus faecalis V583 (226185.9)	1059_3, 41_1	1489_5, 267_8	 	 	 	 	 	 
Enterococcus faecalis V587 (1158623.3)	2964_1, 843_3	1279_5, 21_8	 	 	 	 	 	 
Enterococcus faecalis WH257 (1158628.3)	27_1, 2710_2, 961_3	1426_5, 294_8	 	 	 	 	2575_18, 3011_18	 
Enterococcus faecalis WH571 (1158631.3)	1062_3, 2832_2, 98_1	1529_5, 339_8	 	 	 	 	2697_18, 3132_18	 
Enterococcus faecalis X98 (565641.4)	1110_1, 2196_3	1828_5, 338_8	 	 	 	 	3_18, 311_18	 
Enterococcus faecalis YI6-1 (1158667.3)	102_1, 1108_3	1471_5, 2486_8	 	 	 	 	2551_18, 2884_18	 
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	127_3, 2850_1	2520_8, 488_5	 	 	 	 	2496_18	 
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	45_1, 961_3	1340_5, 230_8	 	 	 	 	2303_18	 
Enterococcus faecium 1,141,733 (565659.3)	13_3, 2192_1	4_8, 757_5	 	 	 	 	 	 
Enterococcus faecium 1,230,933 (565656.3)	1334_3, 1841_2, 1859_1	1327_8, 162_5	 	 	 	 	 	 
Enterococcus faecium 1,231,408 (565661.4)	1890_2, 1910_1, 507_3	257_5, 498_8	 	 	 	 	 	 
Enterococcus faecium 1,231,410 (565660.4)	2365_2, 2384_1, 683_3	199_5, 676_8	 	 	 	 	 	 
Enterococcus faecium 1,231,501 (565658.4)	11_3, 2309_1, 2327_2	4_8, 818_5	 	 	 	 	 	 
Enterococcus faecium 1,231,502 (565657.5)	1120_3, 1530_1, 1730_2	1127_8, 295_5	 	 	 	 	 	 
Enterococcus faecium 109 A1 (1157416.3)	2111_3, 808_2, 829_1	1172_5, 2118_8	 	 	 	 	 	 
Enterococcus faecium 2006-70-121 (1157417.3)	1865_3, 2332_1	1877_8, 892_5	 	 	 	 	51_18	 
Enterococcus faecium 504 (1134805.3)	2347_1, 2502_3	1673_5, 2509_8	 	 	 	 	 	 
Enterococcus faecium 505 (1134806.3)	1078_1, 1134_3	1126_8, 153_5	 	 	 	 	 	 
Enterococcus faecium 7330381-1 (1157419.3)	1306_2, 1327_1, 677_3	1925_5, 670_8	 	 	 	 	 	 
Enterococcus faecium 7330446-2 (1157420.3)	2297_3, 976_2, 997_1	1533_5, 2304_8	 	 	 	 	 	 
Enterococcus faecium 7330519-3 (1157421.3)	1806_3, 514_2, 535_1	1104_5, 1813_8	 	 	 	 	 	 
Enterococcus faecium 7330614-1 (1157422.3)	1937_3, 2450_1, 2471_2	1012_5, 1944_8	 	 	 	 	 	 
Enterococcus faecium 7330884-2 (1157423.3)	2195_3, 2273_1, 2294_2	1437_5, 2202_8	 	 	 	 	 	 
Enterococcus faecium 7430166-3 (1157424.3)	2286_3, 2486_1, 2507_2	1535_5, 2293_8	 	 	 	 	 	 
Enterococcus faecium 841V03 (1157425.3)	2559_1, 2580_2, 810_3	1793_5, 803_8	 	 	 	 	 	 
Enterococcus faecium 9730219-1 (1157429.3)	1580_3, 2475_1, 2496_2	1587_8, 878_5	 	 	 	 	 	 
Enterococcus faecium 9730357-1 (1157430.3)	609_3, 67_1, 88_2	2157_5, 602_8	 	 	 	 	 	 
Enterococcus faecium 9731349-1 (1157431.3)	2376_3, 493_1	1294_5, 2383_8	 	 	 	 	 	 
Enterococcus faecium 9731352-4 (1157432.3)	1990_3, 2551_1, 2572_2	1246_5, 1997_8	 	 	 	 	 	 
Enterococcus faecium 9830091-5 (1157433.3)	2463_3, 511_2, 532_1	1153_5, 2470_8	 	 	 	 	 	 
Enterococcus faecium 9830512-2 (1157435.3)	1010_3, 507_2, 528_1	1003_8, 1924_5	 	 	 	 	 	 
Enterococcus faecium 9830565-4 (1157437.3)	1206_3, 67_1, 88_2	1199_8, 2107_5	 	 	 	 	 	 
Enterococcus faecium 9930238-2 (1157440.3)	1154_3, 451_2, 472_1	1147_8, 2098_5	 	 	 	 	 	 
Enterococcus faecium 9931110-4 (1157441.3)	1775_2, 1796_1, 455_3	1428_5, 448_8	 	 	 	 	 	 
Enterococcus faecium A17 Sv1 (1157442.3)	2367_3, 508_2, 529_1	1606_5, 2374_8	 	 	 	 	 	 
