Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Enterococcus faecalis 19116 (1151195.3)	 	 	 	 	339_19, 340	 
Enterococcus faecalis 2630V05 (1151196.3)	 	 	 	 	977_19, 978_17	 
Enterococcus faecalis 2924 (1151197.3)	 	 	 	 	1800_19, 1801_17	 
Enterococcus faecalis 5952 (1158670.3)	 	 	 	 	1933_19, 1934	 
Enterococcus faecalis 599 (1134784.3)	 	 	 	 	1456_19, 1457_17	 
Enterococcus faecalis 599951 (1169281.3)	 	 	 	 	2405_19, 2406	 
Enterococcus faecalis 62 (936153.3)	 	 	 	 	2363_19, 2364	 
Enterococcus faecalis 7330082-2 (1151198.3)	 	 	 	 	2093, 2094_19	 
Enterococcus faecalis 7330112-3 (1151199.3)	 	 	 	 	943, 944_19	 
Enterococcus faecalis 7330245-2 (1151200.3)	 	 	 	 	2004_19, 2005	 
Enterococcus faecalis 7330257-1 (1151201.3)	 	 	 	 	832_19, 833	 
Enterococcus faecalis 7330259-5 (1151202.3)	 	 	 	 	840_19, 841	 
Enterococcus faecalis 7330948-5 (1151204.3)	 	 	 	 	858_19, 859	 
Enterococcus faecalis 7430275-3 (1151205.3)	 	 	 	 	601, 602_19	 
Enterococcus faecalis 7430315-3 (1151206.3)	 	 	 	 	540, 541_19	 
Enterococcus faecalis 7430416-3 (1151207.3)	 	 	 	 	1805_19, 1806	 
Enterococcus faecalis 7430821-4 (1151208.3)	 	 	 	 	599, 600_19	 
Enterococcus faecalis 79-3 (1169283.3)	 	 	 	 	2374_19, 2375_17	 
Enterococcus faecalis A-2-1 (1169245.3)	 	 	 	 	1945_19, 1946	 
Enterococcus faecalis A-3-1 (1169246.3)	 	 	 	 	1902_19, 1903	 
Enterococcus faecalis AR01/DG (565651.6)	 	 	 	 	481_19, 482	 
Enterococcus faecalis ATCC 10100 (1169312.3)	 	 	 	 	1911_19, 1912	 
Enterococcus faecalis ATCC 19433 (1169286.3)	 	 	 	 	1822_19, 1823	 
Enterococcus faecalis ATCC 27275 (1158675.3)	 	 	 	 	1881_19, 1882	 
Enterococcus faecalis ATCC 27959 (1158676.3)	 	 	 	 	1553_19, 1554	 
Enterococcus faecalis ATCC 29200 (525271.4)	 	 	 	 	81, 82_19	 
Enterococcus faecalis ATCC 29212 (1201292.3)	 	 	 	 	2726_19, 2727	 
Enterococcus faecalis ATCC 35038 (1169290.3)	 	 	 	 	1823_19, 1824	 
Enterococcus faecalis ATCC 4200 (565642.4)	 	 	 	 	2484_19, 2485	 
Enterococcus faecalis ATCC 6055 (1169311.3)	 	 	 	 	1794_19, 1795_17	 
Enterococcus faecalis B-4-111 (1169302.3)	 	 	 	 	2140_19, 2141_17	 
Enterococcus faecalis B1005 (1157378.3)	 	 	 	 	2108, 2109_17	 
Enterococcus faecalis B1138 (1157379.3)	 	 	 	 	1505, 1506_17	 
Enterococcus faecalis B1249 (1157380.3)	 	 	 	 	2283, 2284_17	 
Enterococcus faecalis B1290 (1151209.3)	 	 	 	 	961, 962_17	 
Enterococcus faecalis B1327 (1151210.3)	 	 	 	 	1718, 1719_17	 
Enterococcus faecalis B1376 (1151211.3)	 	 	 	 	960, 961_17	 
Enterococcus faecalis B1385 (1151212.3)	 	 	 	 	1120_17, 1121	 
Enterococcus faecalis B1441 (1157342.3)	 	 	 	 	1980, 1981_17	 
Enterococcus faecalis B1505 (1157343.3)	 	 	 	 	1963, 1964_17	 
Enterococcus faecalis B1532 (1157344.3)	 	 	 	 	1974, 1975_17	 
Enterococcus faecalis B15725 (1151186.3)	 	 	 	 	241, 242	 
Enterococcus faecalis B1586 (1157345.3)	 	 	 	 	3011, 3012_17	 
Enterococcus faecalis B1618 (1157346.3)	 	 	 	 	1979, 1980_17	 
Enterococcus faecalis B1623 (1157347.3)	 	 	 	 	2411, 2412_17	 
Enterococcus faecalis B16457 (1151187.3)	 	 	 	 	1028_17, 1029_19	 
Enterococcus faecalis B1678 (1157348.3)	 	 	 	 	1970, 1971_17	 
Enterococcus faecalis B1696 (1157349.3)	 	 	 	 	1963, 1964_17	 
Enterococcus faecalis B1719 (1157350.3)	 	 	 	 	1995_19, 1996_17	 
Enterococcus faecalis B1734 (1157351.3)	 	 	 	 	1980, 1981_17	 
Enterococcus faecalis B1843 (1157352.3)	 	 	 	 	1981, 1982_17	 
Enterococcus faecalis B1851 (1157381.3)	 	 	 	 	1977, 1978_17	 
Enterococcus faecalis B1874 (1157353.3)	 	 	 	 	1966, 1967_17	 
Enterococcus faecalis B1921 (1157382.3)	 	 	 	 	1801_19, 1802	 
Enterococcus faecalis B1933 (1157383.3)	 	 	 	 	1982, 1983_17	 
Enterococcus faecalis B2202 (1157384.3)	 	 	 	 	1970, 1971_17	 
Enterococcus faecalis B2207 (1157354.3)	 	 	 	 	1805_19, 1806	 
Enterococcus faecalis B2211 (1157385.3)	 	 	 	 	2053, 2054_17	 
Enterococcus faecalis B2255 (1157355.3)	 	 	 	 	1969, 1970_17	 
Enterococcus faecalis B2277 (1157386.3)	 	 	 	 	2062, 2063_17	 
Enterococcus faecalis B2391 (1157356.3)	 	 	 	 	1973, 1974_17	 
Enterococcus faecalis B2488 (1157357.3)	 	 	 	 	1968, 1969_17	 
Enterococcus faecalis B2535 (1157358.3)	 	 	 	 	1966, 1967_17	 
Enterococcus faecalis B2557 (1157359.3)	 	 	 	 	1973, 1974_17	 
Enterococcus faecalis B2593 (1157360.3)	 	 	 	 	2318, 2319_17	 
Enterococcus faecalis B2670 (1157387.3)	 	 	 	 	1968, 1969_17	 
Enterococcus faecalis B2685 (1157388.3)	 	 	 	 	1968, 1969_17	 
Enterococcus faecalis B2687 (1157389.3)	 	 	 	 	2298, 2299_17	 
Enterococcus faecalis B2802 (1157390.3)	 	 	 	 	2061, 2062_17	 
Enterococcus faecalis B2864 (1157392.3)	 	 	 	 	1977, 1978_17	 
Enterococcus faecalis B2867 (1157393.3)	 	 	 	 	2062, 2063_17	 
Enterococcus faecalis B2949 (1157394.3)	 	 	 	 	2012, 2013_17	 
Enterococcus faecalis B3031 (1157361.3)	 	 	 	 	1973, 1974_17	 
Enterococcus faecalis B3042 (1157362.3)	 	 	 	 	1967_19, 1968_17	 
Enterococcus faecalis B3053 (1157363.3)	 	 	 	 	1989, 1990_17	 
Enterococcus faecalis B3119 (1157395.3)	 	 	 	 	2054, 2055_17	 
Enterococcus faecalis B3126 (1157364.3)	 	 	 	 	2007, 2008_17	 
Enterococcus faecalis B3196 (1157396.3)	 	 	 	 	2061, 2062_17	 
Enterococcus faecalis B3286 (1157397.3)	 	 	 	 	2028, 2029_17	 
Enterococcus faecalis B3336 (1157398.3)	 	 	 	 	1930, 1931	 
Enterococcus faecalis B4008 (1157399.3)	 	 	 	 	2065, 2066_17	 
Enterococcus faecalis B4018 (1157400.3)	 	 	 	 	2022, 2023_17	 
Enterococcus faecalis B4148 (1157401.3)	 	 	 	 	2037, 2038_17	 
Enterococcus faecalis B4163 (1157402.3)	 	 	 	 	2384, 2385_17	 
Enterococcus faecalis B4259 (1157403.3)	 	 	 	 	2077, 2078_17	 
Enterococcus faecalis B4267 (1157404.3)	 	 	 	 	2063, 2064_17	 
Enterococcus faecalis B4270 (1157405.3)	 	 	 	 	1954, 1955_17	 
Enterococcus faecalis B4411 (1157406.3)	 	 	 	 	2370, 2371_17	 
Enterococcus faecalis B4568 (1157407.3)	 	 	 	 	1999, 2000_17	 
Enterococcus faecalis B4638 (1157408.3)	 	 	 	 	1969, 1970_17	 
Enterococcus faecalis B4672 (1157409.3)	 	 	 	 	1977, 1978_17	 
Enterococcus faecalis B4674 (1157410.3)	 	 	 	 	1729, 1730_17	 
Enterococcus faecalis B4969 (1157411.3)	 	 	 	 	1990, 1991_17	 
Enterococcus faecalis B5035 (1158632.3)	 	 	 	 	2049, 2050_17	 
Enterococcus faecalis B5076 (1157412.3)	 	 	 	 	1903, 1904_17	 
Enterococcus faecalis B56765 (1151188.3)	 	 	 	 	797, 798_19	 
Enterococcus faecalis B594 (1157365.3)	 	 	 	 	1978, 1979_17	 
Enterococcus faecalis B653 (1169309.3)	 	 	 	 	1604_19, 1605	 
Enterococcus faecalis B69486 (1151189.3)	 	 	 	 	725, 726	 
Enterococcus faecalis B84847 (1151190.3)	 	 	 	 	952_19, 953	 
Enterococcus faecalis B878 (1157366.3)	 	 	 	 	1953, 1954_17	 
Enterococcus faecalis B939 (1157367.3)	 	 	 	 	1962, 1963_17	 
Enterococcus faecalis C19315WT (1151191.3)	 	 	 	 	2034_19, 2035	 
Enterococcus faecalis CH116 (1158660.3)	 	 	 	 	1945_19, 1946	 
Enterococcus faecalis CH136 (1158661.3)	 	 	 	 	1896_19, 1897	 
Enterococcus faecalis CH188 (565644.5)	 	 	 	 	1611_19, 1612	 
Enterococcus faecalis CH19 (1158627.3)	 	 	 	 	1916_19, 1917	 
Enterococcus faecalis CH570 (1158656.3)	 	 	 	 	2048, 2049	 
Enterococcus faecalis Com 2 (1158633.3)	 	 	 	 	1928_19, 1929	 
Enterococcus faecalis Com 6 (1158634.3)	 	 	 	 	1679_19, 1680	 
Enterococcus faecalis Com1 (1158671.3)	 	 	 	 	1904_19, 1905	 
Enterococcus faecalis Com7 (1169306.3)	 	 	 	 	1913_19, 1914	 
Enterococcus faecalis D1 (1169247.3)	 	 	 	 	1838_19, 1839	 
Enterococcus faecalis D173 (1169310.3)	 	 	 	 	1826_19, 1827_17	 
Enterococcus faecalis D3 (1169288.3)	 	 	 	 	2012_19, 2013	 
Enterococcus faecalis D32 (1206105.3)	 	 	 	 	1727_19, 1728	 
Enterococcus faecalis D6 (565650.5)	 	 	 	 	1258_19, 1259	 
Enterococcus faecalis DAPTO 512 (749489.3)	 	 	 	 	2470, 2471_19	 
Enterococcus faecalis DAPTO 516 (749490.3)	 	 	 	 	1642_19, 1643	 
Enterococcus faecalis DS16 (1158677.3)	 	 	 	 	1733_19, 1734	 
Enterococcus faecalis DS5 (565643.5)	 	 	 	 	93_19, 94	 
Enterococcus faecalis E1 (1158673.3)	 	 	 	 	1859_19, 1860	 
Enterococcus faecalis E1Sol (565647.5)	 	 	 	 	1461, 1462_19	 
Enterococcus faecalis E99 (1169284.3)	 	 	 	 	2011_19, 2012	 
Enterococcus faecalis ERV103 (1134785.3)	 	 	 	 	2166, 2167	 
Enterococcus faecalis ERV116 (1134786.3)	 	 	 	 	779, 780	 
Enterococcus faecalis ERV129 (1134787.3)	 	 	 	 	947, 948	 
Enterococcus faecalis ERV25 (1134788.3)	 	 	 	 	2240, 2241	 
Enterococcus faecalis ERV31 (1134789.3)	 	 	 	 	1907, 1908	 
Enterococcus faecalis ERV37 (1134790.3)	 	 	 	 	287, 288	 
Enterococcus faecalis ERV41 (1134791.3)	 	 	 	 	441, 442	 
Enterococcus faecalis ERV62 (1134792.3)	 	 	 	 	2790, 2791	 
Enterococcus faecalis ERV63 (1134793.3)	 	 	 	 	1761, 1762	 
Enterococcus faecalis ERV65 (1134794.3)	 	 	 	 	1301, 1302	 
Enterococcus faecalis ERV68 (1134795.3)	 	 	 	 	2796, 2797	 
Enterococcus faecalis ERV72 (1134796.3)	 	 	 	 	2834, 2835	 
Enterococcus faecalis ERV81 (1134798.3)	 	 	 	 	248, 249	 
Enterococcus faecalis ERV85 (1134799.3)	 	 	 	 	1415, 1416	 
Enterococcus faecalis ERV93 (1134800.3)	 	 	 	 	847, 848	 
Enterococcus faecalis EnGen0253 (1158540.3)	 	 	 	 	1794_19, 1795	 
Enterococcus faecalis F1 (1169297.3)	 	 	 	 	1953_19, 1954_17	 
Enterococcus faecalis FA2-2 (1158622.3)	 	 	 	 	2234_19, 2235	 
Enterococcus faecalis Fly 2 (1169303.3)	 	 	 	 	1690_19, 1691	 
Enterococcus faecalis Fly1 (565649.5)	 	 	 	 	1483, 1484_19	 
Enterococcus faecalis HEF39 (1157368.3)	 	 	 	 	1865_19, 1866	 
Enterococcus faecalis HH22 (491075.3)	 	 	 	 	1889, 1890	 
Enterococcus faecalis HIP11704 (565646.5)	 	 	 	 	198_19, 199	 
Enterococcus faecalis JH1 (565648.4)	 	 	 	 	1742_19, 1743	 
Enterococcus faecalis M7 (1111677.3)	 	 	 	 	774_19, 775	 
Enterococcus faecalis MMH594 (1158653.5)	 	 	 	 	1978, 1979_17	 
Enterococcus faecalis Merz151 (1169304.3)	 	 	 	 	1919_19, 1920	 
Enterococcus faecalis Merz192 (1169248.3)	 	 	 	 	1892_19, 1893	 
Enterococcus faecalis Merz204 (1169249.3)	 	 	 	 	1839_19, 1840	 
Enterococcus faecalis Merz89 (1169250.3)	 	 	 	 	1879_19, 1880	 
Enterococcus faecalis Merz96 (565645.4)	 	 	 	 	1562, 1563_19	 
Enterococcus faecalis Ned10 (1158657.3)	 	 	 	 	1904_19, 1905	 
Enterococcus faecalis OG1RF (474186.5)	 	 	 	 	1616_19, 1617	 
Enterococcus faecalis OG1X (1027372.3)	 	 	 	 	339, 340_19	 
Enterococcus faecalis PC1.1 (702448.3)	 	 	 	 	 	 
Enterococcus faecalis Pan7 (1158666.3)	 	 	 	 	1899_19, 1900	 
Enterococcus faecalis R508 (1134801.3)	 	 	 	 	1542_19, 1543	 
Enterococcus faecalis R712 (699186.3)	 	 	 	 	2629, 2630_19	 
Enterococcus faecalis RC73 (1158678.3)	 	 	 	 	1933_19, 1934	 
Enterococcus faecalis RM3817 (1158674.3)	 	 	 	 	1550_19, 1551	 
Enterococcus faecalis RM4679 (1158625.3)	 	 	 	 	2106_19, 2107	 
Enterococcus faecalis RMC1 (1169299.3)	 	 	 	 	2045_19, 2046_17	 
Enterococcus faecalis RMC5 (1169289.3)	 	 	 	 	1695_19, 1696	 
Enterococcus faecalis RMC65 (1169308.3)	 	 	 	 	1799_19, 1800	 
Enterococcus faecalis S613 (699185.3)	 	 	 	 	1477_19, 1478	 
Enterococcus faecalis SF100 (1158654.3)	 	 	 	 	2035, 2036	 
Enterococcus faecalis SF105 (1158658.3)	 	 	 	 	2396_19, 2397	 
Enterococcus faecalis SF1592 (1158630.3)	 	 	 	 	1962, 1963	 
Enterococcus faecalis SF19 (1158629.3)	 	 	 	 	2008, 2009	 
Enterococcus faecalis SF21520 (1169313.3)	 	 	 	 	1930, 1931	 
Enterococcus faecalis SF21521 (1158668.3)	 	 	 	 	1630_19, 1631	 
Enterococcus faecalis SF24396 (1158665.3)	 	 	 	 	1773_19, 1774	 
Enterococcus faecalis SF24397 (1158618.3)	 	 	 	 	1933, 1934	 
Enterococcus faecalis SF24413 (1158619.3)	 	 	 	 	1934, 1935	 
Enterococcus faecalis SF26630 (1158620.3)	 	 	 	 	1940, 1941	 
Enterococcus faecalis SF28073 (1158624.3)	 	 	 	 	1733, 1734	 
Enterococcus faecalis SF339 (1169305.3)	 	 	 	 	1926_19, 1927	 
Enterococcus faecalis SF350 (1169251.3)	 	 	 	 	2431_19, 2432	 
Enterococcus faecalis SF370 (1158655.3)	 	 	 	 	2011, 2012	 
Enterococcus faecalis SF5039 (1169252.3)	 	 	 	 	2083_19, 2084	 
Enterococcus faecalis SF6375 (1169280.3)	 	 	 	 	1744_19, 1745	 
Enterococcus faecalis SS-6 (1158621.3)	 	 	 	 	1948_19, 1949	 
Enterococcus faecalis SS-7 (1169298.3)	 	 	 	 	1821_19, 1822_17	 
Enterococcus faecalis T1 (565636.4)	 	 	 	 	1369, 1370_19	 
Enterococcus faecalis T10 (1169295.3)	 	 	 	 	1657_19, 1658	 
Enterococcus faecalis T11 (565640.5)	 	 	 	 	1442, 1443	 
Enterococcus faecalis T12 (1169287.3)	 	 	 	 	1871_19, 1872	 
Enterococcus faecalis T13 (1158663.3)	 	 	 	 	1723_19, 1724	 
Enterococcus faecalis T14 (1158626.3)	 	 	 	 	1920_19, 1921	 
Enterococcus faecalis T16 (1158662.3)	 	 	 	 	1860_19, 1861	 
Enterococcus faecalis T17 (1169292.3)	 	 	 	 	1942_19, 1943	 
Enterococcus faecalis T18 (1169296.3)	 	 	 	 	1738_19, 1739	 
Enterococcus faecalis T19 (1169300.3)	 	 	 	 	1929_19, 1930	 
Enterococcus faecalis T2 (565637.4)	 	 	 	 	1648, 1649_19	 
Enterococcus faecalis T20 (1169285.3)	 	 	 	 	1630_19, 1631	 
Enterococcus faecalis T21 (1158669.3)	 	 	 	 	1878_19, 1879	 
Enterococcus faecalis T3 (565638.4)	 	 	 	 	2309_19, 2310	 
Enterococcus faecalis T4 (1169253.3)	 	 	 	 	1892_19, 1893	 
Enterococcus faecalis T5 (1169293.3)	 	 	 	 	1965_19, 1966	 
Enterococcus faecalis T6 (1169291.3)	 	 	 	 	1794_19, 1795	 
Enterococcus faecalis T7 (1169254.3)	 	 	 	 	2237_19, 2238	 
Enterococcus faecalis T8 (565639.4)	 	 	 	 	1609_19, 1610	 
Enterococcus faecalis T9 (1169294.3)	 	 	 	 	1849_19, 1850	 
Enterococcus faecalis TR161 (1169314.3)	 	 	 	 	1999, 2000	 
Enterococcus faecalis TR197 (1169307.3)	 	 	 	 	2180_19, 2181	 
Enterococcus faecalis TUSoD Ef11 (553209.3)	 	 	 	 	1702, 1703_19	 
Enterococcus faecalis TX0012 (749496.3)	 	 	 	 	2476_19, 2477	 
Enterococcus faecalis TX0017 (749497.3)	 	 	 	 	2900_17, 2901_19	 
Enterococcus faecalis TX0027 (749498.3)	 	 	 	 	2611_19, 2612	 
Enterococcus faecalis TX0031 (749499.3)	 	 	 	 	1871, 1872_19	 
Enterococcus faecalis TX0043 (749500.3)	 	 	 	 	267, 268_19	 
Enterococcus faecalis TX0102 (749501.3)	 	 	 	 	303, 304_19	 
Enterococcus faecalis TX0104 (491074.3)	 	 	 	 	2506, 2507	 
Enterococcus faecalis TX0109 (749502.3)	 	 	 	 	1202, 1203_19	 
Enterococcus faecalis TX0309A (749503.3)	 	 	 	 	365, 366	 
Enterococcus faecalis TX0309B (749504.3)	 	 	 	 	1141, 1142	 
Enterococcus faecalis TX0312 (749505.3)	 	 	 	 	684_19, 685	 
Enterococcus faecalis TX0411 (749506.3)	 	 	 	 	2704_17, 2705_19	 
Enterococcus faecalis TX0470 (749507.3)	 	 	 	 	1548, 1549_19	 
Enterococcus faecalis TX0630 (749508.3)	 	 	 	 	2959_19, 2960	 
Enterococcus faecalis TX0635 = WH245 (749509.5)	 	 	 	 	1926_19, 1927_17	 
Enterococcus faecalis TX0645 (749510.3)	 	 	 	 	2016_19, 2017	 
Enterococcus faecalis TX0855 (749511.3)	 	 	 	 	1385, 1386_19	 
Enterococcus faecalis TX0860 (749512.3)	 	 	 	 	55_19, 56_17	 
Enterococcus faecalis TX1322 (525278.3)	 	 	 	 	81, 82_19	 
Enterococcus faecalis TX1337RF (1134802.3)	 	 	 	 	 	 
Enterococcus faecalis TX1341 (749514.3)	 	 	 	 	1719, 1720	 
Enterococcus faecalis TX1346 (749516.3)	 	 	 	 	1695, 1696_19	 
Enterococcus faecalis TX2134 (749518.3)	 	 	 	 	1491_19, 1492	 
Enterococcus faecalis TX2137 (749491.3)	 	 	 	 	2115_19, 2116	 
Enterococcus faecalis TX2141 (749492.3)	 	 	 	 	2707_19, 2708	 
Enterococcus faecalis TX4000 (749493.3)	 	 	 	 	2365_19, 2366	 
Enterococcus faecalis TX4244 (749494.3)	 	 	 	 	2740, 2741_19, 2742_19	 
Enterococcus faecalis TX4248 (749495.4)	 	 	 	 	2202_17, 2203_19	 
Enterococcus faecalis UAA1014 (1158546.3)	 	 	 	 	1905_19, 1906	 
Enterococcus faecalis UAA1180 (1158552.3)	 	 	 	 	1684_19, 1685	 
Enterococcus faecalis UAA1489 (1158976.3)	 	 	 	 	2077, 2078	 
Enterococcus faecalis UAA409 (1158637.3)	 	 	 	 	1754_19, 1755	 
Enterococcus faecalis UAA702 (1158640.3)	 	 	 	 	2010_19, 2011_17	 
Enterococcus faecalis UAA769 (1157369.3)	 	 	 	 	2133_19, 2134	 
Enterococcus faecalis UAA823 (1157370.3)	 	 	 	 	2045, 2046	 
Enterococcus faecalis UAA902 (1157371.3)	 	 	 	 	1830, 1831	 
Enterococcus faecalis UAA903 (1157372.3)	 	 	 	 	1831, 1832	 
Enterococcus faecalis UAA904 (1157373.3)	 	 	 	 	1823, 1824	 
Enterococcus faecalis UAA905 (1157374.3)	 	 	 	 	1822, 1823	 
Enterococcus faecalis UAA906 (1157375.3)	 	 	 	 	1789, 1790	 
Enterococcus faecalis UAA907 (1157376.3)	 	 	 	 	1886, 1887	 
Enterococcus faecalis UAA943 (1157377.3)	 	 	 	 	1889, 1890	 
Enterococcus faecalis UAA948 (1158542.3)	 	 	 	 	1979_19, 1980	 
Enterococcus faecalis V583 (226185.9)	 	 	 	 	1933, 1934	 
Enterococcus faecalis V587 (1158623.3)	 	 	 	 	1729, 1730	 
Enterococcus faecalis WH257 (1158628.3)	 	 	 	 	1860_19, 1861	 
Enterococcus faecalis WH571 (1158631.3)	 	 	 	 	1977_19, 1978	 
Enterococcus faecalis X98 (565641.4)	 	 	 	 	1390, 1391_19	 
Enterococcus faecalis YI6-1 (1158667.3)	 	 	 	 	1848_19, 1849	 
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	 	 	 	 	1046_19, 1047	 
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	 	 	 	 	1724_19, 1725	 
Enterococcus faecium 1,141,733 (565659.3)	 	 	 	 	 	 
Enterococcus faecium 1,230,933 (565656.3)	 	 	 	 	 	 
Enterococcus faecium 1,231,408 (565661.4)	 	 	 	 	 	 
Enterococcus faecium 1,231,410 (565660.4)	 	 	 	 	 	 
Enterococcus faecium 1,231,501 (565658.4)	 	 	 	 	 	 
Enterococcus faecium 1,231,502 (565657.5)	 	 	 	 	 	 
Enterococcus faecium 109 A1 (1157416.3)	 	 	 	 	 	 
Enterococcus faecium 2006-70-121 (1157417.3)	 	 	 	 	 	 
Enterococcus faecium 504 (1134805.3)	 	 	 	 	 	 
Enterococcus faecium 505 (1134806.3)	 	 	 	 	 	 
Enterococcus faecium 7330381-1 (1157419.3)	 	 	 	 	 	 
Enterococcus faecium 7330446-2 (1157420.3)	 	 	 	 	 	 
Enterococcus faecium 7330519-3 (1157421.3)	 	 	 	 	 	 
Enterococcus faecium 7330614-1 (1157422.3)	 	 	 	 	 	 
Enterococcus faecium 7330884-2 (1157423.3)	 	 	 	 	 	 
Enterococcus faecium 7430166-3 (1157424.3)	 	 	 	 	 	 
Enterococcus faecium 841V03 (1157425.3)	 	 	 	 	 	 
Enterococcus faecium 9730219-1 (1157429.3)	 	 	 	 	 	 
Enterococcus faecium 9730357-1 (1157430.3)	 	 	 	 	 	 
Enterococcus faecium 9731349-1 (1157431.3)	 	 	 	 	 	 
Enterococcus faecium 9731352-4 (1157432.3)	 	 	 	 	 	 
Enterococcus faecium 9830091-5 (1157433.3)	 	 	 	 	 	 
Enterococcus faecium 9830512-2 (1157435.3)	 	 	 	 	 	 
Enterococcus faecium 9830565-4 (1157437.3)	 	 	 	 	 	 
Enterococcus faecium 9930238-2 (1157440.3)	 	 	 	 	 	 
Enterococcus faecium 9931110-4 (1157441.3)	 	 	 	 	 	 
Enterococcus faecium A17 Sv1 (1157442.3)	 	 	 	 	 	 
Enterococcus faecium ATCC 8459 (1158600.4)	 	 	 	 	 	 
Enterococcus faecium Aus0004 (1155766.14)	 	 	 	 	 	 
Enterococcus faecium C309 (1176489.3)	 	 	 	 	 	 
Enterococcus faecium C68 (565664.3)	 	 	 	 	 	 
Enterococcus faecium CRL1879 (1295527.3)	 	 	 	 	 	 
Enterococcus faecium Com12 (565662.4)	 	 	 	 	 	 
Enterococcus faecium Com15 (565663.4)	 	 	 	 	 	 
Enterococcus faecium D344SRF (565665.3)	 	 	 	 	 	 
Enterococcus faecium E0045 (1138880.3)	 	 	 	 	 	 
Enterococcus faecium E0120 (1138881.3)	 	 	 	 	 	 
Enterococcus faecium E0164 (1138882.3)	 	 	 	 	 	 
Enterococcus faecium E0269 (1138883.3)	 	 	 	 	 	 
Enterococcus faecium E0333 (1138884.3)	 	 	 	 	 	 
Enterococcus faecium E0679 (1138885.3)	 	 	 	 	 	 
Enterococcus faecium E0680 (1138886.3)	 	 	 	 	 	 
Enterococcus faecium E0688 (1138887.3)	 	 	 	 	 	 
Enterococcus faecium E1007 (1138888.3)	 	 	 	 	 	 
Enterococcus faecium E1039 (645663.4)	 	 	 	 	 	 
Enterococcus faecium E1050 (1138889.3)	 	 	 	 	 	 
Enterococcus faecium E1071 (535205.4)	 	 	 	 	 	 
Enterococcus faecium E1133 (1138890.3)	 	 	 	 	 	 
Enterococcus faecium E1162 (535206.4)	 	 	 	 	 	 
Enterococcus faecium E1185 (1138891.3)	 	 	 	 	 	 
Enterococcus faecium E1258 (1138892.3)	 	 	 	 	 	 
Enterococcus faecium E1293 (1138893.3)	 	 	 	 	 	 
Enterococcus faecium E1321 (1138930.3)	 	 	 	 	 	 
Enterococcus faecium E1392 (1138894.3)	 	 	 	 	 	 
Enterococcus faecium E1552 (1138895.3)	 	 	 	 	 	 
Enterococcus faecium E1573 (1138896.3)	 	 	 	 	 	 
Enterococcus faecium E1574 (1138897.3)	 	 	 	 	 	 
Enterococcus faecium E1575 (1138898.3)	 	 	 	 	 	 
Enterococcus faecium E1576 (1138899.3)	 	 	 	 	 	 
Enterococcus faecium E1578 (1138900.3)	 	 	 	 	 	 
Enterococcus faecium E1590 (1138901.3)	 	 	 	 	 	 
Enterococcus faecium E1604 (1138902.3)	 	 	 	 	 	 
Enterococcus faecium E1613 (1138903.3)	 	 	 	 	 	 
Enterococcus faecium E1620 (1138904.3)	 	 	 	 	 	 
Enterococcus faecium E1622 (1138905.3)	 	 	 	 	 	 
Enterococcus faecium E1623 (1138906.3)	 	 	 	 	 	 
Enterococcus faecium E1626 (1138907.3)	 	 	 	 	 	 
Enterococcus faecium E1627 (1138908.3)	 	 	 	 	 	 
Enterococcus faecium E1630 (1138909.3)	 	 	 	 	 	 
Enterococcus faecium E1634 (1138910.3)	 	 	 	 	 	 
Enterococcus faecium E1636 (544875.4)	 	 	 	 	 	 
Enterococcus faecium E1644 (1138931.3)	 	 	 	 	 	 
Enterococcus faecium E1731 (1138913.3)	 	 	 	 	 	 
Enterococcus faecium E1861 (1138914.3)	 	 	 	 	 	 
Enterococcus faecium E1904 (1138915.3)	 	 	 	 	 	 
Enterococcus faecium E1972 (1138916.3)	 	 	 	 	 	 
Enterococcus faecium E2039 (1138917.3)	 	 	 	 	 	 
Enterococcus faecium E2071 (1138918.3)	 	 	 	 	 	 
Enterococcus faecium E2134 (1138919.3)	 	 	 	 	 	 
Enterococcus faecium E2297 (1138920.3)	 	 	 	 	 	 
Enterococcus faecium E2369 (1138932.3)	 	 	 	 	 	 
Enterococcus faecium E2560 (1138933.3)	 	 	 	 	 	 
Enterococcus faecium E2620 (1138921.3)	 	 	 	 	 	 
Enterococcus faecium E2883 (1138922.3)	 	 	 	 	 	 
Enterococcus faecium E2966 (1138923.3)	 	 	 	 	 	 
Enterococcus faecium E3083 (1138924.3)	 	 	 	 	 	 
Enterococcus faecium E3346 (1138925.3)	 	 	 	 	 	 
Enterococcus faecium E3548 (1138926.3)	 	 	 	 	 	 
Enterococcus faecium E4215 (1138929.3)	 	 	 	 	 	 
Enterococcus faecium E4389 (1138934.3)	 	 	 	 	 	 
Enterococcus faecium E6012 (1138935.3)	 	 	 	 	 	 
Enterococcus faecium E6045 (1138936.3)	 	 	 	 	 	 
Enterococcus faecium E8sv3 (1157443.3)	 	 	 	 	 	 
Enterococcus faecium E980 (529885.3)	 	 	 	 	 	 
Enterococcus faecium ERV1 (1134819.3)	 	 	 	 	 	 
Enterococcus faecium EnGen0305 (1158641.3)	 	 	 	 	 	 
