Organism	BioW	BioC	BioGH	BioF	BioA	BioD	BioB	BioI	BioYNM	YigM
Staphylococcus epidermidis NIH051475 (1155130.3)	1839	 	 	1840	1841	1842	1794	 	1368_16	 
Staphylococcus epidermidis NIH051668 (1155131.3)	1858	 	 	1859	1860	1861	1814	 	1377_16	 
Staphylococcus epidermidis NIH06004 (1155134.3)	601	 	 	602	603	604	556	 	98_16	 
Staphylococcus epidermidis NIH08001 (1155135.3)	1471	 	 	1470	1469	1468	1517	 	1976_16	 
Staphylococcus epidermidis NIHLM001 (979219.3)	1347	 	 	1348	1349	1350	1302	 	 	 
Staphylococcus epidermidis NIHLM003 (979218.3)	1649	 	 	1650	1651	1652	1605	 	 	 
Staphylococcus epidermidis NIHLM008 (979217.3)	1788	 	 	1789	1790	1791	1742	 	1302_16	 
Staphylococcus epidermidis NIHLM015 (979216.3)	2044	 	 	2045	2046	2047	1996	 	1571_16	 
Staphylococcus epidermidis NIHLM018 (979215.3)	1253	 	 	1252	1251	1250	1296	 	 	 
Staphylococcus epidermidis NIHLM020 (979213.3)	1229	 	 	1228	1227	 	1295	 	 	 
Staphylococcus epidermidis NIHLM021 (979212.3)	505	 	 	504	503	502	2066	 	675_16	 
Staphylococcus epidermidis NIHLM023 (979211.3)	625	 	 	626	627	628	575	 	95_16	 
Staphylococcus epidermidis NIHLM031 (979214.3)	2411	 	 	2412	2413	2414	1395	 	608_16	 
Staphylococcus epidermidis NIHLM037 (979210.3)	1789	 	 	1790	1791	1792	1742	 	2038_16	 
Staphylococcus epidermidis NIHLM039 (979209.3)	2129	 	 	2130	2131	2132	2085	 	 	 
Staphylococcus epidermidis NIHLM040 (979208.3)	851	 	 	852	853	854	805	 	1692_16	 
Staphylococcus epidermidis NIHLM049 (979207.3)	2284	 	 	2285	2286	2287	2241	 	1811_16	 
Staphylococcus epidermidis NIHLM053 (979206.3)	1142	 	 	1143	1144	1145	548	 	2075_16	 
Staphylococcus epidermidis NIHLM057 (979205.3)	987	 	 	986	985	984	1035	 	181_16	 
Staphylococcus epidermidis NIHLM061 (979204.3)	2225	 	 	2226	2227	2228	2172	 	1717_16	 
Staphylococcus epidermidis NIHLM067 (979203.3)	223	 	 	224	225	226	174	 	 	 
Staphylococcus epidermidis NIHLM087 (979201.3)	1641	 	 	1640	1639	1638	1687	 	2094_16	 
Staphylococcus epidermidis NIHLM088 (979200.3)	1301	 	 	1300	1299	1298	1351	 	 	 
Staphylococcus epidermidis NIHLM095 (979199.3)	1705	 	 	1704	1703	1702	1754	 	1964_16	 
Staphylococcus epidermidis RP62A (176279.9)	2324	 	 	2325	2326	2327	2278	 	 	 
Staphylococcus epidermidis SK135 (596317.3)	2214	 	 	2213	2212	2211	2258	 	 	 
Staphylococcus epidermidis UC7032 (1327991.3)	1445	 	 	1446	1447	1448	1761	 	395_16	 
Staphylococcus epidermidis VCU028 (904317.3)	2337	 	 	2338	2339	2340	2290	 	1319_16	 
Staphylococcus epidermidis VCU037 (904319.3)	763	 	 	764	765	766	1058	 	355_16	 
Staphylococcus epidermidis VCU041 (904320.3)	1255	 	 	1256	1257	1258	1211	 	2414_16	 
Staphylococcus epidermidis VCU045 (904321.3)	127	 	 	128	129	130	1224	 	651_16	 
Staphylococcus epidermidis VCU065 (904324.3)	613	 	 	614	615	616	566	 	 	 
Staphylococcus epidermidis VCU071 (904325.3)	339	 	 	340	341	342	292	 	938_16	 
Staphylococcus epidermidis VCU081 (904326.3)	1659	 	 	1660	1661	1662	1612	 	2082_16	 
Staphylococcus epidermidis VCU105 (904328.3)	 	 	 	 	 	 	1493	 	 	 
Staphylococcus epidermidis VCU107 (904329.3)	579	 	 	580	581	582	1479	 	 	 
Staphylococcus epidermidis VCU109 (904330.3)	579	 	 	580	581	582	1479	 	 	 
Staphylococcus epidermidis VCU116 (904334.3)	 	 	 	 	 	 	1338	 	620_16	 
Staphylococcus epidermidis VCU117 (904335.3)	894	 	 	893	892	891	138	 	1632_16	 
Staphylococcus epidermidis VCU118 (904336.3)	689	 	 	690	691	692	2196	 	1474_16	 
Staphylococcus epidermidis VCU120 (904337.3)	1085	 	 	1084	1083	1082	1128	 	1729_16	 
Staphylococcus epidermidis VCU123 (904340.3)	411	 	 	412	413	414	365	 	 	 
Staphylococcus epidermidis VCU125 (904341.3)	1456	 	 	1455	1454	1453	107	 	 	 
Staphylococcus epidermidis VCU126 (904342.3)	2167	 	 	2168	2169	2170	109	 	511_16	 
Staphylococcus epidermidis VCU127 (904343.3)	1955	 	 	1954	1953	1952	1999	 	 	 
Staphylococcus epidermidis VCU128 (904344.3)	1319	 	 	1320	1321	1322	710	 	825_16	 
Staphylococcus epidermidis VCU129 (904345.3)	1029	 	 	1030	1031	1032	982	 	1697_16	 
Staphylococcus epidermidis VCU144 (904347.3)	154	 	 	155	156	157	108	 	400_16	 
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	 	 	 	 	 	 	963	 	360_16	 
Staphylococcus haemolyticus JCSC1435 (279808.8)	 	 	 	 	 	 	260	 	 	 
Staphylococcus haemolyticus R1P1 (1134914.3)	 	 	 	 	 	 	151	 	 	 
Staphylococcus hominis SK119 (629742.3)	 	 	 	 	 	 	1447	 	588_16	 
Staphylococcus hominis VCU122 (904339.3)	 	 	 	 	 	 	569	 	1780_16	 
Staphylococcus hominis subsp. hominis C80 (435837.3)	 	 	 	 	 	 	254	 	686_16	 
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	 	 	 	 	 	 	1265	 	419_16	 
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	 	 	 	 	 	 	246	 	1389_16	 
Staphylococcus lugdunensis HKU09-01 (698737.3)	 	 	 	 	 	 	1180	 	734_16	 
Staphylococcus lugdunensis M23590 (525377.3)	 	 	 	 	 	 	179	 	1311_16	 
Staphylococcus lugdunensis N920143 (1034809.4)	 	 	 	 	 	 	1226	 	732_16	 
Staphylococcus pettenkoferi VCU012 (904314.5)	1216	 	 	1215	1214	1213	1305	 	458_16	 
Staphylococcus pseudintermedius ED99 (984892.3)	120	 	 	119	118	117	2299	 	512_16	 
Staphylococcus pseudintermedius HKU10-03 (937773.3)	2335	 	 	2336	2337	2338	45	 	1945_16	 
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	 	 	 	 	 	 	 	 	628_16	 
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	 	 	 	 	 	 	337	 	117_16	 
Staphylococcus vitulinus F1028 (1167632.5)	 	 	 	 	 	 	2372	 	1117_16	 
Staphylococcus warneri L37603 (596319.3)	 	 	 	 	 	 	722	 	194_16	 
Staphylococcus warneri SG1 (1194526.3)	 	 	 	 	 	 	1795	 	631_16	 
Staphylococcus xylosus NJ (1262650.3)	1585	 	 	1586	1588, 270	1589	1587, 1598	 	896_16	 
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	 	 	 	 	 	 	 	 
Aerococcus viridans ATCC 11563 (655812.3)	 	 	 	 	 	 	 	 	1537_16	 
Aerococcus viridans LL1 (1175629.3)	 	 	 	 	 	 	 	 	1561_16	 
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	 	 	 	 	 	 	1168_16	 
Granulicatella elegans ATCC 700633 (626369.3)	 	 	 	 	 	 	 	 	1206_16	 
Enterococcus asini ATCC 700915 (1158606.4)	 	 	 	 	 	 	 	 	956_16	 
Enterococcus avium ATCC 14025 (1140002.4)	 	 	 	 	 	 	 	 	4355_16	 
Enterococcus caccae ATCC BAA-1240 (1158612.4)	 	 	 	 	 	 	 	 	259_16	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	 	 	 	 	 	 	 	 	1329_16	 
Enterococcus casseliflavus EC10 (565654.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	 	 	 	 	 	102	103	 	28_16, 526_16	 
Enterococcus dispar ATCC 51266 (1139219.4)	 	 	 	 	 	 	 	 	1322_16	 
Enterococcus durans ATCC 6056 (1140001.4)	 	 	 	 	 	 	 	 	165_16	 
Enterococcus durans FB129-CNAB-4 (883162.3)	 	 	 	 	 	 	 	 	1873_16	 
Enterococcus durans IPLA 655 (1288492.4)	 	 	 	 	 	 	 	 	2670_16	 
Enterococcus faecalis 12030 (1169282.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 12107 (1158664.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 1448E03 (1151193.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 182970 (1151194.3)	 	 	 	 	2288	 	 	 	 	 
Enterococcus faecalis 19116 (1151195.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 2630V05 (1151196.3)	 	 	 	 	2566	 	 	 	 	 
Enterococcus faecalis 2924 (1151197.3)	 	 	 	 	2607	 	 	 	 	 
Enterococcus faecalis 5952 (1158670.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 599 (1134784.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 599951 (1169281.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 62 (936153.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330082-2 (1151198.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330112-3 (1151199.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330245-2 (1151200.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330257-1 (1151201.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330259-5 (1151202.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7330948-5 (1151204.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430275-3 (1151205.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430315-3 (1151206.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430416-3 (1151207.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 7430821-4 (1151208.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis 79-3 (1169283.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis A-2-1 (1169245.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis A-3-1 (1169246.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis AR01/DG (565651.6)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 10100 (1169312.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 19433 (1169286.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 27275 (1158675.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 27959 (1158676.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 29200 (525271.4)	 	 	 	 	2190	 	 	 	 	 
Enterococcus faecalis ATCC 29212 (1201292.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 35038 (1169290.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 4200 (565642.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ATCC 6055 (1169311.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B-4-111 (1169302.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1005 (1157378.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1138 (1157379.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1249 (1157380.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1290 (1151209.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1327 (1151210.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1376 (1151211.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1385 (1151212.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1441 (1157342.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1505 (1157343.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1532 (1157344.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B15725 (1151186.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1586 (1157345.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1618 (1157346.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1623 (1157347.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B16457 (1151187.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1678 (1157348.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1696 (1157349.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1719 (1157350.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1734 (1157351.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1843 (1157352.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1851 (1157381.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1874 (1157353.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1921 (1157382.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B1933 (1157383.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2202 (1157384.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2207 (1157354.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2211 (1157385.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2255 (1157355.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2277 (1157386.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2391 (1157356.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2488 (1157357.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2535 (1157358.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2557 (1157359.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2593 (1157360.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2670 (1157387.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2685 (1157388.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2687 (1157389.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2802 (1157390.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2864 (1157392.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2867 (1157393.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B2949 (1157394.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3031 (1157361.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3042 (1157362.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3053 (1157363.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3119 (1157395.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3126 (1157364.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3196 (1157396.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3286 (1157397.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B3336 (1157398.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4008 (1157399.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4018 (1157400.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4148 (1157401.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4163 (1157402.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4259 (1157403.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4267 (1157404.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4270 (1157405.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4411 (1157406.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4568 (1157407.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4638 (1157408.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4672 (1157409.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4674 (1157410.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B4969 (1157411.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B5035 (1158632.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B5076 (1157412.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B56765 (1151188.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B594 (1157365.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B653 (1169309.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B69486 (1151189.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B84847 (1151190.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B878 (1157366.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis B939 (1157367.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis C19315WT (1151191.3)	 	 	 	 	 	289	290	 	 	 
Enterococcus faecalis CH116 (1158660.3)	 	 	 	 	2951	 	 	 	 	 
Enterococcus faecalis CH136 (1158661.3)	 	 	 	 	2893	 	 	 	 	 
Enterococcus faecalis CH188 (565644.5)	 	 	 	 	2887	 	 	 	 	 
Enterococcus faecalis CH19 (1158627.3)	 	 	 	 	2921	 	 	 	 	 
Enterococcus faecalis CH570 (1158656.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com 2 (1158633.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com 6 (1158634.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com1 (1158671.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Com7 (1169306.3)	 	 	 	 	2695	 	 	 	2657_16	 
Enterococcus faecalis D1 (1169247.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D173 (1169310.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D3 (1169288.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D32 (1206105.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis D6 (565650.5)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DAPTO 512 (749489.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DAPTO 516 (749490.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DS16 (1158677.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis DS5 (565643.5)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E1 (1158673.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E1Sol (565647.5)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis E99 (1169284.3)	 	 	 	 	2733	 	 	 	 	 
Enterococcus faecalis ERV103 (1134785.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV116 (1134786.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV129 (1134787.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV25 (1134788.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV31 (1134789.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV37 (1134790.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV41 (1134791.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV62 (1134792.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV63 (1134793.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV65 (1134794.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV68 (1134795.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV72 (1134796.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV81 (1134798.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV85 (1134799.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis ERV93 (1134800.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis EnGen0253 (1158540.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis F1 (1169297.3)	 	 	 	 	2785	 	 	 	2747_16	 
Enterococcus faecalis FA2-2 (1158622.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Fly 2 (1169303.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Fly1 (565649.5)	 	 	 	 	294	 	 	 	 	 
Enterococcus faecalis HEF39 (1157368.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HH22 (491075.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis HIP11704 (565646.5)	 	 	 	 	463	 	 	 	 	 
Enterococcus faecalis JH1 (565648.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis M7 (1111677.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis MMH594 (1158653.5)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz151 (1169304.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz192 (1169248.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz204 (1169249.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz89 (1169250.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Merz96 (565645.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis Ned10 (1158657.3)	 	 	 	 	2836	 	 	 	 	 
Enterococcus faecalis OG1RF (474186.5)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis OG1X (1027372.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis PC1.1 (702448.3)	 	 	 	 	 	 	 	 	2520_16	 
Enterococcus faecalis Pan7 (1158666.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis R508 (1134801.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis R712 (699186.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RC73 (1158678.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RM3817 (1158674.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RM4679 (1158625.3)	 	 	 	 	2944	 	 	 	 	 
Enterococcus faecalis RMC1 (1169299.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis RMC5 (1169289.3)	 	 	 	 	2446	 	 	 	 	 
Enterococcus faecalis RMC65 (1169308.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis S613 (699185.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF100 (1158654.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF105 (1158658.3)	 	 	 	 	754	 	 	 	 	 
Enterococcus faecalis SF1592 (1158630.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF19 (1158629.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF21520 (1169313.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF21521 (1158668.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24396 (1158665.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24397 (1158618.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24413 (1158619.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF26630 (1158620.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF28073 (1158624.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF339 (1169305.3)	 	 	 	 	2851	 	 	 	 	 
Enterococcus faecalis SF350 (1169251.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF370 (1158655.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF5039 (1169252.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF6375 (1169280.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SS-6 (1158621.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SS-7 (1169298.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T1 (565636.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T10 (1169295.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T11 (565640.5)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T12 (1169287.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T13 (1158663.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T14 (1158626.3)	 	 	 	 	2766	 	 	 	 	 
Enterococcus faecalis T16 (1158662.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T17 (1169292.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T18 (1169296.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T19 (1169300.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T2 (565637.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T20 (1169285.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T21 (1158669.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T3 (565638.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T4 (1169253.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T5 (1169293.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T6 (1169291.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T7 (1169254.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T8 (565639.4)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T9 (1169294.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TR161 (1169314.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TR197 (1169307.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TUSoD Ef11 (553209.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0012 (749496.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0017 (749497.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0027 (749498.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0031 (749499.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0043 (749500.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0102 (749501.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0104 (491074.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0109 (749502.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0309A (749503.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0309B (749504.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0312 (749505.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0411 (749506.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0470 (749507.3)	 	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0630 (749508.3)	 	 	 	 	2591	 	 	 	1225_16	 
Enterococcus faecalis TX0635 = WH245 (749509.5)	 	 	 	 	2937	 	 	 	 	 
Enterococcus faecalis TX0645 (749510.3)	 	 	 	 	2188	 	 	 	 	 
Enterococcus faecalis TX0855 (749511.3)	 	 	 	 	2187	 	 	 	 	 
