Organism	ASPOX	QSYN	QAPRT	NaMNAT	NADS	PnuC	NiaP	NiaX	NiaY
Lactobacillus iners LEAF 3008A-a (879304.3)	 	 	98	1050	115	 	 	 	 
Lactobacillus iners LactinV 09V1-c (879299.3)	 	 	 	807	148	 	 	 	 
Lactobacillus iners LactinV 11V1-d (879300.3)	 	 	560	109	767	 	 	 	 
Lactobacillus iners SPIN 1401G (879295.3)	 	 	1	408	554	 	 	 	 
Lactobacillus iners SPIN 2503V10-D (879296.3)	 	 	718	1243	402	 	 	 	 
Lactobacillus iners UPII 143-D (928327.3)	 	 	698	875	130	 	 	 	 
Lactobacillus iners UPII 60-B (928328.3)	 	 	1270	196	801	 	 	 	 
Lactobacillus jensenii 115-3-CHN (575605.3)	 	 	 	562	1220	 	 	 	 
Lactobacillus jensenii 269-3 (596325.3)	 	 	 	120	1001	 	 	 	 
Lactobacillus jensenii 27-2-CHN (575606.3)	 	 	 	24	1474	 	 	 	 
Lactobacillus jensenii JV-V16 (525329.3)	 	 	 	315	1181	 	 	 	 
Lactobacillus jensenii SJ-7A-US (575607.3)	 	 	 	1578	1463	 	 	 	 
Lactobacillus johnsonii ATCC 33200 (525330.3)	 	 	 	123	31	 	 	 	 
Lactobacillus johnsonii DPC 6026 (909954.3)	 	 	 	1443_4	1551	 	 	 	 
Lactobacillus johnsonii FI9785 (633699.4)	 	 	 	1360	1448	 	 	 	 
Lactobacillus johnsonii NCC 533 (257314.6)	 	 	 	1461	1556	 	 	 	 
Lactobacillus mucosae LM1 (1130798.3)	 	 	1852	928	1377	 	1851	 	 
Lactobacillus oris F0423 (944562.4)	 	 	 	814	1478	36_8	 	 	 
Lactobacillus oris PB013-T2-3 (908339.3)	 	 	 	165	1219	491_8	 	 	 
Lactobacillus pentosus KCA1 (1136177.4)	 	 	 	918	67	61_8	1918	 	 
Lactobacillus plantarum 16 (1327988.3)	 	 	 	1201_4	505	499_8	2054	 	 
Lactobacillus plantarum IPLA88 (1328309.5)	 	 	 	888_4	1291	1297_8	2800	 	 
Lactobacillus plantarum JDM1 (644042.3)	 	 	 	1286	458	452_8	2043	 	 
Lactobacillus plantarum UCMA 3037 (1284223.3)	 	 	 	611_4	273	279_8	2989	 	 
Lactobacillus plantarum WCFS1 (220668.9)	 	 	 	1288	470	464_8	2117	 	 
Lactobacillus plantarum ZJ316 (1284663.3)	 	 	 	1513_4	699	693_8	2411	 	 
Lactobacillus plantarum subsp. plantarum ATCC 14917 (525338.3)	 	 	 	2504	1155	1149_8	1003	 	2863
Lactobacillus plantarum subsp. plantarum NC8 (1036177.3)	 	 	 	1882	1093	1087_8	2704	 	3059
Lactobacillus plantarum subsp. plantarum P-8 (767468.48)	 	 	 	1157_4	453	447_8	2071	 	 
Lactobacillus plantarum subsp. plantarum ST-III (889932.4)	 	 	 	1237	472	466_8	2110	 	2473
Lactobacillus reuteri 100-23 (349123.6)	 	 	 	362	1764	817_8	 	 	791
Lactobacillus reuteri ATCC 53608 (927703.3)	 	 	 	1240	1470	 	 	 	 
Lactobacillus reuteri CF48-3A (525341.3)	 	 	 	716	441	 	 	 	 
Lactobacillus reuteri I5007 (1340495.3)	 	 	 	733_4	1656	 	 	 	 
Lactobacillus reuteri JCM 1112 (557433.4)	 	 	 	1285	291	 	 	 	 
Lactobacillus reuteri MM4-1A (548485.3)	 	 	 	1451	1731	 	 	 	 
Lactobacillus reuteri SD2112 (491077.3)	 	 	 	1239	953	 	 	 	 
Lactobacillus reuteri lpuph (863368.3)	 	 	 	434	312	 	 	 	 
Lactobacillus rhamnosus ATCC 21052 (1002365.5)	 	 	 	1337_4	1924	 	1028	 	 
Lactobacillus rhamnosus ATCC 8530 (1088720.3)	 	 	 	1644_4	1768	 	2197	 	 
Lactobacillus rhamnosus GG (Prj:40637) (568703.30)	 	 	 	1738_4	1864	 	2293	 	 
Lactobacillus rhamnosus HN001 (486408.6)	 	 	 	356_4	1105	 	2681	 	 
Lactobacillus rhamnosus LMS2-1 (525361.3)	 	 	 	682_4	795	 	2728	 	 
Lactobacillus rhamnosus LRHMDP2 (1203258.5)	 	 	 	915_4	2575	 	2754	 	 
Lactobacillus rhamnosus LRHMDP3 (1203259.4)	 	 	 	73_4	2547	 	2840	 	 
Lactobacillus rhamnosus Lc 705 (568704.3)	 	 	 	1587_4	1705	 	2116	 	 
Lactobacillus rhamnosus R0011 (880592.5)	 	 	 	823_4	943	 	2785	 	 
Lactobacillus ruminis ATCC 25644 (525362.3)	1600	1599	1601, 985	1151	2028	 	984	 	493
Lactobacillus ruminis ATCC 27782 (1069534.5)	592	591	1039, 1040, 593	1157	421	 	1038	 	 
Lactobacillus ruminis SPM0211 (1040964.3)	1889	1890	1888, 244	141	2211	 	 	 	 
Lactobacillus sakei subsp. sakei 23K (314315.12)	 	 	 	1355	1537	 	1497	 	 
Lactobacillus salivarius ATCC 11741 (525364.3)	 	 	 	544	1195	 	 	 	 
Lactobacillus salivarius GJ-24 (1041521.3)	 	 	 	1444	745	 	 	 	 
Lactobacillus salivarius NIAS840 (1029822.3)	 	 	 	905	1435	 	 	 	 
Lactobacillus salivarius UCC118 (362948.14)	 	 	 	578	1334	 	 	 	 
Lactobacillus ultunensis DSM 16047 (525365.3)	 	 	1176	1520	575	 	1175	 	 
Lactobacillus vaginalis ATCC 49540 (525366.3)	 	 	 	1157	1269	 	 	 	172
Pediococcus acidilactici 7_4 (563194.3)	 	 	 	652	1488	 	 	 	 
Pediococcus acidilactici DSM 20284 (862514.3)	 	 	 	150	961	 	 	 	 
Pediococcus acidilactici MA18/5M (1080365.4)	 	 	 	711	1537	 	 	 	 
Pediococcus pentosaceus ATCC 25745 (278197.12)	 	 	 	669	1440	 	209	 	 
Pediococcus pentosaceus IE-3 (1133596.3)	 	 	 	1076_4	517	 	1637	 	 
Leuconostoc gelidum JB7 (1229756.3)	 	 	 	1410_4	1311	1301_8	179	 	1256
Leuconostoc gelidum KCTC 3527 (927691.3)	 	 	 	73	1501	1491_8	7	 	1739
Leuconostoc argentinum KCTC 3773 (886872.3)	 	 	 	1102	1678	1357_8	754	 	1628
Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (586220.3)	 	 	 	1332	362	339_8, 340_8, 341_8	 	 	288
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 (203120.7)	 	 	 	1714	1530	1508_8	908	 	1459
Leuconostoc mesenteroides subsp. mesenteroides J18 (1107880.3)	 	 	 	1499_4	1376	1348_8	858	 	1299
Weissella cibaria KACC 11862 (911104.3)	 	 	 	1424_4	896	144_8	 	 	 
Weissella confusa LBAE C39-2 (1127131.3)	 	 	 	1815_4	298	1856_8	 	 	 
Weissella paramesenteroides ATCC 33313 (585506.3)	 	 	 	588	784	1234_8, 1755_8, 474_8	1027	 	1583
Lactococcus garvieae 21881 (998087.5)	 	 	 	1696, 264	1699	893_8	 	1113	 
Lactococcus garvieae 8831 (913847.4)	 	 	 	1023, 809	805	1164_8	 	354	 
Lactococcus garvieae ATCC 49156 (420889.6)	 	 	 	1822_4	808	562_8	 	711	 
Lactococcus garvieae DCC43 (1231377.3)	 	 	 	1340_4, 617_4	1343	964_8	 	1181	 
Lactococcus garvieae I113 (1229517.3)	 	 	 	1175_4, 1277_4	1281	639_8	 	1494	 
Lactococcus garvieae IPLA 31405 (1181234.4)	 	 	 	143, 1462	1459	1717_8	 	1559	 
Lactococcus garvieae LG9 (1091039.4)	 	 	 	161, 999	996	1481_8	 	1345	 
Lactococcus garvieae Lg2 (420890.5)	 	 	 	1848_4	830	581_8	 	732	 
Lactococcus garvieae TB25 (1091040.5)	 	 	 	1211, 1247	1250	945_8	 	185	 
Lactococcus garvieae Tac2 (1229518.3)	 	 	 	1671_4, 95_4	92	1383_8	 	1176	 
Lactococcus garvieae UNIUD074 (1017266.3)	 	 	 	795, 867	870	24_8	 	165	 
Lactococcus lactis subsp. cremoris CNCM I-1631 (1042402.4)	 	 	 	1066_4, 326_4	1069	1502_8, 2386_8	 	2039	 
Lactococcus lactis subsp. cremoris MG1363 (416870.9)	 	 	 	1511, 237	1508	1705_8, 1762_8	 	1373	 
Lactococcus lactis subsp. cremoris NZ9000 (746361.3)	 	 	 	1524, 234	1521	1724_8, 1785_8	 	1383	 
Lactococcus lactis subsp. cremoris UC509.9 (1111678.3)	 	 	 	1157_4, 230_4	1160	905_8, 965_8	 	1240	 
Lactococcus lactis subsp. lactis CV56 (929102.3)	 	 	 	1108, 215	1111	824_8	 	1173	 
Lactococcus lactis subsp. lactis IO-1 (1046624.4)	 	 	 	1044_4, 198_4	1047	809_8, 849_8	 	1107	 
Lactococcus lactis subsp. lactis Il1403 (272623.7)	 	 	 	1177, 247	1180	897_8, 898_8, 939_8	 	1241	 
Lactococcus lactis subsp. lactis KF147 (684738.3)	 	 	 	1144, 220	1147	2567_8, 865_8, 910_8	 	1205	 
Lactococcus lactis subsp. lactis YF11 (1149132.3)	 	 	 	203_4, 970_4	973	2374_8, 768_8, 809_8	 	1029	 
Lactococcus raffinolactis 4877 (1215915.3)	2200	2202, 2203	2201	1559_4, 1906_4	1560	 	 	991	 
Streptococcus agalactiae 09mas018883 (1309806.3)	 	 	 	1625_4	297	 	 	1569	 
Streptococcus agalactiae BSU108 (1154833.3)	 	 	 	916_4	1127	 	 	971	 
Streptococcus agalactiae BSU133 (1105233.3)	 	 	 	1854_4	1048	 	 	1911	 
Streptococcus agalactiae BSU165 (1154831.3)	 	 	 	458_4	48	 	 	513	 
Streptococcus agalactiae BSU174 (1105234.3)	 	 	 	1558_4	1713	 	 	1614	 
Streptococcus agalactiae BSU178 (1154829.3)	 	 	 	361_4	1065	 	 	418	 
Streptococcus agalactiae BSU247 (1154827.3)	 	 	 	1191_4	688	 	 	1249	 
Streptococcus agalactiae BSU248 (1105279.3)	 	 	 	767_4	1627	 	 	711	 
Streptococcus agalactiae BSU252 (1105277.3)	 	 	 	897_4	76	 	 	953	 
Streptococcus agalactiae BSU253 (1105281.3)	 	 	 	1812_4	348	 	 	1757	 
Streptococcus agalactiae BSU260 (1105231.3)	 	 	 	1868_4	222	 	 	1923	 
Streptococcus agalactiae BSU442 (1154826.3)	 	 	 	1847_4	1426	 	 	1221	 
Streptococcus agalactiae BSU447 (1105280.3)	 	 	 	705_4	1083	 	 	761	 
Streptococcus agalactiae BSU450 (1154825.3)	 	 	 	1979_4	974	 	 	300	 
Streptococcus agalactiae BSU451 (1105232.3)	 	 	 	620_4	925	 	 	565	 
Streptococcus agalactiae BSU454 (1105278.3)	 	 	 	1186_4	744	 	 	1242	 
Streptococcus agalactiae BSU92 (1154832.3)	 	 	 	1641_4	644	 	 	1697	 
Streptococcus agalactiae BSU96 (1154830.3)	 	 	 	1504_4	1034	 	 	1567	 
Streptococcus agalactiae CCUG 17336 (1105253.3)	 	 	 	557_4	364	 	 	495	 
Streptococcus agalactiae CCUG 19094 (1154807.3)	 	 	 	853_4	200	 	 	909	 
Streptococcus agalactiae CCUG 24810 (1154808.3)	 	 	 	335_4	1295	 	 	279	 
Streptococcus agalactiae CCUG 25532 (1154809.3)	 	 	 	1039_4	259	 	 	982	 
Streptococcus agalactiae CCUG 28551 (1105254.3)	 	 	 	1599_4	2083	 	 	1401	 
Streptococcus agalactiae CCUG 29376 (1105255.3)	 	 	 	1666_4	1412	 	 	1610	 
Streptococcus agalactiae CCUG 29782 (1105256.3)	 	 	 	895_4	1295	 	 	839	 
Streptococcus agalactiae CCUG 30636 (1105257.3)	 	 	 	667_4	881	 	 	612	 
Streptococcus agalactiae CCUG 37430 (1154810.3)	 	 	 	678_4	317	 	 	733	 
Streptococcus agalactiae CCUG 37736 (1105258.3)	 	 	 	1070_4	259	 	 	1133	 
Streptococcus agalactiae CCUG 37737 (1154811.3)	 	 	 	880_4	708	 	 	936	 
Streptococcus agalactiae CCUG 37738 (1154812.3)	 	 	 	743_4	388	 	 	799	 
Streptococcus agalactiae CCUG 37739 (1105259.3)	 	 	 	1652_4	41	 	 	1707	 
Streptococcus agalactiae CCUG 37740 (1105260.3)	 	 	 	535_4	1361	 	 	591	 
Streptococcus agalactiae CCUG 37741 (1154813.3)	 	 	 	1532_4	691	 	 	1476	 
Streptococcus agalactiae CCUG 37742 (1154814.3)	 	 	 	995_4	1327	 	 	939	 
Streptococcus agalactiae CCUG 38383 (1154815.3)	 	 	 	817_4	186	 	 	872	 
Streptococcus agalactiae CCUG 39096 A (1154816.3)	 	 	 	1805_4	286	 	 	1749	 
Streptococcus agalactiae CCUG 44074 (1105262.3)	 	 	 	413_4	1519	 	 	1303	 
Streptococcus agalactiae CCUG 44110 (1105264.3)	 	 	 	1324_4	1838	 	 	1379	 
Streptococcus agalactiae CCUG 44140 (1105265.3)	 	 	 	828_4	1889	 	 	773	 
Streptococcus agalactiae CCUG 44186 (1105266.3)	 	 	 	473_4	1869	 	 	410	 
Streptococcus agalactiae CCUG 45061 (1105267.3)	 	 	 	483_4	999	 	 	539	 
Streptococcus agalactiae CCUG 47293 (1105268.3)	 	 	 	1940_4	418	 	 	1997	 
Streptococcus agalactiae CCUG 49072 (1105269.3)	 	 	 	674_4	887	 	 	618	 
Streptococcus agalactiae CCUG 49086 (1105270.3)	 	 	 	1432_4	1653	 	 	1370	 
Streptococcus agalactiae CCUG 49087 (1154818.3)	 	 	 	1264_4	1565	 	 	1201	 
Streptococcus agalactiae CCUG 49100 (1105271.3)	 	 	 	664_4	1319	 	 	608	 
Streptococcus agalactiae CCUG 91 (1105252.3)	 	 	 	1858_4	1115	 	 	1802	 
Streptococcus agalactiae CJB111 (342617.4)	 	 	 	1420_4	167	 	 	2005	 
Streptococcus agalactiae FSL C1-487 (1154771.3)	 	 	 	971_4	799	 	 	545	 
Streptococcus agalactiae FSL C1-494 (1154783.3)	 	 	 	1029_4	1657	 	 	972	 
Streptococcus agalactiae FSL F2-338 (1154803.3)	 	 	 	144_4	2055	 	 	1287	 
Streptococcus agalactiae FSL F2-343 (1154800.3)	 	 	 	1588_4	214	 	 	1533	 
Streptococcus agalactiae FSL S3-001 (1154805.3)	 	 	 	1114_4	1671	 	 	1059	 
Streptococcus agalactiae FSL S3-003 (1154806.3)	 	 	 	1856_4	406	 	 	1801	 
Streptococcus agalactiae FSL S3-005 (1154804.3)	 	 	 	1440_4	616	 	 	744	 
Streptococcus agalactiae FSL S3-014 (1154797.3)	 	 	 	1401_4	1525	 	 	1457	 
Streptococcus agalactiae FSL S3-023 (1154794.3)	 	 	 	1005_4	726	 	 	949	 
Streptococcus agalactiae FSL S3-026 (876138.3)	 	 	 	1862_4	348	 	 	1804	 
Streptococcus agalactiae FSL S3-034 (1154779.3)	 	 	 	1800_4	70	 	 	867	 
Streptococcus agalactiae FSL S3-090 (1154796.3)	 	 	 	1431_4	1885	 	 	1376	 
Streptococcus agalactiae FSL S3-102 (1154798.3)	 	 	 	1383_4	1247	 	 	1320	 
Streptococcus agalactiae FSL S3-105 (1154782.3)	 	 	 	1483_4	1966	 	 	668	 
Streptococcus agalactiae FSL S3-128 (1154791.3)	 	 	 	1156_4	1797	 	 	855	 
Streptococcus agalactiae FSL S3-137 (1154801.3)	 	 	 	1501_4	1883	 	 	1557	 
Streptococcus agalactiae FSL S3-222 (1154780.3)	 	 	 	1156_4	1795	 	 	855	 
Streptococcus agalactiae FSL S3-268 (1154802.3)	 	 	 	507_4	1719	 	 	987	 
Streptococcus agalactiae FSL S3-277 (1154781.3)	 	 	 	2170_4	939	 	 	1658	 
Streptococcus agalactiae FSL S3-337 (1154795.3)	 	 	 	1853_4	841	 	 	1908	 
Streptococcus agalactiae FSL S3-586 (1154776.3)	 	 	 	2120_4	595	 	 	2177	 
Streptococcus agalactiae FSL S3-608 (1154778.3)	 	 	 	1011_4	2222	 	 	860	 
Streptococcus agalactiae FSL S3-654 (1154773.3)	 	 	 	59_4	1384	 	 	1026	 
Streptococcus agalactiae GB00002 (1154891.3)	 	 	 	1747_4	1346	 	 	1802	 
Streptococcus agalactiae GB00003 (1154892.3)	 	 	 	1451_4	1093	 	 	1509	 
Streptococcus agalactiae GB00012 (1154893.3)	 	 	 	1397_4	685	 	 	1453	 
Streptococcus agalactiae GB00013 (1154894.3)	 	 	 	1790_4	1344	 	 	1735	 
Streptococcus agalactiae GB00018 (1154895.3)	 	 	 	1167_4	917	 	 	1112	 
Streptococcus agalactiae GB00020 (1154896.3)	 	 	 	926_4	1612	 	 	982	 
Streptococcus agalactiae GB00082 (1154897.3)	 	 	 	1147_4	1850	 	 	734	 
Streptococcus agalactiae GB00083 (1154898.3)	 	 	 	1096_4	1218	 	 	1040	 
Streptococcus agalactiae GB00084 (1154899.3)	 	 	 	1686_4	1306	 	 	1742	 
Streptococcus agalactiae GB00092 (1154900.3)	 	 	 	1607_4	393	 	 	1552	 
Streptococcus agalactiae GB00097 (1154901.3)	 	 	 	1393_4	1949	 	 	1456	 
Streptococcus agalactiae GB00111 (1154902.3)	 	 	 	1708_4	2011	 	 	1771	 
Streptococcus agalactiae GB00112 (1178526.3)	 	 	 	1808_4	837	 	 	1870	 
Streptococcus agalactiae GB00115 (1154903.3)	 	 	 	968_4	1788	 	 	906	 
Streptococcus agalactiae GB00174 (1154904.3)	 	 	 	1609_4	1927	 	 	1374	 
Streptococcus agalactiae GB00190 (1154905.3)	 	 	 	1567_4	1440	 	 	1622	 
Streptococcus agalactiae GB00202 (1154906.3)	 	 	 	532_4	1892	 	 	476	 
Streptococcus agalactiae GB00206 (1154907.3)	 	 	 	854_4	50	 	 	799	 
Streptococcus agalactiae GB00219 (1154908.3)	 	 	 	734_4	1594	 	 	791	 
Streptococcus agalactiae GB00226 (1154909.3)	 	 	 	1467_4	1886	 	 	1523	 
Streptococcus agalactiae GB00241 (1154910.3)	 	 	 	1288_4	1999	 	 	1233	 
Streptococcus agalactiae GB00245 (1154911.3)	 	 	 	1217_4	1004	 	 	1272	 
Streptococcus agalactiae GB00247 (1154912.3)	 	 	 	991_4	673	 	 	936	 
Streptococcus agalactiae GB00264 (1154913.3)	 	 	 	1390_4	417	 	 	1335	 
Streptococcus agalactiae GB00279 (1154914.3)	 	 	 	406_4	1128	 	 	242	 
Streptococcus agalactiae GB00300 (1154915.3)	 	 	 	413_4	586	 	 	468	 
Streptococcus agalactiae GB00535 (1154916.3)	 	 	 	1560_4	488	 	 	1616	 
Streptococcus agalactiae GB00543 (1154917.3)	 	 	 	930_4	317	 	 	987	 
Streptococcus agalactiae GB00548 (1154918.3)	 	 	 	1197_4	713	 	 	1142	 
Streptococcus agalactiae GB00555 (1154919.3)	 	 	 	1027_4	1743	 	 	971	 
Streptococcus agalactiae GB00557 (1154920.3)	 	 	 	1486_4	1150	 	 	1423	 
Streptococcus agalactiae GB00561 (1154921.3)	 	 	 	1708_4	126	 	 	260	 
Streptococcus agalactiae GB00588 (1154922.3)	 	 	 	1309_4	518	 	 	1365	 
Streptococcus agalactiae GB00601 (1154923.3)	 	 	 	1554_4	1427	 	 	1609	 
Streptococcus agalactiae GB00614 (1154924.3)	 	 	 	1888_4	447	 	 	1308	 
Streptococcus agalactiae GB00640 (1154925.3)	 	 	 	490_4	945	 	 	433	 
Streptococcus agalactiae GB00651 (1154926.3)	 	 	 	828_4	581	 	 	772	 
Streptococcus agalactiae GB00653 (1154927.3)	 	 	 	351_4	1928	 	 	295	 
Streptococcus agalactiae GB00654 (1154928.3)	 	 	 	698_4	280	 	 	761	 
Streptococcus agalactiae GB00663 (1154929.3)	 	 	 	1116_4	662	 	 	1172	 
Streptococcus agalactiae GB00679 (1154930.3)	 	 	 	190_4	284	 	 	1100	 
Streptococcus agalactiae GB00864 (1154931.3)	 	 	 	310_4	950	 	 	1288	 
Streptococcus agalactiae GB00867 (1154933.3)	 	 	 	440_4	153	 	 	495	 
Streptococcus agalactiae GB00874 (1154934.3)	 	 	 	395_4	1189	 	 	339	 
Streptococcus agalactiae GB00884 (1154935.3)	 	 	 	858_4	1785	 	 	913	 
Streptococcus agalactiae GB00887 (1154936.3)	 	 	 	1304_4	151	 	 	1359	 
Streptococcus agalactiae GB00888 (1154937.3)	 	 	 	1339_4	1634	 	 	1282	 
Streptococcus agalactiae GB00891 (1154938.3)	 	 	 	882_4	1941	 	 	945	 
Streptococcus agalactiae GB00893 (1154939.3)	 	 	 	1528_4	515	 	 	1472	 
Streptococcus agalactiae GB00900 (1154943.3)	 	 	 	1415_4	949	 	 	1471	 
Streptococcus agalactiae GB00901 (1154944.3)	 	 	 	137_4	1694	 	 	1191	 
Streptococcus agalactiae GB00904 (1154945.3)	 	 	 	852_4	243	 	 	796	 
Streptococcus agalactiae GB00909 (1154946.3)	 	 	 	1622_4	1119	 	 	1678	 
Streptococcus agalactiae GB00911 (1154947.3)	 	 	 	696_4	1407	 	 	641	 
Streptococcus agalactiae GB00914 (1154948.3)	 	 	 	285_4	1395	 	 	341	 
Streptococcus agalactiae GB00919 (1154949.3)	 	 	 	1847_4	2104	 	 	1791	 
Streptococcus agalactiae GB00922 (1154950.3)	 	 	 	1495_4	468	 	 	1551	 
Streptococcus agalactiae GB00923 (1154951.3)	 	 	 	415_4	827	 	 	471	 
Streptococcus agalactiae GB00924 (1154952.3)	 	 	 	1637_4	350	 	 	1693	 
Streptococcus agalactiae GB00929 (1154953.3)	 	 	 	518_4	1775	 	 	462	 
Streptococcus agalactiae GB00932 (1154954.3)	 	 	 	1797_4	1321	 	 	1742	 
Streptococcus agalactiae GB00933 (1154955.3)	 	 	 	487_4	995	 	 	431	 
Streptococcus agalactiae GB00954 (1154959.3)	 	 	 	1637_4	1870	 	 	875	 
Streptococcus agalactiae GB00955 (1154960.3)	 	 	 	755_4	1141	 	 	699	 
Streptococcus agalactiae GB00963 (1154963.3)	 	 	 	978_4	1613	 	 	915	 
Streptococcus agalactiae GB00965 (1154964.3)	 	 	 	1850_4	926	 	 	1795	 
Streptococcus agalactiae GB00975 (1154965.3)	 	 	 	479_4	1966	 	 	559	 
Streptococcus agalactiae GB00984 (1154966.3)	 	 	 	1634_4	722	 	 	1579	 
Streptococcus agalactiae GB00986 (1154967.3)	 	 	 	585_4	866	 	 	529	 
Streptococcus agalactiae GB00999 (1154969.3)	 	 	 	1451_4	1748	 	 	1395	 
Streptococcus agalactiae GD201008-001 (1203670.3)	 	 	 	1557_4	299	 	 	1499	 
Streptococcus agalactiae ILRI005 (1309807.3)	 	 	 	1690_4	287	 	 	1633	 
Streptococcus agalactiae ILRI112 (1318615.3)	 	 	 	1617_4	293	 	 	1558	 
Streptococcus agalactiae LADL-90-503 (1266066.3)	 	 	 	259_4	1375	 	 	203	 
Streptococcus agalactiae LMG 15081 (1105272.3)	 	 	 	1742_4	1186	 	 	1687	 
Streptococcus agalactiae LMG 15083 (1105273.3)	 	 	 	1476_4	521	 	 	1420	 
Streptococcus agalactiae LMG 15084 (1105274.3)	 	 	 	1764_4	1542	 	 	1820	 
Streptococcus agalactiae LMG 15085 (1154819.3)	 	 	 	1455_4	290	 	 	1517	 
Streptococcus agalactiae LMG 15090 (1105276.3)	 	 	 	892_4	1085	 	 	948	 
Streptococcus agalactiae LMG 15091 (1154820.3)	 	 	 	1468_4	1671	 	 	1405	 
Streptococcus agalactiae LMG 15092 (1154821.3)	 	 	 	1982_4	599	 	 	259	 
Streptococcus agalactiae LMG 15094 (1154823.3)	 	 	 	1688_4	733	 	 	1625	 
Streptococcus agalactiae LMG 15095 (1154824.3)	 	 	 	1755_4	1487	 	 	1817	 
Streptococcus agalactiae MRI Z1-012 (1154863.3)	 	 	 	599_4	561	 	 	1952	 
Streptococcus agalactiae MRI Z1-022 (1154864.3)	 	 	 	1015_4	2219	 	 	960	 
Streptococcus agalactiae MRI Z1-023 (1154865.3)	 	 	 	1148_4	283	 	 	583	 
Streptococcus agalactiae MRI Z1-025 (1154867.3)	 	 	 	744_4	1295	 	 	688	 
Streptococcus agalactiae MRI Z1-198 (1154835.3)	 	 	 	1697_4	715	 	 	1753	 
Streptococcus agalactiae MRI Z1-199 (1154836.3)	 	 	 	217_4	68	 	 	272	 
Streptococcus agalactiae MRI Z1-200 (1154837.3)	 	 	 	1768_4	1266	 	 	1823	 
Streptococcus agalactiae MRI Z1-201 (1154838.3)	 	 	 	1113_4	1344	 	 	1058	 
Streptococcus agalactiae MRI Z1-202 (1154839.3)	 	 	 	1748_4	1527	 	 	1803	 
Streptococcus agalactiae MRI Z1-203 (1154840.3)	 	 	 	1663_4	719	 	 	1608	 
Streptococcus agalactiae MRI Z1-204 (1154841.3)	 	 	 	1921_4	526	 	 	1866	 
Streptococcus agalactiae MRI Z1-205 (1154842.3)	 	 	 	1719_4	2058	 	 	1662	 
Streptococcus agalactiae MRI Z1-206 (1154843.3)	 	 	 	883_4	1784	 	 	827	 
Streptococcus agalactiae MRI Z1-211 (1154874.3)	 	 	 	1701_4	1246	 	 	1757	 
Streptococcus agalactiae MRI Z1-212 (1154875.3)	 	 	 	1678_4	1220	 	 	1622	 
Streptococcus agalactiae MRI Z1-213 (1154876.3)	 	 	 	1634_4	1864	 	 	1429	 
Streptococcus agalactiae MRI Z1-214 (1154877.3)	 	 	 	1386_4	1133	 	 	1443	 
Streptococcus agalactiae MRI Z1-215 (1154878.3)	 	 	 	1059_4	686	 	 	1117	 
Streptococcus agalactiae MRI Z1-216 (1154879.3)	 	 	 	1407_4	1031	 	 	1706	 
Streptococcus agalactiae MRI Z1-217 (1154880.3)	 	 	 	148_4	457	 	 	824	 
Streptococcus agalactiae MRI Z1-218 (1154881.3)	 	 	 	184_4	1415	 	 	128	 
Streptococcus agalactiae MRI Z1-219 (1154882.3)	 	 	 	1587_4	934	 	 	1643	 
Streptococcus agalactiae PR06 (1279012.3)	 	 	 	639_4	2048	 	 	695	 
Streptococcus agalactiae SA20-06 (1231389.3)	 	 	 	1444_4	279	 	 	1389	 
Streptococcus agalactiae SS1014 (1266070.3)	 	 	 	1547_4	296	 	 	1490	 
Streptococcus agalactiae SS1218 (1266068.3)	 	 	 	1453_4	55	 	 	1398	 
Streptococcus agalactiae SS1219 (1265684.3)	 	 	 	1475_4	560	 	 	1531	 
Streptococcus agalactiae STIR-CD-01 (1154844.3)	 	 	 	252_4	1351	 	 	1577	 
Streptococcus agalactiae STIR-CD-09 (1154846.3)	 	 	 	1370_4	1160	 	 	1426	 
Streptococcus agalactiae STIR-CD-14 (1154848.3)	 	 	 	1713_4	368	 	 	1769	 
Streptococcus agalactiae STIR-CD-17 (1097670.3)	 	 	 	745_4	1371	 	 	801	 
Streptococcus agalactiae STIR-CD-21 (1154849.3)	 	 	 	273_4	925	 	 	478	 
Streptococcus agalactiae STIR-CD-22 (1154850.3)	 	 	 	449_4	1490	 	 	168	 
Streptococcus agalactiae STIR-CD-23 (1154851.3)	 	 	 	1533_4	1420	 	 	228	 
Streptococcus agalactiae STIR-CD-24 (1154852.3)	 	 	 	534_4	1025	 	 	1832	 
Streptococcus agalactiae STIR-CD-26 (1154854.3)	 	 	 	1209_4	14	 	 	516	 
Streptococcus agalactiae STIR-CD-27 (1154855.3)	 	 	 	1201_4	504	 	 	600	 
Streptococcus agalactiae STIR-CD-28 (1154856.3)	 	 	 	776_4	890	 	 	208	 
Streptococcus agalactiae STIR-CD-29 (1154857.3)	 	 	 	112_4	756	 	 	57	 
Streptococcus agalactiae ZQ0910 (1156939.3)	 	 	 	464_4	1635	 	 	521	 
Streptococcus agalactiae NEM316 (211110.3)	 	 	 	1747_4	298	 	 	1690	 
Streptococcus agalactiae A909 (205921.4)	 	 	 	1636_4	300	 	 	1578	 
Streptococcus agalactiae 2603V/R (208435.3)	 	 	 	1671_4	294	 	 	1612	 
Streptococcus agalactiae str. Gottschalk 1002A (1105236.3)	 	 	 	1861_4	478	 	 	1916	 
