Organism	GndP	Gnd	Pgl	Rpe	Rpi	Tal	Tkt	Zwf
Staphylococcus aureus subsp. aureus CIG1242 (931436.3)	1624_18, 40_18	 	2092_32	1239_38	 	1907_41	1389_42	41_46
Staphylococcus aureus subsp. aureus CIG1267 (931452.3)	2095_18	 	2628_32	1703_38	 	2371_41	1853_42	 
Staphylococcus aureus subsp. aureus CIG149 (931453.3)	2187_18	 	2661_32	1770_38	 	2463_41	1920_42	 
Staphylococcus aureus subsp. aureus CIG1500 (931437.3)	2386_18	 	1790_32	2001_38	 	2665_41	2152_42	 
Staphylococcus aureus subsp. aureus CIG1524 (931454.3)	1912_18	 	2329_32	1610_38	 	2170_41	1750_42, 592_43, 593_44	1907_46
Staphylococcus aureus subsp. aureus CIG1605 (931438.3)	2296_18	 	1703_32	1909_38	 	2568_41	2060_42	 
Staphylococcus aureus subsp. aureus CIG1612 (931448.3)	2126_18	 	2533_32	1737_38	 	2389_41	1885_42	2120_46
Staphylococcus aureus subsp. aureus CIG1750 (931439.3)	2191_18	 	2607_32	1680_38	 	2465_41	1803_42	 
Staphylococcus aureus subsp. aureus CIG1769 (931440.3)	2037_18	 	2568_32	1823_38	 	2275_41	2615_42	 
Staphylococcus aureus subsp. aureus CIG1770 (931449.3)	2101_18	 	2535_32	1713_38	 	2282_41	1862_42	2095_46
Staphylococcus aureus subsp. aureus CIG1835 (931441.3)	1832_18	 	2260_32	1302_38	 	2087_41	1427_42	 
Staphylococcus aureus subsp. aureus CIG2018 (931450.3)	1868_18	 	2427_32	1552_38	 	2127_41	1700_42	1862_46
Staphylococcus aureus subsp. aureus CIG290 (931451.3)	2091_18	 	2485_32	1696_38	 	2347_41	1869_42	2086_46
Staphylococcus aureus subsp. aureus CIG547 (931442.3)	2120_18	 	2545_32	1827_38	 	2403_41	1950_42	 
Staphylococcus aureus subsp. aureus CIGC128 (931459.3)	1995_18	 	2427_32	1638_38	 	2250_41	1763_42	 
Staphylococcus aureus subsp. aureus CIGC340D (931455.3)	1895_18	 	2333_32	1605_38	 	2153_41	1728_42	 
Staphylococcus aureus subsp. aureus CIGC341D (931456.3)	2356_18	 	2786_32	1970_38	 	2630_41	2121_42	 
Staphylococcus aureus subsp. aureus CIGC345D (931457.3)	1937_18	 	2341_32	1638_38	 	2198_41	1766_42	 
Staphylococcus aureus subsp. aureus CIGC348 (931458.3)	2331_18	 	1864_32	2039_38	 	2545_41	2161_42	 
Staphylococcus aureus subsp. aureus CIGC93 (931460.3)	1553_18	 	1958_32	1265_38	 	1811_41	1392_42	 
Staphylococcus aureus subsp. aureus CM05 (1134842.3)	788_18	 	378_32	674_38	 	2364_41	578_42	 
Staphylococcus aureus subsp. aureus COL (93062.4)	1787_18	 	1952_32	1661_38	2391_39	496_41	1465_42	 
Staphylococcus aureus subsp. aureus D139 (585152.3)	1502_18	 	1899_32	1074_38	 	1122_41	1316_42	1492_46
Staphylococcus aureus subsp. aureus DSM 20231 (1241616.3)	977_18	 	1375_32	682_38	 	1234_41	810_42	 
Staphylococcus aureus subsp. aureus E1410 (585153.3)	1786_18	 	2550_32	2299_38	 	2055_41	2435_42	 
Staphylococcus aureus subsp. aureus ECT-R 2 (889933.4)	1341_18	 	1735_32	1057_38	 	1596_41	1179_42	1334_46
Staphylococcus aureus subsp. aureus ED133 (685039.3)	1579_18	 	2074_32	1275_38	 	1841_41	1409_42	 
Staphylococcus aureus subsp. aureus ED98 (681288.4)	1500_18	 	1959_32	1199_38	 	1792_41	1322_42	 
Staphylococcus aureus subsp. aureus EMRSA16 (585154.3)	1210_18	 	1966_32	1451_38	 	1810_41	1605_42	 
Staphylococcus aureus subsp. aureus GR1 (1144272.3)	998_18	 	1704_32	773_38	 	2007_41	1434_42	 
Staphylococcus aureus subsp. aureus H19 (585155.3)	1730_18	 	2517_32	1402_38	 	2013_41	1530_42	1721_46
Staphylococcus aureus subsp. aureus H29 (1258575.3)	2565_18	 	257_32	804_38	 	1539_41	929_42	 
Staphylococcus aureus subsp. aureus HO 5096 0412 (1074252.3)	1458_18	 	1863_32	1074_38	2264_39	1719_41	1207_42	 
Staphylococcus aureus subsp. aureus IS-105 (904781.3)	1628_18	 	1683_32	1814_38	931_39	1582_41	2263_42	 
Staphylococcus aureus subsp. aureus IS-111 (904782.3)	1144_18	 	2050_32	1093_38	 	1794_41	1499_42	 
Staphylococcus aureus subsp. aureus IS-122 (904783.3)	1256_18	 	624_32	2268_38	 	868_41	1323_42	 
Staphylococcus aureus subsp. aureus IS-189 (904787.3)	2900_18	 	2628_32	2731_38	 	1231_41	2528_42	 
Staphylococcus aureus subsp. aureus IS-250 (904789.3)	1593_18	 	994_32	705_38	 	1248_41	1429_42	25_46, 27_46, 28_46
Staphylococcus aureus subsp. aureus IS-3 (904775.3)	2539_18	 	2416_32	478_38	 	963_41	355_42	 
Staphylococcus aureus subsp. aureus IS-55 (904777.3)	1656_18	 	2543_32	2335_38	 	2438_41	2596_42	1648_46, 1649_46
Staphylococcus aureus subsp. aureus IS-88 (904778.3)	2452_18, 2453_18	 	2284_32	1278_38	 	1681_41	1976_42	 
Staphylococcus aureus subsp. aureus IS-99 (904780.3)	796_18	 	1339_32	2674_38	 	723_41	2544_42	 
Staphylococcus aureus subsp. aureus IS-K (904791.3)	1300_18	 	176_32	2049_38	 	1137_41	760_42	801_46, 803_46, 804_46
Staphylococcus aureus subsp. aureus JH1 (359787.11)	13_18, 1638_18	 	2062_32	1341_38	 	1912_41	1465_42	12_46
Staphylococcus aureus subsp. aureus JH9 (359786.13)	1659_18, 32_18	 	2092_32	1361_38	 	1937_41	1486_42	31_46
Staphylococcus aureus subsp. aureus JKD6159 (869816.3)	1522_18	 	1942_32	1136_38	2353_39	1785_41	1274_42	1510_46
Staphylococcus aureus subsp. aureus LCT-SA112 (1163749.3)	989_18	 	1394_32	623_38	 	1246_41	762_42	 
Staphylococcus aureus subsp. aureus LGA251 (985006.4)	1429_18	 	1823_32	1140_38	 	1683_41	1257_42	 
Staphylococcus aureus subsp. aureus M013 (1118959.3)	1490_18	 	1877_32	1131_38	 	1753_41	1258_42	 
Staphylococcus aureus subsp. aureus M1015 (585156.3)	1061_18	 	1479_32	692_38	 	1326_41	830_42	 
Staphylococcus aureus subsp. aureus M809 (585157.3)	1240_18	 	1130_32	943_38	 	1504_41	1079_42	 
Staphylococcus aureus subsp. aureus M876 (585158.3)	2028_18	 	2467_32	1666_38	 	2292_41	1797_42	 
Staphylococcus aureus subsp. aureus M899 (585159.3)	1585_18	 	1993_32	1272_38	 	1846_41	1404_42	 
Staphylococcus aureus subsp. aureus MN8 (548470.3)	2310_18	 	1964_32	144_38	 	2648_41	482_42	 
Staphylococcus aureus subsp. aureus MRGR3 (1137133.3)	2476_18	 	1310_32	107_38	 	1514_41	978_42	 
Staphylococcus aureus subsp. aureus MRSA131 (754025.3)	1173_18	 	1986_32	543_38	 	1809_41	415_42	 
Staphylococcus aureus subsp. aureus MRSA177 (754026.3)	544_18	 	2030_32	196_38	 	1643_41	648_42	 
Staphylococcus aureus subsp. aureus MRSA252 (282458.4)	1592_18	 	2027_32	1201_38	 	1870_41	1354_42	 
Staphylococcus aureus subsp. aureus MSHR1132 (985002.3)	1360_18	 	1778_32	1071_38	2171_39	1639_41	1196_42	1353_46
Staphylococcus aureus subsp. aureus MSSA476 (282459.5)	1509_18	 	1923_32	1202_38	 	1770_41	1332_42	 
Staphylococcus aureus subsp. aureus MW2 (196620.5)	1529_18	 	1938_32	1160_38	 	1790_41	1290_42	 
Staphylococcus aureus subsp. aureus Mu3 (418127.6)	1536_18	 	1961_32	1236_38	 	1813_41	1360_42	 
Staphylococcus aureus subsp. aureus Mu50 (158878.14)	1556_18	 	1990_32	1256_38	 	1837_41	1380_42	 
Staphylococcus aureus subsp. aureus Mu50-omega (585891.3)	1553_18	 	1988_32	1253_38	 	1834_41	1377_42	 
Staphylococcus aureus subsp. aureus N315 (158879.11)	1445_18	 	1875_32	1144_38	 	1722_41	1267_42	 
Staphylococcus aureus subsp. aureus NCTC 8325 (93061.5)	1461_18	 	1944_32	1092_38	 	1730_41	1221_42	 
Staphylococcus aureus subsp. aureus RN4220 (561307.5)	1181_18	 	137_32	213_38	 	1328_41	942_42	 
Staphylococcus aureus subsp. aureus NN50 (1112349.3)	1656_18	 	132_32	517_38	 	910_41	1893_42	 
Staphylococcus aureus subsp. aureus PB32 (1265302.3)	1193_18	 	269_32	2319_38	 	1825_41	565_42	1200_46
Staphylococcus aureus subsp. aureus 71193 (1155084.3)	1326_18	 	1714_32	1034_38	 	1581_41	1162_42	 
Staphylococcus aureus subsp. aureus DR10 (1155079.3)	144_18	 	1937_32	438_38	 	401_41	1401_42	 
Staphylococcus aureus subsp. aureus T0131 (1006543.3)	1481_18	 	1894_32	1180_38	 	1752_41	1310_42	 
Staphylococcus aureus subsp. aureus TCH130 (548474.3)	799_18	 	2555_32	1090_38	542_39	2067_41	963_42	 
Staphylococcus aureus subsp. aureus TCH60 (548473.6)	1591_18	 	1183_32	1963_38	 	1330_41	1820_42	1598_46
Staphylococcus aureus subsp. aureus TCH70 (548475.3)	500_18	 	2483_32	136_38	 	765_41	263_42	 
Staphylococcus aureus subsp. aureus TW20 (663951.4)	1613_18	 	2053_32	1297_38	 	1896_41	1431_42	 
Staphylococcus aureus subsp. aureus USA300 (367830.3)	2300_18	 	1959_32	300_38	 	1370_41	1149_42	 
Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3)	1597_18	 	2028_32	1226_38	 	1878_41	1355_42	 
Staphylococcus aureus subsp. aureus USA300_TCH1516 (451516.9)	1602_18	 	2018_32	1230_38	 	1867_41	1359_42	 
Staphylococcus aureus subsp. aureus VC40 (1028799.3)	1354_18	 	1762_32	1051_38	 	1617_41	1185_42	 
Staphylococcus aureus subsp. aureus VCU006 (904313.3)	2071_18	 	67_32	1772_38	 	1506_41	1900_42	 
Staphylococcus aureus subsp. aureus VH60 (1226740.3)	1920_18	 	1266_32	2348_38	 	1066_41	2474_42	 
Staphylococcus aureus subsp. aureus VRS1 (1116214.3)	1385_18	 	1821_32	1091_38	 	1680_41	1215_42	 
Staphylococcus aureus subsp. aureus VRS10 (1116223.3)	1471_18	 	1894_32	1114_38	 	1728_41	1237_42	 
Staphylococcus aureus subsp. aureus VRS11a (1116224.3)	1465_18	 	1866_32	1171_38	 	1723_41	1293_42	 
Staphylococcus aureus subsp. aureus VRS11b (1116225.3)	1436_18	 	1839_32	1140_38	 	1696_41	1265_42	 
Staphylococcus aureus subsp. aureus VRS2 (1116215.3)	1437_18	 	1834_32	1147_38	 	1693_41	1269_42	 
Staphylococcus aureus subsp. aureus VRS3a (1116216.3)	1349_18	 	1780_32	1058_38	 	1603_41	1181_42	 
Staphylococcus aureus subsp. aureus VRS4 (1116217.3)	1411_18	 	1825_32	1121_38	 	1674_41	1243_42	 
Staphylococcus aureus subsp. aureus VRS5 (1116218.3)	1388_18	 	1786_32	1098_38	 	1646_41	1220_42	 
Staphylococcus aureus subsp. aureus VRS6 (1116219.3)	1368_18	 	1779_32	1047_38	 	1623_41	1169_42	 
Staphylococcus aureus subsp. aureus VRS7 (1116220.3)	1460_18	 	1858_32	1167_38	 	1716_41	1289_42	 
Staphylococcus aureus subsp. aureus VRS8 (1116221.3)	1370_18	 	1767_32	1074_38	 	1625_41	1200_42	 
Staphylococcus aureus subsp. aureus VRS9 (1116222.3)	1468_18	 	1875_32	1112_38	 	1730_41	1234_42	 
Staphylococcus aureus subsp. aureus WBG10049 (585160.3)	1051_18	 	1464_32	687_38	 	1313_41	825_42	1044_46
Staphylococcus aureus subsp. aureus WW2703/97 (585161.3)	1227_18	 	1765_32	1080_38	 	1518_41	1189_42	 
Staphylococcus aureus subsp. aureus str. JKD6008 (546342.4)	1563_18	 	2043_32	1244_38	 	1841_41	1378_42	 
Staphylococcus aureus subsp. aureus str. JKD6009 (546343.3)	73_18	 	385_32	2068_38	 	1515_41	2139_42	 
Staphylococcus aureus subsp. aureus str. Newman (426430.8)	1542_18	 	2023_32	1238_38	 	1809_41	1366_42	 
Staphylococcus capitis QN1 (1189311.3)	272_18	 	1777_32	1955_38	1468_39	521_41	111_42	269_46
Staphylococcus capitis SK14 (553212.3)	1059_18	 	1849_32	1583_38	282_39	1369_41	894_42	1056_46
Staphylococcus capitis VCU116 (904334.4)	2242_18	 	714_32	1421_38	497_39	394_41	2079_42	2239_46
Staphylococcus caprae C87 (435838.3)	985_18	 	1391_32	700_38	1888_39	1235_41	821_42	982_46
Staphylococcus epidermidis 12142587 (1235440.3)	28_18	 	2204_32	335_38	1398_39	938_41	1602_43, 1603_44, 191_42	1178_46
Staphylococcus epidermidis 14.1.R1.SE (1000590.6)	634_18	 	1304_32	394_38	1565_39	214_41	1911_42	2228_46, 2230_46, 631_46
Staphylococcus epidermidis 41tr (1294271.3)	214_18	 	1170_32	94_38	 	798_41	1981_42	2324_46, 2325_46, 2326_46
Staphylococcus epidermidis 528m (1294272.3)	1404_18	 	565_32	230_38	 	2586_41	2201_42	2182_46, 2183_46, 2184_46
Staphylococcus epidermidis A487 (904143.3)	1013_18	 	1368_32	747_38	1712_39	1267_41	863_42	1010_46
Staphylococcus epidermidis ATCC 12228 (176280.10)	1162_18	 	1569_32	870_38	 	1414_41	1000_42	1159_46, 677_46, 679_46
Staphylococcus epidermidis AU12-03 (1220510.3)	298_18	 	1998_32	575_38	 	49_41	451_42	301_46, 779_46
Staphylococcus epidermidis BCM-HMP0060 (525374.3)	1536_18	 	2132_32	1198_38	 	1784_41	1323_42	1533_46, 930_46, 931_46
Staphylococcus epidermidis BVS058A4 (883130.3)	797_18	 	1952_32	518_38	1283_39	1044_41	637_42	1697_46, 794_46
Staphylococcus epidermidis FRI909 (764544.3)	862_18	 	2109_32	355_38	186_39	1111_41	554_42	28_46, 859_46
Staphylococcus epidermidis M0881 (1213731.3)	979_18	 	1339_32	695_38	 	1228_41	818_42	505_46
Staphylococcus epidermidis M23864:W2(grey) (525375.3)	133_18	 	2192_32	414_38	 	1341_41	291_42	600_46, 602_46
Staphylococcus epidermidis NIH04003 (1155132.3)	885_18	 	2127_32	603_38	 	1138_41	727_42	415_46, 417_46
Staphylococcus epidermidis NIH04008 (979222.3)	536_18	 	2511_32	1325_38	 	1985_41	368_42	1602_46, 1603_46
Staphylococcus epidermidis NIH05001 (979221.3)	144_18	 	105_32	312_38	 	1384_41	726_42	1759_46, 1760_46
Staphylococcus epidermidis NIH05003 (1155133.3)	879_18	 	2045_32	599_38	 	1129_41	723_42	410_46, 412_46
Staphylococcus epidermidis NIH05005 (979220.3)	550_18	 	1638_32	883_38	 	1744_41	759_42	151_46, 152_46
Staphylococcus epidermidis NIH051475 (1155130.3)	926_18	 	2133_32	645_38	 	1179_41	769_42	438_46, 439_46, 441_46, 923_46
Staphylococcus epidermidis NIH051668 (1155131.3)	925_18	 	2207_32	594_38	 	1177_41	764_42	406_46, 407_46
Staphylococcus epidermidis NIH06004 (1155134.3)	1822_18, 2423_18	 	2182_32	978_38	 	2074_41	1663_42	1230_46, 1232_46, 2422_46
Staphylococcus epidermidis NIH08001 (1155135.3)	2282_18, 305_18	 	2132_32	587_38	 	54_41	465_42	2281_46, 776_46, 778_46
Staphylococcus epidermidis NIHLM001 (979219.3)	369_18	 	1483_32	1081_38	1960_39	1707_41	1809_42	248_46, 249_46, 251_46, 366_46
Staphylococcus epidermidis NIHLM003 (979218.3)	773_18	 	1508_32	1257_38	 	1022_41	1090_42	173_46, 174_46
Staphylococcus epidermidis NIHLM008 (979217.3)	317_18	 	2253_32	600_38	1353_39	65_41	476_42	792_46, 794_46, 795_46
Staphylococcus epidermidis NIHLM015 (979216.3)	900_18	 	1300_32	626_38	1624_39	1148_41	745_42	897_46
Staphylococcus epidermidis NIHLM018 (979215.3)	533_18	 	1417_32	936_38	 	1607_41	456_42	16_46, 17_46
Staphylococcus epidermidis NIHLM020 (979213.3)	992_18	 	1806_32	707_38	 	638_41	832_42	97_46, 99_46
Staphylococcus epidermidis NIHLM021 (979212.3)	842_18	 	1732_32	115_38	 	537_41	760_42	211_46, 213_46, 214_46
Staphylococcus epidermidis NIHLM023 (979211.3)	749_18	 	1877_32	1268_38	2260_39	1208_41	2146_42	1734_46, 1735_46, 1737_46, 746_46
Staphylococcus epidermidis NIHLM031 (979214.3)	822_18	 	2079_32	368_38	516_39	78_41	653_42	819_46, 937_46, 939_46, 940_46
Staphylococcus epidermidis NIHLM037 (979210.3)	1020_18	 	1642_32	539_38	279_39	1272_41	377_42	1017_46
Staphylococcus epidermidis NIHLM039 (979209.3)	659_18	 	184_32	943_38	 	407_41	818_42	1133_46, 1135_46, 662_46
Staphylococcus epidermidis NIHLM040 (979208.3)	364_18	 	2014_32	1362_38	2364_39	619_41	195_42	949_46
Staphylococcus epidermidis NIHLM049 (979207.3)	1405_18	 	208_32	1126_38	 	1656_41	1248_42	869_46, 870_46, 872_46
Staphylococcus epidermidis NIHLM053 (979206.3)	853_18	 	1769_32	729_38	151_39	1575_41	1809_42	1662_46, 850_46
Staphylococcus epidermidis NIHLM057 (979205.3)	1562_18	 	2003_32	714_38	322_39	1418_41	2077_42	1559_46, 1692_46
Staphylococcus epidermidis NIHLM061 (979204.3)	623_18	 	85_32	898_38	1771_39	373_41	780_42	1106_46, 1109_46, 626_46
Staphylococcus epidermidis NIHLM067 (979203.3)	761_18	 	1540_32	978_38	 	1978_41	611_42	568_46, 569_46, 571_46
Staphylococcus epidermidis NIHLM087 (979201.3)	855_18	 	1951_32	529_38	1244_39	1416_41	694_42	 
Staphylococcus epidermidis NIHLM088 (979200.3)	828_18	 	1613_32	560_38	 	2397_41	35_42	357_46, 358_46
Staphylococcus epidermidis NIHLM095 (979199.3)	778_18	 	1903_32	1112_38	236_39	1605_41	941_42	 
Staphylococcus epidermidis RP62A (176279.9)	1043_18	 	1426_32	766_38	 	1303_41	890_42	574_46, 576_46
Staphylococcus epidermidis SK135 (596317.3)	1609_18	 	62_32	1893_38	 	1343_41	1767_42	1018_46, 1019_46, 1612_46
Staphylococcus epidermidis UC7032 (1327991.3)	2184_18	 	290_32	1604_38	899_39	1231_41	677_42	1414_46, 1415_46, 2187_46
Staphylococcus epidermidis VCU028 (904317.3)	214_18	 	1592_32	912_38	 	471_41	1074_42	210_46, 211_46, 2128_46, 2129_46
Staphylococcus epidermidis VCU037 (904319.3)	493_18	 	202_32	1798_38	 	132_41	1674_42	2054_46, 2056_46, 490_46
Staphylococcus epidermidis VCU041 (904320.3)	2249_18	 	697_32	1929_38	 	378_41	1556_42	1511_46, 1513_46
Staphylococcus epidermidis VCU045 (904321.3)	1496_18	 	1779_32	887_38	 	1194_41	763_42	110_46
Staphylococcus epidermidis VCU065 (904324.3)	1013_18	 	1679_32	1210_38	 	865_41	1481_42	1010_46, 527_46, 529_46
Staphylococcus epidermidis VCU071 (904325.3)	667_18	 	1321_32	149_38	1756_39	2061_41	503_42	 
Staphylococcus epidermidis VCU081 (904326.3)	973_18	 	548_32	1152_38	 	474_41	398_42	1389_46, 1390_46, 1392_46, 970_46
Staphylococcus epidermidis VCU105 (904328.3)	1853_18	 	625_32	412_38	 	1019_41	1216_42	1850_46, 827_46, 829_46
Staphylococcus epidermidis VCU107 (904329.3)	1119_18	 	269_32	843_38	 	1714_41	334_42	1116_46, 2186_46, 2188_46, 2189_46
Staphylococcus epidermidis VCU109 (904330.3)	1119_18	 	269_32	843_38	 	1714_41	334_42	1116_46, 2186_46, 2188_46, 2189_46
Staphylococcus epidermidis VCU116 (904334.3)	2243_18	 	714_32	1423_38	497_39	394_41	2080_42	2240_46
Staphylococcus epidermidis VCU117 (904335.3)	2096_18	 	2225_32	1749_38	 	844_41	926_42	293_46, 295_46
Staphylococcus epidermidis VCU118 (904336.3)	1216_18	 	1864_32	527_38	1555_39	2269_41	1711_42	1213_46, 1653_46
Staphylococcus epidermidis VCU120 (904337.3)	326_18	 	1440_32	591_38	 	2191_41	468_42	780_46, 782_46, 783_46
Staphylococcus epidermidis VCU123 (904340.3)	955_18	 	1470_32	1286_38	 	2104_41	1076_42	1906_46, 1908_46, 958_46
Staphylococcus epidermidis VCU125 (904341.3)	1808_18	 	2075_32	1227_38	 	1889_41	1060_42	1664_46, 1666_46
Staphylococcus epidermidis VCU126 (904342.3)	2083_18	 	1439_32	1113_38	 	1470_41	642_42	1715_46, 1717_46
Staphylococcus epidermidis VCU127 (904343.3)	1205_18, 2_18	 	2230_32	966_38	 	2172_41	199_42	1_46, 1729_46, 1730_46, 1732_46
Staphylococcus epidermidis VCU128 (904344.3)	216_18	 	1654_32	1552_38	2366_39	939_41	955_42	1801_46, 1803_46, 213_46
Staphylococcus epidermidis VCU129 (904345.3)	301_18	 	1541_32	1220_38	573_39	2226_41	1075_42	298_46
Staphylococcus epidermidis VCU144 (904347.3)	1570_18	 	1035_32	544_38	 	517_41	1737_42	1567_46, 628_46, 629_46
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	2425_18	 	116_32	2055_38	421_39, 460_40	2686_41	2186_42	2421_46
Staphylococcus haemolyticus JCSC1435 (279808.8)	1386_18	 	1018_32	1669_38	 	1128_41	1542_42	 
Staphylococcus haemolyticus R1P1 (1134914.3)	1384_18	 	1198_32	390_38	1496_39	2220_41	1308_42	 
Staphylococcus hominis SK119 (629742.3)	1699_18, 1918_18	 	2168_32	895_38	549_39	1748_41	1185_42	1698_46, 1915_46
Staphylococcus hominis VCU122 (904339.3)	1458_18	 	265_32	1910_38	2022_39	1137_41	782_42	1455_46
Staphylococcus hominis subsp. hominis C80 (435837.3)	1405_18	 	914_32	1668_38	647_39	1165_41	1549_42	1408_46
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	1024_18, 2098_18	 	865_32	53_38	458_39	2223_41	168_42	1023_46, 2101_46
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	406_18	 	49_32	681_38	1347_39	158_41	558_42	410_46
Staphylococcus lugdunensis HKU09-01 (698737.3)	1342_18	 	985_32	1626_38	691_39	1092_41	1496_42	1346_46
Staphylococcus lugdunensis M23590 (525377.3)	341_18	 	2288_32	615_38	1356_39	44_41	496_42	345_46
Staphylococcus lugdunensis N920143 (1034809.4)	1386_18	 	1032_32	1659_38	690_39	1139_41	1538_42	1390_46
Staphylococcus pettenkoferi VCU012 (904314.5)	2283_18, 980_18	 	2062_32	1232_38	967_39	678_41	1177_42	2281_46, 981_46
Staphylococcus pseudintermedius ED99 (984892.3)	1190_18	 	772_32	1467_38	459_39	922_41	1327_42	1195_46
Staphylococcus pseudintermedius HKU10-03 (937773.3)	1204_18	 	1672_32	927_38	1998_39	1542_41	1071_42	1199_46
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	1246_18	 	869_32	1552_38	531_40, 573_39	983_41	1419_42	1250_46
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	1480_18	 	2164_32	1136_38	175_39	1720_41	1329_42	1478_46
Staphylococcus vitulinus F1028 (1167632.5)	1024_18	 	1615_32	1209_38, 842_38	2465_39, 253_40	2419_41	952_42	2345_46
Staphylococcus warneri L37603 (596319.3)	1827_18	 	2154_32	493_38	1864_39	2034_41	1211_42	1013_46
Staphylococcus warneri SG1 (1194526.3)	100_18, 1229_18, 2420_18	 	875_32	1495_38	569_39	976_41	1378_42	1232_46, 2421_46, 99_46
Staphylococcus xylosus NJ (1262650.3)	2570_18	 	1480_32	2279_38	1263_40, 842_39	209_41	2403_42	2566_46
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	 	1453_38	 	2644_41	1879_42, 2477_44, 2478_43	 
Aerococcus viridans ATCC 11563 (655812.3)	1560_18	 	230_32	1410_38	1473_39	603_41	602_42	433_46
Aerococcus viridans LL1 (1175629.3)	1337_18, 872_18	 	742_32	431_38	127_39	957_41	956_42	560_46
Granulicatella adiacens ATCC 49175 (638301.3)	1117_18	 	4_32	1360_38	 	 	1578_43, 1579_44, 388_42	 
Granulicatella elegans ATCC 700633 (626369.3)	701_18	 	1505_32	1178_38	932_39	1081_41	1153_42, 694_42	91_46
Enterococcus asini ATCC 700915 (1158606.4)	3_18, 339_18	 	460_32	567_38	876_39	690_41	2309_42	1569_46
Enterococcus avium ATCC 14025 (1140002.4)	2574_18	 	2034_32	2772_38, 4296_38, 4498_38, 690_38	1761_40, 1891_40, 215_39	1654_41, 1760_41, 1889_41	1097_44, 1098_43, 1752_43, 1753_44, 1870_42, 309_43, 310_44, 3900_42	2158_46
Enterococcus caccae ATCC BAA-1240 (1158612.4)	2104_18	 	1729_32	2353_38	2166_39	 	3094_44, 3095_43, 930_42	1405_46
Enterococcus casseliflavus ATCC 12755 (888066.3)	2537_18	 	3276_32	2317_38, 95_38	 	 	1591_43, 1592_44, 1904_42, 3431_42, 500_42, 58_43, 59_44	2633_46
Enterococcus casseliflavus EC10 (565654.4)	1982_18, 2125_18	 	1954_32	3147_38	 	 	1163_43, 1164_44, 1678_43, 1679_44, 468_42	 
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	1155_18	 	883_32	349_38	55_39	 	2034_42	1531_46
Enterococcus dispar ATCC 51266 (1139219.4)	2404_18, 2418_18, 724_18	 	2112_32	1951_38	1478_39	 	425_42	2524_46
Enterococcus durans ATCC 6056 (1140001.4)	919_18	 	491_32	2738_38	85_39	 	2393_42	775_46
Enterococcus durans FB129-CNAB-4 (883162.3)	1037_18, 401_18	 	782_32	2390_38	1791_39	1048_41	78_42	520_46
Enterococcus durans IPLA 655 (1288492.4)	9_18	 	2107_32	79_38	2751_39	 	472_42	2836_46
Enterococcus faecalis 12030 (1169282.3)	1472_18, 676_18	 	2218_32	2712_38, 2724_38, 699_38	200_39, 2721_40	 	1923_42	1426_46
Enterococcus faecalis 12107 (1158664.3)	2522_18, 858_18	 	1607_32	2499_38	226_39	 	1354_42	 
Enterococcus faecalis 1448E03 (1151193.3)	1000_18, 2599_18	 	1718_32	1391_38, 2576_38	 	 	1452_42	 
Enterococcus faecalis 182970 (1151194.3)	1526_18, 2257_18	 	903_32	2280_38, 393_38	 	2498_41	332_42	 
Enterococcus faecalis 19116 (1151195.3)	1662_18, 2311_18	 	212_32	2053_38, 2334_38	 	 	2114_42	 
Enterococcus faecalis 2630V05 (1151196.3)	2132_18, 2535_18	 	901_32	2558_38, 436_38	 	2149_41	497_42	 
