Organism	UbiC	UbiA	UbiXDZ	UbiI	UbiG	UbiH	UbiE	MenG	UbiF
Enterococcus faecalis SF105 (1158658.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF1592 (1158630.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF19 (1158629.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF21520 (1169313.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF21521 (1158668.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24396 (1158665.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24397 (1158618.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF24413 (1158619.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF26630 (1158620.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF28073 (1158624.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF339 (1169305.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF350 (1169251.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF370 (1158655.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF5039 (1169252.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SF6375 (1169280.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SS-6 (1158621.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis SS-7 (1169298.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T1 (565636.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T10 (1169295.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T11 (565640.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T12 (1169287.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T13 (1158663.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T14 (1158626.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T16 (1158662.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T17 (1169292.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T18 (1169296.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T19 (1169300.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T2 (565637.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T20 (1169285.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T21 (1158669.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T3 (565638.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T4 (1169253.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T5 (1169293.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T6 (1169291.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T7 (1169254.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T8 (565639.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis T9 (1169294.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TR161 (1169314.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TR197 (1169307.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TUSoD Ef11 (553209.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0012 (749496.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0017 (749497.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0027 (749498.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0031 (749499.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0043 (749500.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0102 (749501.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0104 (491074.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0109 (749502.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0309A (749503.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0309B (749504.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0312 (749505.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0411 (749506.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0470 (749507.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0630 (749508.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0635 = WH245 (749509.5)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0645 (749510.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0855 (749511.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX0860 (749512.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX1322 (525278.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX1337RF (1134802.3)	 	 	2012_6	 	 	 	 	 	 
Enterococcus faecalis TX1341 (749514.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX1346 (749516.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX2134 (749518.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX2137 (749491.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX2141 (749492.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX4000 (749493.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX4244 (749494.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis TX4248 (749495.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA1014 (1158546.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA1180 (1158552.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA1489 (1158976.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA409 (1158637.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA702 (1158640.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA769 (1157369.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA823 (1157370.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA902 (1157371.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA903 (1157372.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA904 (1157373.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA905 (1157374.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA906 (1157375.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA907 (1157376.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA943 (1157377.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis UAA948 (1158542.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis V583 (226185.9)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis V587 (1158623.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis WH257 (1158628.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis WH571 (1158631.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis X98 (565641.4)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis YI6-1 (1158667.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis str. 'C 19315 led 1b pp (SCV)' (1151192.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecalis str. Symbioflor 1 (1261557.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecium 1,141,733 (565659.3)	 	 	2444_6	 	 	 	 	 	 
Enterococcus faecium 1,230,933 (565656.3)	 	 	1010_6	 	 	 	 	 	 
Enterococcus faecium 1,231,408 (565661.4)	 	 	1553_6	 	 	 	 	 	 
Enterococcus faecium 1,231,410 (565660.4)	 	 	1574_6	 	 	 	 	 	 
Enterococcus faecium 1,231,501 (565658.4)	 	 	2441_6	 	 	 	 	 	 
Enterococcus faecium 1,231,502 (565657.5)	 	 	670_6	 	 	 	 	 	 
Enterococcus faecium 109 A1 (1157416.3)	 	 	372_6	 	 	 	 	 	 
Enterococcus faecium 2006-70-121 (1157417.3)	 	 	 	 	 	 	 	 	 
Enterococcus faecium 504 (1134805.3)	 	 	1524_6	 	 	 	 	 	 
Enterococcus faecium 505 (1134806.3)	 	 	1040_6	 	 	 	 	 	 
Enterococcus faecium 7330381-1 (1157419.3)	 	 	627_6	 	 	 	 	 	 
Enterococcus faecium 7330446-2 (1157420.3)	 	 	2346_6	 	 	 	 	 	 
Enterococcus faecium 7330519-3 (1157421.3)	 	 	409_6	 	 	 	 	 	 
Enterococcus faecium 7330614-1 (1157422.3)	 	 	401_6	 	 	 	 	 	 
Enterococcus faecium 7330884-2 (1157423.3)	 	 	391_6	 	 	 	 	 	 
Enterococcus faecium 7430166-3 (1157424.3)	 	 	401_6	 	 	 	 	 	 
Enterococcus faecium 841V03 (1157425.3)	 	 	403_6	 	 	 	 	 	 
Enterococcus faecium 9730219-1 (1157429.3)	 	 	404_6	 	 	 	 	 	 
Enterococcus faecium 9730357-1 (1157430.3)	 	 	560_6	 	 	 	 	 	 
Enterococcus faecium 9731349-1 (1157431.3)	 	 	382_6	 	 	 	 	 	 
Enterococcus faecium 9731352-4 (1157432.3)	 	 	401_6	 	 	 	 	 	 
Enterococcus faecium 9830091-5 (1157433.3)	 	 	405_6	 	 	 	 	 	 
Enterococcus faecium 9830512-2 (1157435.3)	 	 	402_6	 	 	 	 	 	 
Enterococcus faecium 9830565-4 (1157437.3)	 	 	543_6	 	 	 	 	 	 
Enterococcus faecium 9930238-2 (1157440.3)	 	 	345_6	 	 	 	 	 	 
Enterococcus faecium 9931110-4 (1157441.3)	 	 	406_6	 	 	 	 	 	 
Enterococcus faecium A17 Sv1 (1157442.3)	 	 	403_6	 	 	 	 	 	 
Enterococcus faecium ATCC 8459 (1158600.4)	 	 	175_6	 	 	 	 	 	 
Enterococcus faecium Aus0004 (1155766.14)	 	 	433_6	 	 	 	 	 	 
Enterococcus faecium C309 (1176489.3)	 	 	1969_6	 	 	 	 	 	 
Enterococcus faecium C68 (565664.3)	 	 	263_6	 	 	 	 	 	 
Enterococcus faecium CRL1879 (1295527.3)	 	 	203_6	 	 	 	 	 	 
Enterococcus faecium Com12 (565662.4)	 	 	1230_6	 	 	 	 	 	 
Enterococcus faecium Com15 (565663.4)	 	 	2328_6	 	 	 	 	 	 
Enterococcus faecium D344SRF (565665.3)	 	 	2089_6	 	 	 	 	 	 
Enterococcus faecium E0045 (1138880.3)	 	 	1894_6	 	 	 	 	 	 
Enterococcus faecium E0120 (1138881.3)	 	 	1781_6	 	 	 	 	 	 
Enterococcus faecium E0164 (1138882.3)	 	 	1181_6	 	 	 	 	 	 
Enterococcus faecium E0269 (1138883.3)	 	 	1552_6	 	 	 	 	 	 
Enterococcus faecium E0333 (1138884.3)	 	 	2026_6	 	 	 	 	 	 
Enterococcus faecium E0679 (1138885.3)	 	 	1796_6	 	 	 	 	 	 
Enterococcus faecium E0680 (1138886.3)	 	 	2206_6	 	 	 	 	 	 
Enterococcus faecium E0688 (1138887.3)	 	 	1895_6	 	 	 	 	 	 
Enterococcus faecium E1007 (1138888.3)	 	 	1879_6	 	 	 	 	 	 
Enterococcus faecium E1039 (645663.4)	 	 	1572_6	 	 	 	 	 	 
Enterococcus faecium E1050 (1138889.3)	 	 	394_6	 	 	 	 	 	 
Enterococcus faecium E1071 (535205.4)	 	 	1109_6	 	 	 	 	 	 
Enterococcus faecium E1133 (1138890.3)	 	 	2015_6	 	 	 	 	 	 
Enterococcus faecium E1162 (535206.4)	 	 	1412_6	 	 	 	 	 	 
Enterococcus faecium E1185 (1138891.3)	 	 	2582_6	 	 	 	 	 	 
Enterococcus faecium E1258 (1138892.3)	 	 	1386_6	 	 	 	 	 	 
Enterococcus faecium E1293 (1138893.3)	 	 	466_6	 	 	 	 	 	 
Enterococcus faecium E1321 (1138930.3)	 	 	2346_6	 	 	 	 	 	 
Enterococcus faecium E1392 (1138894.3)	 	 	1169_6	 	 	 	 	 	 
Enterococcus faecium E1552 (1138895.3)	 	 	1267_6	 	 	 	 	 	 
Enterococcus faecium E1573 (1138896.3)	 	 	1609_6	 	 	 	 	 	 
Enterococcus faecium E1574 (1138897.3)	 	 	1699_6	 	 	 	 	 	 
Enterococcus faecium E1575 (1138898.3)	 	 	2196_6	 	 	 	 	 	 
Enterococcus faecium E1576 (1138899.3)	 	 	1144_6	 	 	 	 	 	 
Enterococcus faecium E1578 (1138900.3)	 	 	397_6	 	 	 	 	 	 
Enterococcus faecium E1590 (1138901.3)	 	 	2025_6	 	 	 	 	 	 
Enterococcus faecium E1604 (1138902.3)	 	 	2056_6	 	 	 	 	 	 
Enterococcus faecium E1613 (1138903.3)	 	 	2225_6	 	 	 	 	 	 
Enterococcus faecium E1620 (1138904.3)	 	 	690_6	 	 	 	 	 	 
Enterococcus faecium E1622 (1138905.3)	 	 	1387_6	 	 	 	 	 	 
Enterococcus faecium E1623 (1138906.3)	 	 	1223_6	 	 	 	 	 	 
Enterococcus faecium E1626 (1138907.3)	 	 	1595_6	 	 	 	 	 	 
Enterococcus faecium E1627 (1138908.3)	 	 	1335_6	 	 	 	 	 	 
Enterococcus faecium E1630 (1138909.3)	 	 	1726_6	 	 	 	 	 	 
Enterococcus faecium E1634 (1138910.3)	 	 	856_6	 	 	 	 	 	 
Enterococcus faecium E1636 (544875.4)	 	 	81_6	 	 	 	 	 	 
Enterococcus faecium E1644 (1138931.3)	 	 	368_6	 	 	 	 	 	 
Enterococcus faecium E1731 (1138913.3)	 	 	1368_6	 	 	 	 	 	 
Enterococcus faecium E1861 (1138914.3)	 	 	1356_6	 	 	 	 	 	 
Enterococcus faecium E1904 (1138915.3)	 	 	1655_6	 	 	 	 	 	 
Enterococcus faecium E1972 (1138916.3)	 	 	1984_6	 	 	 	 	 	 
Enterococcus faecium E2039 (1138917.3)	 	 	1376_6	 	 	 	 	 	 
Enterococcus faecium E2071 (1138918.3)	 	 	1869_6	 	 	 	 	 	 
Enterococcus faecium E2134 (1138919.3)	 	 	1862_6	 	 	 	 	 	 
Enterococcus faecium E2297 (1138920.3)	 	 	409_6	 	 	 	 	 	 
Enterococcus faecium E2369 (1138932.3)	 	 	1349_6	 	 	 	 	 	 
Enterococcus faecium E2560 (1138933.3)	 	 	1525_6	 	 	 	 	 	 
Enterococcus faecium E2620 (1138921.3)	 	 	1838_6	 	 	 	 	 	 
Enterococcus faecium E2883 (1138922.3)	 	 	92_6	 	 	 	 	 	 
Enterococcus faecium E2966 (1138923.3)	 	 	403_6	 	 	 	 	 	 
Enterococcus faecium E3083 (1138924.3)	 	 	1364_6	 	 	 	 	 	 
Enterococcus faecium E3346 (1138925.3)	 	 	1630_6	 	 	 	 	 	 
Enterococcus faecium E3548 (1138926.3)	 	 	1372_6	 	 	 	 	 	 
Enterococcus faecium E4215 (1138929.3)	 	 	1102_6	 	 	 	 	 	 
Enterococcus faecium E4389 (1138934.3)	 	 	2444_6	 	 	 	 	 	 
Enterococcus faecium E6012 (1138935.3)	 	 	1822_6	 	 	 	 	 	 
Enterococcus faecium E6045 (1138936.3)	 	 	543_6	 	 	 	 	 	 
Enterococcus faecium E8sv3 (1157443.3)	 	 	404_6	 	 	 	 	 	 
Enterococcus faecium E980 (529885.3)	 	 	2454_6	 	 	 	 	 	 
Enterococcus faecium ERV1 (1134819.3)	 	 	2212_6	 	 	 	 	 	 
Enterococcus faecium EnGen0305 (1158641.3)	 	 	1809_6	 	 	 	 	 	 
Enterococcus faecium EnGen0308 (1158642.3)	 	 	1932_6	 	 	 	 	 	 
Enterococcus faecium EnGen0312 (1158652.3)	 	 	1087_6	 	 	 	 	 	 
Enterococcus faecium EnGen0314 (1158646.3)	 	 	445_6	 	 	 	 	 	 
Enterococcus faecium EnGen0316 (1158647.3)	 	 	449_6	 	 	 	 	 	 
Enterococcus faecium EnGen0318 (1158648.3)	 	 	1490_6	 	 	 	 	 	 
Enterococcus faecium EnGen0319 (1158649.3)	 	 	450_6	 	 	 	 	 	 
Enterococcus faecium EnGen0321 (1158650.3)	 	 	453_6	 	 	 	 	 	 
Enterococcus faecium EnGen0323 (1158651.3)	 	 	788_6	 	 	 	 	 	 
Enterococcus faecium EnGen0375 (1138937.4)	 	 	1127_6	 	 	 	 	 	 
Enterococcus faecium EnGen0376 (1138938.4)	 	 	281_6	 	 	 	 	 	 
Enterococcus faecium EnGen0377 (1138939.4)	 	 	452_6	 	 	 	 	 	 
Enterococcus faecium F9730129-1 (1157479.3)	 	 	362_6	 	 	 	 	 	 
Enterococcus faecium H17243 (1157444.3)	 	 	397_6	 	 	 	 	 	 
Enterococcus faecium H17575 (1157446.3)	 	 	407_6	 	 	 	 	 	 
Enterococcus faecium HF50104 (1157480.3)	 	 	409_6	 	 	 	 	 	 
Enterococcus faecium HF50105 (1157481.3)	 	 	405_6	 	 	 	 	 	 
Enterococcus faecium HF50106 (1157482.3)	 	 	405_6	 	 	 	 	 	 
Enterococcus faecium HF50203 (1157483.3)	 	 	393_6	 	 	 	 	 	 
Enterococcus faecium HF50204 (1157484.3)	 	 	664_6	 	 	 	 	 	 
Enterococcus faecium HF50215 (1157485.3)	 	 	407_6	 	 	 	 	 	 
Enterococcus faecium HM1071 (1157447.3)	 	 	858_6	 	 	 	 	 	 
Enterococcus faecium HM1072 (1157487.3)	 	 	2867_6	 	 	 	 	 	 
Enterococcus faecium HM1073 (1157486.3)	 	 	451_6	 	 	 	 	 	 
Enterococcus faecium HM1074 (1157448.3)	 	 	1760_6	 	 	 	 	 	 
Enterococcus faecium LCT-EF128 (1178528.3)	 	 	391_6	 	 	 	 	 	 
Enterococcus faecium LCT-EF20 (1245477.3)	 	 	160_6	 	 	 	 	 	 
Enterococcus faecium LCT-EF258 (1245478.3)	 	 	565_6	 	 	 	 	 	 
Enterococcus faecium LCT-EF90 (1167697.3)	 	 	561_6	 	 	 	 	 	 
Enterococcus faecium NRRL B-2354 (1104325.3)	 	 	381_6	 	 	 	 	 	 
Enterococcus faecium PC4.1 (791161.5)	 	 	1612_6	 	 	 	 	 	 
Enterococcus faecium S658-3 (1157451.3)	 	 	404_6	 	 	 	 	 	 
Enterococcus faecium TC 6 (565666.3)	 	 	284_6	 	 	 	 	 	 
Enterococcus faecium TX0082 (749520.3)	 	 	2539_6	 	 	 	 	 	 
Enterococcus faecium TX0133A (749521.3)	 	 	2878_6	 	 	 	 	 	 
Enterococcus faecium TX0133B (749524.3)	 	 	2040_6	 	 	 	 	 	 
Enterococcus faecium TX0133C (749525.3)	 	 	2753_6	 	 	 	 	 	 
Enterococcus faecium TX0133a04 (749523.3)	 	 	2148_6	 	 	 	 	 	 
Enterococcus faecium TX1330 (525279.3)	 	 	1415_6	 	 	 	 	 	 
Enterococcus faecium U0317 (547468.4)	 	 	2285_6	 	 	 	 	 	 
Enterococcus faecium UAA1007 (1158545.3)	 	 	407_6	 	 	 	 	 	 
Enterococcus faecium UAA1019 (1158547.3)	 	 	426_6	 	 	 	 	 	 
Enterococcus faecium UAA1022 (1158548.3)	 	 	399_6	 	 	 	 	 	 
Enterococcus faecium UAA1023 (1158549.3)	 	 	1023_6	 	 	 	 	 	 
Enterococcus faecium UAA1024 (1158550.3)	 	 	2129_6	 	 	 	 	 	 
Enterococcus faecium UAA1025 (1158551.3)	 	 	429_6	 	 	 	 	 	 
Enterococcus faecium UAA1280 (1158553.3)	 	 	430_6	 	 	 	 	 	 
Enterococcus faecium UAA1433 (1158554.3)	 	 	418_6	 	 	 	 	 	 
Enterococcus faecium UAA1484 (1158555.3)	 	 	400_6	 	 	 	 	 	 
Enterococcus faecium UAA210 (1158635.3)	 	 	461_6	 	 	 	 	 	 
Enterococcus faecium UAA407 (1158636.3)	 	 	594_6	 	 	 	 	 	 
Enterococcus faecium UAA430 (1158638.3)	 	 	391_6	 	 	 	 	 	 
Enterococcus faecium UAA431 (1158639.3)	 	 	407_6	 	 	 	 	 	 
Enterococcus faecium UAA714 (1157453.3)	 	 	2625_6	 	 	 	 	 	 
Enterococcus faecium UAA715 (1157454.3)	 	 	404_6	 	 	 	 	 	 
Enterococcus faecium UAA716 (1157455.3)	 	 	436_6	 	 	 	 	 	 
Enterococcus faecium UAA718 (1157456.3)	 	 	405_6	 	 	 	 	 	 
Enterococcus faecium UAA719 (1157457.3)	 	 	389_6	 	 	 	 	 	 
Enterococcus faecium UAA720 (1157458.3)	 	 	553_6	 	 	 	 	 	 
Enterococcus faecium UAA721 (1157459.3)	 	 	412_6	 	 	 	 	 	 
Enterococcus faecium UAA722 (1157460.3)	 	 	396_6	 	 	 	 	 	 
Enterococcus faecium UAA723 (1157461.3)	 	 	466_6	 	 	 	 	 	 
Enterococcus faecium UAA724 (1157462.3)	 	 	2394_6	 	 	 	 	 	 
Enterococcus faecium UAA725 (1157463.3)	 	 	413_6	 	 	 	 	 	 
Enterococcus faecium UAA825 (1157464.3)	 	 	405_6	 	 	 	 	 	 
Enterococcus faecium UAA909 (1157476.3)	 	 	367_6	 	 	 	 	 	 
Enterococcus faecium UAA910 (1157477.3)	 	 	408_6	 	 	 	 	 	 
Enterococcus faecium UAA911 (1157478.3)	 	 	368_6	 	 	 	 	 	 
Enterococcus faecium UAA944 (1157465.3)	 	 	340_6	 	 	 	 	 	 
Enterococcus faecium UAA945 (1157488.3)	 	 	1104_6	 	 	 	 	 	 
Enterococcus faecium UAA947 (1158541.3)	 	 	2212_6	 	 	 	 	 	 
Enterococcus faecium UAA949 (1158644.3)	 	 	347_6	 	 	 	 	 	 
Enterococcus faecium UAA950 (1158645.3)	 	 	381_6	 	 	 	 	 	 
Enterococcus faecium UAA951 (1158543.3)	 	 	408_6	 	 	 	 	 	 
Enterococcus faecium UAA952 (1158544.3)	 	 	421_6	 	 	 	 	 	 
Enterococcus faecium UC7251 (1328870.3)	 	 	1052_6	 	 	 	 	 	 
Enterococcus faecium VAN 219 (1157466.3)	 	 	382_6	 	 	 	 	 	 
Enterococcus faecium VAN 222 (1157467.3)	 	 	388_6	 	 	 	 	 	 
Enterococcus faecium VAN 327 (1169279.3)	 	 	411_6	 	 	 	 	 	 
Enterococcus faecium VAN 332 (1157468.3)	 	 	456_6	 	 	 	 	 	 
Enterococcus faecium VAN 335 (1157469.3)	 	 	1925_6	 	 	 	 	 	 
Enterococcus faecium VAN 342 (1157470.3)	 	 	438_6	 	 	 	 	 	 
Enterococcus faecium VAN 345 (1157471.3)	 	 	1233_6	 	 	 	 	 	 
Enterococcus faecium VAN 476 (1169278.3)	 	 	532_6	 	 	 	 	 	 
Enterococcus faecium VRE 108 (1157472.3)	 	 	384_6	 	 	 	 	 	 
Enterococcus faecium VRE 110 (1157473.3)	 	 	305_6	 	 	 	 	 	 
Enterococcus faecium VRE 13 (1157474.3)	 	 	392_6	 	 	 	 	 	 
Enterococcus faecium VRE 84 (1157475.3)	 	 	409_6	 	 	 	 	 	 
Enterococcus gallinarum EG2 (565653.4)	 	 	 	 	 	 	810_13	810_13	 
Enterococcus hirae ATCC 9790 (768486.3)	 	 	 	 	 	 	 	 	 
Enterococcus phoeniculicola ATCC BAA-412 (1158610.4)	 	 	 	 	 	 	 	 	 
Enterococcus saccharolyticus 30_1 (742813.4)	 	 	 	 	 	 	1070_13	1070_13	 
Enterococcus saccharolyticus ATCC 43076 (1139996.4)	 	 	 	 	 	 	 	 	 
Enterococcus sp. 7L76 (657310.3)	 	 	 	 	 	 	 	 	 
Lactobacillus acidophilus 30SC (891391.3)	 	 	 	 	 	 	 	 	 
Lactobacillus acidophilus ATCC 4796 (525306.3)	 	 	 	 	 	 	 	 	 
Lactobacillus acidophilus La-14 (1314884.3)	 	 	 	 	 	 	 	 	 
Lactobacillus amylolyticus DSM 11664 (585524.3)	 	 	 	 	 	 	 	 	 
Lactobacillus amylovorus GRL 1112 (695560.3)	 	 	 	 	 	 	 	 	 
Lactobacillus amylovorus GRL1118 (695562.4)	 	 	 	 	 	 	 	 	 
Lactobacillus animalis KCTC 3501 (930942.3)	 	 	 	 	 	 	 	 	 
Lactobacillus antri DSM 16041 (525309.3)	 	 	 	 	 	 	8_13	8_13	 
Lactobacillus brevis KB290 (1001583.3)	 	 	1958_6	 	 	 	1891_13	1891_13	 
Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	 	 	 	 	 	 	102_13	102_13	 
Lactobacillus buchneri ATCC 11577 (525318.3)	 	 	 	 	 	 	20_13	20_13	 
Lactobacillus buchneri CD034 (1071400.3)	 	 	 	 	 	 	321_13	321_13	 
Lactobacillus buchneri NRRL B-30929 (511437.3)	 	 	 	 	 	 	355_13	355_13	 
Lactobacillus casei 12A (1051650.4)	 	 	 	 	 	 	 	 	 
Lactobacillus casei 21/1 (1051651.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei 32G (1051652.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei ATCC 334 (321967.11)	 	 	 	 	 	 	 	 	 
Lactobacillus casei BD-II (998820.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei BL23 (543734.4)	 	 	 	 	 	 	 	 	 
Lactobacillus casei CRF28 (1051654.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei LC2W (999378.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei Lc-10 (1051655.5)	 	 	 	 	 	 	 	 	 
Lactobacillus casei Lpc-37 (1051656.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei M36 (1051657.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei T71499 (1051658.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei UCD174 (1051659.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei UW1 (1051660.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei UW4 (1051661.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei W56 (1215914.3)	 	 	 	 	 	 	 	 	 
Lactobacillus casei str. Zhang (498216.5)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp120 (1256223.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp122 (1256218.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp17 (1256220.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp225 (1256225.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp226 (1256226.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp230 (1256219.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp46 (1256222.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp49 (1256213.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. paracasei Lpp74 (1256199.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. tolerans Lpl14 (1256229.3)	 	 	 	 	 	 	 	 	 
Lactobacillus paracasei subsp. tolerans Lpl7 (1256230.3)	 	 	 	 	 	 	 	 	 
Lactobacillus coleohominis 101-4-CHN (575594.3)	 	 	 	 	 	 	 	 	 
Lactobacillus coryniformis subsp. coryniformis CECT 5711 (1185325.3)	 	 	 	 	 	 	 	 	 
Lactobacillus crispatus 125-2-CHN (575595.3)	 	 	 	 	 	 	1006_13	1006_13	 
Lactobacillus crispatus FB049-03 (883094.3)	 	 	 	 	 	 	1268_13	1268_13	 
Lactobacillus crispatus FB077-07 (883092.3)	 	 	 	 	 	 	489_13	489_13	 
