Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Staphylococcus epidermidis VCU117 (904335.3)	2115_19_1, 2115_19_1	2115_19_1	2114	2116_7	2113_8	1034_17, 121_17, 697_17	134_21, 693_21	537_23	2214_25, 538_26	 	132, 691
Staphylococcus epidermidis VCU118 (904336.3)	1235_19_1, 1235_19_1	1235_19_1	1234_5	1236_7	1233_8, 1400_16	1029_17, 2045_17, 208_17, 2213_17	1024_21, 2200_21	1404_23	1403_26, 1876_25	 	1023, 2202
Staphylococcus epidermidis VCU120 (904337.3)	345_19_1, 345_19_1	345_19_1	344	346_7	343_8	1111_17, 2015_17, 45_17	1124_21, 1153_21, 49_21	1192_23	1193_26, 1452_25	 	1122, 1155, 51
Staphylococcus epidermidis VCU123 (904340.3)	935_19_1, 935_19_1	935_19_1	936	934_7	937_8	1090_17, 1091_17, 1983_17, 382_17	1086_21, 1803_21, 369_21	1690_23	1565_25, 1691_26	 	1084, 1801, 371
Staphylococcus epidermidis VCU125 (904341.3)	1923_19_1, 1923_19_1	1923_19_1	1922_5	1924_7	1921_8	124_17, 1435_17, 2217_17	111_21, 1431_21, 286_21	1821_23	1820_26, 2086_25	 	113, 1430, 288
Staphylococcus epidermidis VCU126 (904342.3)	2102_19_1, 2102_19_1	2102_19_1	2101	2103_7	2100_8	126_17, 1321_17, 806_17	113_21, 802_21	2152_23	1428_25, 2153_26	 	115, 800
Staphylococcus epidermidis VCU127 (904343.3)	1224_19_1, 1224_19_1	1224_19_1	1223	1225_7	1222_8, 1685_16	1982_17, 2086_17, 760_17	1948_21, 1995_21, 756_21	1689_23	1688_26, 2241_25	 	1946, 1993, 755
Staphylococcus epidermidis VCU128 (904344.3)	235_19_1, 235_19_1	235_19_1	234_5	236_7	2118_16, 233_8	1515_17, 1901_17, 727_17	1511_21, 714_21	2114_23	1135_25, 2115_26	 	1510, 716
Staphylococcus epidermidis VCU129 (904345.3)	320_19_1, 320_19_1	320_19_1	319_5	321_7	318_8, 642_16	113_17, 461_17, 999_17	108_21, 986_21	702_23	1553_25, 703_26	 	106, 988
Staphylococcus epidermidis VCU144 (904347.3)	1589_19_1, 1589_19_1, 1590_19_1, 1590_19_1	1589_19_1, 1590_19_1	1588	1591_7	1587_8	125_17, 430_17	112_21, 213_21, 434_21	529_23	1022_25, 530_26	 	114, 211, 436
Staphylococcus equorum subsp. equorum Mu2 (1159488.5)	749_19_1, 749_19_1	749_19_1	748_5	750_7	1817_16, 751_15, 779_14	618_17	741_21	1824_23	104_25, 1823_26	 	627
Staphylococcus haemolyticus JCSC1435 (279808.8)	 	 	 	 	 	129_17, 2231_17	249_21	1961_23	1029_25, 1962_26	 	360
Staphylococcus haemolyticus R1P1 (1134914.3)	 	 	 	 	1625_16	16_17, 601_17, 871_17	140_21	1630_23	1187_25, 1629_26	 	222, 232, 85
Staphylococcus hominis SK119 (629742.3)	 	 	 	 	 	 	1449_21	199_23	198_26, 2156_25	 	1382, 1505
Staphylococcus hominis VCU122 (904339.3)	 	 	 	 	927_16	2160_17	567_21	923_23	252_25, 924_26	 	1214, 634
Staphylococcus hominis subsp. hominis C80 (435837.3)	 	 	 	 	1887_16	 	252_21	1883_23	1884_26, 926_25	 	182, 331
Staphylococcus hominis subsp. hominis ZBW5 (1185421.3)	 	 	 	 	1584_16	593_17	1263_21	1580_23	1581_26, 853_25	 	1143, 260
Staphylococcus lugdunensis ACS-027-V-Sch2 (883164.3)	 	 	 	 	 	1013_17	 	891_23	61_25, 892_26	 	1733
Staphylococcus lugdunensis HKU09-01 (698737.3)	 	 	 	 	 	355_17	 	1835_23	1836_26, 997_25	 	206
Staphylococcus lugdunensis M23590 (525377.3)	 	 	 	 	 	1682_17	 	829_23	2276_25, 830_26	 	1819
Staphylococcus lugdunensis N920143 (1034809.4)	 	 	 	 	 	357_17, 512_17	 	1868_23	1044_25, 1869_26	 	205
Staphylococcus pettenkoferi VCU012 (904314.5)	 	 	 	 	1366_16	1780_17, 2201_17, 694_17, 852_17	1364_21	1362_23	1363_26, 2072_25	 	13
Staphylococcus pseudintermedius ED99 (984892.3)	 	 	 	 	1757_16	51_17	227_21, 57_21	1753_23	1754_26, 784_25	 	56
Staphylococcus pseudintermedius HKU10-03 (937773.3)	 	 	 	 	642_16	2401_17	2228_21, 2395_21	646_23	1660_25, 645_26	 	2396
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.11)	227_19_1, 227_19_1	227_19_1	228_5	226_7	193_14, 225_15	229_17, 350_17, 373_17	237_21	1810_23	1811_26, 881_25	935_30, 936_30	338
Staphylococcus simulans ACS-120-V-Sch1 (883166.5)	 	 	1769_5	 	 	808_17	560_21, 800_21	2336_23	2152_25, 2335_26	1771_30	421, 562, 602
Staphylococcus vitulinus F1028 (1167632.5)	2171_19_1, 2171_19_1	2171_19_1	2170_5	2172_7	2289_14	 	1803_21	1339_23	1338_26, 989_25, 990_25	 	795
Staphylococcus warneri L37603 (596319.3)	1808_19_1, 1808_19_1	1808_19_1	1809_5	1807_7	1810_8	115_17, 1945_17, 1974_17	130_21, 1950_21	704_23	2165_25, 705_26	 	129, 1337, 2288
Staphylococcus warneri SG1 (1194526.3)	1209_19_1, 1209_19_1	1209_19_1	1210_5	1208_7	1211_8, 1782_16	238_17, 268_17, 45_17	117_21, 242_21	1776_23	1777_26, 886_25	 	116, 155, 202
Staphylococcus xylosus NJ (1262650.3)	1893_19_1, 1893_19_1	1893_19_1	1892_5	1894_7	1895_15, 1912_14, 350_16	1107_17, 1766_17, 1891_17, 2029_17	1882_21	346_23	1492_25, 347_26	 	1597, 1777
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	 	 	 	 	 	 	1529_25	 	2340
Aerococcus viridans ATCC 11563 (655812.3)	145_19_1, 145_19_1	145_19_1	148_5	146_7	144_8	318_17, 560_17	147_21	1394_23	1147_25, 1392_26, 616_25	 	 
Aerococcus viridans LL1 (1175629.3)	1190_19_1, 1190_19_1	1190_19_1	1193_5	1191_7	1189_8	126_17, 1429_17, 1598_17, 765_17	1192_21	1689_23	113_25, 1691_26	 	811
Granulicatella adiacens ATCC 49175 (638301.3)	 	 	 	 	 	 	 	 	636_25	1431_30	 
Granulicatella elegans ATCC 700633 (626369.3)	 	 	 	 	 	 	1500_21	 	443_25	 	1499
Enterococcus asini ATCC 700915 (1158606.4)	545_19_1, 545_19_1	545_19_1	544_5	546_7	244_8, 547_8	 	2001_21	622_23	2225_25, 623_26	 	 
Enterococcus avium ATCC 14025 (1140002.4)	3877_19_1, 3877_19_1	3877_19_1	3876_5	3878_7	3875_8	 	2299_21	4544_23	3734_25, 4545_26	 	1550, 2047
Enterococcus caccae ATCC BAA-1240 (1158612.4)	1975_19_1, 1975_19_1	1975_19_1	2033_5	2032_7	2034_8	2420_17, 3045_17, 468_17	2035_21, 469_21	2618_23	2617_26, 670_25	 	 
Enterococcus casseliflavus ATCC 12755 (888066.3)	1250_19_1, 1250_19_1	1250_19_1	1249_5	1251_7	1252_8	 	2445_21, 3072_21	2911_23	2092_25, 2910_26	2033_30	3075
Enterococcus casseliflavus EC10 (565654.4)	1358_19_1, 1358_19_1	1358_19_1	1357	1359_7	1360	 	2552_21, 2958_21	3079_23	2835_25, 3080_26	 	2955
Enterococcus cecorum DSM 20682 = ATCC 43198 (1121864.4)	2017_19_1, 2017_19_1	2017_19_1	2018_5	2016_7	2015_8	 	1511_21	373_23	1960_25, 372_26	 	 
Enterococcus dispar ATCC 51266 (1139219.4)	2124_19_1, 2124_19_1	2124_19_1	2125_5	2123_7	2122_8	 	145_21	1641_23	1642_26, 1698_25, 657_25	 	1993, 2031, 45
Enterococcus durans ATCC 6056 (1140001.4)	 	 	 	 	 	 	1910_21	2810_23	2511_25, 2811_26	 	2643, 666, 667
Enterococcus durans FB129-CNAB-4 (883162.3)	 	 	 	 	 	1528_17	1272_21	 	200_25	 	1666, 2239, 300
Enterococcus durans IPLA 655 (1288492.4)	 	 	 	 	 	 	520_21	2914_23	2913_26, 730_25	 	1113, 1714
Enterococcus faecalis 12030 (1169282.3)	 	 	 	 	 	2648_17, 641_17	143_21, 2647_21	 	2481_25	1319_30	146
Enterococcus faecalis 12107 (1158664.3)	 	 	 	 	 	2018_17, 2558_17	170_21, 2017_21	 	1859_25	703_30	173
Enterococcus faecalis 1448E03 (1151193.3)	 	 	 	 	 	2150_17, 2632_17	139_21, 2149_21	 	1978_25	827_30	142
Enterococcus faecalis 182970 (1151194.3)	 	 	 	 	 	1285_17, 2221_17	1284_21, 2651_21	 	1109_25	1738_30	2654
Enterococcus faecalis 19116 (1151195.3)	 	 	 	 	 	2279_17, 709_17	2695_21, 708_21	 	537_25	1488_30	2692
Enterococcus faecalis 2630V05 (1151196.3)	 	 	 	 	 	1284_17, 2499_17	1283_21, 2302_21	 	1107_25	1919_30	2305
Enterococcus faecalis 2924 (1151197.3)	 	 	 	 	 	2104_17, 2673_17	171_21, 2103_21	 	1928_25	676_30	174
Enterococcus faecalis 5952 (1158670.3)	 	 	 	 	 	2263_17, 2814_17	146_21, 2262_21	 	2068_25	 	149
Enterococcus faecalis 599 (1134784.3)	 	 	 	 	 	1203_17, 2398_17	1204_21, 802_21	 	2750_25	95_30	799
Enterococcus faecalis 599951 (1169281.3)	 	 	 	 	 	2813_17, 619_17	144_21, 2812_21	 	2646_25	1306_30	147
Enterococcus faecalis 62 (936153.3)	 	 	 	 	 	249_17, 2686_17	2685_21, 482_21	 	2489_25	1233_30	485
Enterococcus faecalis 7330082-2 (1151198.3)	 	 	 	 	 	1791_17, 2444_17	1792_21, 2607_21	 	1963_25	1339_30	2604
Enterococcus faecalis 7330112-3 (1151199.3)	 	 	 	 	 	575_17, 90_17	2678_21, 576_21	 	748_25	1995_30	2681
Enterococcus faecalis 7330245-2 (1151200.3)	 	 	 	 	 	2293_17, 2874_17	141_21, 2292_21	 	2130_25	 	144
Enterococcus faecalis 7330257-1 (1151201.3)	 	 	 	 	 	1199_17, 2466_17	1198_21, 2694_21	 	1027_25	1609_30	2697
Enterococcus faecalis 7330259-5 (1151202.3)	 	 	 	 	 	1203_17, 1745_17	1202_21, 2469_21	 	1032_25	2187_30	2466
Enterococcus faecalis 7330948-5 (1151204.3)	 	 	 	 	 	1164_17, 2200_17	1163_21, 2587_21	 	992_25	1938_30	2590
Enterococcus faecalis 7430275-3 (1151205.3)	 	 	 	 	 	2252_17, 234_17	235_21, 2602_21	 	406_25	1619_30	2599
Enterococcus faecalis 7430315-3 (1151206.3)	 	 	 	 	 	1878_17, 245_17	1637_21, 246_21	 	414_25	2306_30	1634
Enterococcus faecalis 7430416-3 (1151207.3)	 	 	 	 	 	2112_17, 2593_17	141_21, 2111_21	 	1940_25	787_30	144
Enterococcus faecalis 7430821-4 (1151208.3)	 	 	 	 	 	2070_17, 234_17	235_21, 2421_21	 	407_25	1639_30	2418
Enterococcus faecalis 79-3 (1169283.3)	 	 	 	 	 	2729_17, 669_17	142_21, 2728_21	 	2562_25	1309_30	145
Enterococcus faecalis A-2-1 (1169245.3)	 	 	 	 	 	2306_17, 2798_17	155_21, 2305_21	 	2110_25	776_30	158
Enterococcus faecalis A-3-1 (1169246.3)	 	 	 	 	 	2196_17, 2856_17	118_21, 2195_21	 	2032_25	809_30	121
Enterococcus faecalis AR01/DG (565651.6)	 	 	 	 	 	1344_17, 801_17	1563_21, 800_21	 	609_25	2047_30	1566
Enterococcus faecalis ATCC 10100 (1169312.3)	 	 	 	 	 	2241_17, 2794_17	141_21, 2240_21	 	2045_25	842_30	144, 145
Enterococcus faecalis ATCC 19433 (1169286.3)	 	 	 	 	 	2186_17, 2729_17	146_21, 2185_21	 	1990_25	761_30	149
Enterococcus faecalis ATCC 27275 (1158675.3)	 	 	 	 	 	2208_17, 2760_17	141_21, 2207_21	 	2014_25	829_30	144
Enterococcus faecalis ATCC 27959 (1158676.3)	 	 	 	 	 	1849_17, 2455_17	1848_21, 2685_21	 	1686_25	542_30	2688
Enterococcus faecalis ATCC 29200 (525271.4)	 	 	 	 	 	1138_17, 2131_17	1139_21, 2424_21	 	1294_25	1638_30	2421
Enterococcus faecalis ATCC 29212 (1201292.3)	 	 	 	 	 	1462_17, 3335_17	2301_21, 3334_21	 	1156_25, 1157_25	 	2305, 2306
Enterococcus faecalis ATCC 35038 (1169290.3)	 	 	 	 	 	2235_17, 2719_17	156_21, 2234_21	 	2084_25	741_30	159
Enterococcus faecalis ATCC 4200 (565642.4)	 	 	 	 	 	1542_17, 239_17	1749_21, 240_21	 	494_25	936_30	1746
Enterococcus faecalis ATCC 6055 (1169311.3)	 	 	 	 	 	2116_17, 2815_17	151_21, 2115_21	 	1917_25	727_30	154
Enterococcus faecalis B-4-111 (1169302.3)	 	 	 	 	 	2426_17, 329_17	2425_21, 567_21	 	2260_25	 	570
Enterococcus faecalis B1005 (1157378.3)	 	 	 	 	 	2511_17	143_21	 	2342_25	236_30, 996_30	146
Enterococcus faecalis B1138 (1157379.3)	 	 	 	 	 	1907_17, 2525_17	2767_21	 	1739_25	2860_30, 394_30	2770
Enterococcus faecalis B1249 (1157380.3)	 	 	 	 	 	211_17, 2684_17	452_21	 	2517_25	1173_30, 546_30	455
Enterococcus faecalis B1290 (1151209.3)	 	 	 	 	 	1361_17	2716_21	 	1194_25	1856_30, 2810_30	2719
Enterococcus faecalis B1327 (1151210.3)	 	 	 	 	 	2118_17, 2739_17	2982_21	 	1952_25	3075_30, 608_30	2985
Enterococcus faecalis B1376 (1151211.3)	 	 	 	 	 	1363_17, 2745_17	2957_21	 	1195_25	2263_30, 2863_30	2954
Enterococcus faecalis B1385 (1151212.3)	 	 	 	 	 	100_17, 720_17	2984_21	 	887_25	2233_30, 3078_30	2987
Enterococcus faecalis B1441 (1157342.3)	 	 	 	 	 	2382_17, 2999_17	144_21	 	2215_25	238_30, 868_30	147
Enterococcus faecalis B1505 (1157343.3)	 	 	 	 	 	2305_17, 2923_17	145_21	 	2136_25	239_30, 850_30	149
Enterococcus faecalis B1532 (1157344.3)	 	 	 	 	 	2377_17	143_21	 	2209_25	236_30, 865_30	146
Enterococcus faecalis B15725 (1151186.3)	 	 	 	 	 	640_17	2594_21	 	475_25	1609_30, 2487_30	2591
Enterococcus faecalis B1586 (1157345.3)	 	 	 	 	 	319_17, 937_17	1179_21	 	150_25	1274_30, 1898_30	1183
Enterococcus faecalis B1618 (1157346.3)	 	 	 	 	 	2381_17, 3001_17	143_21	 	2214_25	237_30, 868_30	146
Enterococcus faecalis B1623 (1157347.3)	 	 	 	 	 	2814_17, 330_17	570_21	 	2645_25	1300_30, 666_30	574
Enterococcus faecalis B16457 (1151187.3)	 	 	 	 	 	690_17, 80_17	2773_21, 691_21	 	903_25	 	2776
Enterococcus faecalis B1678 (1157348.3)	 	 	 	 	 	2373_17	143_21	 	2205_25	236_30, 861_30	147
Enterococcus faecalis B1696 (1157349.3)	 	 	 	 	 	2301_17, 2982_17	145_21	 	2134_25	240_30, 851_30	149
Enterococcus faecalis B1719 (1157350.3)	 	 	 	 	 	2397_17, 3017_17	144_21	 	2228_25	239_30, 880_30	148
Enterococcus faecalis B1734 (1157351.3)	 	 	 	 	 	2384_17, 3005_17	143_21	 	2214_25	238_30, 870_30	146
Enterococcus faecalis B1843 (1157352.3)	 	 	 	 	 	2384_17, 3005_17	144_21	 	2215_25	239_30, 867_30	148
Enterococcus faecalis B1851 (1157381.3)	 	 	 	 	 	2377_17	144_21	 	2211_25	238_30, 868_30	148
Enterococcus faecalis B1874 (1157353.3)	 	 	 	 	 	2367_17, 2988_17	144_21	 	2198_25	238_30, 855_30	148
Enterococcus faecalis B1921 (1157382.3)	 	 	 	 	 	2070_17, 2667_17	141_21, 2069_21	 	1906_25	793_30	144
Enterococcus faecalis B1933 (1157383.3)	 	 	 	 	 	2385_17	145_21	 	2216_25	239_30, 871_30	148
Enterococcus faecalis B2202 (1157384.3)	 	 	 	 	 	2373_17, 3011_17	144_21	 	2204_25	239_30, 861_30	148
Enterococcus faecalis B2207 (1157354.3)	 	 	 	 	 	2075_17, 2671_17	141_21, 2074_21	 	1911_25	796_30	144
Enterococcus faecalis B2211 (1157385.3)	 	 	 	 	 	2455_17	144_21	 	2287_25	238_30, 941_30	148
Enterococcus faecalis B2255 (1157355.3)	 	 	 	 	 	2371_17, 2991_17	143_21	 	2203_25	237_30, 858_30	147
Enterococcus faecalis B2277 (1157386.3)	 	 	 	 	 	2468_17, 3103_17	144_21	 	2297_25	238_30, 947_30	148
Enterococcus faecalis B2391 (1157356.3)	 	 	 	 	 	2374_17	145_21	 	2205_25	240_30, 861_30	149
Enterococcus faecalis B2488 (1157357.3)	 	 	 	 	 	2370_17, 3011_17	143_21	 	2202_25	238_30, 858_30	147
Enterococcus faecalis B2535 (1157358.3)	 	 	 	 	 	2371_17, 3017_17	145_21	 	2201_25	239_30, 855_30	148
Enterococcus faecalis B2557 (1157359.3)	 	 	 	 	 	2377_17, 3001_17	144_21	 	2208_25	238_30, 862_30	147
Enterococcus faecalis B2593 (1157360.3)	 	 	 	 	 	246_17, 2720_17	488_21	 	2552_25	1208_30, 582_30	492
Enterococcus faecalis B2670 (1157387.3)	 	 	 	 	 	2369_17	143_21	 	2201_25	238_30, 858_30	147
Enterococcus faecalis B2685 (1157388.3)	 	 	 	 	 	2370_17, 3000_17	144_21	 	2203_25	238_30, 856_30	148
Enterococcus faecalis B2687 (1157389.3)	 	 	 	 	 	214_17, 2701_17	454_21	 	2532_25	1187_30, 549_30	458
Enterococcus faecalis B2802 (1157390.3)	 	 	 	 	 	2461_17, 3110_17	120_21	 	2294_25	213_30, 951_30	123
Enterococcus faecalis B2864 (1157392.3)	 	 	 	 	 	2379_17	144_21	 	2210_25	238_30, 865_30	148
Enterococcus faecalis B2867 (1157393.3)	 	 	 	 	 	2463_17, 3116_17	148_21	 	2295_25	241_30, 948_30	151
Enterococcus faecalis B2949 (1157394.3)	 	 	 	 	 	2413_17, 3033_17	144_21	 	2244_25	237_30, 903_30	147
Enterococcus faecalis B3031 (1157361.3)	 	 	 	 	 	2375_17, 2995_17	143_21	 	2207_25	237_30, 863_30	146
Enterococcus faecalis B3042 (1157362.3)	 	 	 	 	 	2306_17, 2936_17	143_21	 	2139_25	238_30, 855_30	147
Enterococcus faecalis B3053 (1157363.3)	 	 	 	 	 	2391_17, 3033_17	146_21	 	2223_25	240_30, 877_30	149
Enterococcus faecalis B3119 (1157395.3)	 	 	 	 	 	2456_17, 3075_17	145_21	 	2288_25	238_30, 943_30	148
Enterococcus faecalis B3126 (1157364.3)	 	 	 	 	 	2411_17, 3029_17	144_21	 	2241_25	238_30, 894_30	147
Enterococcus faecalis B3196 (1157396.3)	 	 	 	 	 	2462_17, 3098_17	144_21	 	2295_25	238_30, 951_30	147
Enterococcus faecalis B3286 (1157397.3)	 	 	 	 	 	2430_17, 3090_17	145_21	 	2262_25	239_30, 918_30	148
Enterococcus faecalis B3336 (1157398.3)	 	 	 	 	 	2329_17, 2885_17	162_21	 	2164_25	268_30, 870_30	165
Enterococcus faecalis B4008 (1157399.3)	 	 	 	 	 	2468_17, 3086_17	143_21	 	2299_25	237_30, 952_30	146
Enterococcus faecalis B4018 (1157400.3)	 	 	 	 	 	2424_17, 3059_17	144_21	 	2256_25	237_30, 910_30	147
Enterococcus faecalis B4148 (1157401.3)	 	 	 	 	 	2439_17	142_21	 	2271_25	236_30, 924_30	145
Enterococcus faecalis B4163 (1157402.3)	 	 	 	 	 	227_17, 2786_17	471_21	 	2618_25	1273_30, 565_30	474
Enterococcus faecalis B4259 (1157403.3)	 	 	 	 	 	2479_17, 3111_17	145_21	 	2311_25	240_30, 965_30	148
Enterococcus faecalis B4267 (1157404.3)	 	 	 	 	 	2465_17, 3102_17	145_21	 	2297_25	239_30, 951_30	148
Enterococcus faecalis B4270 (1157405.3)	 	 	 	 	 	2356_17, 2974_17	118_21	 	2188_25	212_30, 843_30	121
Enterococcus faecalis B4411 (1157406.3)	 	 	 	 	 	229_17, 2771_17	472_21	 	2604_25	1260_30, 566_30	475
Enterococcus faecalis B4568 (1157407.3)	 	 	 	 	 	2401_17, 3039_17	144_21	 	2232_25	238_30, 888_30	147
Enterococcus faecalis B4638 (1157408.3)	 	 	 	 	 	2371_17, 3027_17	145_21	 	2204_25	239_30, 859_30	148
Enterococcus faecalis B4672 (1157409.3)	 	 	 	 	 	2377_17, 3016_17	144_21	 	2211_25	238_30, 866_30	147
Enterococcus faecalis B4674 (1157410.3)	 	 	 	 	 	2130_17	2995_21	 	1963_25	3089_30, 618_30	2998
Enterococcus faecalis B4969 (1157411.3)	 	 	 	 	 	2394_17, 3062_17	145_21	 	2225_25	239_30, 873_30	148
Enterococcus faecalis B5035 (1158632.3)	 	 	 	 	 	2452_17, 3089_17	143_21	 	2283_25	237_30, 940_30	147
Enterococcus faecalis B5076 (1157412.3)	 	 	 	 	 	2244_17	145_21	 	2075_25	237_30, 791_30	148
Enterococcus faecalis B56765 (1151188.3)	 	 	 	 	 	2589_17, 363_17	3061_21, 364_21	 	567_25	2276_30	3064
Enterococcus faecalis B594 (1157365.3)	 	 	 	 	 	2382_17, 3000_17	143_21	 	2211_25	235_30, 868_30	146
Enterococcus faecalis B653 (1169309.3)	 	 	 	 	 	1889_17, 2516_17	127_21, 1888_21	 	1710_25	 	130
Enterococcus faecalis B69486 (1151189.3)	 	 	 	 	 	324_17	2697_21	 	492_25	1858_30, 2803_30	2700
Enterococcus faecalis B84847 (1151190.3)	 	 	 	 	 	1246_17, 2303_17	1245_21, 2696_21	 	1070_25	2053_30	2699
Enterococcus faecalis B878 (1157366.3)	 	 	 	 	 	2356_17, 3064_17	117_21	 	2187_25	209_30, 841_30	120
Enterococcus faecalis B939 (1157367.3)	 	 	 	 	 	2364_17, 3036_17	144_21	 	2197_25	238_30, 851_30	147
Enterococcus faecalis C19315WT (1151191.3)	 	 	 	 	 	2427_17, 2907_17	141_21, 2426_21	 	2169_25	834_30	144, 1832
Enterococcus faecalis CH116 (1158660.3)	 	 	 	 	 	2287_17, 3015_17	150_21	 	2078_25	906_30	153
Enterococcus faecalis CH136 (1158661.3)	 	 	 	 	 	2240_17, 2957_17	150_21	 	2029_25	862_30	153
Enterococcus faecalis CH188 (565644.5)	 	 	 	 	 	2054_17, 2951_17	146_21	 	1796_25	665_30	149
Enterococcus faecalis CH19 (1158627.3)	 	 	 	 	 	2260_17, 2985_17	151_21	 	2050_25	880_30	154
Enterococcus faecalis CH570 (1158656.3)	 	 	 	 	 	2384_17	218_21	 	2219_25	322_30, 917_30	221
Enterococcus faecalis Com 2 (1158633.3)	 	 	 	 	 	2227_17, 2782_17	142_21, 2226_21	 	2058_25	293_30	145
Enterococcus faecalis Com 6 (1158634.3)	 	 	 	 	 	2084_17, 2571_17	143_21, 2083_21	 	1922_25	691_30	146
Enterococcus faecalis Com1 (1158671.3)	 	 	 	 	 	2204_17, 2780_17	142_21, 2203_21	 	2034_25	293_30	145
Enterococcus faecalis Com7 (1169306.3)	 	 	 	 	 	2184_17, 2763_17	137_21, 2183_21	 	2021_25	754_30	140
Enterococcus faecalis D1 (1169247.3)	 	 	 	 	 	2141_17, 2752_17	150_21, 2140_21	 	1969_25	758_30	153
Enterococcus faecalis D173 (1169310.3)	 	 	 	 	 	2121_17, 2736_17	188_21, 2120_21	 	1954_25	769_30	191
Enterococcus faecalis D3 (1169288.3)	 	 	 	 	 	2302_17, 2885_17	143_21, 2301_21	 	2139_25	 	146
Enterococcus faecalis D32 (1206105.3)	 	 	 	 	 	2165_17, 2782_17	100_21, 2164_21	 	2005_25	714_30	103
Enterococcus faecalis D6 (565650.5)	 	 	 	 	 	1561_17, 2558_17	1560_21, 1938_21	 	1391_25	527_30	1941
Enterococcus faecalis DAPTO 512 (749489.3)	 	 	 	 	 	2144_17, 2404_17, 921_17	2143_21, 2831_21	 	478_25	1283_30	2828
Enterococcus faecalis DAPTO 516 (749490.3)	 	 	 	 	 	1522_17, 2059_17	2060_21, 2613_21	 	561_25	2222_30	2610
Enterococcus faecalis DS16 (1158677.3)	 	 	 	 	 	2024_17, 2574_17	141_21, 2023_21	 	1862_25	691_30	144
Enterococcus faecalis DS5 (565643.5)	 	 	 	 	 	1360_17, 2009_17	1359_21, 462_21	 	222_25	1064_30	459
Enterococcus faecalis E1 (1158673.3)	 	 	 	 	 	2153_17, 2758_17	142_21, 2152_21	 	1991_25	814_30	145
Enterococcus faecalis E1Sol (565647.5)	 	 	 	 	 	121_17, 2541_17	1126_21, 2542_21	 	1332_25	492_30	1129
Enterococcus faecalis E99 (1169284.3)	 	 	 	 	 	2304_17, 2795_17	156_21, 2303_21	 	2144_25	878_30	159
Enterococcus faecalis ERV103 (1134785.3)	 	 	 	 	 	1349_17, 1464_17	1463_21, 2597_21	 	267_25	314_30	2600
Enterococcus faecalis ERV116 (1134786.3)	 	 	 	 	 	1211_17, 1674_17	1212_21, 669_21	 	1305_25	150_30	666
Enterococcus faecalis ERV129 (1134787.3)	 	 	 	 	 	2336_17, 2608_17	2337_21, 2888_21	 	737_25	513_30	2891
Enterococcus faecalis ERV25 (1134788.3)	 	 	 	 	 	1763_17, 2725_17	1764_21, 2812_21	 	876_25	57_30	2815
Enterococcus faecalis ERV31 (1134789.3)	 	 	 	 	 	1502_17, 1755_17	1756_21, 2205_21	 	553_25	230_30	2208
Enterococcus faecalis ERV37 (1134790.3)	 	 	 	 	 	1474_17, 1927_17	1475_21, 2433_21	 	1607_25	619_30	2436
Enterococcus faecalis ERV41 (1134791.3)	 	 	 	 	 	2118_17, 2793_17	2794_21, 3052_21	 	1883_25	39_30	3055
Enterococcus faecalis ERV62 (1134792.3)	 	 	 	 	 	1958_17, 2234_17	1957_21, 913_21	 	1010_25	1309_30	910
Enterococcus faecalis ERV63 (1134793.3)	 	 	 	 	 	2085_17, 2840_17	2477_21, 2841_21	 	659_25	439_30	2474
Enterococcus faecalis ERV65 (1134794.3)	 	 	 	 	 	2038_17, 701_17	436_21, 702_21	 	1707_25	2267_30	439
Enterococcus faecalis ERV68 (1134795.3)	 	 	 	 	 	150_17, 780_17	149_21, 2940_21	 	2053_25	1536_30	2943
Enterococcus faecalis ERV72 (1134796.3)	 	 	 	 	 	2653_17, 331_17	332_21, 675_21	 	1831_25	396_30	678
Enterococcus faecalis ERV81 (1134798.3)	 	 	 	 	 	1393_17, 1954_17	1560_21, 1955_21	 	1008_25	669_30	1557
Enterococcus faecalis ERV85 (1134799.3)	 	 	 	 	 	2518_17, 444_17	1282_21, 445_21	 	1643_25	500_30	1285
Enterococcus faecalis ERV93 (1134800.3)	 	 	 	 	 	1549_17, 2215_17	1550_21, 2441_21	 	1622_25	506_30	2438
Enterococcus faecalis EnGen0253 (1158540.3)	 	 	 	 	 	2118_17, 2815_17	149_21, 2117_21	 	1920_25	784_30	152
Enterococcus faecalis F1 (1169297.3)	 	 	 	 	 	2290_17, 2853_17	137_21, 2289_21	 	2075_25	866_30	140
Enterococcus faecalis FA2-2 (1158622.3)	 	 	 	 	 	2556_17, 590_17	139_21, 2555_21	 	2360_25	1131_30	142
Enterococcus faecalis Fly 2 (1169303.3)	 	 	 	 	 	1989_17, 2457_17	193_21, 1988_21	 	1818_25	716_30	196
Enterococcus faecalis Fly1 (565649.5)	 	 	 	 	 	232_17, 2532_17	1034_21, 2533_21	 	1340_25	581_30	1037
Enterococcus faecalis HEF39 (1157368.3)	 	 	 	 	 	2171_17, 2705_17	141_21, 2170_21	 	1999_25	841_30	144
Enterococcus faecalis HH22 (491075.3)	 	 	 	 	 	1258_17	2402_21	 	1515_25	2257_30, 898_30	2405
